labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,OPG,dilution,experiment
E7aMRZ,0,0,0,0,0,0,1,E7
E7aAMS,0,0,0,0,0,0,1,E7
E7aGLO,0,0,0,0,0,0,1,E7
E7aDOT,0,0,0,0,0,0,1,E7
E7aGSZ,0,0,0,0,0,0,1,E7
E7aKNZ,0,0,0,0,0,0,1,E7
E7aLNT,0,0,0,0,0,0,1,E7
E7aADV,0,0,0,0,0,0,1,E7
E7aIUV,0,0,0,0,0,0,1,E7
E7aDMP,0,0,0,0,0,0,1,E7
E7aBCD,0,0,0,0,0,0,1,E7
E7aLRS,0,0,0,0,0,0,1,E7
E7aCHI,0,0,0,0,0,0,1,E7
E7aBQR,0,0,0,0,0,0,1,E7
E7aBCP,0,0,0,0,0,0,1,E7
E7aJRW,0,0,0,0,0,0,1,E7
E7aDVW,0,0,0,0,0,0,1,E7
E7aMOR,5,11,13,8,9.25,65602.8368794326,1,E7
E7aNPY,30,27,32,38,31.75,248046.875,1,E7
E7aDPW,0,0,0,0,0,0,1,E7
E7aFGM,0,0,0,0,0,0,1,E7
E7aBWZ,24,39,37,23,30.75,452205.882352941,1,E7
E7aGOW,28,23,37,29,29.25,340116.279069767,1,E7
E7aAIR,0,0,0,0,0,0,1,E7
E7aCHX,0,0,1,2,0.75,4310.34482758621,1,E7
E7aDFU,0,0,0,0,0,0,1,E7
E7aAGS,0,0,0,0,0,0,1,E7
E7aJRX,0,0,0,0,0,0,1,E7
E7aIJY,0,0,0,0,0,0,1,E7
E7aBMX,0,0,0,0,0,0,1,E7
E7aKLQ,0,0,0,0,0,0,1,E7
E7aJVZ,0,0,0,0,0,0,1,E7
E7aAOX,0,0,0,0,0,0,1,E7
E7aKNQ,0,0,0,0,0,0,1,E7
E7aBSU,0,0,0,0,0,0,1,E7
E7aLOW,0,0,0,0,0,0,1,E7
E7aCJP,0,0,0,0,0,0,1,E7
E7aPVX,25,29,28,23,26.25,236486.486486486,1,E7
E7aEJP,0,0,0,0,0,0,1,E7
E7aTUV,28,23,24,38,28.25,97750.8650519031,1,E7
E7aBEF,0,0,0,0,0,0,1,E7
E7aUVY,14,14,11,15,13.5,140625,1,E7
E7aJQU,4,1,1,1,1.75,11986.301369863,1,E7
E7aDHX,0,0,0,0,0,0,1,E7
E7aJXZ,13,16,14,10,13.25,122685.185185185,1,E7
E7aCGS,0,0,0,0,0,0,1,E7
E7aAEQ,0,0,0,0,0,0,1,E7
E7aOPZ,0,0,0,0,0,0,1,E7
E7aKMS,5,14,5,9,8.25,98214.2857142857,1,E7
E7aHKX,46,61,77,58,60.5,695402.298850575,1,E7
E7aFYZ,0,0,0,0,0,0,1,E7
E7aHJU,0,0,0,0,0,0,1,E7
E7aHVW,4,4,3,6,4.25,34836.0655737705,1,E7
E7aALR,0,0,0,0,0,0,1,E7
E7aAFV,0,0,0,0,0,0,1,E7
E7aGHL,67,55,71,65,64.5,410828.025477707,1,E7
E7aCLS,33,42,29,31,33.75,225000,1,E7
E7aNUY,12,4,7,4,6.75,48913.0434782609,1,E7
E7aGTW,0,0,0,0,0,0,1,E7
E7aGHI,2,0,1,0,0.75,2906.97674418605,1,E7
E7aFGV,0,0,0,0,0,0,1,E7
E7aDKW,0,0,0,0,0,0,1,E7
E7bCKT,0,0,0,0,0,0,1,E7
E7bJKZ,26,24,38,28,29,109433.962264151,1,E7
E7bITX,0,0,0,0,0,0,1,E7
E7bGIT,0,0,0,0,0,0,1,E7
E7bGHV,0,0,0,0,0,0,1,E7
E7bNTU,0,0,0,0,0,0,1,E7
E7bRSU,0,0,0,0,0,0,1,E7
E7bRTX,0,0,0,0,0,0,1,E7
E7bAUZ,9,18,9,14,12.5,45289.8550724638,1,E7
E7aDLN,0,0,0,0,0,0,1,E7
E7aDMN,0,0,0,0,0,0,1,E7
E7aDTW,0,0,0,0,0,0,1,E7
E7aCLZ,0,0,0,0,0,0,1,E7
E7aKOP,0,0,0,0,0,0,1,E7
E7aCFZ,0,0,0,0,0,0,1,E7
E7aFGZ,0,0,0,0,0,0,1,E7
E7aPRZ,0,0,0,0,0,0,1,E7
E7aCNO,0,0,0,0,0,0,1,E7
E7bBKV,0,0,0,0,0,0,1,E7
E7bABO,1,0,0,0,0.25,1760.56338028169,1,E7
E7bAMV,8,7,17,8,10,58139.5348837209,1,E7
E7bFHK,2,0,1,1,1,6329.11392405063,1,E7
E7bHKS,0,0,0,0,0,0,1,E7
E7bHQZ,0,0,0,0,0,0,1,E7
E7bNSX,12,7,11,11,10.25,57262.5698324022,1,E7
E7bCFV,0,0,0,0,0,0,1,E7
E7bNRV,0,0,0,0,0,0,1,E7
E7bLMZ,4,8,1,7,5,32051.2820512821,1,E7
E7bBIJ,0,0,0,0,0,0,1,E7
E7bCHM,29,34,31,33,31.75,191265.060240964,1,E7
E7bLNO,0,0,0,0,0,0,1,E7
E7bQRT,0,0,0,0,0,0,1,E7
E7bNPW,7,7,5,6,6.25,49212.5984251968,1,E7
E7bDHI,0,0,0,0,0,0,1,E7
E7bJRZ,40,28,29,32,32.25,177197.802197802,1,E7
E7bAKS,0,0,0,0,0,0,1,E7
E7aELV,0,0,0,0,0,0,1,E7
E7aOQT,0,0,0,0,0,0,1,E7
E7aADL,0,0,0,0,0,0,1,E7
E7aBQY,0,0,0,0,0,0,1,E7
E7aBEV,0,0,0,0,0,0,1,E7
E7aIJR,0,0,0,0,0,0,1,E7
E7aAJT,0,0,0,0,0,0,1,E7
E7aENV,0,0,0,0,0,0,1,E7
E7aDIJ,0,0,0,0,0,0,1,E7
E7bAHU,12,14,23,5,13.5,65533.9805825243,1,E7
E7bAFP,28,32,20,25,26.25,209163.346613546,2,E7
E7bBKY,0,0,0,0,0,0,1,E7
E7bPQY,0,0,0,0,0,0,2,E7
E7bEIS,0,0,0,0,0,0,1,E7
E7bDKM,0,0,0,0,0,0,1,E7
E7bFGW,0,0,0,0,0,0,1,E7
E7bIMQ,0,0,0,1,0.25,1020.40816326531,1,E7
E7bGSV,2,2,3,4,2.75,20370.3703703704,1,E7
E7aJUV,0,0,0,0,0,0,1,E7
E7aGRV,0,0,0,0,0,0,1,E7
E7aDKO,0,0,0,0,0,0,1,E7
E7aFLY,0,0,0,0,0,0,1,E7
E7aIOS,0,0,0,0,0,0,1,E7
E7aFLN,0,0,0,0,0,0,1,E7
E7aCOW,0,0,0,0,0,0,1,E7
E7aDJP,0,0,0,0,0,0,1,E7
E7aJTV,0,0,0,0,0,0,1,E7
E7aCPW,0,0,0,0,0,0,1,E7
E7aKWX,0,0,0,0,0,0,1,E7
E7aDGZ,0,0,0,0,0,0,1,E7
E7aGHV,0,0,0,0,0,0,1,E7
E7aGSW,0,0,0,0,0,0,1,E7
E7aAYZ,0,0,0,0,0,0,1,E7
E7aERS,0,0,0,0,0,0,1,E7
E7aAWZ,0,0,0,0,0,0,1,E7
E7aEIU,0,0,0,0,0,0,1,E7
E7bGPR,3,5,3,8,4.75,25000,1,E7
E7bAQY,3,2,1,0,1.5,11450.3816793893,1,E7
E7bIQW,0,2,1,2,1.25,7022.47191011236,1,E7
E7bHJW,0,0,0,0,0,0,1,E7
E7bMNP,0,0,0,0,0,0,1,E7
E7bLOT,0,0,0,0,0,0,1,E7
E7bBIW,0,0,0,0,0,0,1,E7
E7bEIV,0,0,0,0,0,0,1,E7
E7bSUZ,0,0,0,0,0,0,1,E7
E7bARS,0,0,0,0,0,0,1,E7
E7bGQU,0,0,0,0,0,0,1,E7
E7bNRU,16,4,5,7,8,57971.0144927536,1,E7
E7bOSZ,0,0,0,0,0,0,1,E7
E7bAOZ,0,0,0,0,0,0,1,E7
E7bKMQ,0,0,0,0,0,0,1,E7
E7bEKV,4,4,4,1,3.25,23214.2857142857,1,E7
E7bBGV,21,20,13,18,18,86538.4615384615,1,E7
E7bBTZ,0,0,0,0,0,0,1,E7
E7aBEW,1,0,0,0,0.25,1024.59016393443,1,E7
E7aFHQ,0,0,0,0,0,0,1,E7
E7aPSU,0,0,0,0,0,0,1,E7
E7aKQW,0,0,0,0,0,0,1,E7
E7aPQZ,0,0,0,0,0,0,1,E7
E7aACO,0,0,0,0,0,0,1,E7
E7aAGI,0,0,0,0,0,0,1,E7
E7aCKO,0,0,0,0,0,0,1,E7
E7aHKT,0,0,0,0,0,0,1,E7
E7bEWX,0,0,0,0,0,0,1,E7
E7bLVZ,0,0,0,0,0,0,1,E7
E7bAYZ,0,0,0,0,0,0,1,E7
E7bJQZ,0,0,0,0,0,0,1,E7
E7bCKS,0,0,0,0,0,0,1,E7
E7bCTU,0,0,0,0,0,0,1,E7
E7bLQW,0,0,0,0,0,0,1,E7
E7bHWY,0,0,0,0,0,0,1,E7
E7bAOT,0,0,0,0,0,0,1,E7
E7bBQV,0,0,0,0,0,0,1,E7
E7bCLX,0,0,0,0,0,0,1,E7
E7bMPW,0,0,0,0,0,0,1,E7
E7bDIS,0,0,0,0,0,0,1,E7
E7bAHV,0,0,0,0,0,0,1,E7
E7bKPZ,0,0,0,0,0,0,1,E7
E7bGTV,0,0,0,0,0,0,1,E7
E7bOSX,0,0,0,0,0,0,1,E7
E7bKQW,0,0,0,0,0,0,1,E7
E7bNOU,0,0,0,0,0,0,1,E7
E7bGPT,0,0,0,0,0,0,1,E7
E7bIJP,0,0,0,0,0,0,1,E7
E7bUWZ,0,0,0,0,0,0,1,E7
E7bABL,0,0,0,0,0,0,1,E7
E7bHLP,0,0,0,0,0,0,1,E7
E7bAFK,0,0,0,0,0,0,1,E7
E7bMNW,0,0,0,0,0,0,1,E7
E7bACH,0,0,0,0,0,0,1,E7
E7bESY,0,0,0,0,0,0,1,E7
E7bPQT,0,0,0,0,0,0,1,E7
E7bBDP,0,0,0,0,0,0,1,E7
E7bBGY,0,0,0,0,0,0,1,E7
E7bDTV,0,0,0,0,0,0,1,E7
E7bABW,0,0,0,0,0,0,1,E7
E7bEHR,0,0,0,0,0,0,2,E7
E7bRXZ,0,0,0,0,0,0,2,E7
E7bPVZ,0,0,0,0,0,0,1,E7
E7bEFU,0,0,0,0,0,0,1,E7
E7bELQ,0,0,0,0,0,0,1,E7
E7bADS,0,0,0,0,0,0,1,E7
E7bABP,0,0,0,0,0,0,1,E7
E7bSWZ,0,0,0,0,0,0,2,E7
E7bCEK,0,0,0,0,0,0,1,E7
E7bBRZ,0,0,0,0,0,0,1,E7
E7bBIN,0,0,0,0,0,0,1,E7
E7bART,0,0,0,0,0,0,1,E7
E7bCIM,0,0,0,0,0,0,2,E7
E7bKMP,0,0,0,0,0,0,1,E7
E7bLMV,0,0,0,0,0,0,1,E7
E7bQVX,0,0,0,0,0,0,2,E7
E7bMQS,0,0,0,0,0,0,1,E7
E7bGVY,0,0,0,0,0,0,1,E7
E7bDTU,0,0,0,0,0,0,1,E7
E7bILR,0,0,0,0,0,0,1,E7
E7bDHY,0,0,0,0,0,0,1,E7
E7bFPV,0,2,0,0,0.5,4545.45454545455,1,E7
E7bBHX,0,0,0,0,0,0,1,E7
E7bBMS,4,9,7,1,5.25,39772.7272727273,1,E7
E7bNOY,28,22,12,20,20.5,108465.608465608,1,E7
E7bLNT,20,18,18,16,18,105882.352941176,1,E7
E7bQSV,0,0,0,0,0,0,1,E7
E7bHIY,0,0,0,0,0,0,2,E7
E7bBNQ,0,0,0,0,0,0,1,E7
E7bSTZ,0,0,0,0,0,0,2,E7
E7bFJY,0,0,0,0,0,0,1,E7
E7bDVW,0,7,1,3,2.75,23504.2735042735,1,E7
E7bOSY,0,0,0,0,0,0,1,E7
E7bAVW,30,23,20,24,24.25,89154.4117647059,1,E7
E7bNXY,0,0,0,0,0,0,1,E7
E7bIMP,0,0,0,0,0,0,1,E7
E7bMRZ,0,0,0,0,0,0,1,E7
E7bHKN,0,0,0,0,0,0,1,E7
E7bLQU,0,1,0,0,0.25,1524.39024390244,1,E7
E7bHNO,0,0,0,0,0,0,1,E7
E7bRWX,0,0,0,0,0,0,1,E7
E7bRWZ,0,0,0,0,0,0,1,E7
E7bFGZ,0,0,0,0,0,0,1,E7
E7bAUW,0,0,0,0,0,0,1,E7
E7bABC,0,0,0,0,0,0,1,E7
E7bGLS,0,0,0,0,0,0,1,E7
E7bIOZ,0,0,0,0,0,0,1,E7
E7bFRU,0,0,0,0,0,0,1,E7
E7bAWX,0,0,0,0,0,0,1,E7
E7bQRS,0,0,0,0,0,0,1,E7
E7bFJN,0,0,0,0,0,0,1,E7
E7bAJN,0,0,0,0,0,0,1,E7
E7bJMO,0,0,0,0,0,0,1,E7
E7bBMR,0,0,0,0,0,0,1,E7
E7bLYZ,0,0,0,0,0,0,1,E7
E7bCGR,0,0,0,0,0,0,1,E7
E7bKPU,0,0,0,0,0,0,1,E7
E7bFMV,0,0,0,0,0,0,1,E7
E7bLRS,0,0,1,0,0.25,1666.66666666667,1,E7
E7bLOR,0,0,0,0,0,0,1,E7
E7bFMN,0,0,0,0,0,0,1,E7
E7bLPZ,22,30,6,16,18.5,163716.814159292,1,E7
E7bKOX,22,24,28,23,24.25,122474.747474747,1,E7
E7bKLQ,1,4,6,4,3.75,29069.7674418605,1,E7
E7bKLT,0,0,0,0,0,0,1,E7
E7bCRX,0,0,0,0,0,0,1,E7
E7bBEV,13,5,11,15,11,103773.58490566,1,E7
E7bACW,0,0,0,0,0,0,1,E7
E7bCRV,0,0,0,0,0,0,1,E7
E7bCHZ,0,0,0,0,0,0,1,E7
E7bCMQ,0,0,0,0,0,0,1,E7
E7bBIT,0,0,0,0,0,0,1,E7
E7bBMX,14,13,8,13,12,85714.2857142857,1,E7
E7bCLV,30,23,28,21,25.5,255000,1,E7
E7bIKL,31,46,43,34,38.5,281021.897810219,1,E7
E7bNPX,0,0,0,0,0,0,2,E7
E7bCWZ,0,0,0,0,0,0,1,E7
E7bBNT,0,0,0,0,0,0,1,E7
E7bDUY,0,0,0,0,0,0,1,E7
E7bDFQ,0,0,0,0,0,0,1,E7
E7bDKV,0,0,0,0,0,0,1,E7
E7bGXY,0,0,0,0,0,0,1,E7
E7bDGQ,0,0,0,0,0,0,1,E7
E7bBGI,0,0,0,0,0,0,1,E7
E7bEPQ,0,0,0,0,0,0,1,E7
E7bLMS,18,17,16,29,20,140845.070422535,1,E7
E7bHKV,0,0,0,0,0,0,1,E7
E7bPRZ,0,0,0,1,0.25,1968.50393700787,1,E7
E7bFLY,0,3,3,4,2.5,19685.0393700787,1,E7
E7bDFL,0,0,0,0,0,0,1,E7
E7bELU,0,0,0,0,0,0,1,E7
E7bAST,0,0,0,0,0,0,1,E7
E7bNPY,8,13,11,23,13.75,80882.3529411765,1,E7
E7bDHV,0,0,0,0,0,0,2,E7
E7bFIJ,0,0,0,0,0,0,1,E7
E7bIKT,0,0,0,0,0,0,1,E7
E7bAEG,0,0,0,0,0,0,1,E7
E7bJOZ,0,0,0,0,0,0,1,E7
E7bCIW,0,0,0,0,0,0,1,E7
E7bBCF,0,0,0,0,0,0,1,E7
E7bCOP,0,0,0,0,0,0,1,E7
E7bLPW,0,0,0,0,0,0,1,E7
E7bCER,0,0,0,0,0,0,1,E7
E7bAGL,0,0,0,0,0,0,1,E7
E7bKQZ,0,0,0,0,0,0,1,E7
E7bNUW,0,0,0,0,0,0,1,E7
E7bPSV,0,0,0,0,0,0,1,E7
E7bDIP,0,0,0,0,0,0,1,E7
E7bIRU,0,0,0,0,0,0,1,E7
E7bAKL,0,0,0,0,0,0,1,E7
E7bFNS,0,0,0,0,0,0,1,E7
E7bPVX,53,49,78,80,65,391566.265060241,1,E7
E7bGIR,0,0,0,0,0,0,1,E7
E7bHLV,0,0,0,0,0,0,1,E7
E7bBQY,2,9,9,2,5.5,52884.6153846154,1,E7
E7bDMZ,30,42,52,42,41.5,180434.782608696,1,E7
E7bCPW,33,25,20,22,25,128205.128205128,1,E7
E7bPXY,0,0,0,0,0,0,1,E7
E7bEMP,0,0,0,0,0,0,1,E7
E7bFXZ,0,0,0,0,0,0,1,E7
E7bSXY,0,0,0,0,0,0,1,E7
E7bBLW,0,0,0,0,0,0,1,E7
E7bEGK,0,0,0,0,0,0,1,E7
E7bEJO,0,0,0,0,0,0,1,E7
E7bSYZ,0,0,0,0,0,0,1,E7
E7bMOR,0,0,0,0,0,0,1,E7
E7bGHL,0,0,0,0,0,0,1,E7
E7bBTV,0,0,0,0,0,0,1,E7
E7bEHI,0,0,0,0,0,0,1,E7
E7bAHT,0,0,0,0,0,0,1,E7
E7bILQ,0,0,0,0,0,0,1,E7
E7bBNW,0,0,0,0,0,0,1,E7
E7bAIZ,0,0,0,0,0,0,1,E7
E7bJNY,0,0,0,0,0,0,1,E7
E7bJQU,0,0,0,0,0,0,1,E7
E7bCFU,0,0,0,0,0,0,1,E7
E7bATW,0,0,0,0,0,0,1,E7
E7bHVX,0,0,0,0,0,0,1,E7
E7bPQZ,30,33,29,25,29.25,148477.157360406,1,E7
E7bLPQ,0,0,0,0,0,0,1,E7
E7bHKX,10,9,14,7,10,100000,1,E7
E7bNOQ,0,0,0,0,0,0,1,E7
E7bKTZ,31,37,27,32,31.75,334210.526315789,1,E7
E7bFLN,1,4,4,6,3.75,37500,1,E7
E7bCHL,0,0,0,0,0,0,1,E7
E7bRSW,0,0,0,0,0,0,1,E7
E7bBGP,0,0,0,0,0,0,1,E7
E7bDEK,0,0,0,0,0,0,1,E7
E7bDRT,0,0,0,0,0,0,1,E7
E7bFGH,6,3,5,3,4.25,29720.2797202797,1,E7
E7bCGI,0,0,0,0,0,0,1,E7
E7bADF,0,0,0,0,0,0,1,E7
E7bANY,47,39,42,49,44.25,148489.932885906,1,E7
E7bNUY,44,34,38,45,40.25,126175.548589342,1,E7
E7bDMR,0,0,0,0,0,0,1,E7
E7bCOW,1,1,0,0,0.5,2673.79679144385,1,E7
