labels,EH_ID,dpi,weight,weightloss,weightRelativeToInfection,fecweight,
BDJ,LM0169,11,14.2,NA,NA,0.6,
ATW,LM0170,11,21.6,NA,NA,1.5,
LPZ,LM0171,11,13.8,NA,NA,0.92,
BHL,LM0172,11,18.8,NA,NA,3.1,
BJY,LM0173,11,15.5,NA,NA,2.19,
DVX,LM0174,11,18.1,NA,NA,1.45,
GWX,LM0175,11,26.9,NA,NA,1.4,
CFJ,LM0176,11,21.4,NA,NA,1.07,
KPT,LM0177,11,15.3,NA,NA,0.66,
APX,LM0178,11,18.1,NA,NA,1.65,
