"","challenge","delta","dpi","EH_ID","Eim_MC","EXP_type","IFNy_CEWE","infHistory","label","OPG","primary","totalOocysts","weight","weight_dpi0","Wchange","Strain","Act_CD8","CD4","CD8","Div_Act_CD8","Div_Th1","Div_Th17","Div_Treg","HybridStatus","IFNy_CD4","IFNy_CD8","IL17A_CD4","Th1","Th17","Treg","Treg_prop","Treg17","Position"
"31","E64",-5.96,8,"LM_0249","pos","WDS",25.5475919853859,"E88:E64","E7aPSV",2767.52767527675,"E88",7500,24.4,26.1,93.49,"SCHUNT_STRA",4.93,47.34,19.235,44.24,54.635,35.275,16.775,"outbred hybrids",4.355,23.725,0.73,4.84,0.97,6.465,93.51,13.315,NA
"32","E88",-4.73,8,"LM_0251","pos","WDS",1.71942881541789,"E88:E88","E7aEOT",0,"E88",0,21.84,23.16,94.3,"STRA_BUSNA",4.755,61.525,17.08,15.41,29.575,21.155,12.71,"inter subsp. hybrids",1.81,11.825,0.38,1.875,0.535,5.65,94.33,9.66,NA
"33","E88",-8.48,8,"LM_0254","neg","WDS",23.1158022243411,"E88:E88","E7aBCD",0,"E88",0,21.04,22.32,94.27,"SCHUNT_PWD",5.64,51.475,28.36,6.335,21.435,22.92,12.11,"inter subsp. hybrids",1.65,16.1,0.27,1.455,0.55,6.69,93.29,7.535,NA
"34","E64",-2.73,8,"LM_0255","pos","WDS",87.5850373523195,"E88:E64","E7aMOR",65602.8368794326,"E88",92500,16.99,18.26,93.04,"BUSNA_BUSNA",20.5,36.155,24.175,29.365,90.78,67.78,24.11,"parental strains",3.24,27.11,1.075,11.54,4.05,8.875,91.015,8.97,NA
"35","E88",-8.9,8,"LM_0256","neg","WDS",14.6139889944201,"E88:E88","E7aJVZ",0,"E88",0,29.82,29.15,102.3,"STRA_STRA",4.455,54.575,11.41,12.675,22.3,30.89,13.005,"parental strains",2.58,22.56,0.48,1.835,1.075,5.11,94.87,9.13,NA
"36","E64",-6.93,8,"LM_0257","pos","WDS",21.2530814946465,"E88:E64","E7aJQU",11986.301369863,"E88",17500,20.44,22.75,89.85,"SCHUNT_SCHUNT",7.63,58.92,17.805,39.93,48.205,28.355,16.575,"parental strains",4.845,26.83,0.42,4.445,0.795,5.075,94.905,15.28,NA
"37","E64",-5.75,8,"LM_0258","pos","WDS",22.5199587596992,"E64:E64","E7aHVW",34836.0655737705,"E64",42500,18.28,19.74,92.6,"BUSNA_PWD",13.385,49.925,33.62,33.365,75.72,46.72,15.795,"outbred hybrids",1.74,16.375,0.515,3.71,0.765,7.915,92.06,4.28,NA
"38","E64",-8,8,"LM_0259","neg","WDS",41.1760044409716,"E64:E64","E7aGHI",2906.97674418605,"E64",7500,28.32,28.89,98.03,"STRA_BUSNA",11.43,43.27,10.565,47.355,65.425,29.27,16.365,"inter subsp. hybrids",3.415,26.765,0.5,5.485,1.17,7.155,92.795,10.45,NA
"39","E64",-11.9,8,"LM_0260","neg","WDS",11.2982790313474,"E64:E64","E7bGHV",0,"E64",0,27.06,29.02,93.24603722,"SCHUNT_SCHUNT",10.91,53.24,12.14,47.475,59.59,36.96,41.605,"parental strains",2.62,16.955,0.6,6.795,1.225,5.215,94.73,11.28,NA
"40","E88",-5.9,8,"LM_0261","neg","WDS",22.7925981911959,"E64:E88","E7aKOP",0,"E64",0,18.69,20.09,93.03,"PWD_SCHUNT",4.74,49.35,26.665,7.56,22.665,19.23,8.26,"inter subsp. hybrids",1.76,14.625,0.25,1.535,0.58,9.015,90.95,4.37,NA
"41","E64",-10.06,8,"LM_0262","neg","WDS",0.225145312864292,"E64:E64","E7bABO",1760.56338028169,"E64",2500,22.95,21.13,108.613346,"BUSNA_BUSNA",19.175,28.295,35.575,31.745,65.7,41.455,38.21,"parental strains",3.055,19.105,0.46,5.925,1.935,27.23,72.66,8.875,NA
"42","E64",-8.38,8,"LM_0263","pos","WDS",15.5470128102051,"E64:E64","E7bLMZ",32051.2820512821,"E64",50000,21.26,21.25,100.0470588,"PWD_SCHUNT",11.125,53.27,17.865,29.02,53.2,24.045,23.525,"inter subsp. hybrids",2.9,23.535,0.76,3.54,1.36,6.67,93.26,7.885,NA
"43","E88",-10.02,8,"LM_0264","neg","WDS",12.6543617317481,"E64:E88","E7aADL",0,"E64",0,17.81,17.88,99.61,"PWD_PWD",6.615,54.265,27.88,10.91,22.075,31.665,10.55,"parental strains",1.11,20.565,0.395,1.425,1.07,9.475,90.525,4.22,NA
"44","E64",-11.42,8,"LM_0265","neg","WDS",24.5913139705393,"E64:E64","E7bIMQ",1020.40816326531,"E64",2500,26.37,26.43,99.77298524,"BUSNA_STRA",6.945,48.49,27.135,43.535,72.075,38.04,36.585,"inter subsp. hybrids",2.015,11.53,1.225,3.37,0.62,5.22,94.7,17.105,NA
"45","E64",-11.42,8,"LM_0265","neg","WDS",24.5913139705393,"E64:E64","E7bIMQ",1020.40816326531,"E64",2500,26.37,26.43,99.77298524,"BUSNA_STRA",6.945,48.49,27.135,43.535,72.075,38.04,36.585,"inter subsp. hybrids",2.015,11.53,1.225,3.37,0.62,5.22,94.7,17.105,NA
"46","E88",-8.25,8,"LM_0266","neg","WDS",1.04028249056332,"E64:E88","E7aIOS",0,"E64",0,19.59,23.94,81.83,"SCHUNT_STRA",2.365,56.78,18.02,6.815,11.91,50.07,16.835,"outbred hybrids",1.13,8.335,0.385,1.735,1.12,4.835,95.165,13.005,NA
"47","E88",-8.15,8,"LM_0268","neg","WDS",22.2297969084074,"E64:E88","E7aGSW",0,"E64",0,19.11,20.84,91.7,"SCHUNT_SCHUNT",4.765,67.43,14.64,7.74,13.035,19.12,13,"parental strains",1.825,15.605,0.525,1.855,1.44,3.9,96.08,12.72,NA
"48","E64",-7.91,8,"LM_0269","pos","WDS",28.0476364972057,"E64:E64","E7bLOT",0,"E64",0,21.19,21.6,98.10185185,"STRA_SCHUNT",16.415,53.51,7.365,45.83,41.68,22.355,30.58,"outbred hybrids",5.475,31.365,0.465,5.615,0.975,4.525,95.405,17.135,NA
"49","E64",-9.75,8,"LM_0270","neg","WDS",19.7264528663963,"E64:E64","E7bKMQ",0,"E64",0,23.01,23.89,96.3164504,"SCHUNT_STRA",7.845,49.935,13.72,51.61,56.13,30.46,43.855,"outbred hybrids",5.17,21.41,1.41,5.395,0.875,6.265,93.705,12.8,NA
"50","E88",-9.2,8,"LM_0271","neg","WDS",11.5962495992721,"E64:E88","E7aPSU",0,"E64",0,23.34,24.25,96.25,"STRA_BUSNA",3.855,42.86,20.855,10.13,31.145,63.235,8.225,"inter subsp. hybrids",1.36,8.335,0.35,1.78,1.11,8.465,91.535,10.045,NA
"51","E88",-10.55,8,"LM_0272","neg","WDS",NA,"E64:E88","E7bAYZ",0,"E64",0,22.78,22.77,100.0439174,"BUSNA_STRA",3.985,55.305,12.335,23.61,34.18,12.905,22.15,"inter subsp. hybrids",1.225,10.585,0.62,1.835,1.01,7.315,92.525,12.34,NA
"52","E88",-10.42,8,"LM_0273","neg","WDS",16.5237749733482,"E64:E88","E7bKQW",0,"E64",0,21.81,21.7,100.5069124,"STRA_SCHUNT",2.81,52.1,18.26,15.015,21.99,27.275,31.795,"outbred hybrids",2.01,8.88,0.46,2.74,0.73,5.205,94.675,18.21,NA
"53","E88",4.14,8,"LM_0275","neg","WDS",6.05707055172943,"E64:E88","E7bMNW",0,"E64",0,22.47,20.83,107.8732597,"SCHUNT_PWD",17.735,48.705,26.645,27.745,35.555,39.995,19.245,"inter subsp. hybrids",3.215,34.27,0.86,3.11,1.435,11.315,88.4,7.59,NA
"54","E88",-10.61,8,"LM_0276","neg","WDS",37.2475522517456,"E64:E88","E7bBGY",0,"E64",0,31.04,29.59,104.9003042,"STRA_STRA",6.5,42.07,7.725,18.93,29.22,30.17,31.595,"parental strains",3.605,22.265,1.315,3.055,0.84,5.53,94.4,9.75,NA
"55","E88",-10.39,8,"LM_0277","neg","WDS",14.6670411958386,"E64:E88","E7bCEK",0,"E64",0,23.62,23.88,98.91122278,"BUSNA_STRA",3.325,55.005,21.5,12.075,28.17,9.7,17.73,"inter subsp. hybrids",0.41,3.605,0.385,1.51,0.66,4.635,95.245,12.165,NA
"56","E88",-10.99,8,"LM_0278","neg","WDS",27.8926078147264,"E64:E88","E7bDTU",0,"E64",0,22.24,20.88,106.51341,"SCHUNT_PWD",3.9,55.135,27.155,6.5,27.14,19.2,19.55,"inter subsp. hybrids",1.02,7.42,0.475,1.305,0.485,4.955,94.96,6.445,NA
"57","E64",-9.18,8,"LM_0279","neg","WDS",8.41303699477307,"E64:E64","E7bFPV",4545.45454545455,"E64",5000,21.27,21.35,99.62529274,"BUSNA_BUSNA",21.605,48.92,21.09,36.21,79.505,69.7,52.62,"parental strains",2.315,14.775,2.34,7.425,1.73,14.3,85.59,14.605,NA
"58","E64",-7.12,8,"LM_0280","pos","WDS",54.1465789028593,"E64:E64","E7bMRZ",0,"E64",0,18.5,17.57,105.2931133,"SCHUNT_SCHUNT",8.135,60.705,18.575,46.22,48.67,24.22,36.475,"parental strains",2.31,17.46,0.6,5.28,1.94,3.74,96.2,18.505,NA
"59","E88",-12.69,8,"LM_0282","neg","WDS",23.307649530542,"E64:E88","E7bFRU",0,"E64",0,35.04,30.09,116.4506481,"STRA_STRA",6.72,49.85,10.375,17.135,22.305,21.805,26.94,"parental strains",2.78,18.35,0.71,3.02,1.4,4.7,95.235,8.94,NA
"60","E88",-10.57,8,"LM_0283","neg","WDS",33.822275433801,"E64:E88","E7bLYZ",0,"E64",0,19.35,19.1,101.3089005,"PWD_PWD",4.22,53.755,29.465,16.695,27.52,28.285,19.495,"parental strains",0.83,9.825,0.745,1.375,0.83,9.235,90.6,6.415,NA
"61","E64",-6.19,8,"LM_0284","pos","WDS",48.3675947493746,"E64:E64","E7bLRS",1666.66666666667,"E64",2500,23.55,22.39,105.1808843,"STRA_BUSNA",7.41,48.38,24.34,46.67,60.855,27.71,36.775,"inter subsp. hybrids",1.325,4.5,0.85,4.13,0.68,6.965,92.955,9.39,NA
"62","E64",-3.11,8,"LM_0285","pos","WDS",52.2081651889237,"E64:E64","E7bBMX",85714.2857142857,"E64",120000,19.66,19.43,101.1837365,"PWD_PWD",7.46,46.695,28.86,43.7,76.265,46.69,34.995,"parental strains",1.455,7.31,1.605,2.81,0.635,9.31,90.59,6.33,NA
"63","E88",-9.21,8,"LM_0286","neg","WDS",19.5159265822312,"E64:E88","E7bCWZ",0,"E64",0,20.41,19.07,107.0267436,"PWD_BUSNA",8.91,58.17,33.33,6.915,22.6,23.055,12.905,"outbred hybrids",0.4,5.01,0.43,1.33,0.63,7.095,92.62,5.325,NA
"64","E64",-6.34,8,"LM_0287","pos","WDS",52.366947921615,"E64:E64","E7bPRZ",1968.50393700787,"E64",2500,20.85,18.83,110.7275624,"BUSNA_PWD",15.035,50.8,34.585,35.205,76.185,59.04,35.235,"outbred hybrids",1.54,9.265,1.405,5.48,1.43,9.805,90.045,8.23,NA
"65","E88",-8.79,8,"LM_0288","neg","WDS",32.5857551761345,"E64:E88","E7bCIW",0,"E64",0,19.97,19.74,101.1651469,"PWD_BUSNA",7.58,57.615,32.53,9.96,29.35,20.91,13.72,"outbred hybrids",0.43,4.315,0.335,1.235,0.59,5.52,94.32,5.7,NA
"66","E88",-9.18,8,"LM_0289","neg","WDS",11.1755693464102,"E64:E88","E7bPSV",0,"E64",0,21.93,23.93,91.64229001,"SCHUNT_SCHUNT",5.16,67.755,14.995,6.565,15.255,12.22,22.775,"parental strains",1.07,9.73,0.18,1.835,1.08,3.245,96.645,17.04,NA
"67","E64",1.21,8,"LM_0291","pos","WDS",110.035712563026,"E64:E64","E7bBQY",52884.6153846154,"E64",55000,NA,24.85,NA,"PWD_BUSNA",27.805,42.085,30.975,38.4,71.14,41.105,37.85,"outbred hybrids",3.785,12.825,1.43,7.57,1.005,9.84,89.995,8.35,NA
"68","E88",-7.97,8,"LM_0292","neg","WDS",22.3339434737452,"E64:E88","E7bMOR",0,"E64",0,22.46,22.15,101.3995485,"BUSNA_PWD",9.665,54.71,26.945,10.63,26.475,25.815,17.57,"outbred hybrids",0.665,7.805,0.545,1.315,0.925,7,92.895,9.18,NA
"69","E64",11.61,8,"LM_0294","pos","WDS",177.312730924564,"E64:E64","E7bFLN",37500,"E64",37500,16.67,17.02,97.94359577,"PWD_PWD",12.985,48.125,28.025,49.65,58.705,39.065,33.98,"parental strains",2.52,14.905,2.04,4.17,0.52,10.595,89.265,5.645,NA
"70","E64",-5.42953333333333,8,"LM_0358","pos","CLS",NA,"E88:E64","P4bGAB",6507.59219088937,NA,30000,43.53,46.92,92.7749360613811,"SWISS",20.5,25.4,6.14,22.5,49.7,52.4,23.2,NA,9.13,50.1,NA,9.08,2.06,12,NA,9.41,"mLN"
"71","E64",-5.42953333333333,8,"LM_0358","pos","CLS",NA,"E88:E64","P4bGAB",6507.59219088937,NA,30000,43.53,46.92,92.7749360613811,"SWISS",54.1,18.3,4.4,21.4,48.4,59.4,23.1,NA,28.2,67.1,NA,28.1,3.62,20.2,NA,3.91,"Spleen"
"72","E88",1.439,8,"LM_0365","pos","CLS",NA,"UNI:E88","P4bGXY",0,NA,0,52.38,67.21,77.9348311263205,"SWISS",25.9,28.3,5.79,62.7,70.2,47.7,45.1,NA,2.7,14.5,NA,7.26,1.45,16.7,NA,5.68,"mLN"
"73","E88",1.439,8,"LM_0365","pos","CLS",NA,"UNI:E88","P4bGXY",0,NA,0,52.38,67.21,77.9348311263205,"SWISS",22.2,29.3,2.45,26.4,55,2.31,19.5,NA,10.3,22,NA,16.9,2.35,28.7,NA,1.25,"Spleen"
"74","E88",3.20803333333334,8,"LM_0353","pos","CLS",NA,"E64:E88","P4bIFU",717616.580310881,NA,1385000,40.5,43.86,92.3392612859097,"SWISS",16.2,17.9,9.98,22.8,63.5,64.2,34.5,NA,8.4,37.7,NA,13.1,3.16,11.8,NA,11.5,"mLN"
"75","E88",3.20803333333334,8,"LM_0353","pos","CLS",NA,"E64:E88","P4bIFU",717616.580310881,NA,1385000,40.5,43.86,92.3392612859097,"SWISS",27,12.3,5.02,17.3,47.5,33,31,NA,15.6,34.9,NA,17.5,1.79,15.9,NA,2.47,"Spleen"
"76","UNI",-5.20748333333334,8,"LM_0355","neg","CLS",NA,"E64:UNI","P4bKJY",0,NA,0,48.37,45.85,105.496183206107,"SWISS",13.7,52.6,15.4,6.07,15.8,13.3,8.07,NA,3.05,21.5,NA,4.83,1.53,14.4,NA,3.23,"mLN"
"77","UNI",-5.20748333333334,8,"LM_0355","neg","CLS",NA,"E64:UNI","P4bKJY",0,NA,0,48.37,45.85,105.496183206107,"SWISS",25.2,13.7,4.29,4.35,14.7,12.4,20.2,NA,12.9,31,NA,15.1,1.38,15.6,NA,2.13,"Spleen"
"78","E64",-7.57086666666667,8,"LM_0354","neg","CLS",NA,"E64:E64","P4bMOP",0,NA,0,40.49,41.65,97.2148859543818,"SWISS",12.4,27.2,8.93,30.6,54.9,42.7,25.6,NA,2.85,23.7,NA,4.78,2.17,11.5,NA,9.05,"mLN"
"79","E64",-7.57086666666667,8,"LM_0354","neg","CLS",NA,"E64:E64","P4bMOP",0,NA,0,40.49,41.65,97.2148859543818,"SWISS",27.3,14,5.89,23.7,43.9,42,27.9,NA,13.5,41.6,NA,20.8,1.93,16.1,NA,3.36,"Spleen"
"80","UNI",-8.59073333333333,8,"LM_0363","neg","CLS",NA,"Eflab:UNI","P4bPQS",0,NA,0,41.55,43.11,96.3813500347947,"SWISS",7.52,37.7,10.5,7.41,27.5,54.3,21.6,NA,2.72,20.3,NA,2.7,1.51,7.47,NA,10.5,"mLN"
"81","UNI",-8.59073333333333,8,"LM_0363","neg","CLS",NA,"Eflab:UNI","P4bPQS",0,NA,0,41.55,43.11,96.3813500347947,"SWISS",15.7,22.9,5.26,10.2,16.2,33.6,26.1,NA,10.2,28.5,NA,10.6,1.52,9.73,NA,4.33,"Spleen"
"82","E88",-7.3878,8,"LM_0356","pos","CLS",NA,"E88:E88","P4bQSH",0,NA,0,38.55,39.94,96.5197796695043,"SWISS",43,16.3,4.88,25.1,47.7,48.8,21.4,NA,13.5,54.9,NA,18,2.44,20.5,NA,2.74,"Spleen"
"83","E88",-7.3878,8,"LM_0356","pos","CLS",NA,"E88:E88","P4bQSH",0,NA,0,38.55,39.94,96.5197796695043,"SWISS",19.5,28.4,7.77,26.5,54.6,43.8,24.9,NA,9.34,36.9,NA,11.6,3.03,15.2,NA,8.36,"mLN"
"84","E88",-4.80946666666667,8,"LM_0361","pos","CLS",NA,"Eflab:E88","P4bRLM",5769.23076923077,NA,15000,37.51,43.11,87.0099744838785,"SWISS",21,15.8,7.31,22.1,46.4,53.6,21.9,NA,17.3,31.3,NA,19.5,1.9,21.5,NA,3.68,"Spleen"
"85","E88",-4.80946666666667,8,"LM_0361","pos","CLS",NA,"Eflab:E88","P4bRLM",5769.23076923077,NA,15000,37.51,43.11,87.0099744838785,"SWISS",10.2,14.7,7.3,23.5,58.7,58,30,NA,9.7,21.5,NA,12.4,3.03,18.9,NA,20,"mLN"
"86","E88",3.95306666666666,8,"LM_0352","pos","CLS",NA,"E64:E88","P4bRXD",357707.509881423,NA,905000,38.93,42.12,92.4264007597341,"SWISS",29.5,13.2,6.11,17,37.2,37,22.5,NA,8.74,51,NA,10.6,1.35,19.1,NA,1.81,"Spleen"
"87","E88",3.95306666666666,8,"LM_0352","pos","CLS",NA,"E64:E88","P4bRXD",357707.509881423,NA,905000,38.93,42.12,92.4264007597341,"SWISS",11.4,14.6,6.58,24.4,60.6,62.1,26.7,NA,5.82,38.3,NA,8.13,3.7,14,NA,7.63,"mLN"
"88","E88",4.01653333333333,8,"LM_0364","pos","CLS",NA,"UNI:E88","P4bSMQ",532467.532467532,NA,410000,38.35,46.82,81.9094404100812,"SWISS",26.5,25.3,7.56,42.5,83.7,73.9,41.2,NA,3.11,22,NA,6.85,1.19,7.83,NA,8.04,"mLN"
"89","E88",4.01653333333333,8,"LM_0364","pos","CLS",NA,"UNI:E88","P4bSMQ",532467.532467532,NA,410000,38.35,46.82,81.9094404100812,"SWISS",15.4,15.3,4.06,37.6,50.6,39.2,28.1,NA,9.08,20.2,NA,13.6,1.01,14.7,NA,1.92,"Spleen"
"90","UNI",-7.04906666666666,8,"LM_0367","neg","CLS",NA,"UNI:UNI","P4bXOQ",0,NA,0,45.6,48.55,93.9237899073121,"SWISS",22.9,21.2,5.17,7.81,12.2,12.1,14.9,NA,5.55,34.2,NA,7.11,0.79,18.2,NA,2.22,"Spleen"
"91","UNI",-7.04906666666666,8,"LM_0367","neg","CLS",NA,"UNI:UNI","P4bXOQ",0,NA,0,45.6,48.55,93.9237899073121,"SWISS",7.37,45.4,11.5,8.52,12.6,9.2,6.48,NA,1.11,20.1,NA,3.26,1,16.1,NA,3.43,"mLN"
