labels,EH_ID,weight,weight_dpi0,relative_weight,feces_weight,experiment,dpi
QU,LM0297,,48.2,0,,E8,8
DL,LM0298,46.54,46,101.173913043478,4.59,E8,8
FW,LM0299,48.71,52.8,92.2537878787879,4.09,E8,8
RY,LM0300,42.4,46.6,90.9871244635193,3.06,E8,8
GQ,LM0301,55.15,60.6,91.006600660066,2.38,E8,8
BH,LM0302,,51.4,0,,E8,8
LS,LM0303,,47.7,0,,E8,8
OR,LM0296,,48.2,0,,E8,9
JS,LM0297,,48.2,0,,E8,9
AX,LM0298,46.25,46,100.54347826087,3.05,E8,9
FU,LM0299,48.02,52.8,90.9469696969697,5.84,E8,9
EG,LM0300,42.25,46.6,90.6652360515021,2.31,E8,9
AS,LM0301,54.16,60.6,89.3729372937294,2.5,E8,9
NZ,LM0302,,51.4,0,,E8,9
HS,LM0303,,47.7,0,,E8,9
NU,LM0296,,48.2,0,,E8,10
FG,LM0297,,48.2,0,,E8,10
BL,LM0298,,46,0,,E8,10
NY,LM0299,,52.8,0,,E8,10
BY,LM0300,,46.6,0,,E8,10
KV,LM0301,,60.6,0,,E8,10
DZ,LM0302,,51.4,0,,E8,10
VY,LM0303,,47.7,0,,E8,10
BO,LM0296,,48.2,0,,E8,11
PV,LM0297,,48.2,0,,E8,11
BQ,LM0298,,46,0,,E8,11
KQ,LM0299,,52.8,0,,E8,11
BI,LM0300,,46.6,0,,E8,11
NV,LM0301,,60.6,0,,E8,11
AZ,LM0302,,51.4,0,,E8,11
FI,LM0303,,47.7,0,,E8,11
