"","EH_ID","dpi","labels","weight","weight_dpi0","relative_weight","feces_weight","mouse_strain","infection_history","primary","challenge","strain","sex","experiment"
"112","LM_0377",3,"E10aQPC",17.28,18.02,95.8934517203108,0.91,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"113","LM_0377",4,"E10aVMF",16.83,18.02,93.3962264150943,0.86,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"114","LM_0377",5,"E10aVVZ",16.19,18.02,89.8446170921199,1.19,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"115","LM_0377",6,"E10aUZY",16.48,18.02,91.4539400665927,0.64,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"116","LM_0377",7,"E10aJLF",17.09,18.02,94.8390677025527,1.14,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"117","LM_0377",8,"E10aLQS",17.1,18.02,94.8945615982242,1.21,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"118","LM_0377",9,"E10aSTP.1",17.25,18.02,95.7269700332963,1.26,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"119","LM_0377",10,"E10aCYL",17.22,18.02,95.5604883462819,1.37,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"120","LM_0377",11,"E10aFIA",16.78,18.02,93.118756936737,1.68,"SCHUNT","E64:UNI","E64",NA,"SCHUNT",NA,"E10"
"121","LM_0378",0,"E10aRJW",15.36,15.36,100,NA,"PWD",NA,NA,NA,NA,NA,"E10"
"122","LM_0378",1,"E10aOIK",14.62,15.36,95.1822916666667,0.77,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"123","LM_0378",2,"E10aHLL",15.65,15.36,101.888020833333,0.61,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"124","LM_0378",3,"E10aOAS",15.06,15.36,98.046875,1.25,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"125","LM_0378",4,"E10aZKY",13.56,15.36,88.28125,1.44,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"126","LM_0378",5,"E10aLNM",12.27,15.36,79.8828125,0.44,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"127","LM_0378",6,"E10aSAO",NA,15.36,NA,NA,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"128","LM_0378",7,"E10aWDM",NA,15.36,NA,NA,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"129","LM_0378",8,"E10aGNE",NA,15.36,NA,NA,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"130","LM_0378",9,"E10aHEX",NA,15.36,NA,NA,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"131","LM_0378",10,"E10aIKD",NA,15.36,NA,NA,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"132","LM_0378",11,"E10aPSI",NA,15.36,NA,NA,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"133","LM_0379",0,"E10aDIL",14.8,14.8,100,NA,"PWD",NA,NA,NA,NA,NA,"E10"
"134","LM_0379",1,"E10aDWZ",14.32,14.8,96.7567567567568,0.63,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"135","LM_0379",2,"E10aKBF",13.7,14.8,92.5675675675675,0.98,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"136","LM_0379",3,"E10aJNY",14.23,14.8,96.1486486486487,1.35,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"137","LM_0379",4,"E10aQYU",13.41,14.8,90.6081081081081,1.14,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"138","LM_0379",5,"E10aBRI",12.51,14.8,84.527027027027,0.72,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"139","LM_0379",6,"E10aCYC",13.73,14.8,92.7702702702703,0.78,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"140","LM_0379",7,"E10aDEM",15.14,14.8,102.297297297297,0.87,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"141","LM_0379",8,"E10aTSD",15.12,14.8,102.162162162162,1.33,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"142","LM_0379",9,"E10aHRS",15.64,14.8,105.675675675676,1.22,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"143","LM_0379",10,"E10aTCS",15.81,14.8,106.824324324324,1.22,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"144","LM_0379",11,"E10aVBF",15.77,14.8,106.554054054054,1.45,"PWD","E64:UNI","E64",NA,"PWD",NA,"E10"
"145","LM_0380",0,"E10aVDW",19.82,19.82,100,NA,"SCHUNT",NA,NA,NA,NA,NA,"E10"
"146","LM_0380",1,"E10aFPM",19.95,19.82,100.655903128153,0.69,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"147","LM_0380",2,"E10aWPM",20.88,19.82,105.348133198789,1.82,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"148","LM_0380",3,"E10aKGF",20.81,19.82,104.994954591322,1.3,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"149","LM_0380",4,"E10aWFI",20.86,19.82,105.247225025227,1.54,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"150","LM_0380",5,"E10aAOU",20.08,19.82,101.311806256307,0.98,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"151","LM_0380",6,"E10aSDV",20.05,19.82,101.160443995964,1.23,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"152","LM_0380",7,"E10aJVK",19.18,19.82,96.7709384460141,1.4,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"153","LM_0380",8,"E10aVKF",17.02,19.82,85.8728557013118,0.3,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"154","LM_0380",9,"E10aNIC",16.42,19.82,82.8456104944501,0.34,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"155","LM_0380",10,"E10aVIS",16.31,19.82,82.2906155398587,0.48,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"156","LM_0380",11,"E10aPVS",16.64,19.82,83.9556004036327,1.03,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"157","LM_0381",0,"E10aVKD",14.8,14.8,100,NA,"SCHUNT",NA,NA,NA,NA,NA,"E10"
"158","LM_0381",1,"E10aTJL",14.7,14.8,99.3243243243243,1.04,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"159","LM_0381",2,"E10aVYG",14.79,14.8,99.9324324324324,1.19,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"160","LM_0381",3,"E10aOXT",15.07,14.8,101.824324324324,1.31,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"161","LM_0381",4,"E10aIKU",14.81,14.8,100.067567567568,0.97,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"162","LM_0381",5,"E10aBAA",14.54,14.8,98.2432432432432,0.87,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"163","LM_0381",6,"E10aKXV",14.33,14.8,96.8243243243243,0.93,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"164","LM_0381",7,"E10aJTY",14.16,14.8,95.6756756756757,0.74,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"165","LM_0381",8,"E10aADZ",11.74,14.8,79.3243243243243,0.34,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"166","LM_0381",9,"E10aFIJ",NA,14.8,NA,NA,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"167","LM_0381",10,"E10aZWW",NA,14.8,NA,NA,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"168","LM_0381",11,"E10aZLC",NA,14.8,NA,NA,"SCHUNT","E88:E88","E88",NA,"SCHUNT",NA,"E10"
"169","LM_0382",0,"E10aYWJ",17.96,17.96,100,NA,"PWD",NA,NA,NA,NA,NA,"E10"
"170","LM_0382",1,"E10aNLL",16.97,17.96,94.4877505567929,0.88,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"171","LM_0382",2,"E10aKAJ",16,17.96,89.086859688196,1.49,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"172","LM_0382",3,"E10aIFB",17.58,17.96,97.8841870824053,0.7,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"173","LM_0382",4,"E10aYYC",17.19,17.96,95.7126948775056,0.84,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"174","LM_0382",5,"E10aHVE",15.81,17.96,88.0289532293987,0.66,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"175","LM_0382",6,"E10aCDH",15.19,17.96,84.5768374164811,0.44,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"176","LM_0382",7,"E10aSDI",14.73,17.96,82.0155902004454,0.64,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"177","LM_0382",8,"E10aXZQ",14.97,17.96,83.3518930957684,0.27,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"178","LM_0382",9,"E10aWOX",14.85,17.96,82.6837416481069,0.14,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"179","LM_0382",10,"E10aBQF",14.03,17.96,78.1180400890869,NA,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"180","LM_0382",11,"E10aLZC",NA,17.96,NA,NA,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"181","LM_0383",0,"E10aGAX",14.04,14.04,100,NA,"PWD",NA,NA,NA,NA,NA,"E10"
"182","LM_0383",1,"E10aRRD",13.59,14.04,96.7948717948718,0.68,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"183","LM_0383",2,"E10aURA",13.28,14.04,94.5868945868946,0.97,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"184","LM_0383",3,"E10aHGR",13.84,14.04,98.5754985754986,1.06,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"185","LM_0383",4,"E10aAWA",13.27,14.04,94.5156695156695,0.81,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"186","LM_0383",5,"E10aYQU",13.36,14.04,95.1566951566952,0.86,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"187","LM_0383",6,"E10aYFE",14.05,14.04,100.071225071225,1,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"188","LM_0383",7,"E10aPIY",12.74,14.04,90.7407407407407,0.49,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"189","LM_0383",8,"E10aKAT",11.89,14.04,84.6866096866097,0.04,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"190","LM_0383",9,"E10aAEX",11.17,14.04,79.5584045584046,NA,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"191","LM_0383",10,"E10aZQR",NA,14.04,NA,NA,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"192","LM_0383",11,"E10aEFY",NA,14.04,NA,NA,"PWD","E88:E88","E88",NA,"PWD",NA,"E10"
"193","LM_0384",0,"E10aQIP",19.28,19.28,100,NA,"SCHUNT",NA,NA,NA,NA,NA,"E10"
"194","LM_0384",1,"E10aAFG",19.29,19.28,100.051867219917,1.01,"SCHUNT","E88:E64","E88",NA,"SCHUNT",NA,"E10"
"195","LM_0384",2,"E10aCIJ",19.29,19.28,100.051867219917,1.26,"SCHUNT","E88:E64","E88",NA,"SCHUNT",NA,"E10"
"196","LM_0384",3,"E10aUOP",18.79,19.28,97.4585062240664,0.97,"SCHUNT","E88:E64","E88",NA,"SCHUNT",NA,"E10"
"197","LM_0384",4,"E10aRPZ",17.94,19.28,93.0497925311203,1.42,"SCHUNT","E88:E64","E88",NA,"SCHUNT",NA,"E10"
