"","EH_ID","dpi","label","delta","IFNy_CEWE","Eim_MC","total_oocysts","infection_history","weight_change","primary","challenge","OPG","Strain","EXP_type","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","weight","weight_dpi0","faeces_weight","batch","label.1","totalOocysts"
"26","LM_0354",8,"P4bMOP",-7.57086666666667,256.089697167021,"neg",0,"E64:E64",97.2148859543818,NA,"E64",NA,"SWISS","CLS","Spleen",14,16.1,27.9,3.36,20.8,43.9,1.93,42,5.89,27.3,23.7,13.5,41.6,40.49,41.65,3.03,"b","P4bMOP",0
"27","LM_0363",8,"P4bPQS",-8.59073333333333,189.494373803639,"neg",0,"Eflab:UNI",96.3813500347947,NA,"UNI",NA,"SWISS","CLS","mLN",37.7,7.47,21.6,10.5,2.7,27.5,1.51,54.3,10.5,7.52,7.41,2.72,20.3,41.55,43.11,2.05,"b","P4bPQS",0
"28","LM_0363",8,"P4bPQS",-8.59073333333333,189.494373803639,"neg",0,"Eflab:UNI",96.3813500347947,NA,"UNI",NA,"SWISS","CLS","Spleen",22.9,9.73,26.1,4.33,10.6,16.2,1.52,33.6,5.26,15.7,10.2,10.2,28.5,41.55,43.11,2.05,"b","P4bPQS",0
"29","LM_0356",8,"P4bQSH",-7.3878,238.721489574293,"pos",0,"E88:E88",96.5197796695043,NA,"E88",NA,"SWISS","CLS","mLN",28.4,15.2,24.9,8.36,11.6,54.6,3.03,43.8,7.77,19.5,26.5,9.34,36.9,38.55,39.94,3.24,"b","P4bQSH",0
"30","LM_0356",8,"P4bQSH",-7.3878,238.721489574293,"pos",0,"E88:E88",96.5197796695043,NA,"E88",NA,"SWISS","CLS","Spleen",16.3,20.5,21.4,2.74,18,47.7,2.44,48.8,4.88,43,25.1,13.5,54.9,38.55,39.94,3.24,"b","P4bQSH",0
"31","LM_0361",8,"P4bRLM",-4.80946666666667,243.699389206344,"pos",5769.23076923077,"Eflab:E88",87.0099744838785,NA,"E88",NA,"SWISS","CLS","mLN",14.7,18.9,30,20,12.4,58.7,3.03,58,7.3,10.2,23.5,9.7,21.5,37.51,43.11,2.6,"b","P4bRLM",15000
"32","LM_0361",8,"P4bRLM",-4.80946666666667,243.699389206344,"pos",5769.23076923077,"Eflab:E88",87.0099744838785,NA,"E88",NA,"SWISS","CLS","Spleen",15.8,21.5,21.9,3.68,19.5,46.4,1.9,53.6,7.31,21,22.1,17.3,31.3,37.51,43.11,2.6,"b","P4bRLM",15000
"33","LM_0352",8,"P4bRXD",3.95306666666666,566.870157402793,"pos",357707.509881423,"E64:E88",92.4264007597341,NA,"E88",NA,"SWISS","CLS","mLN",14.6,14,26.7,7.63,8.13,60.6,3.7,62.1,6.58,11.4,24.4,5.82,38.3,38.93,42.12,2.53,"b","P4bRXD",905000
"34","LM_0352",8,"P4bRXD",3.95306666666666,566.870157402793,"pos",357707.509881423,"E64:E88",92.4264007597341,NA,"E88",NA,"SWISS","CLS","Spleen",13.2,19.1,22.5,1.81,10.6,37.2,1.35,37,6.11,29.5,17,8.74,51,38.93,42.12,2.53,"b","P4bRXD",905000
"35","LM_0364",8,"P4bSMQ",4.01653333333333,493.723185018014,"pos",532467.532467532,"UNI:E88",81.9094404100812,NA,"E88",NA,"SWISS","CLS","mLN",25.3,7.83,41.2,8.04,6.85,83.7,1.19,73.9,7.56,26.5,42.5,3.11,22,38.35,46.82,0.77,"b","P4bSMQ",410000
"36","LM_0364",8,"P4bSMQ",4.01653333333333,493.723185018014,"pos",532467.532467532,"UNI:E88",81.9094404100812,NA,"E88",NA,"SWISS","CLS","Spleen",15.3,14.7,28.1,1.92,13.6,50.6,1.01,39.2,4.06,15.4,37.6,9.08,20.2,38.35,46.82,0.77,"b","P4bSMQ",410000
"37","LM_0367",8,"P4bXOQ",-7.04906666666666,651.114694297031,"neg",0,"UNI:UNI",93.9237899073121,NA,"UNI",NA,"SWISS","CLS","mLN",45.4,16.1,6.48,3.43,3.26,12.6,1,9.2,11.5,7.37,8.52,1.11,20.1,45.6,48.55,2.31,"b","P4bXOQ",0
"38","LM_0367",8,"P4bXOQ",-7.04906666666666,651.114694297031,"neg",0,"UNI:UNI",93.9237899073121,NA,"UNI",NA,"SWISS","CLS","Spleen",21.2,18.2,14.9,2.22,7.11,12.2,0.79,12.1,5.17,22.9,7.81,5.55,34.2,45.6,48.55,2.31,"b","P4bXOQ",0
"39","LM_0357",8,"P4bXUM",-4.1202,179.401561539756,"pos",0,"E88:E88",89.0318054256314,NA,"E88",NA,"SWISS","CLS","mLN",20.3,11.1,30.6,12.1,6.87,63.1,3.79,65.8,5.87,12.8,16.6,3.91,28.9,38.07,42.76,1.46,"b","P4bXUM",0
