"dpi_max.OPG,EH_ID,infection_isolate,labels"
"6,LM0274,Brandenburg64 (E. ferrisi),CEL"
"6,LM0275,Brandenburg64 (E. ferrisi),KSW"
"6,LM0276,Brandenburg64 (E. ferrisi),DJK"
"6,LM0277,Brandenburg64 (E. ferrisi),JVW"
"6,LM0279,Brandenburg64 (E. ferrisi),OSU"
"6,LM0281,Brandenburg64 (E. ferrisi),JKX"
"6,LM0282,Brandenburg64 (E. ferrisi),JPU"
"6,LM0283,Brandenburg64 (E. ferrisi),ABC"
"6,LM0284,Brandenburg64 (E. ferrisi),DIO"
"6,LM0285,Brandenburg64 (E. ferrisi),BPV"
"6,LM0286,Brandenburg64 (E. ferrisi),CHJ"
"6,LM0287,Brandenburg64 (E. ferrisi),GLQ"
"6,LM0288,Brandenburg64 (E. ferrisi),HOQ"
"6,LM0291,Brandenburg64 (E. ferrisi),KMT"
"6,LM0292,Brandenburg64 (E. ferrisi),AHK"
"6,LM0293,Brandenburg64 (E. ferrisi),GNY"
"6,LM0294,Brandenburg64 (E. ferrisi),AFS"
"6,LM0295,Brandenburg64 (E. ferrisi),ADL"
"7,LM0123,Brandenburg64 (E. ferrisi),AV"
"7,LM0127,Brandenburg139 (E. ferrisi),GZ"
"7,LM0128,Brandenburg139 (E. ferrisi),BT"
"7,LM0129,Brandenburg139 (E. ferrisi),DV"
"7,LM0131,Brandenburg64 (E. ferrisi),OY"
"7,LM0132,Brandenburg139 (E. ferrisi),BZ"
"7,LM0134,Brandenburg64 (E. ferrisi),MV"
"7,LM0139,Brandenburg139 (E. ferrisi),CJ"
"7,LM0140,Brandenburg64 (E. ferrisi),FH"
"7,LM0153,Brandenburg139 (E. ferrisi),CPV"
"7,LM0164,Brandenburg139 (E. ferrisi),NSZ"
"7,LM0169,Brandenburg64 (E. ferrisi),GSZ"
"7,LM0177,Brandenburg139 (E. ferrisi),MNW"
"7,LM0193,Brandenburg88 (E. falciformis),BDL"
"7,LM0208,Brandenburg64 (E. ferrisi),FHX"
"7,LM0210,Brandenburg64 (E. ferrisi),DRW"
"7,LM0211,Brandenburg64 (E. ferrisi),IOQ"
"7,LM0218,Brandenburg64 (E. ferrisi),AKV"
"7,LM0221,Brandenburg64 (E. ferrisi),GTU"
"7,LM0222,Brandenburg64 (E. ferrisi),HJN"
"7,LM0223,Brandenburg64 (E. ferrisi),JLW"
"7,LM0225,Brandenburg64 (E. ferrisi),MWX"
"7,LM0226,Brandenburg64 (E. ferrisi),CSV"
"7,LM0237,Brandenburg88 (E. falciformis),CKV"
"7,LM0250,Brandenburg88 (E. falciformis),AKN"
"7,LM0253,Brandenburg88 (E. falciformis),BEW"
"7,LM0271,Brandenburg64 (E. ferrisi),AGP"
"7,LM0278,Brandenburg64 (E. ferrisi),COS"
"8,LM0179,Brandenburg88 (E. falciformis),OQZ"
"8,LM0180,Brandenburg88 (E. falciformis),CGI"
"8,LM0181,Brandenburg88 (E. falciformis),LPT"
"8,LM0183,Brandenburg88 (E. falciformis),DIY"
"8,LM0184,Brandenburg88 (E. falciformis),LSU"
"8,LM0185,Brandenburg88 (E. falciformis),DMV"
"8,LM0186,Brandenburg88 (E. falciformis),JPY"
"8,LM0188,Brandenburg88 (E. falciformis),DET"
"8,LM0190,Brandenburg88 (E. falciformis),AIZ"
"8,LM0191,Brandenburg88 (E. falciformis),HOP"
"8,LM0192,Brandenburg88 (E. falciformis),QSY"
"8,LM0194,Brandenburg88 (E. falciformis),DEY"
"8,LM0195,Brandenburg88 (E. falciformis),DPW"
"8,LM0196,Brandenburg88 (E. falciformis),DLZ"
"8,LM0197,Brandenburg88 (E. falciformis),JKZ"
"8,LM0198,Brandenburg88 (E. falciformis),AJQ"
"8,LM0199,Brandenburg88 (E. falciformis),FKS"
"8,LM0200,Brandenburg88 (E. falciformis),IKW"
"8,LM0201,Brandenburg88 (E. falciformis),DPR"
"8,LM0203,Brandenburg88 (E. falciformis),BCO"
"8,LM0227,Brandenburg88 (E. falciformis),KQR"
"8,LM0228,Brandenburg88 (E. falciformis),ATY"
"8,LM0229,Brandenburg88 (E. falciformis),BHK"
"8,LM0232,Brandenburg88 (E. falciformis),BDG"
"8,LM0233,Brandenburg88 (E. falciformis),NSY"
"8,LM0234,Brandenburg88 (E. falciformis),EQW"
"8,LM0235,Brandenburg88 (E. falciformis),DQZ"
"8,LM0236,Brandenburg88 (E. falciformis),JTW"
"8,LM0238,Brandenburg88 (E. falciformis),NQW"
"8,LM0240,Brandenburg88 (E. falciformis),AGU"
"8,LM0241,Brandenburg88 (E. falciformis),IUZ"
"8,LM0243,Brandenburg88 (E. falciformis),ABH"
"8,LM0245,Brandenburg88 (E. falciformis),DLX"
"8,LM0246,Brandenburg88 (E. falciformis),AMS"
"8,LM0247,Brandenburg88 (E. falciformis),GQS"
"8,LM0248,Brandenburg88 (E. falciformis),AIV"
"8,LM0251,Brandenburg88 (E. falciformis),ISU"
"8,LM0252,Brandenburg88 (E. falciformis),FHO"
"8,LM0254,Brandenburg88 (E. falciformis),EFT"
"8,LM0256,Brandenburg88 (E. falciformis),ABE"
"8,LM0257,Brandenburg88 (E. falciformis),JKN"
"8,LM0280,Brandenburg64 (E. ferrisi),BCT"
"8,LM0289,Brandenburg64 (E. ferrisi),JST"
"9,LM0182,Brandenburg88 (E. falciformis),JSW"
"9,LM0189,Brandenburg88 (E. falciformis),KWX"
"9,LM0202,Brandenburg88 (E. falciformis),CMU"
"9,LM0231,Brandenburg88 (E. falciformis),IWY"
"9,LM0239,Brandenburg88 (E. falciformis),CFW"
"9,LM0242,Brandenburg88 (E. falciformis),ALN"
