Exp_ID,EH_ID,weight,weightloss,fecweight,dpi,infection_isolate,sex,Neubauer1,Neubauer2,Neubauer3,Neubauer4,dilution_ml
Exp_002,20,44.3,0.22,2.28,1,E139,male,0,0,0,0,1
Exp_002,21,32.7,1.5,1.95,1,E139,female,0,0,0,0,1
Exp_002,22,34.8,1.13,1.1,1,E139,female,0,0,0,0,1
Exp_002,23,35.4,0.28,1.67,1,E139,female,0,0,0,0,1
Exp_002,1,33.8,0,1.66,2,EfLab,female,0,0,0,0,1
Exp_002,2,36.9,0.27,2.36,2,EfLab,female,0,0,0,0,1
Exp_002,3,41.2,3.33,2.69,2,EfLab,male,0,0,0,0,1
Exp_002,4,39.9,2.22,1.82,2,EfLab,male,0,0,0,0,1
Exp_002,5,40.9,1.2,2.93,2,EfLab,male,0,0,0,0,1
Exp_002,6,38.4,0,2.61,2,EfLab,male,0,0,0,0,1
Exp_002,7,39.9,2,3.53,2,E64,male,0,0,0,0,1
Exp_002,8,42.6,0,2.85,2,E64,male,0,0,0,0,1
Exp_002,9,40.7,0,2.63,2,E64,male,0,0,0,0,1
Exp_002,10,30.2,0.65,1.19,2,E64,female,0,0,0,0,1
Exp_002,11,32.2,5.55,1.62,2,E64,female,0,0,0,0,1
Exp_002,12,27.8,0,2.44,2,E64,female,0,0,0,0,1
Exp_002,13,38,1.04,1.36,2,E88,male,0,0,0,0,1
Exp_002,14,39.4,8,2.67,2,E88,male,0,0,0,0,1
Exp_002,15,41.3,0.72,3.64,2,E88,male,0,0,0,0,1
Exp_002,16,35.4,2.22,1.73,2,E88,female,0,0,0,0,1
Exp_002,17,34.7,0,2.07,2,E88,female,0,0,0,0,1
Exp_002,18,33.4,0,2.09,2,E88,female,0,0,0,0,1
Exp_002,19,39.4,2.27,2.34,2,E139,male,0,0,0,0,1
Exp_002,20,44.3,0.22,2.66,2,E139,male,0,0,0,0,1
Exp_002,21,32,3.7,2.11,2,E139,female,0,0,0,0,1
Exp_002,22,34.3,2.56,1.55,2,E139,female,0,0,0,0,1
Exp_002,23,34.8,2,2.19,2,E139,female,0,0,0,0,1
Exp_002,1,33.5,0,2.96,3,EfLab,female,0,0,0,0,1
Exp_002,2,38,0,2.85,3,EfLab,female,0,0,0,0,1
Exp_002,3,41.1,3.5,3.67,3,EfLab,male,0,0,0,0,1
Exp_002,4,40.4,0.98,2.94,3,EfLab,male,0,0,0,0,1
Exp_002,5,41.5,0,3.05,3,EfLab,male,0,0,0,0,1
Exp_002,6,37.8,0,4.12,3,EfLab,male,0,0,0,0,1
Exp_002,7,40.1,1.49,3.26,3,E64,male,0,0,0,0,1
Exp_002,8,42.6,0,2.58,3,E64,male,0,0,0,0,1
Exp_002,9,40.5,0.49,2.71,3,E64,male,0,0,0,0,1
Exp_002,10,30.4,0,2.82,3,E64,female,0,0,0,0,1
Exp_002,11,31.8,6.66,2.18,3,E64,female,0,0,0,0,1
Exp_002,12,27.8,0,2.29,3,E64,female,0,0,0,0,1
Exp_002,13,37.5,2.38,3.94,3,E88,male,0,0,0,0,1
Exp_002,14,38.7,10,2.35,3,E88,male,0,0,0,0,1
Exp_002,15,41.4,1.36,3.86,3,E88,male,0,0,0,0,1
Exp_002,16,35,3.33,2.13,3,E88,female,0,0,0,0,1
Exp_002,17,34.4,0.57,2.11,3,E88,female,0,0,0,0,1
Exp_002,18,33.9,0,2,3,E88,female,0,0,0,0,1
Exp_002,19,39.4,2.27,3.82,3,E139,male,0,0,0,0,1
Exp_002,20,43.3,2.5,2.52,3,E139,male,0,0,0,0,1
Exp_002,21,31.6,5,2.49,3,E139,female,0,0,0,0,1
Exp_002,22,33.1,6.25,2.46,3,E139,female,0,0,0,0,1
Exp_002,23,34.8,2,2.27,3,E139,female,0,0,0,0,1
Exp_002,1,32.8,0,3.36,4,EfLab,female,0,0,0,0,1
Exp_002,2,38.9,0,3.56,4,EfLab,female,0,0,0,0,1
Exp_002,3,40.8,4.34,3.72,4,EfLab,male,0,0,0,0,1
Exp_002,4,39.8,2.45,2.82,4,EfLab,male,0,0,0,0,1
Exp_002,5,41,0.96,3.29,4,EfLab,male,0,0,0,0,1
Exp_002,6,37.5,0.8,4.13,4,EfLab,male,0,0,0,0,1
Exp_002,7,40.1,1.49,3.43,4,E64,male,0,0,0,0,1
Exp_002,8,42.1,1.17,3.59,4,E64,male,0,0,0,0,1
Exp_002,9,40.5,0.49,3.2,4,E64,male,0,0,0,0,1
Exp_002,10,29.8,2,3.65,4,E64,female,0,0,0,0,1
Exp_002,11,32,5.88,3.24,4,E64,female,0,0,0,0,1
Exp_002,12,27.3,1.79,3.05,4,E64,female,0,1,0,1,1
Exp_002,13,37.3,2.94,2.85,4,E88,male,0,0,0,0,1
Exp_002,14,38.2,11.11,2.78,4,E88,male,0,0,0,0,1
Exp_002,15,41.4,0.48,3.11,4,E88,male,0,0,0,0,1
Exp_002,16,36.1,0.27,2.8,4,E88,female,0,0,0,0,1
Exp_002,17,34.6,0,2.96,4,E88,female,0,0,0,0,1
Exp_002,18,34.4,0,2.71,4,E88,female,0,0,0,0,1
Exp_002,19,39,3.22,3.75,4,E139,male,0,0,0,0,1
Exp_002,20,43.7,1.58,2.71,4,E139,male,0,0,0,0,1
Exp_002,21,30.6,8.33,2.79,4,E139,female,0,0,0,0,1
Exp_002,22,32.6,7.69,1.78,4,E139,female,0,0,0,0,1
Exp_002,23,35.5,0,3.49,4,E139,female,0,0,0,0,1
Exp_002,1,32.9,NA,2.63,5,EfLab,female,0,0,0,0,1
Exp_002,2,38.2,NA,3.45,5,EfLab,female,0,0,0,0,1
Exp_002,3,41.5,NA,3.35,5,EfLab,male,0,0,0,0,1
Exp_002,4,39.8,NA,2.08,5,EfLab,male,0,0,0,0,1
Exp_002,5,41.2,NA,4.85,5,EfLab,male,0,0,0,0,1
Exp_002,6,38.2,NA,3.64,5,EfLab,male,0,0,0,0,1
Exp_002,7,38.9,NA,2.43,5,E64,male,22,35,24,18,1
Exp_002,8,41.8,NA,4.65,5,E64,male,17,26,14,23,1
Exp_002,9,40.3,NA,3.6,5,E64,male,37,26,36,41,1
Exp_002,10,30.5,NA,2.74,5,E64,female,44,36,33,33,1
Exp_002,11,31.5,NA,2.85,5,E64,female,23,25,30,40,1
Exp_002,12,28.1,NA,2.69,5,E64,female,34,25,36,31,1
Exp_002,13,37.2,NA,4.58,5,E88,male,0,0,0,0,1
Exp_002,14,37.8,NA,2.74,5,E88,male,0,0,0,0,1
Exp_002,15,40.5,NA,3.22,5,E88,male,0,0,0,0,1
Exp_002,16,35.8,NA,2.67,5,E88,female,0,0,0,0,1
Exp_002,17,33.6,NA,2.55,5,E88,female,0,0,0,0,1
Exp_002,18,34.4,NA,3.52,5,E88,female,0,0,0,0,1
Exp_002,19,38.8,NA,4.46,5,E139,male,13,19,23,17,1
Exp_002,20,42.8,NA,2.72,5,E139,male,16,9,18,17,1
Exp_002,21,31.7,NA,3.12,5,E139,female,5,12,18,19,1
Exp_002,22,33.3,NA,1.9,5,E139,female,16,19,23,16,1
Exp_002,23,35.7,NA,3.21,5,E139,female,8,8,7,13,1
Exp_002,1,32.5,NA,2.12,6,EfLab,female,0,0,0,0,1
Exp_002,2,38.3,NA,2.55,6,EfLab,female,0,0,0,0,1
Exp_002,3,43.6,NA,3.45,6,EfLab,male,0,0,0,0,1
Exp_002,4,40.5,NA,3.61,6,EfLab,male,1,0,0,0,1
Exp_002,5,41.4,NA,4.07,6,EfLab,male,0,0,0,0,1
Exp_002,6,37.7,NA,3.08,6,EfLab,male,0,0,0,0,1
Exp_002,7,39.1,NA,2.42,6,E64,male,69,108,114,75,1
Exp_002,8,42.1,NA,4,6,E64,male,62,62,54,54,1
Exp_002,9,40.6,NA,3.18,6,E64,male,109,119,111,105,1
Exp_002,10,31,NA,3.67,6,E64,female,56,58,81,60,1
Exp_002,11,32.1,NA,2.21,6,E64,female,38,62,55,72,1
Exp_002,12,29.1,NA,3.04,6,E64,female,70,46,87,89,1
Exp_002,13,37.8,NA,3.48,6,E88,male,0,0,0,0,1
Exp_002,14,38.9,NA,2.83,6,E88,male,0,0,0,0,1
Exp_002,15,41.1,NA,2.72,6,E88,male,0,0,0,0,1
Exp_002,16,36.4,NA,1.96,6,E88,female,0,0,0,0,1
Exp_002,17,34.7,NA,1.75,6,E88,female,0,0,0,0,1
Exp_002,18,35.1,NA,1.98,6,E88,female,0,0,0,0,1
Exp_002,19,38.8,NA,3.32,6,E139,male,43,47,49,55,1
Exp_002,20,43.2,NA,2.95,6,E139,male,30,55,47,56,1
Exp_002,21,31.6,NA,3.48,6,E139,female,43,35,42,38,1
Exp_002,22,32,NA,2.21,6,E139,female,15,11,21,25,1
Exp_002,23,35.9,NA,2.81,6,E139,female,16,18,24,16,1
Exp_002,1,32.1,NA,2.2,7,EfLab,female,0,0,0,0,1
Exp_002,2,37.8,NA,2.59,7,EfLab,female,0,0,0,0,1
Exp_002,3,43.2,NA,4.6,7,EfLab,male,0,0,0,0,1
Exp_002,4,39.5,NA,3.12,7,EfLab,male,0,0,0,0,1
Exp_002,5,41.1,NA,2.71,7,EfLab,male,0,0,0,0,1
Exp_002,6,37.1,NA,2.75,7,EfLab,male,0,0,0,0,1
Exp_002,7,39.5,NA,4.15,7,E64,male,24,18,30,28,1
Exp_002,8,42.9,NA,4.8,7,E64,male,17,14,20,18,1
Exp_002,9,40.3,NA,2.1,7,E64,male,64,65,49,69,1
Exp_002,10,32.1,NA,3.91,7,E64,female,4,5,8,13,1
Exp_002,11,32.2,NA,2.85,7,E64,female,64,40,44,40,1
Exp_002,12,29.1,NA,2.9,7,E64,female,30,33,29,35,1
Exp_002,13,37.2,NA,2.85,7,E88,male,0,0,0,0,1
Exp_002,14,38.4,NA,2.74,7,E88,male,0,0,0,0,1
Exp_002,15,40.8,NA,3.5,7,E88,male,0,0,0,0,1
Exp_002,16,36.5,NA,3.58,7,E88,female,0,0,0,0,1
Exp_002,17,34.1,NA,2.59,7,E88,female,0,0,0,0,1
Exp_002,18,35,NA,2.11,7,E88,female,0,0,0,0,1
Exp_002,19,39.4,NA,3.67,7,E139,male,30,24,29,24,1
Exp_002,20,43.3,NA,2.88,7,E139,male,18,17,19,18,1
Exp_002,21,32,NA,3,7,E139,female,11,17,23,14,1
Exp_002,22,34.4,NA,3.1,7,E139,female,27,26,23,28,1
Exp_002,23,35.7,NA,2.98,7,E139,female,13,19,17,20,1
Exp_002,1,30.7,NA,1.64,8,EfLab,female,48,72,57,51,1
Exp_002,2,37.3,NA,4.53,8,EfLab,female,1,6,2,6,1
Exp_002,3,42.1,NA,3.86,8,EfLab,male,24,23,28,28,1
Exp_002,4,39,NA,2.65,8,EfLab,male,26,21,16,13,1
Exp_002,5,40,NA,2.45,8,EfLab,male,78,36,64,58,1
Exp_002,6,37.2,NA,2.74,8,EfLab,male,64,57,83,86,1
Exp_002,7,39.6,NA,4.23,8,E64,male,2,1,1,2,1
Exp_002,8,43,NA,4.6,8,E64,male,7,8,5,4,1
Exp_002,9,40.4,NA,2.89,8,E64,male,20,13,14,16,1
Exp_002,10,31.8,NA,4.31,8,E64,female,0,2,3,1,1
Exp_002,11,32.7,NA,3.94,8,E64,female,8,10,3,10,1
Exp_002,12,28.3,NA,3.21,8,E64,female,2,5,3,4,1
Exp_002,13,36.8,NA,3.46,8,E88,male,1,2,1,0,1
Exp_002,14,38.5,NA,2.97,8,E88,male,2,1,4,5,1
Exp_002,15,41,NA,2.55,8,E88,male,0,0,0,0,1
Exp_002,16,35.9,NA,4.26,8,E88,female,0,0,0,0,1
Exp_002,17,34.9,NA,3.31,8,E88,female,4,2,3,0,1
Exp_002,18,34.7,NA,2.97,8,E88,female,0,0,0,0,1
Exp_002,19,39.2,NA,3.42,8,E139,male,7,5,2,5,1
Exp_002,20,42.8,NA,4.53,8,E139,male,0,2,3,1,1
Exp_002,21,31,NA,3.09,8,E139,female,9,7,10,10,1
Exp_002,22,34.7,NA,2.46,8,E139,female,26,21,29,18,1
Exp_002,23,35.7,NA,3.09,8,E139,female,3,17,7,13,1
Exp_002,1,29.4,NA,1.38,9,EfLab,female,206,214,248,214,1
Exp_002,2,38.3,NA,4.75,9,EfLab,female,7,4,12,9,1
Exp_002,3,41.3,NA,4.35,9,EfLab,male,94,63,87,74,1
Exp_002,4,39,NA,4.88,9,EfLab,male,209,225,175,228,1
Exp_002,5,40.1,NA,4.25,9,EfLab,male,170,242,238,231,1
Exp_002,6,36.2,NA,4.07,9,EfLab,male,90,105,65,87,1
Exp_002,7,39,NA,3.54,9,E64,male,2,3,2,3,1
Exp_002,8,43.8,NA,4.65,9,E64,male,0,1,3,2,1
Exp_002,9,40.6,NA,3.06,9,E64,male,5,3,5,1,1
Exp_002,10,31.5,NA,2.84,9,E64,female,2,1,1,2,1
Exp_002,11,33,NA,2.98,9,E64,female,2,3,2,2,1
Exp_002,12,28.4,NA,2.81,9,E64,female,2,0,1,1,1
Exp_002,13,37.6,NA,3.5,9,E88,male,10,13,8,10,1
Exp_002,14,38.6,NA,3.41,9,E88,male,37,30,48,35,1
Exp_002,15,40.9,NA,2.45,9,E88,male,28,17,14,24,1
Exp_002,16,36.2,NA,2.17,9,E88,female,29,30,31,33,1
Exp_002,17,35.3,NA,3.98,9,E88,female,10,37,21,47,1
Exp_002,18,34.9,NA,2.45,9,E88,female,15,10,14,3,1
Exp_002,19,39.1,NA,4.39,9,E139,male,1,3,2,0,1
Exp_002,20,43.3,NA,4.89,9,E139,male,1,0,0,3,1
Exp_002,21,31.1,NA,2.85,9,E139,female,3,6,6,6,1
Exp_002,22,34.3,NA,5.68,9,E139,female,4,3,1,1,1
Exp_002,23,35.2,NA,2.76,9,E139,female,0,2,1,2,1
Exp_002,1,29.9,NA,1.77,10,EfLab,female,46,34,64,21,1
Exp_002,2,37.7,NA,4.31,10,EfLab,female,0,2,1,1,1
Exp_002,3,40.9,NA,5.41,10,EfLab,male,16,14,17,20,1
Exp_002,4,39.4,NA,5.83,10,EfLab,male,13,5,12,3,1
Exp_002,5,39.8,NA,4.23,10,EfLab,male,4,5,5,7,1
Exp_002,6,37.3,NA,6.69,10,EfLab,male,6,5,8,12,1
Exp_002,7,40.2,NA,4.7,10,E64,male,0,0,0,0,1
Exp_002,8,43,NA,5.26,10,E64,male,0,0,0,1,1
Exp_002,9,39.8,NA,2.35,10,E64,male,0,0,1,1,1
Exp_002,10,32.2,NA,2.75,10,E64,female,0,0,0,0,1
Exp_002,11,31.3,NA,3.84,10,E64,female,0,0,0,0,1
Exp_002,12,28.6,NA,2.86,10,E64,female,0,0,0,0,1
Exp_002,13,38,NA,3.65,10,E88,male,2,6,1,9,1
Exp_002,14,38.9,NA,3.45,10,E88,male,2,1,5,4,1
Exp_002,15,40.5,NA,3.22,10,E88,male,7,10,13,16,1
Exp_002,16,36.6,NA,4,10,E88,female,12,17,18,15,1
Exp_002,17,35.4,NA,4.72,10,E88,female,8,4,10,4,1
Exp_002,18,34.2,NA,2.88,10,E88,female,7,4,2,5,1
Exp_002,19,39,NA,4.08,10,E139,male,1,1,0,1,1
Exp_002,20,42.8,NA,3.87,10,E139,male,0,0,0,0,1
Exp_002,21,29.8,NA,3.58,10,E139,female,0,0,0,0,1
Exp_002,22,34.9,NA,3.22,10,E139,female,0,0,0,0,1
Exp_002,23,36.5,NA,3.34,10,E139,female,0,0,0,3,1
Exp_002,1,30.4,NA,NA,11,EfLab,female,2,5,7,4,1
Exp_002,2,38.2,NA,NA,11,EfLab,female,1,1,0,1,1
Exp_002,3,41.7,NA,NA,11,EfLab,male,4,2,3,0,1
Exp_002,4,38.8,NA,NA,11,EfLab,male,2,3,1,3,1
Exp_002,5,40.9,NA,NA,11,EfLab,male,1,1,0,2,1
Exp_002,6,37.8,NA,NA,11,EfLab,male,1,1,3,1,1
Exp_002,7,39.5,NA,NA,11,E64,male,0,0,0,0,1
Exp_002,8,43,NA,NA,11,E64,male,1,0,0,0,1
Exp_002,9,39.7,NA,NA,11,E64,male,0,0,0,0,1
Exp_002,10,31.8,NA,NA,11,E64,female,0,0,0,0,1
Exp_002,11,30.9,NA,NA,11,E64,female,0,0,0,0,1
Exp_002,12,29.1,NA,NA,11,E64,female,0,0,0,0,1
Exp_002,13,37.6,NA,NA,11,E88,male,5,1,3,0,1
Exp_002,14,38.9,NA,NA,11,E88,male,0,0,0,0,1
Exp_002,15,40.2,NA,NA,11,E88,male,2,0,2,2,1
Exp_002,16,36.4,NA,NA,11,E88,female,1,5,4,2,1
Exp_002,17,35.9,NA,NA,11,E88,female,2,3,4,4,1
Exp_002,18,33.4,NA,NA,11,E88,female,2,2,3,5,1
Exp_002,19,38.7,NA,NA,11,E139,male,0,0,0,0,1
Exp_002,20,43,NA,NA,11,E139,male,0,0,0,0,1
Exp_002,21,28.8,NA,NA,11,E139,female,0,0,0,0,1
Exp_002,22,34.8,NA,NA,11,E139,female,0,0,0,0,1
Exp_002,23,36.2,NA,NA,11,E139,female,0,0,0,0,1
