experiment,EH_ID,weight,weightloss,feces_weight,dpi,primary_infection,sex,oocyst_sq1,oocyst_sq2,oocys_sq3,oocyst_sq4,dilution,relative_weight,weight_dpi0
Exp_002,4,39.8,NA,2.08,5,EfLab,male,0,0,0,0,1,97.5490196078431,40.8
Exp_002,5,41.2,NA,4.85,5,EfLab,male,0,0,0,0,1,99.5169082125604,41.4
Exp_002,6,38.2,NA,3.64,5,EfLab,male,0,0,0,0,1,101.058201058201,37.8
Exp_002,7,38.9,NA,2.43,5,E64,male,22,35,24,18,1,95.5773955773956,40.7
Exp_002,8,41.8,NA,4.65,5,E64,male,17,26,14,23,1,98.1220657276995,42.6
Exp_002,9,40.3,NA,3.6,5,E64,male,37,26,36,41,1,99.017199017199,40.7
Exp_002,10,30.5,NA,2.74,5,E64,female,44,36,33,33,1,100.328947368421,30.4
Exp_002,11,31.5,NA,2.85,5,E64,female,23,25,30,40,1,92.6470588235294,34
Exp_002,12,28.1,NA,2.69,5,E64,female,34,25,36,31,1,101.079136690647,27.8
Exp_002,13,37.2,NA,4.58,5,E88,male,0,0,0,0,1,96.875,38.4
Exp_002,14,37.8,NA,2.74,5,E88,male,0,0,0,0,1,88.3177570093458,42.8
Exp_002,15,40.5,NA,3.22,5,E88,male,0,0,0,0,1,97.3557692307692,41.6
Exp_002,16,35.8,NA,2.67,5,E88,female,0,0,0,0,1,98.8950276243094,36.2
Exp_002,17,33.6,NA,2.55,5,E88,female,0,0,0,0,1,97.1098265895954,34.6
Exp_002,18,34.4,NA,3.52,5,E88,female,0,0,0,0,1,102.994011976048,33.4
Exp_002,19,38.8,NA,4.46,5,E139,male,13,19,23,17,1,96.2779156327543,40.3
Exp_002,20,42.8,NA,2.72,5,E139,male,16,9,18,17,1,96.3963963963964,44.4
Exp_002,21,31.7,NA,3.12,5,E139,female,5,12,18,19,1,95.4819277108434,33.2
Exp_002,22,33.3,NA,1.9,5,E139,female,16,19,23,16,1,94.6022727272727,35.2
Exp_002,23,35.7,NA,3.21,5,E139,female,8,8,7,13,1,100.56338028169,35.5
Exp_002,1,32.5,NA,2.12,6,EfLab,female,0,0,0,0,1,100.61919504644,32.3
Exp_002,2,38.3,NA,2.55,6,EfLab,female,0,0,0,0,1,103.513513513514,37
Exp_002,3,43.6,NA,3.45,6,EfLab,male,0,0,0,0,1,102.347417840376,42.6
Exp_002,4,40.5,NA,3.61,6,EfLab,male,1,0,0,0,1,99.2647058823529,40.8
Exp_002,5,41.4,NA,4.07,6,EfLab,male,0,0,0,0,1,100,41.4
Exp_002,6,37.7,NA,3.08,6,EfLab,male,0,0,0,0,1,99.7354497354498,37.8
Exp_002,7,39.1,NA,2.42,6,E64,male,69,108,114,75,1,96.0687960687961,40.7
Exp_002,8,42.1,NA,4,6,E64,male,62,62,54,54,1,98.8262910798122,42.6
Exp_002,9,40.6,NA,3.18,6,E64,male,109,119,111,105,1,99.7542997542998,40.7
Exp_002,10,31,NA,3.67,6,E64,female,56,58,81,60,1,101.973684210526,30.4
Exp_002,11,32.1,NA,2.21,6,E64,female,38,62,55,72,1,94.4117647058824,34
Exp_002,12,29.1,NA,3.04,6,E64,female,70,46,87,89,1,104.676258992806,27.8
Exp_002,13,37.8,NA,3.48,6,E88,male,0,0,0,0,1,98.4375,38.4
Exp_002,14,38.9,NA,2.83,6,E88,male,0,0,0,0,1,90.8878504672897,42.8
Exp_002,15,41.1,NA,2.72,6,E88,male,0,0,0,0,1,98.7980769230769,41.6
Exp_002,16,36.4,NA,1.96,6,E88,female,0,0,0,0,1,100.552486187845,36.2
Exp_002,17,34.7,NA,1.75,6,E88,female,0,0,0,0,1,100.28901734104,34.6
Exp_002,18,35.1,NA,1.98,6,E88,female,0,0,0,0,1,105.089820359281,33.4
Exp_002,19,38.8,NA,3.32,6,E139,male,43,47,49,55,1,96.2779156327543,40.3
Exp_002,20,43.2,NA,2.95,6,E139,male,30,55,47,56,1,97.2972972972973,44.4
Exp_002,21,31.6,NA,3.48,6,E139,female,43,35,42,38,1,95.1807228915663,33.2
Exp_002,22,32,NA,2.21,6,E139,female,15,11,21,25,1,90.9090909090909,35.2
Exp_002,23,35.9,NA,2.81,6,E139,female,16,18,24,16,1,101.12676056338,35.5
Exp_002,1,32.1,NA,2.2,7,EfLab,female,0,0,0,0,1,99.3808049535604,32.3
Exp_002,2,37.8,NA,2.59,7,EfLab,female,0,0,0,0,1,102.162162162162,37
Exp_002,3,43.2,NA,4.6,7,EfLab,male,0,0,0,0,1,101.408450704225,42.6
Exp_002,4,39.5,NA,3.12,7,EfLab,male,0,0,0,0,1,96.8137254901961,40.8
Exp_002,5,41.1,NA,2.71,7,EfLab,male,0,0,0,0,1,99.2753623188406,41.4
Exp_002,6,37.1,NA,2.75,7,EfLab,male,0,0,0,0,1,98.1481481481482,37.8
Exp_002,7,39.5,NA,4.15,7,E64,male,24,18,30,28,1,97.0515970515971,40.7
Exp_002,8,42.9,NA,4.8,7,E64,male,17,14,20,18,1,100.704225352113,42.6
Exp_002,9,40.3,NA,2.1,7,E64,male,64,65,49,69,1,99.017199017199,40.7
Exp_002,10,32.1,NA,3.91,7,E64,female,4,5,8,13,1,105.592105263158,30.4
Exp_002,11,32.2,NA,2.85,7,E64,female,64,40,44,40,1,94.7058823529412,34
Exp_002,12,29.1,NA,2.9,7,E64,female,30,33,29,35,1,104.676258992806,27.8
Exp_002,13,37.2,NA,2.85,7,E88,male,0,0,0,0,1,96.875,38.4
Exp_002,14,38.4,NA,2.74,7,E88,male,0,0,0,0,1,89.7196261682243,42.8
Exp_002,15,40.8,NA,3.5,7,E88,male,0,0,0,0,1,98.0769230769231,41.6
Exp_002,16,36.5,NA,3.58,7,E88,female,0,0,0,0,1,100.828729281768,36.2
Exp_002,17,34.1,NA,2.59,7,E88,female,0,0,0,0,1,98.5549132947977,34.6
Exp_002,18,35,NA,2.11,7,E88,female,0,0,0,0,1,104.790419161677,33.4
Exp_002,19,39.4,NA,3.67,7,E139,male,30,24,29,24,1,97.7667493796526,40.3
Exp_002,20,43.3,NA,2.88,7,E139,male,18,17,19,18,1,97.5225225225225,44.4
Exp_002,21,32,NA,3,7,E139,female,11,17,23,14,1,96.3855421686747,33.2
Exp_002,22,34.4,NA,3.1,7,E139,female,27,26,23,28,1,97.7272727272727,35.2
Exp_002,23,35.7,NA,2.98,7,E139,female,13,19,17,20,1,100.56338028169,35.5
Exp_002,1,30.7,NA,1.64,8,EfLab,female,48,72,57,51,1,95.046439628483,32.3
Exp_002,2,37.3,NA,4.53,8,EfLab,female,1,6,2,6,1,100.810810810811,37
Exp_002,3,42.1,NA,3.86,8,EfLab,male,24,23,28,28,1,98.8262910798122,42.6
Exp_002,4,39,NA,2.65,8,EfLab,male,26,21,16,13,1,95.5882352941176,40.8
Exp_002,5,40,NA,2.45,8,EfLab,male,78,36,64,58,1,96.6183574879227,41.4
Exp_002,6,37.2,NA,2.74,8,EfLab,male,64,57,83,86,1,98.4126984126984,37.8
Exp_002,7,39.6,NA,4.23,8,E64,male,2,1,1,2,1,97.2972972972973,40.7
Exp_002,8,43,NA,4.6,8,E64,male,7,8,5,4,1,100.93896713615,42.6
Exp_002,9,40.4,NA,2.89,8,E64,male,20,13,14,16,1,99.2628992628993,40.7
Exp_002,10,31.8,NA,4.31,8,E64,female,0,2,3,1,1,104.605263157895,30.4
Exp_002,11,32.7,NA,3.94,8,E64,female,8,10,3,10,1,96.1764705882353,34
Exp_002,12,28.3,NA,3.21,8,E64,female,2,5,3,4,1,101.798561151079,27.8
Exp_002,13,36.8,NA,3.46,8,E88,male,1,2,1,0,1,95.8333333333333,38.4
Exp_002,14,38.5,NA,2.97,8,E88,male,2,1,4,5,1,89.9532710280374,42.8
Exp_002,15,41,NA,2.55,8,E88,male,0,0,0,0,1,98.5576923076923,41.6
Exp_002,16,35.9,NA,4.26,8,E88,female,0,0,0,0,1,99.171270718232,36.2
Exp_002,17,34.9,NA,3.31,8,E88,female,4,2,3,0,1,100.867052023121,34.6
Exp_002,18,34.7,NA,2.97,8,E88,female,0,0,0,0,1,103.892215568862,33.4
Exp_002,19,39.2,NA,3.42,8,E139,male,7,5,2,5,1,97.2704714640199,40.3
Exp_002,20,42.8,NA,4.53,8,E139,male,0,2,3,1,1,96.3963963963964,44.4
Exp_002,21,31,NA,3.09,8,E139,female,9,7,10,10,1,93.3734939759036,33.2
Exp_002,22,34.7,NA,2.46,8,E139,female,26,21,29,18,1,98.5795454545455,35.2
Exp_002,23,35.7,NA,3.09,8,E139,female,3,17,7,13,1,100.56338028169,35.5
Exp_002,1,29.4,NA,1.38,9,EfLab,female,206,214,248,214,1,91.0216718266254,32.3
Exp_002,2,38.3,NA,4.75,9,EfLab,female,7,4,12,9,1,103.513513513514,37
Exp_002,3,41.3,NA,4.35,9,EfLab,male,94,63,87,74,1,96.9483568075117,42.6
Exp_002,4,39,NA,4.88,9,EfLab,male,209,225,175,228,1,95.5882352941176,40.8
Exp_002,5,40.1,NA,4.25,9,EfLab,male,170,242,238,231,1,96.8599033816425,41.4
Exp_002,6,36.2,NA,4.07,9,EfLab,male,90,105,65,87,1,95.7671957671958,37.8
Exp_002,7,39,NA,3.54,9,E64,male,2,3,2,3,1,95.8230958230958,40.7
Exp_002,8,43.8,NA,4.65,9,E64,male,0,1,3,2,1,102.816901408451,42.6
Exp_002,9,40.6,NA,3.06,9,E64,male,5,3,5,1,1,99.7542997542998,40.7
Exp_002,10,31.5,NA,2.84,9,E64,female,2,1,1,2,1,103.618421052632,30.4
Exp_002,11,33,NA,2.98,9,E64,female,2,3,2,2,1,97.0588235294118,34
Exp_002,12,28.4,NA,2.81,9,E64,female,2,0,1,1,1,102.158273381295,27.8
Exp_002,13,37.6,NA,3.5,9,E88,male,10,13,8,10,1,97.9166666666667,38.4
Exp_002,14,38.6,NA,3.41,9,E88,male,37,30,48,35,1,90.1869158878505,42.8
Exp_002,15,40.9,NA,2.45,9,E88,male,28,17,14,24,1,98.3173076923077,41.6
Exp_002,16,36.2,NA,2.17,9,E88,female,29,30,31,33,1,100,36.2
Exp_002,17,35.3,NA,3.98,9,E88,female,10,37,21,47,1,102.023121387283,34.6
Exp_002,18,34.9,NA,2.45,9,E88,female,15,10,14,3,1,104.491017964072,33.4
Exp_002,19,39.1,NA,4.39,9,E139,male,1,3,2,0,1,97.0223325062035,40.3
Exp_002,20,43.3,NA,4.89,9,E139,male,1,0,0,3,1,97.5225225225225,44.4
Exp_002,21,31.1,NA,2.85,9,E139,female,3,6,6,6,1,93.6746987951807,33.2
Exp_002,22,34.3,NA,5.68,9,E139,female,4,3,1,1,1,97.4431818181818,35.2
Exp_002,23,35.2,NA,2.76,9,E139,female,0,2,1,2,1,99.1549295774648,35.5
Exp_002,1,29.9,NA,1.77,10,EfLab,female,46,34,64,21,1,92.5696594427245,32.3
Exp_002,2,37.7,NA,4.31,10,EfLab,female,0,2,1,1,1,101.891891891892,37
Exp_002,3,40.9,NA,5.41,10,EfLab,male,16,14,17,20,1,96.0093896713615,42.6
Exp_002,4,39.4,NA,5.83,10,EfLab,male,13,5,12,3,1,96.5686274509804,40.8
Exp_002,5,39.8,NA,4.23,10,EfLab,male,4,5,5,7,1,96.1352657004831,41.4
Exp_002,6,37.3,NA,6.69,10,EfLab,male,6,5,8,12,1,98.6772486772487,37.8
Exp_002,7,40.2,NA,4.7,10,E64,male,0,0,0,0,1,98.7714987714988,40.7
Exp_002,8,43,NA,5.26,10,E64,male,0,0,0,1,1,100.93896713615,42.6
Exp_002,9,39.8,NA,2.35,10,E64,male,0,0,1,1,1,97.7886977886978,40.7
Exp_002,10,32.2,NA,2.75,10,E64,female,0,0,0,0,1,105.921052631579,30.4
Exp_002,11,31.3,NA,3.84,10,E64,female,0,0,0,0,1,92.0588235294118,34
Exp_002,12,28.6,NA,2.86,10,E64,female,0,0,0,0,1,102.877697841727,27.8
Exp_002,13,38,NA,3.65,10,E88,male,2,6,1,9,1,98.9583333333333,38.4
Exp_002,14,38.9,NA,3.45,10,E88,male,2,1,5,4,1,90.8878504672897,42.8
Exp_002,15,40.5,NA,3.22,10,E88,male,7,10,13,16,1,97.3557692307692,41.6
Exp_002,16,36.6,NA,4,10,E88,female,12,17,18,15,1,101.104972375691,36.2
Exp_002,17,35.4,NA,4.72,10,E88,female,8,4,10,4,1,102.312138728324,34.6
Exp_002,18,34.2,NA,2.88,10,E88,female,7,4,2,5,1,102.395209580838,33.4
Exp_002,19,39,NA,4.08,10,E139,male,1,1,0,1,1,96.7741935483871,40.3
Exp_002,20,42.8,NA,3.87,10,E139,male,0,0,0,0,1,96.3963963963964,44.4
Exp_002,21,29.8,NA,3.58,10,E139,female,0,0,0,0,1,89.7590361445783,33.2
Exp_002,22,34.9,NA,3.22,10,E139,female,0,0,0,0,1,99.1477272727273,35.2
Exp_002,23,36.5,NA,3.34,10,E139,female,0,0,0,3,1,102.816901408451,35.5
Exp_002,1,30.4,NA,NA,11,EfLab,female,2,5,7,4,1,94.1176470588235,32.3
Exp_002,2,38.2,NA,NA,11,EfLab,female,1,1,0,1,1,103.243243243243,37
Exp_002,3,41.7,NA,NA,11,EfLab,male,4,2,3,0,1,97.887323943662,42.6
Exp_002,4,38.8,NA,NA,11,EfLab,male,2,3,1,3,1,95.0980392156863,40.8
Exp_002,5,40.9,NA,NA,11,EfLab,male,1,1,0,2,1,98.792270531401,41.4
Exp_002,6,37.8,NA,NA,11,EfLab,male,1,1,3,1,1,100,37.8
Exp_002,7,39.5,NA,NA,11,E64,male,0,0,0,0,1,97.0515970515971,40.7
Exp_002,8,43,NA,NA,11,E64,male,1,0,0,0,1,100.93896713615,42.6
Exp_002,9,39.7,NA,NA,11,E64,male,0,0,0,0,1,97.5429975429976,40.7
Exp_002,10,31.8,NA,NA,11,E64,female,0,0,0,0,1,104.605263157895,30.4
Exp_002,11,30.9,NA,NA,11,E64,female,0,0,0,0,1,90.8823529411765,34
Exp_002,12,29.1,NA,NA,11,E64,female,0,0,0,0,1,104.676258992806,27.8
Exp_002,13,37.6,NA,NA,11,E88,male,5,1,3,0,1,97.9166666666667,38.4
Exp_002,14,38.9,NA,NA,11,E88,male,0,0,0,0,1,90.8878504672897,42.8
Exp_002,15,40.2,NA,NA,11,E88,male,2,0,2,2,1,96.6346153846154,41.6
Exp_002,16,36.4,NA,NA,11,E88,female,1,5,4,2,1,100.552486187845,36.2
Exp_002,17,35.9,NA,NA,11,E88,female,2,3,4,4,1,103.757225433526,34.6
Exp_002,18,33.4,NA,NA,11,E88,female,2,2,3,5,1,100,33.4
Exp_002,19,38.7,NA,NA,11,E139,male,0,0,0,0,1,96.029776674938,40.3
Exp_002,20,43,NA,NA,11,E139,male,0,0,0,0,1,96.8468468468469,44.4
Exp_002,21,28.8,NA,NA,11,E139,female,0,0,0,0,1,86.7469879518072,33.2
Exp_002,22,34.8,NA,NA,11,E139,female,0,0,0,0,1,98.8636363636364,35.2
Exp_002,23,36.2,NA,NA,11,E139,female,0,0,0,0,1,101.971830985916,35.5
