"","labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution","OPG"
"136","E11bFHY","","","","","","",""
"137","E11bHNQ","","","","","","",""
"138","E11bNWX","","","","","","",""
"139","E11bPRU","","","","","","",""
"140","E11bAEK","","","","","","",""
"141","E11bADE","","","","","","",""
"142","E11bLRT","","","","","","",""
"143","E11bGIY","","","","","","",""
"144","E11bANX","","","","","","",""
"145","E11bCIO","","","","","","",""
"146","E11bERS","","","","","","",""
"147","E11bDLQ","","","","","","",""
"148","E11bUVY","","","","","","",""
"149","E11bBQY","","","","","","",""
"150","E11bEGM","","","","","","",""
"151","E11bDHK","","","","","","",""
"152","E11bGQU","","","","","","",""
"153","E11bFMW","","","","","","",""
"154","E11bKMX","","","","","","",""
"155","E11bIXY","","","","","","",""
"156","E11bJKO","","","","","","",""
"157","E11bNQR","","","","","","",""
"158","E11bLTV","","","","","","",""
"159","E11bHIL","","","","","","",""
"160","E11bHTY","","","","","","",""
"161","E11bHKZ","","","","","","",""
"162","E11bAQT","","","","","","",""
"163","E11bCKL","","","","","","",""
"164","E11bCPW","","","","","","",""
"165","E11bGJS","","","","","","",""
"166","E11bCJO","","","","","","",""
"167","E11bPTW","","","","","","",""
"168","E11bEIY","","","","","","",""
"169","E11bASW","","","","","","",""
"170","E11bFNT","","","","","","",""
"171","E11bGWZ","","","","","","",""
"172","E11bCOV","","","","","","",""
"173","E11bDTY","","","","","","",""
"174","E11bAEU","","","","","","",""
"175","E11bHOW","","","","","","",""
"176","E11bHJY","","","","","","",""
"177","E11bASZ","","","","","","",""
"178","E11bLOV","","","","","","",""
"179","E11bKNQ","","","","","","",""
"180","E11bANV","","","","","","",""
"181","E11bABV","","","","","","",""
"182","E11bDQR","","","","","","",""
"183","E11bIMW","","","","","","",""
"184","E11bIMR","","","","","","",""
"185","E11bCGP","","","","","","",""
"186","E11bGOP","","","","","","",""
"187","E11bBER","","","","","","",""
"188","E11bBDE","","","","","","",""
"189","E11bBGK","","","","","","",""
"190","E11bAPZ","","","","","","",""
"191","E11bADP","","","","","","",""
"192","E11bBMT","","","","","","",""
"193","E11bIUY","","","","","","",""
"194","E11bGIP","","","","","","",""
"195","E11bGWX","","","","","","",""
"196","E11bEJY","","","","","","",""
"197","E11bBIV","","","","","","",""
"198","E11bFHU","","","","","","",""
"199","E11bNOW","","","","","","",""
"200","E11bEOY","","","","","","",""
"201","E11bFHR","","","","","","",""
"202","E11bJPU","","","","","","",""
"203","E11bBCF","","","","","","",""
"204","E11bHIR","","","","","","",""
"205","E11bNWZ","","","","","","",""
"206","E11bMNO","","","","","","",""
"207","E11bSWY","","","","","","",""
"208","E11bAMV","","","","","","",""
"209","E11bDLR","","","","","","",""
"210","E11bILR","","","","","","",""
"211","E11bMQX","","","","","","",""
"212","E11bKPY","","","","","","",""
"213","E11bIJX","","","","","","",""
"214","E11bANW","","","","","","",""
"215","E11bFIT","","","","","","",""
"216","E11bHQT","","","","","","",""
"217","E11bLXY","","","","","","",""
"218","E11bFQY","","","","","","",""
"219","E11bDMR","","","","","","",""
"220","E11bINO","","","","","","",""
"221","E11bAEO","","","","","","",""
"222","E11bEGJ","","","","","","",""
"223","E11bBUV","","","","","","",""
"224","E11bBDY","","","","","","",""
"225","E11bIJQ","","","","","","",""
"226","E11bBSZ","","","","","","",""
"227","E11bOTY","","","","","","",""
"228","E11bOSZ","","","","","","",""
"229","E11bINQ","","","","","","",""
"230","E11bBNU","","","","","","",""
"231","E11bAEM","","","","","","",""
"232","E11bELU","","","","","","",""
"233","E11bPWY","","","","","","",""
"234","E11bGQZ","","","","","","",""
"235","E11bBLP","","","","","","",""
"236","E11bBOV","","","","","","",""
"237","E11bABD","","","","","","",""
"238","E11bDEP","","","","","","",""
"239","E11bJOR","","","","","","",""
"240","E11bGQS","","","","","","",""
"241","E11bGJQ","","","","","","",""
"242","E11bDMU","","","","","","",""
"243","E11bAGI","","","","","","",""
"244","E11bUVX","","","","","","",""
"245","E11bMNY","","","","","","",""
"246","E11bLMY","","","","","","",""
"247","E11bAYZ","","","","","","",""
"248","E11bDLP","","","","","","",""
"249","E11bEFU","","","","","","",""
"250","E11bEIZ","","","","","","",""
"251","E11bJVY","","","","","","",""
"252","E11bAOS","","","","","","",""
"253","E11bDGH","","","","","","",""
"254","E11bAHY","","","","","","",""
"255","E11bBFZ","","","","","","",""
"256","E11bJLX","","","","","","",""
