experiment,labels,EH_ID,dpi,weight,relative_weight,feces_weight,weight_dpi0,dpi_dissection
E3,NA,LM0138,-1,15.6,100,NA,15.6,
E3,NA,LM0139,-1,15.6,110.63829787234,NA,14.1,
E3,NA,LM0140,-1,14.4,106.666666666667,NA,13.5,
E3,NA,LM0141,-1,23.9,96.3709677419355,NA,24.8,
E3,NA,LM0142,-1,18.3,112.962962962963,NA,16.2,
E3,NA,LM0143,-1,15.7,106.081081081081,NA,14.8,
E3,NA,LM0144,-1,22,103.286384976526,NA,21.3,
E3,GY,LM0123,0,27.4,100,3.41,27.4,
E3,GK,LM0124,0,14.1,100,1.13,14.1,
E3,LU,LM0125,0,19.3,100,2.71,19.3,
E3,AS,LM0126,0,24.7,100,3.25,24.7,
E3,TV,LM0127,0,18.8,100,1.57,18.8,
E3,LO,LM0128,0,23.6,100,1.15,23.6,
E3,HY,LM0129,0,13.5,100,1.06,13.5,
E3,RW,LM0130,0,15.2,100,0.26,15.2,
E3,EI,LM0131,0,25.6,100,2.91,25.6,
E3,SX,LM0132,0,13.8,100,1.32,13.8,
E3,VX,LM0133,0,14.7,100,1.04,14.7,
E3,OT,LM0134,0,28,100,1.7,28,
E3,UZ,LM0135,0,16.7,100,0.99,16.7,
E3,IU,LM0136,0,29.2,100,3.22,29.2,
E3,SZ,LM0137,0,22.1,100,2.75,22.1,
E3,EL,LM0138,0,15.6,100,1.85,15.6,
E3,HW,LM0139,0,14.1,100,1.38,14.1,
E3,NW,LM0140,0,13.5,100,0.6,13.5,
E3,JW,LM0141,0,24.8,100,2.71,24.8,
E3,IX,LM0142,0,16.2,100,1.93,16.2,
E3,JK,LM0143,0,14.8,100,1.11,14.8,
E3,AM,LM0144,0,21.3,100,2.19,21.3,
E3,CH,LM0123,1,27.1,98.9051094890511,1.97,27.4,
E3,IL,LM0124,1,12.9,91.4893617021277,0.77,14.1,
E3,BW,LM0125,1,18.8,97.4093264248705,2.14,19.3,
E3,DK,LM0126,1,24.7,100,1.65,24.7,
E3,FP,LM0127,1,18.1,96.2765957446809,1.35,18.8,
E3,JP,LM0128,1,21.7,91.9491525423729,1.03,23.6,
E3,DJ,LM0129,1,13.7,101.481481481481,1.38,13.5,
E3,QT,LM0130,1,15.3,100.657894736842,1.22,15.2,
E3,RZ,LM0131,1,25,97.65625,2.95,25.6,
E3,BC,LM0132,1,13.5,97.8260869565217,0.76,13.8,
E3,DH,LM0133,1,14.4,97.9591836734694,1.55,14.7,
E3,KR,LM0134,1,27.4,97.8571428571429,1.23,28,
E3,EZ,LM0135,1,17.2,102.994011976048,1.36,16.7,
E3,UX,LM0136,1,29.2,100,1.53,29.2,
E3,BD,LM0137,1,22.1,100,2.53,22.1,
E3,HT,LM0138,1,15.6,100,1.64,15.6,
E3,LT,LM0139,1,13.9,98.5815602836879,0.85,14.1,
E3,GQ,LM0140,1,14.1,104.444444444444,1.19,13.5,
E3,FJ,LM0141,1,25.2,101.612903225806,1.95,24.8,
E3,JR,LM0142,1,18,111.111111111111,1.81,16.2,
E3,IO,LM0143,1,14.6,98.6486486486487,1.16,14.8,
E3,KZ,LM0144,1,21.4,100.469483568075,1.91,21.3,
E3,PV,LM0123,2,26.8,97.8102189781022,1.82,27.4,
E3,ST,LM0124,2,12.8,90.7801418439716,0.88,14.1,
E3,JV,LM0125,2,19.5,101.036269430052,1.16,19.3,
E3,ER,LM0126,2,24.6,99.5951417004049,1.47,24.7,
E3,CE,LM0127,2,18,95.7446808510638,1.16,18.8,
E3,SW,LM0128,2,21.9,92.7966101694915,1.03,23.6,
E3,BF,LM0129,2,13.7,101.481481481481,1.41,13.5,
E3,QZ,LM0130,2,15.5,101.973684210526,1.09,15.2,
E3,HK,LM0131,2,25.8,100.78125,2.24,25.6,
E3,OU,LM0132,2,13.7,99.2753623188406,1.13,13.8,
E3,AY,LM0133,2,14.6,99.3197278911565,1.35,14.7,
E3,TZ,LM0134,2,27.3,97.5,1.41,28,
E3,NT,LM0135,2,16.6,99.4011976047904,1.29,16.7,
E3,DZ,LM0136,2,28.4,97.2602739726027,2,29.2,
E3,TW,LM0137,2,23.6,106.787330316742,1.71,22.1,
E3,LX,LM0138,2,15.5,99.3589743589744,1.09,15.6,
E3,TU,LM0139,2,13.9,98.5815602836879,0.97,14.1,
E3,BJ,LM0140,2,13.9,102.962962962963,1.01,13.5,
E3,AK,LM0141,2,25.4,102.41935483871,1.96,24.8,
E3,AR,LM0142,2,17.2,106.172839506173,1.39,16.2,
E3,TY,LM0143,2,14.3,96.6216216216216,1.65,14.8,
E3,PY,LM0144,2,21.2,99.5305164319249,1.27,21.3,
E3,QR,LM0123,3,26.5,96.7153284671533,1.75,27.4,
E3,BO,LM0124,3,13,92.1985815602837,1.01,14.1,
E3,GL,LM0125,3,19.6,101.554404145078,2.46,19.3,
E3,BI,LM0126,3,24,97.165991902834,2.94,24.7,
E3,HI,LM0127,3,18.6,98.936170212766,1.23,18.8,
E3,QY,LM0128,3,22.5,95.3389830508474,1.7,23.6,
E3,WZ,LM0129,3,13.6,100.740740740741,1.64,13.5,
E3,FZ,LM0130,3,14.9,98.0263157894737,1.86,15.2,
E3,DS,LM0131,3,26.4,103.125,3.34,25.6,
E3,LR,LM0132,3,13.2,95.6521739130435,1.91,13.8,
E3,HO,LM0133,3,14.4,97.9591836734694,1.57,14.7,
E3,AF,LM0134,3,27.4,97.8571428571429,1.58,28,
E3,LS,LM0135,3,16.9,101.197604790419,1.54,16.7,
E3,BM,LM0136,3,28.8,98.6301369863014,2.73,29.2,
E3,VW,LM0137,3,23.5,106.334841628959,2.8,22.1,
E3,DQ,LM0138,3,15.6,100,1.59,15.6,
E3,DX,LM0139,3,14,99.290780141844,1.91,14.1,
E3,GM,LM0140,3,13.7,101.481481481481,1.27,13.5,
E3,MX,LM0141,3,25.9,104.435483870968,1.61,24.8,
E3,GT,LM0142,3,17.8,109.876543209877,1.93,16.2,
E3,CL,LM0143,3,14.1,95.2702702702703,1.62,14.8,
E3,KO,LM0144,3,21.6,101.408450704225,2.35,21.3,
E3,QX,LM0123,4,27.1,98.9051094890511,2.5,27.4,
E3,JT,LM0124,4,12.8,90.7801418439716,1.29,14.1,
E3,FW,LM0125,4,19.1,98.9637305699482,1.86,19.3,
E3,PR,LM0126,4,24.1,97.5708502024292,2.86,24.7,
E3,FY,LM0127,4,17.5,93.0851063829787,1.5,18.8,
E3,BS,LM0128,4,21.7,91.9491525423729,1.64,23.6,
E3,MN,LM0129,4,12.7,94.0740740740741,0.45,13.5,
E3,KX,LM0130,4,14.2,93.4210526315789,1.18,15.2,
E3,LY,LM0131,4,27.4,107.03125,2.45,25.6,
E3,GX,LM0132,4,13,94.2028985507247,1.65,13.8,
E3,JX,LM0133,4,14,95.2380952380952,1.82,14.7,
E3,HQ,LM0134,4,27.1,96.7857142857143,1.86,28,
E3,KW,LM0135,4,15.6,93.4131736526946,1.73,16.7,
E3,IT,LM0136,4,29.2,100,3,29.2,
E3,EP,LM0137,4,24.1,109.049773755656,2.65,22.1,
E3,DI,LM0138,4,14.9,95.5128205128205,1.8,15.6,
E3,MS,LM0139,4,14,99.290780141844,1.03,14.1,
E3,HR,LM0140,4,13.5,100,1.21,13.5,
E3,QW,LM0141,4,26.2,105.645161290323,2.44,24.8,
E3,LZ,LM0142,4,17.6,108.641975308642,2.15,16.2,
E3,RY,LM0143,4,14.1,95.2702702702703,1.67,14.8,
E3,ET,LM0144,4,21.6,101.408450704225,2.29,21.3,
E3,TX,LM0123,5,26.5,96.7153284671533,2.34,27.4,
E3,HL,LM0124,5,12.8,90.7801418439716,1.11,14.1,
E3,FI,LM0125,5,18.1,93.7823834196891,1.43,19.3,
E3,NR,LM0126,5,23.2,93.9271255060729,1.33,24.7,
E3,UV,LM0127,5,16.7,88.8297872340425,1.15,18.8,
E3,CK,LM0128,5,21.5,91.1016949152542,1.72,23.6,
E3,OW,LM0129,5,11.9,88.1481481481482,0.79,13.5,
E3,GO,LM0130,5,13.6,89.4736842105263,0.87,15.2,
E3,GS,LM0131,5,25.2,98.4375,2.24,25.6,
E3,LM,LM0132,5,12.6,91.304347826087,0.63,13.8,
E3,DF,LM0133,5,13.5,91.8367346938776,1.02,14.7,
E3,BN,LM0134,5,26.7,95.3571428571429,1.96,28,
E3,NU,LM0135,5,15.4,92.2155688622755,1.28,16.7,
E3,OV,LM0136,5,28.9,98.972602739726,2.42,29.2,
E3,VZ,LM0137,5,23.4,105.882352941176,1.78,22.1,
E3,NO,LM0138,5,14.1,90.3846153846154,0.61,15.6,
E3,EW,LM0139,5,12.9,91.4893617021277,0.77,14.1,
E3,WY,LM0140,5,13.3,98.5185185185185,0.9,13.5,
E3,BY,LM0141,5,25.9,104.435483870968,2.08,24.8,
E3,AQ,LM0142,5,17.6,108.641975308642,2.26,16.2,
E3,EV,LM0143,5,13.5,91.2162162162162,1.08,14.8,
E3,LW,LM0144,5,20.5,96.2441314553991,2.07,21.3,
E3,CU,LM0123,6,26.8,97.8102189781022,1.19,27.4,
E3,IK,LM0124,6,13.1,92.9078014184397,1.2,14.1,
E3,SY,LM0125,6,18.8,97.4093264248705,1.23,19.3,
E3,GU,LM0126,6,23.5,95.1417004048583,1.19,24.7,
E3,CM,LM0127,6,17.1,90.9574468085106,0.18,18.8,
E3,XZ,LM0128,6,21.5,91.1016949152542,1.14,23.6,
E3,AD,LM0129,6,11.7,86.6666666666667,0.48,13.5,
E3,EQ,LM0130,6,14.3,94.0789473684211,0.82,15.2,
E3,QU,LM0131,6,26.6,103.90625,1.17,25.6,
E3,NZ,LM0132,6,12,86.9565217391304,0.37,13.8,
E3,AU,LM0133,6,14.2,96.5986394557823,1.05,14.7,
E3,MU,LM0134,6,26.3,93.9285714285714,0.98,28,
E3,FL,LM0135,6,15.9,95.2095808383234,1.66,16.7,
E3,FS,LM0136,6,29.9,102.397260273973,1.81,29.2,
E3,NQ,LM0137,6,24.2,109.502262443439,1.44,22.1,
E3,UW,LM0138,6,16.1,103.205128205128,1.32,15.6,
E3,KY,LM0139,6,13.5,95.7446808510638,0.69,14.1,
E3,DW,LM0140,6,13.7,101.481481481481,1.15,13.5,
E3,CP,LM0141,6,26.5,106.854838709677,2.14,24.8,
E3,CX,LM0142,6,17.7,109.259259259259,1.39,16.2,
E3,YZ,LM0143,6,14,94.5945945945946,0.47,14.8,
E3,BH,LM0144,6,21.2,99.5305164319249,1.09,21.3,
E3,AV,LM0123,7,27,98.5401459854015,1.48,27.4,
E3,DE,LM0124,7,12.9,91.4893617021277,1.06,14.1,
E3,LQ,LM0125,7,19.5,101.036269430052,1.87,19.3,
E3,EG,LM0126,7,24.3,98.3805668016194,1.89,24.7,
E3,GZ,LM0127,7,17.9,95.2127659574468,1,18.8,
E3,BT,LM0128,7,21.4,90.6779661016949,1.58,23.6,
E3,DV,LM0129,7,11.8,87.4074074074074,0.74,13.5,
E3,FV,LM0130,7,15.1,99.3421052631579,1.32,15.2,
E3,OY,LM0131,7,27.3,106.640625,1.77,25.6,
E3,BZ,LM0132,7,12.9,93.4782608695652,0.99,13.8,
E3,BX,LM0133,7,15,102.040816326531,1.72,14.7,
E3,MV,LM0134,7,26.9,96.0714285714286,1.08,28,
E3,IY,LM0135,7,16.7,100,1.77,16.7,
E3,CD,LM0136,7,29.8,102.054794520548,2.83,29.2,
E3,MR,LM0137,7,25.3,114.47963800905,1.51,22.1,
E3,AO,LM0138,7,15.6,100,1.34,15.6,
E3,CJ,LM0139,7,13.5,95.7446808510638,0.77,14.1,
E3,FH,LM0140,7,13.5,100,1.23,13.5,
E3,DG,LM0141,7,26.5,106.854838709677,1.12,24.8,
E3,AB,LM0142,7,17.8,109.876543209877,1.37,16.2,
E3,CT,LM0143,7,14,94.5945945945946,1.06,14.8,
E3,KM,LM0144,7,21.5,100.93896713615,1.59,21.3,
E3,MQ,LM0123,8,27.5,100.36496350365,1.64,27.4,
E3,CN,LM0124,8,13,92.1985815602837,1,14.1,
E3,HZ,LM0125,8,19.1,98.9637305699482,1.16,19.3,
E3,JZ,LM0126,8,24.7,100,1.81,24.7,
E3,JS,LM0127,8,17.9,95.2127659574468,1.03,18.8,
E3,LN,LM0128,8,21.6,91.5254237288136,1.38,23.6,
E3,GJ,LM0129,8,12.3,91.1111111111111,0.74,13.5,
E3,BU,LM0130,8,15.1,99.3421052631579,0.92,15.2,
E3,DO,LM0131,8,27.3,106.640625,1.89,25.6,
E3,BG,LM0132,8,13.1,94.927536231884,1.07,13.8,
E3,JY,LM0133,8,14.8,100.680272108844,1.35,14.7,
E3,IR,LM0134,8,26.9,96.0714285714286,1.43,28,
E3,LP,LM0135,8,16.6,99.4011976047904,1.28,16.7,
E3,WX,LM0136,8,30.3,103.767123287671,2.09,29.2,
E3,RV,LM0137,8,25,113.122171945701,1.64,22.1,
E3,MZ,LM0138,8,15.2,97.4358974358974,1.81,15.6,
E3,MT,LM0139,8,13.5,95.7446808510638,1.08,14.1,
E3,IP,LM0140,8,13.6,100.740740740741,0.87,13.5,
E3,OS,LM0141,8,26.7,107.661290322581,0.89,24.8,
E3,GV,LM0142,8,18.2,112.345679012346,1,16.2,
E3,IN,LM0143,8,14.3,96.6216216216216,0.58,14.8,
E3,GI,LM0144,8,21.2,99.5305164319249,1.31,21.3,
E3,EM,LM0123,9,27.7,101.094890510949,1.33,27.4,
E3,RU,LM0124,9,13.2,93.6170212765957,0.89,14.1,
E3,HS,LM0125,9,19.1,98.9637305699482,0.92,19.3,
E3,FK,LM0126,9,24.8,100.404858299595,1.75,24.7,
E3,AJ,LM0127,9,18.5,98.4042553191489,1.1,18.8,
E3,MP,LM0128,9,22.2,94.0677966101695,1.77,23.6,
E3,DY,LM0129,9,12.6,93.3333333333333,0.84,13.5,
E3,FG,LM0130,9,15.1,99.3421052631579,1.13,15.2,
E3,HV,LM0131,9,28,109.375,1.11,25.6,
E3,EH,LM0132,9,14,101.449275362319,1.01,13.8,
E3,SV,LM0133,9,14.9,101.360544217687,1.43,14.7,
E3,KL,LM0134,9,27.9,99.6428571428571,1.41,28,
E3,IV,LM0135,9,16.9,101.197604790419,1.24,16.7,
E3,IZ,LM0136,9,29.9,102.397260273973,1.64,29.2,
E3,GR,LM0137,9,26.3,119.004524886878,1.42,22.1,
E3,HM,LM0138,9,16.5,105.769230769231,1.43,15.6,
E3,OX,LM0139,9,13.9,98.5815602836879,0.85,14.1,
E3,NY,LM0140,9,13.8,102.222222222222,1.24,13.5,
E3,PU,LM0141,9,26.6,107.258064516129,1.19,24.8,
E3,KU,LM0142,9,17.9,110.493827160494,1.02,16.2,
E3,AN,LM0143,9,14.7,99.3243243243243,0.98,14.8,
E3,MY,LM0144,9,21.5,100.93896713615,1.02,21.3,
E3,RS,LM0123,10,28.4,103.649635036496,2.36,27.4,
E3,AX,LM0124,10,13.2,93.6170212765957,0.85,14.1,
E3,CS,LM0125,10,19.1,98.9637305699482,1.46,19.3,
E3,DN,LM0126,10,24.7,100,1.53,24.7,
E3,BL,LM0127,10,18.6,98.936170212766,1.26,18.8,
E3,KN,LM0128,10,22.5,95.3389830508474,1.48,23.6,
E3,GP,LM0129,10,12.8,94.8148148148148,0.8,13.5,
E3,HX,LM0130,10,15.3,100.657894736842,0.92,15.2,
E3,CY,LM0131,10,28.6,111.71875,1.57,25.6,
E3,OZ,LM0132,10,13.7,99.2753623188406,1.39,13.8,
E3,CR,LM0133,10,14.7,100,1.29,14.7,
E3,FT,LM0134,10,27.7,98.9285714285714,1.76,28,
E3,EJ,LM0135,10,16.3,97.6047904191617,1.15,16.7,
E3,EX,LM0136,10,30,102.739726027397,1.96,29.2,
E3,DU,LM0137,10,25.6,115.837104072398,1.06,22.1,
E3,RT,LM0138,10,15.7,100.641025641026,0.85,15.6,
E3,HN,LM0139,10,13.8,97.8723404255319,0.98,14.1,
E3,XY,LM0140,10,13.7,101.481481481481,1.29,13.5,
E3,KV,LM0141,10,27.1,109.274193548387,1.32,24.8,
E3,PT,LM0142,10,18.3,112.962962962963,1.31,16.2,
E3,KP,LM0143,10,14,94.5945945945946,1.16,14.8,
E3,QS,LM0144,10,21.1,99.0610328638498,1.21,21.3,
E3,PX,LM0123,11,28.1,102.554744525547,1.62,27.4,
E3,EN,LM0124,11,12.9,91.4893617021277,1.04,14.1,
E3,IJ,LM0125,11,19.3,100,1.28,19.3,
E3,FO,LM0126,11,24.9,100.80971659919,1.29,24.7,
E3,HJ,LM0127,11,18.4,97.8723404255319,0.89,18.8,
E3,NS,LM0128,11,22.5,95.3389830508474,1.43,23.6,
E3,EU,LM0129,11,13,96.2962962962963,0.92,13.5,
E3,FN,LM0130,11,14.8,97.3684210526316,1,15.2,
E3,EO,LM0131,11,29,113.28125,1.42,25.6,
E3,JM,LM0132,11,13.8,100,1.02,13.8,
E3,FM,LM0133,11,14.8,100.680272108844,0.95,14.7,
E3,JU,LM0134,11,27.9,99.6428571428571,1.28,28,
E3,HP,LM0135,11,16.3,97.6047904191617,1.09,16.7,
E3,AT,LM0136,11,30.5,104.452054794521,1.32,29.2,
E3,AC,LM0137,11,25.8,116.742081447964,0.71,22.1,
E3,DM,LM0138,11,15.8,101.282051282051,20.84,15.6,
E3,AE,LM0139,11,14.6,103.54609929078,0.6,14.1,
E3,MO,LM0140,11,13.8,102.222222222222,0.97,13.5,
E3,PW,LM0141,11,27,108.870967741935,1.26,24.8,
E3,IM,LM0142,11,18,111.111111111111,1.19,16.2,
E3,CO,LM0143,11,14.5,97.972972972973,1.11,14.8,
E3,OR,LM0144,11,21.2,99.5305164319249,1.36,21.3,
