"","challenge","CXCR3","delta","dpi","EH_ID","Eim_MC","EXP","faeces_weight","HybridStatus","IFNy_CEWE","IFNy_FEC","IL.12","infHistory","IRG6","labels","OPG","primary","Strain","Wchange","weight","weight_dpi0"
"119",NA,NA,NA,1,"LM_0342",NA,"P3",NA,NA,NA,NA,NA,"E139:E64",NA,"P3aOLI",NA,"E139","SWISS",97.8947368421053,55.8,57
"120",NA,NA,NA,3,"LM_0341",NA,"P3",0.85,NA,NA,0,NA,"E139:E88",NA,"P3aOML",0,"E139","SWISS",91.3705583756345,54,59.1
"121",NA,NA,NA,4,"LM_0338",NA,"P3",2.17,NA,NA,55.7513039998587,NA,"E64:E88",NA,"P3aOMQ",0,"E64","SWISS",96.6861598440546,49.6,51.3
"122",NA,NA,NA,10,"LM_0347",NA,"P3",5.52,NA,NA,NA,NA,"E88:E88",NA,"P3aOOZ",48913.0434782609,"E88","SWISS",89.3706293706294,63.9,71.5
"123",NA,NA,NA,9,"LM_0347",NA,"P3",4.15,NA,NA,NA,NA,"E88:E88",NA,"P3aOSC",327710.843373494,"E88","SWISS",91.1888111888112,65.2,71.5
"124",NA,NA,NA,10,"LM_0344",NA,"P3",NA,NA,NA,NA,NA,"UNI:E88",NA,"P3aOTL",NA,"UNI","SWISS",98.0544747081712,50.4,51.4
"125",NA,NA,NA,8,"LM_0345",NA,"P3",2.72,NA,NA,NA,NA,"UNI:E64",NA,"P3aPEE",0,"UNI","SWISS",94.8929159802306,57.6,60.7
"126",NA,NA,NA,9,"LM_0333",NA,"P3",0.85,NA,NA,NA,NA,"Eflab:E64",NA,"P3aPFK",76470.5882352941,"Eflab","SWISS",86.9070208728653,45.8,52.7
"127",NA,NA,NA,2,"LM_0340",NA,"P3",NA,NA,NA,NA,NA,"E64:UNI",NA,"P3aPJX",NA,"E64","SWISS",97.9816513761468,53.4,54.5
"128",NA,NA,NA,7,"LM_0333",NA,"P3",3.46,NA,NA,0,NA,"Eflab:E64",NA,"P3aPLG",56358.3815028902,"Eflab","SWISS",96.7741935483871,51,52.7
"129",NA,NA,NA,11,"LM_0338",NA,"P3",NA,NA,NA,NA,NA,"E64:E88",NA,"P3aPUD",NA,"E64","SWISS",94.9317738791423,48.7,51.3
"130",NA,NA,NA,1,"LM_0340",NA,"P3",NA,NA,NA,NA,NA,"E64:UNI",NA,"P3aQAG",NA,"E64","SWISS",97.4311926605505,53.1,54.5
"131",NA,NA,NA,4,"LM_0339",NA,"P3",3.03,NA,NA,418.105036595285,NA,"E64:E64",NA,"P3aQBP",0,"E64","SWISS",94.758064516129,47,49.6
"132",NA,NA,NA,6,"LM_0347",NA,"P3",NA,NA,NA,NA,NA,"E88:E88",NA,"P3aQDW",NA,"E88","SWISS",93.2867132867133,66.7,71.5
"133",NA,NA,NA,10,"LM_0337",NA,"P3",1.81,NA,NA,NA,NA,"E88:UNI",NA,"P3aQEC",11049.7237569061,"E88","SWISS",87.9194630872483,39.3,44.7
"134",NA,NA,NA,8,"LM_0344",NA,"P3",1.14,NA,NA,NA,NA,"UNI:E88",NA,"P3aQEO",0,"UNI","SWISS",97.2762645914397,50,51.4
"135",NA,NA,NA,2,"LM_0345",NA,"P3",NA,NA,NA,NA,NA,"UNI:E64",NA,"P3aQGP",NA,"UNI","SWISS",96.8698517298188,58.8,60.7
"136",NA,NA,NA,11,"LM_0340",NA,"P3",NA,NA,NA,NA,NA,"E64:UNI",NA,"P3aQJU",NA,"E64","SWISS",94.6788990825688,51.6,54.5
"137",NA,NA,NA,6,"LM_0340",NA,"P3",1.14,NA,NA,0,NA,"E64:UNI",NA,"P3aREI",258771.929824561,"E64","SWISS",89.908256880734,49,54.5
"138",NA,NA,NA,2,"LM_0337",NA,"P3",NA,NA,NA,NA,NA,"E88:UNI",NA,"P3aREY",NA,"E88","SWISS",99.1051454138702,44.3,44.7
"139",NA,NA,NA,0,"LM_0342",NA,"P3",NA,NA,NA,NA,NA,"E139:E64",NA,"P3aRIY",NA,"E139","SWISS",100,57,57
"140",NA,NA,NA,7,"LM_0345",NA,"P3",4.4,NA,NA,0,NA,"UNI:E64",NA,"P3aRJA",0,"UNI","SWISS",93.4102141680395,56.7,60.7
"141",NA,NA,NA,11,"LM_0346",NA,"P3",NA,NA,NA,NA,NA,"UNI:UNI",NA,"P3aRPG",NA,"UNI","SWISS",97.4025974025974,52.5,53.9
"142",NA,NA,NA,8,"LM_0332",NA,"P3",0.76,NA,NA,NA,NA,"Eflab:E88",NA,"P3aRRF",361842.105263158,"Eflab","SWISS",87.9084967320261,53.8,61.2
"143",NA,NA,NA,4,"LM_0346",NA,"P3",NA,NA,NA,NA,NA,"UNI:UNI",NA,"P3aRVL",NA,"UNI","SWISS",96.8460111317254,52.2,53.9
"144",NA,NA,NA,1,"LM_0345",NA,"P3",NA,NA,NA,NA,NA,"UNI:E64",NA,"P3aRWR",NA,"UNI","SWISS",97.1993410214168,59,60.7
"145",NA,NA,NA,3,"LM_0346",NA,"P3",NA,NA,NA,NA,NA,"UNI:UNI",NA,"P3aRWU",NA,"UNI","SWISS",99.2578849721707,53.5,53.9
"146",NA,NA,NA,8,"LM_0339",NA,"P3",NA,NA,NA,NA,NA,"E64:E64",NA,"P3aRZE",NA,"E64","SWISS",95.3629032258064,47.3,49.6
"147",NA,NA,NA,9,"LM_0346",NA,"P3",3.81,NA,NA,NA,NA,"UNI:UNI",NA,"P3aSBV",0,"UNI","SWISS",97.4025974025974,52.5,53.9
