"","labels","experiment","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution"
"219","E57aDLY","E5",NA,NA,NA,NA,NA,1
"220","E57aAEK","E5",NA,NA,NA,NA,NA,1
"221","E57aBMQ","E5",NA,NA,NA,NA,NA,1
"222","E57aEVX","E5",NA,NA,NA,NA,NA,1
"223","E57aHSX","E5",NA,NA,NA,NA,NA,1
"224","E57aHRX","E5",NA,NA,NA,NA,NA,1
"225","E57aGKW","E5",NA,NA,NA,NA,NA,1
"226","E57aOUZ","E5",NA,NA,NA,NA,NA,1
"227","E57aNTW","E5",NA,NA,NA,NA,NA,1
"228","E57aJRU","E5",NA,NA,NA,NA,NA,1
"229","E57aCLY","E5",NA,NA,NA,NA,NA,1
"230","E57aBJL","E5",NA,NA,NA,NA,NA,1
"231","E57aHUY","E5",NA,NA,NA,NA,NA,1
"232","E57aMQT","E5",NA,NA,NA,NA,NA,1
"233","E57aIRX","E5",NA,NA,NA,NA,NA,1
"234","E57aBOR","E5",NA,NA,NA,NA,NA,1
"235","E57aCLN","E5",NA,NA,NA,NA,NA,1
"236","E57aETU","E5",NA,NA,NA,NA,NA,1
"237","E57aIPY","E5",NA,NA,NA,NA,NA,1
"238","E57aCDE","E5",NA,NA,NA,NA,NA,1
"239","E57aNQS","E5",NA,NA,NA,NA,NA,1
"240","E57aFKW","E5",NA,NA,NA,NA,NA,1
"241","E57aDOV","E5",NA,NA,NA,NA,NA,1
"242","E57aEKR","E5",NA,NA,NA,NA,NA,1
"243","E57aBNR","E5",NA,NA,NA,NA,NA,1
"244","E57aIVX","E5",NA,NA,NA,NA,NA,1
"245","E57aFKO","E5",NA,NA,NA,NA,NA,1
"246","E57aEIP","E5",NA,NA,NA,NA,NA,1
"247","E57aGVZ","E5",NA,NA,NA,NA,NA,1
"248","E57aFOW","E5",NA,NA,NA,NA,NA,1
"249","E57aFKM","E5",NA,NA,NA,NA,NA,1
"250","E57aOTV","E5",NA,NA,NA,NA,NA,1
"251","E57aCFG","E5",NA,NA,NA,NA,NA,1
"252","E57aCGY","E5",NA,NA,NA,NA,NA,1
"253","E57aAIO","E5",NA,NA,NA,NA,NA,1
"254","E57aAPX","E5",NA,NA,NA,NA,NA,1
"255","E57aILR","E5",NA,NA,NA,NA,NA,1
"256","E57aAEF","E5",NA,NA,NA,NA,NA,1
"257","E57aFIW","E5",NA,NA,NA,NA,NA,1
"258","E57aFOX","E5",NA,NA,NA,NA,NA,1
"259","E57aIOV","E5",NA,NA,NA,NA,NA,1
"260","E57aIUY","E5",NA,NA,NA,NA,NA,1
"261","E57aHQY","E5",NA,NA,NA,NA,NA,1
"262","E57aOUW","E5",NA,NA,NA,NA,NA,1
"263","E57aHTY","E5",NA,NA,NA,NA,NA,1
"264","E57aCFO","E5",NA,NA,NA,NA,NA,1
"265","E57aADQ","E5",NA,NA,NA,NA,NA,1
"266","E57aPRZ","E5",NA,NA,NA,NA,NA,1
"267","E57aABJ","E5",NA,NA,NA,NA,NA,1
"268","E57aCEV","E5",NA,NA,NA,NA,NA,1
"269","E57aAOQ","E5",NA,NA,NA,NA,NA,1
"270","E57aACQ","E5",NA,NA,NA,NA,NA,1
"271","E57aEPS","E5",NA,NA,NA,NA,NA,1
"272","E57aDEI","E5",NA,NA,NA,NA,NA,1
"273","E57aDGM","E5",NA,NA,NA,NA,NA,1
"274","E57aAGM","E5",NA,NA,NA,NA,NA,1
"275","E57aFMY","E5",NA,NA,NA,NA,NA,1
"276","E57aELY","E5",NA,NA,NA,NA,NA,1
"277","E57aHQU","E5",NA,NA,NA,NA,NA,1
"278","E57aILO","E5",NA,NA,NA,NA,NA,1
"279","E57aCKN","E5",NA,NA,NA,NA,NA,1
"280","E57aHQZ","E5",NA,NA,NA,NA,NA,1
"281","E57aEWY","E5",NA,NA,NA,NA,NA,1
"282","E57aDKZ","E5",NA,NA,NA,NA,NA,1
"283","E57aHNQ","E5",NA,NA,NA,NA,NA,1
"284","E57aMQV","E5",NA,NA,NA,NA,NA,1
