labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,dilution,experiment,oocyst_mean
ELO,0,0,0,0,2,E4,0
ELQ,3,0,1,1,2,E4,1.25
ELZ,1,0,0,0,1,E4,0.25
EMP,3,0,6,2,2,E4,2.75
EMT,0,0,0,0,2,E4,0
EMU,0,0,0,0,2,E4,0
EOR,0,0,0,0,2,E4,0
EOW,3,3,3,1,1,E4,2.5
EPT,0,0,0,0,2,E4,0
EPX,NA,NA,NA,NA,NA,E4,NA
EQT,46,33,42,35,2,E4,39
EQV,47,40,39,46,2,E4,43
ESX,0,0,0,0,2,E4,0
EVW,13,7,12,22,1,E4,13.5
EVY,0,0,0,0,2,E4,0
EWY,1,10,3,2,2,E4,4
EXY,0,0,0,0,2,E4,0
FGT,1,1,0,1,1,E4,0.75
FGV,14,20,8,15,1,E4,14.25
FGX,78,78,99,109,1,E4,91
FHM,1,5,1,3,1,E4,2.5
FHR,0,0,0,0,2,E4,0
FHZ,2,2,2,6,2,E4,3
FIT,0,0,0,0,2,E4,0
FIZ,0,0,0,0,2,E4,0
FJN,0,0,0,0,2,E4,0
FKW,18,12,11,15,1,E4,14
FKX,0,0,0,0,2,E4,0
FLZ,0,0,0,0,2,E4,0
FMO,0,0,0,0,2,E4,0
FMP,22,19,26,23,1,E4,22.5
FMQ,0,0,0,0,2,E4,0
FNQ,0,0,0,0,2,E4,0
FNR,2,0,0,0,2,E4,0.5
FNT,0,0,0,0,2,E4,0
FOV,0,0,0,0,2,E4,0
FOW,0,0,0,0,2,E4,0
FOZ,0,0,0,0,2,E4,0
FPR,0,0,0,0,2,E4,0
FPV,13,21,22,29,1,E4,21.25
FRZ,0,0,0,0,2,E4,0
FTV,0,0,0,0,2,E4,0
FTZ,3,1,1,2,1,E4,1.75
FYZ,0,0,0,0,2,E4,0
GHL,0,0,0,0,2,E4,0
GHR,1,0,0,2,1,E4,0.75
GHY,0,0,0,0,2,E4,0
GIQ,0,0,0,0,2,E4,0
GIS,33,20,22,28,2,E4,25.75
GJM,0,0,0,0,2,E4,0
GKP,NA,NA,NA,NA,NA,E4,NA
GKT,0,0,0,0,2,E4,0
GKX,0,0,0,0,2,E4,0
GLU,0,0,0,0,1,E4,0
GMO,0,0,0,0,2,E4,0
GMV,4,8,5,1,1,E4,4.5
GMX,0,0,0,0,2,E4,0
GNW,NA,NA,NA,NA,NA,E4,NA
GOU,0,0,0,0,2,E4,0
GOV,NA,NA,NA,NA,NA,E4,NA
GOW,45,40,35,29,2,E4,37.25
GQR,0,0,0,0,2,E4,0
GRV,0,0,0,0,2,E4,0
GSW,NA,NA,NA,NA,NA,E4,NA
GSY,0,0,0,0,2,E4,0
GSZ,98,104,86,97,1,E4,96.25
GTW,19,11,15,17,2,E4,15.5
GTX,2,3,8,8,1,E4,5.25
GUY,0,0,0,0,2,E4,0
GVX,0,0,0,0,1,E4,0
GWX,1,0,0,0,2,E4,0.25
HIQ,1,0,0,0,2,E4,0.25
HIR,0,0,0,0,2,E4,0
HIX,0,0,0,0,2,E4,0
HJK,0,0,0,0,2,E4,0
HJL,0,0,0,0,2,E4,0
HJN,54,46,46,51,1,E4,49.25
HJZ,0,0,0,0,2,E4,0
HKM,0,0,0,0,2,E4,0
HKT,0,0,0,0,2,E4,0
HKX,0,0,0,0,2,E4,0
HLN,0,0,0,0,2,E4,0
HLX,0,0,0,0,2,E4,0
HMS,0,0,0,0,2,E4,0
HMW,0,0,0,0,2,E4,0
HNS,0,0,0,0,2,E4,0
HNW,19,27,18,27,2,E4,22.75
HOU,13,15,11,12,2,E4,12.75
HQT,0,0,1,1,2,E4,0.5
HQV,0,0,0,1,2,E4,0.25
HQZ,NA,NA,NA,NA,NA,E4,NA
HRU,2,4,5,3,2,E4,3.5
HRX,0,0,0,0,2,E4,0
HSV,0,0,0,0,2,E4,0
HTX,40,33,51,33,2,E4,39.25
HUW,0,0,0,0,2,E4,0
HVW,0,0,0,0,2,E4,0
HWY,0,0,0,0,2,E4,0
IJP,0,0,0,0,2,E4,0
IJS,0,0,0,0,1,E4,0
IKM,25,17,18,18,1,E4,19.5
IKN,0,0,0,0,2,E4,0
IKQ,0,0,0,0,2,E4,0
IKX,0,0,0,0,2,E4,0
ILM,0,0,0,0,2,E4,0
ILO,0,0,0,0,2,E4,0
ILS,0,0,0,0,2,E4,0
ILY,0,1,0,0,2,E4,0.25
IMP,18,23,35,28,2,E4,26
IMQ,0,0,0,0,2,E4,0
IMS,46,37,34,50,2,E4,41.75
IMU,4,1,3,2,1,E4,2.5
IMV,0,0,0,0,2,E4,0
IMX,0,0,0,0,2,E4,0
INV,36,41,30,43,1,E4,37.5
INW,65,49,60,55,1,E4,57.25
IOT,0,0,0,0,2,E4,0
IOW,0,0,0,0,2,E4,0
IQZ,0,0,0,2,2,E4,0.5
ISU,55,50,54,40,1,E4,49.75
ISY,0,0,0,0,2,E4,0
ITV,51,68,35,42,2,E4,49
IXZ,40,11,18,26,2,E4,23.75
JKM,0,0,0,0,2,E4,0
JKQ,1,0,0,0,2,E4,0.25
JKT,7,5,8,6,2,E4,6.5
JKZ,0,0,1,0,2,E4,0.25
JLV,0,0,0,0,2,E4,0
JLW,5,11,7,14,1,E4,9.25
JLZ,1,0,0,3,2,E4,1
JMQ,NA,NA,NA,NA,NA,E4,NA
JMT,7,12,15,9,1,E4,10.75
JMX,0,0,0,0,2,E4,0
JNU,3,4,4,2,1,E4,3.25
JPR,0,0,0,0,2,E4,0
JQT,0,0,0,0,2,E4,0
JQW,1,0,0,0,2,E4,0.25
JRT,111,117,81,101,2,E4,102.5
JSY,0,0,0,0,2,E4,0
JTY,0,0,0,0,2,E4,0
JUZ,0,0,0,0,2,E4,0
JWY,NA,NA,NA,NA,NA,E4,NA
JWZ,0,0,0,0,2,E4,0
JYZ,0,0,0,0,2,E4,0
KOZ,1,0,0,1,2,E4,0.5
KPT,0,1,0,0,2,E4,0.25
KQV,41,31,30,42,1.5,E4,36
KQW,0,0,0,0,2,E4,0
KRT,0,0,0,0,2,E4,0
KRU,1,2,1,1,2,E4,1.25
KRW,NA,NA,NA,NA,NA,E4,NA
KRX,0,0,0,0,2,E4,0
KSY,7,7,5,5,2,E4,6
KSZ,0,0,0,0,2,E4,0
KWY,0,0,0,0,2,E4,0
LNP,0,0,0,0,2,E4,0
LNR,0,0,0,0,2,E4,0
LNS,0,0,0,0,2,E4,0
LNZ,4,4,1,4,1,E4,3.25
LOR,0,0,0,0,2,E4,0
LOW,0,0,0,0,2,E4,0
LPZ,0,0,1,0,2,E4,0.25
LQS,26,17,22,36,2,E4,25.25
LRT,66,50,64,50,2,E4,57.5
LRU,0,0,0,0,2,E4,0
LRV,18,18,23,18,1,E4,19.25
LST,0,0,0,0,2,E4,0
LSZ,0,0,0,0,2,E4,0
LVW,NA,NA,NA,NA,NA,E4,NA
LXY,0,0,0,0,2,E4,0
MNU,0,0,0,0,2,E4,0
MNW,37,43,43,36,1,E4,39.75
MQU,NA,NA,NA,NA,NA,E4,NA
MRU,8,6,4,8,1,E4,6.5
MSX,3,5,4,7,1,E4,4.75
MTU,0,0,0,0,2,E4,0
MVZ,54,58,54,45,2,E4,52.75
MWX,0,0,0,0,2,E4,0
MXY,NA,NA,NA,NA,NA,E4,NA
NOP,18,17,14,13,2,E4,15.5
NPQ,0,0,0,0,2,E4,0
NPS,0,0,0,0,2,E4,0
NPT,10,11,14,5,1,E4,10
NPY,58,80,66,71,1,E4,68.75
NRZ,1,0,0,0,2,E4,0.25
NSZ,13,28,27,24,1,E4,23
NUW,5,10,10,3,2,E4,7
NUZ,0,0,0,0,2,E4,0
OPQ,5,5,4,3,1,E4,4.25
OPT,0,0,0,0,2,E4,0
OQT,0,0,0,0,2,E4,0
OQV,0,0,0,0,2,E4,0
ORU,NA,NA,NA,NA,NA,E4,NA
ORY,0,0,0,0,2,E4,0
OSZ,0,0,0,0,2,E4,0
PQY,27,14,24,16,2,E4,20.25
PRX,5,11,12,10,2,E4,9.5
PST,0,0,0,0,2,E4,0
PTU,0,0,0,0,2,E4,0
PUZ,0,0,0,0,2,E4,0
PVW,0,0,0,0,2,E4,0
PVX,0,0,0,0,2,E4,0
PVY,NA,NA,NA,NA,NA,E4,NA
PVZ,15,11,21,20,1,E4,16.75
PWX,0,0,0,0,2,E4,0
QUV,0,0,1,0,2,E4,0.25
QVY,0,0,0,0,2,E4,0
QXY,1,1,4,2,2,E4,2
RST,0,0,0,0,1,E4,0
RSY,0,0,0,0,2,E4,0
RUZ,0,0,0,0,2,E4,0
SUY,28,27,24,25,2,E4,26
TUZ,24,27,25,26,3,E4,25.5
TVW,0,0,0,0,2,E4,0
TWX,1,0,0,0,2,E4,0.25
UVY,0,0,0,1,2,E4,0.25
WXY,0,0,0,0,2,E4,0
WYZ,0,0,0,0,1,E4,0
