"","dpi.diss","inf.strain","EH_ID","dpi_of_perc","perc_of_dpi1","name","value"
"49","7dip","Eflab","LM0079",2,99.7118155619597,"Day5_.g",36.1
"50","7dip","Eflab","LM0079",2,99.7118155619597,"Day6_.g",34
"51","7dip","Eflab","LM0079",2,99.7118155619597,"Day7_.g",NA
"52","7dip","Eflab","LM0079",2,99.7118155619597,"Day8_.g",NA
"53","7dip","Eflab","LM0079",2,99.7118155619597,"Day9_.g",NA
"54","7dip","Eflab","LM0079",2,99.7118155619597,"Day10_.g",NA
"55","7dip","Eflab","LM0079",2,99.7118155619597,"Day11_.g",NA
"56","7dip","Efwild","LM0024",2,100.733496332518,"Day.1_.g",40.9
"57","7dip","Efwild","LM0024",2,100.733496332518,"Day2_.g",41.2
"58","7dip","Efwild","LM0024",2,100.733496332518,"Day3_.g",40.9
"59","7dip","Efwild","LM0024",2,100.733496332518,"Day4_.g",40.6
"60","7dip","Efwild","LM0024",2,100.733496332518,"Day5_.g",40.7
"61","7dip","Efwild","LM0024",2,100.733496332518,"Day6_.g",35
"62","7dip","Efwild","LM0024",2,100.733496332518,"Day7_.g",NA
"63","7dip","Efwild","LM0024",2,100.733496332518,"Day8_.g",NA
"64","7dip","Efwild","LM0024",2,100.733496332518,"Day9_.g",NA
"65","7dip","Efwild","LM0024",2,100.733496332518,"Day10_.g",NA
"66","7dip","Efwild","LM0024",2,100.733496332518,"Day11_.g",NA
"67","7dip","EI64","LM0084",2,92.7374301675978,"Day.1_.g",35.8
"68","7dip","EI64","LM0084",2,92.7374301675978,"Day2_.g",33.2
"69","7dip","EI64","LM0084",2,92.7374301675978,"Day3_.g",32.7
"70","7dip","EI64","LM0084",2,92.7374301675978,"Day4_.g",32.9
"71","7dip","EI64","LM0084",2,92.7374301675978,"Day5_.g",32.1
"72","7dip","EI64","LM0084",2,92.7374301675978,"Day6_.g",40.1
"73","7dip","EI64","LM0084",2,92.7374301675978,"Day7_.g",NA
"74","7dip","EI64","LM0084",2,92.7374301675978,"Day8_.g",NA
"75","7dip","EI64","LM0084",2,92.7374301675978,"Day9_.g",NA
"76","7dip","EI64","LM0084",2,92.7374301675978,"Day10_.g",NA
"77","7dip","EI64","LM0084",2,92.7374301675978,"Day11_.g",NA
"78","7dip","Uninf","LM0042",2,101.5,"Day.1_.g",40
"79","7dip","Uninf","LM0042",2,101.5,"Day2_.g",40.6
"80","7dip","Uninf","LM0042",2,101.5,"Day3_.g",36.6
"81","7dip","Uninf","LM0042",2,101.5,"Day4_.g",37.5
"82","7dip","Uninf","LM0042",2,101.5,"Day5_.g",35.8
"83","7dip","Uninf","LM0042",2,101.5,"Day6_.g",34
"84","7dip","Uninf","LM0042",2,101.5,"Day7_.g",NA
"85","7dip","Uninf","LM0042",2,101.5,"Day8_.g",NA
"86","7dip","Uninf","LM0042",2,101.5,"Day9_.g",NA
"87","7dip","Uninf","LM0042",2,101.5,"Day10_.g",NA
"88","7dip","Uninf","LM0042",2,101.5,"Day11_.g",NA
"89","7dip","Eflab","LM0059",2,97.1649484536083,"Day.1_.g",38.8
"90","7dip","Eflab","LM0059",2,97.1649484536083,"Day2_.g",37.7
"91","7dip","Eflab","LM0059",2,97.1649484536083,"Day3_.g",37.3
"92","7dip","Eflab","LM0059",2,97.1649484536083,"Day4_.g",37.4
"93","7dip","Eflab","LM0059",2,97.1649484536083,"Day5_.g",38
"94","7dip","Eflab","LM0059",2,97.1649484536083,"Day6_.g",33.4
"95","7dip","Eflab","LM0059",2,97.1649484536083,"Day7_.g",NA
"96","7dip","Eflab","LM0059",2,97.1649484536083,"Day8_.g",NA
"97","7dip","Eflab","LM0059",2,97.1649484536083,"Day9_.g",NA
"98","7dip","Eflab","LM0059",2,97.1649484536083,"Day10_.g",NA
"99","7dip","Eflab","LM0059",2,97.1649484536083,"Day11_.g",NA
"100","7dip","Efwild","LM0046",2,100.248756218905,"Day.1_.g",40.2
"101","7dip","Efwild","LM0046",2,100.248756218905,"Day2_.g",40.3
"102","7dip","Efwild","LM0046",2,100.248756218905,"Day3_.g",38.4
"103","7dip","Efwild","LM0046",2,100.248756218905,"Day4_.g",38.5
"104","7dip","Efwild","LM0046",2,100.248756218905,"Day5_.g",39.7
"105","7dip","Efwild","LM0046",2,100.248756218905,"Day6_.g",37.6
"106","7dip","Efwild","LM0046",2,100.248756218905,"Day7_.g",NA
"107","7dip","Efwild","LM0046",2,100.248756218905,"Day8_.g",NA
"108","7dip","Efwild","LM0046",2,100.248756218905,"Day9_.g",NA
"109","7dip","Efwild","LM0046",2,100.248756218905,"Day10_.g",NA
"110","7dip","Efwild","LM0046",2,100.248756218905,"Day11_.g",NA
"111","7dip","EI64","LM0043",2,98.0049875311721,"Day.1_.g",40.1
"112","7dip","EI64","LM0043",2,98.0049875311721,"Day2_.g",39.3
"113","7dip","EI64","LM0043",2,98.0049875311721,"Day3_.g",38
"114","7dip","EI64","LM0043",2,98.0049875311721,"Day4_.g",36.3
"115","7dip","EI64","LM0043",2,98.0049875311721,"Day5_.g",37.6
"116","7dip","EI64","LM0043",2,98.0049875311721,"Day6_.g",35.7
"117","7dip","EI64","LM0043",2,98.0049875311721,"Day7_.g",NA
"118","7dip","EI64","LM0043",2,98.0049875311721,"Day8_.g",NA
"119","7dip","EI64","LM0043",2,98.0049875311721,"Day9_.g",NA
"120","7dip","EI64","LM0043",2,98.0049875311721,"Day10_.g",NA
"121","7dip","EI64","LM0043",2,98.0049875311721,"Day11_.g",NA
"122","7dip","Uninf","LM0065",2,99.7578692493947,"Day.1_.g",41.3
"123","7dip","Uninf","LM0065",2,99.7578692493947,"Day2_.g",41.2
"124","7dip","Uninf","LM0065",2,99.7578692493947,"Day3_.g",40
"125","7dip","Uninf","LM0065",2,99.7578692493947,"Day4_.g",40
"126","7dip","Uninf","LM0065",2,99.7578692493947,"Day5_.g",40.5
"127","7dip","Uninf","LM0065",2,99.7578692493947,"Day6_.g",39
"128","7dip","Uninf","LM0065",2,99.7578692493947,"Day7_.g",NA
"129","7dip","Uninf","LM0065",2,99.7578692493947,"Day8_.g",NA
"130","7dip","Uninf","LM0065",2,99.7578692493947,"Day9_.g",NA
"131","7dip","Uninf","LM0065",2,99.7578692493947,"Day10_.g",NA
"132","7dip","Uninf","LM0065",2,99.7578692493947,"Day11_.g",NA
"133","9dpi","Eflab","LM0033",2,99.5833333333333,"Day.1_.g",48
"134","9dpi","Eflab","LM0033",2,99.5833333333333,"Day2_.g",47.8
"135","9dpi","Eflab","LM0033",2,99.5833333333333,"Day3_.g",46.7
"136","9dpi","Eflab","LM0033",2,99.5833333333333,"Day4_.g",46.7
"137","9dpi","Eflab","LM0033",2,99.5833333333333,"Day5_.g",45
"138","9dpi","Eflab","LM0033",2,99.5833333333333,"Day6_.g",45
"139","9dpi","Eflab","LM0033",2,99.5833333333333,"Day7_.g",45.6
"140","9dpi","Eflab","LM0033",2,99.5833333333333,"Day8_.g",42.6
"141","9dpi","Eflab","LM0033",2,99.5833333333333,"Day9_.g",39.4
"142","9dpi","Eflab","LM0033",2,99.5833333333333,"Day10_.g",NA
"143","9dpi","Eflab","LM0033",2,99.5833333333333,"Day11_.g",NA
"144","9dpi","Efwild","LM0045",2,99.75,"Day.1_.g",40
"145","9dpi","Efwild","LM0045",2,99.75,"Day2_.g",39.9
"146","9dpi","Efwild","LM0045",2,99.75,"Day3_.g",37.4
"147","9dpi","Efwild","LM0045",2,99.75,"Day4_.g",37.8
"148","9dpi","Efwild","LM0045",2,99.75,"Day5_.g",38.2
"149","9dpi","Efwild","LM0045",2,99.75,"Day6_.g",38
"150","9dpi","Efwild","LM0045",2,99.75,"Day7_.g",38.4
"151","9dpi","Efwild","LM0045",2,99.75,"Day8_.g",35.8
"152","9dpi","Efwild","LM0045",2,99.75,"Day9_.g",32.3
"153","9dpi","Efwild","LM0045",2,99.75,"Day10_.g",NA
"154","9dpi","Efwild","LM0045",2,99.75,"Day11_.g",NA
"155","9dpi","EI64","LM0056",2,98.7951807228916,"Day.1_.g",41.5
"156","9dpi","EI64","LM0056",2,98.7951807228916,"Day2_.g",41
"157","9dpi","EI64","LM0056",2,98.7951807228916,"Day3_.g",34.3
"158","9dpi","EI64","LM0056",2,98.7951807228916,"Day4_.g",34.8
"159","9dpi","EI64","LM0056",2,98.7951807228916,"Day5_.g",39
"160","9dpi","EI64","LM0056",2,98.7951807228916,"Day6_.g",41
"161","9dpi","EI64","LM0056",2,98.7951807228916,"Day7_.g",40.2
"162","9dpi","EI64","LM0056",2,98.7951807228916,"Day8_.g",42.2
"163","9dpi","EI64","LM0056",2,98.7951807228916,"Day9_.g",48.8
"164","9dpi","EI64","LM0056",2,98.7951807228916,"Day10_.g",NA
"165","9dpi","EI64","LM0056",2,98.7951807228916,"Day11_.g",NA
"166","9dpi","Uninf","LM0091",2,99.4366197183098,"Day.1_.g",35.5
"167","9dpi","Uninf","LM0091",2,99.4366197183098,"Day2_.g",35.3
"168","9dpi","Uninf","LM0091",2,99.4366197183098,"Day3_.g",34.8
"169","9dpi","Uninf","LM0091",2,99.4366197183098,"Day4_.g",37
"170","9dpi","Uninf","LM0091",2,99.4366197183098,"Day5_.g",36
"171","9dpi","Uninf","LM0091",2,99.4366197183098,"Day6_.g",36
"172","9dpi","Uninf","LM0091",2,99.4366197183098,"Day7_.g",36.5
"173","9dpi","Uninf","LM0091",2,99.4366197183098,"Day8_.g",36.5
"174","9dpi","Uninf","LM0091",2,99.4366197183098,"Day9_.g",37
"175","9dpi","Uninf","LM0091",2,99.4366197183098,"Day10_.g",NA
"176","9dpi","Uninf","LM0091",2,99.4366197183098,"Day11_.g",NA
"177","9dpi","Eflab","LM0073",2,99.3506493506494,"Day.1_.g",30.8
"178","9dpi","Eflab","LM0073",2,99.3506493506494,"Day2_.g",30.6
"179","9dpi","Eflab","LM0073",2,99.3506493506494,"Day3_.g",30.6
"180","9dpi","Eflab","LM0073",2,99.3506493506494,"Day4_.g",30.6
"181","9dpi","Eflab","LM0073",2,99.3506493506494,"Day5_.g",30.9
"182","9dpi","Eflab","LM0073",2,99.3506493506494,"Day6_.g",30.4
"183","9dpi","Eflab","LM0073",2,99.3506493506494,"Day7_.g",29.1
"184","9dpi","Eflab","LM0073",2,99.3506493506494,"Day8_.g",26.8
"185","9dpi","Eflab","LM0073",2,99.3506493506494,"Day9_.g",23.5
"186","9dpi","Eflab","LM0073",2,99.3506493506494,"Day10_.g",NA
"187","9dpi","Eflab","LM0073",2,99.3506493506494,"Day11_.g",NA
"188","9dpi","Efwild","LM0028",2,98.314606741573,"Day.1_.g",35.6
"189","9dpi","Efwild","LM0028",2,98.314606741573,"Day2_.g",35
"190","9dpi","Efwild","LM0028",2,98.314606741573,"Day3_.g",35.8
"191","9dpi","Efwild","LM0028",2,98.314606741573,"Day4_.g",35.8
"192","9dpi","Efwild","LM0028",2,98.314606741573,"Day5_.g",35
"193","9dpi","Efwild","LM0028",2,98.314606741573,"Day6_.g",35
"194","9dpi","Efwild","LM0028",2,98.314606741573,"Day7_.g",35
"195","9dpi","Efwild","LM0028",2,98.314606741573,"Day8_.g",32.2
"196","9dpi","Efwild","LM0028",2,98.314606741573,"Day9_.g",32.3
"197","9dpi","Efwild","LM0028",2,98.314606741573,"Day10_.g",NA
"198","9dpi","Efwild","LM0028",2,98.314606741573,"Day11_.g",NA
"199","9dpi","EI64","LM0035",2,99.7198879551821,"Day.1_.g",35.7
"200","9dpi","EI64","LM0035",2,99.7198879551821,"Day2_.g",35.6
"201","9dpi","EI64","LM0035",2,99.7198879551821,"Day3_.g",35.7
"202","9dpi","EI64","LM0035",2,99.7198879551821,"Day4_.g",32.1
"203","9dpi","EI64","LM0035",2,99.7198879551821,"Day5_.g",34.2
"204","9dpi","EI64","LM0035",2,99.7198879551821,"Day6_.g",33
"205","9dpi","EI64","LM0035",2,99.7198879551821,"Day7_.g",33.6
"206","9dpi","EI64","LM0035",2,99.7198879551821,"Day8_.g",33.3
"207","9dpi","EI64","LM0035",2,99.7198879551821,"Day9_.g",33.8
"208","9dpi","EI64","LM0035",2,99.7198879551821,"Day10_.g",NA
"209","9dpi","EI64","LM0035",2,99.7198879551821,"Day11_.g",NA
"210","9dpi","Uninf","LM0023",2,100.62893081761,"Day.1_.g",31.8
"211","9dpi","Uninf","LM0023",2,100.62893081761,"Day2_.g",32
"212","9dpi","Uninf","LM0023",2,100.62893081761,"Day3_.g",33.3
"213","9dpi","Uninf","LM0023",2,100.62893081761,"Day4_.g",33
"214","9dpi","Uninf","LM0023",2,100.62893081761,"Day5_.g",34
"215","9dpi","Uninf","LM0023",2,100.62893081761,"Day6_.g",34
"216","9dpi","Uninf","LM0023",2,100.62893081761,"Day7_.g",33.9
"217","9dpi","Uninf","LM0023",2,100.62893081761,"Day8_.g",33.5
"218","9dpi","Uninf","LM0023",2,100.62893081761,"Day9_.g",34.6
"219","9dpi","Uninf","LM0023",2,100.62893081761,"Day10_.g",NA
"220","9dpi","Uninf","LM0023",2,100.62893081761,"Day11_.g",NA
"221","9dpi","Eflab","LM0080",2,99.23273657289,"Day.1_.g",39.1
"222","9dpi","Eflab","LM0080",2,99.23273657289,"Day2_.g",38.8
"223","9dpi","Eflab","LM0080",2,99.23273657289,"Day3_.g",38.3
"224","9dpi","Eflab","LM0080",2,99.23273657289,"Day4_.g",38.8
"225","9dpi","Eflab","LM0080",2,99.23273657289,"Day5_.g",39.1
"226","9dpi","Eflab","LM0080",2,99.23273657289,"Day6_.g",37.6
"227","9dpi","Eflab","LM0080",2,99.23273657289,"Day7_.g",36.4
"228","9dpi","Eflab","LM0080",2,99.23273657289,"Day8_.g",32.4
"229","9dpi","Eflab","LM0080",2,99.23273657289,"Day9_.g",30
"230","9dpi","Eflab","LM0080",2,99.23273657289,"Day10_.g",NA
"231","9dpi","Eflab","LM0080",2,99.23273657289,"Day11_.g",NA
"232","9dpi","Efwild","LM0030",2,100,"Day.1_.g",36.8
"233","9dpi","Efwild","LM0030",2,100,"Day2_.g",36.8
"234","9dpi","Efwild","LM0030",2,100,"Day3_.g",36.1
"235","9dpi","Efwild","LM0030",2,100,"Day4_.g",36.4
"236","9dpi","Efwild","LM0030",2,100,"Day5_.g",35.9
"237","9dpi","Efwild","LM0030",2,100,"Day6_.g",35.9
"238","9dpi","Efwild","LM0030",2,100,"Day7_.g",36.2
"239","9dpi","Efwild","LM0030",2,100,"Day8_.g",34
"240","9dpi","Efwild","LM0030",2,100,"Day9_.g",31.9
"241","9dpi","Efwild","LM0030",2,100,"Day10_.g",NA
"242","9dpi","Efwild","LM0030",2,100,"Day11_.g",NA
"243","9dpi","EI64","LM0066",2,96.7261904761905,"Day.1_.g",33.6
"244","9dpi","EI64","LM0066",2,96.7261904761905,"Day2_.g",32.5
"245","9dpi","EI64","LM0066",2,96.7261904761905,"Day3_.g",32.3
"246","9dpi","EI64","LM0066",2,96.7261904761905,"Day4_.g",31.6
"247","9dpi","EI64","LM0066",2,96.7261904761905,"Day5_.g",30.9
"248","9dpi","EI64","LM0066",2,96.7261904761905,"Day6_.g",32.4
"249","9dpi","EI64","LM0066",2,96.7261904761905,"Day7_.g",33
"250","9dpi","EI64","LM0066",2,96.7261904761905,"Day8_.g",33.7
"251","9dpi","EI64","LM0066",2,96.7261904761905,"Day9_.g",32.8
"252","9dpi","EI64","LM0066",2,96.7261904761905,"Day10_.g",NA
"253","9dpi","EI64","LM0066",2,96.7261904761905,"Day11_.g",NA
"254","9dpi","Uninf","LM0089",2,100,"Day.1_.g",40
"255","9dpi","Uninf","LM0089",2,100,"Day2_.g",40
"256","9dpi","Uninf","LM0089",2,100,"Day3_.g",35.1
"257","9dpi","Uninf","LM0089",2,100,"Day4_.g",36
"258","9dpi","Uninf","LM0089",2,100,"Day5_.g",35
"259","9dpi","Uninf","LM0089",2,100,"Day6_.g",34
"260","9dpi","Uninf","LM0089",2,100,"Day7_.g",35
"261","9dpi","Uninf","LM0089",2,100,"Day8_.g",36
"262","9dpi","Uninf","LM0089",2,100,"Day9_.g",36.3
"263","9dpi","Uninf","LM0089",2,100,"Day10_.g",NA
"264","9dpi","Uninf","LM0089",2,100,"Day11_.g",NA
"265","11dpi","Eflab","LM0021",2,97.2222222222222,"Day.1_.g",36
"266","11dpi","Eflab","LM0021",2,97.2222222222222,"Day2_.g",35
"267","11dpi","Eflab","LM0021",2,97.2222222222222,"Day3_.g",34.5
"268","11dpi","Eflab","LM0021",2,97.2222222222222,"Day4_.g",35.2
"269","11dpi","Eflab","LM0021",2,97.2222222222222,"Day5_.g",34.8
"270","11dpi","Eflab","LM0021",2,97.2222222222222,"Day6_.g",35.4
"271","11dpi","Eflab","LM0021",2,97.2222222222222,"Day7_.g",32
"272","11dpi","Eflab","LM0021",2,97.2222222222222,"Day8_.g",27.7
"273","11dpi","Eflab","LM0021",2,97.2222222222222,"Day9_.g",25
"274","11dpi","Eflab","LM0021",2,97.2222222222222,"Day10_.g",33.5
"275","11dpi","Eflab","LM0021",2,97.2222222222222,"Day11_.g",33.5
"276","11dpi","Efwild","LM0048",2,100.564971751412,"Day.1_.g",35.4
"277","11dpi","Efwild","LM0048",2,100.564971751412,"Day2_.g",35.6
"278","11dpi","Efwild","LM0048",2,100.564971751412,"Day3_.g",35.4
"279","11dpi","Efwild","LM0048",2,100.564971751412,"Day4_.g",35.8
"280","11dpi","Efwild","LM0048",2,100.564971751412,"Day5_.g",35.3
"281","11dpi","Efwild","LM0048",2,100.564971751412,"Day6_.g",35.4
"282","11dpi","Efwild","LM0048",2,100.564971751412,"Day7_.g",34.7
"283","11dpi","Efwild","LM0048",2,100.564971751412,"Day8_.g",30.2
"284","11dpi","Efwild","LM0048",2,100.564971751412,"Day9_.g",25
"285","11dpi","Efwild","LM0048",2,100.564971751412,"Day10_.g",24.5
"286","11dpi","Efwild","LM0048",2,100.564971751412,"Day11_.g",23.5
"287","11dpi","EI64","LM0072",2,94.6107784431138,"Day.1_.g",33.4
"288","11dpi","EI64","LM0072",2,94.6107784431138,"Day2_.g",31.6
"289","11dpi","EI64","LM0072",2,94.6107784431138,"Day3_.g",35.4
"290","11dpi","EI64","LM0072",2,94.6107784431138,"Day4_.g",30
"291","11dpi","EI64","LM0072",2,94.6107784431138,"Day5_.g",28
"292","11dpi","EI64","LM0072",2,94.6107784431138,"Day6_.g",30.5
"293","11dpi","EI64","LM0072",2,94.6107784431138,"Day7_.g",31.6
"294","11dpi","EI64","LM0072",2,94.6107784431138,"Day8_.g",32.6
"295","11dpi","EI64","LM0072",2,94.6107784431138,"Day9_.g",33.8
"296","11dpi","EI64","LM0072",2,94.6107784431138,"Day10_.g",34.3
"297","11dpi","EI64","LM0072",2,94.6107784431138,"Day11_.g",34.4
"298","11dpi","Uninf","LM0032",2,101.764705882353,"Day.1_.g",34
"299","11dpi","Uninf","LM0032",2,101.764705882353,"Day2_.g",34.6
"300","11dpi","Uninf","LM0032",2,101.764705882353,"Day3_.g",35
"301","11dpi","Uninf","LM0032",2,101.764705882353,"Day4_.g",34
"302","11dpi","Uninf","LM0032",2,101.764705882353,"Day5_.g",34
"303","11dpi","Uninf","LM0032",2,101.764705882353,"Day6_.g",34
"304","11dpi","Uninf","LM0032",2,101.764705882353,"Day7_.g",34
"305","11dpi","Uninf","LM0032",2,101.764705882353,"Day8_.g",34
"306","11dpi","Uninf","LM0032",2,101.764705882353,"Day9_.g",34
"307","11dpi","Uninf","LM0032",2,101.764705882353,"Day10_.g",34
"308","11dpi","Uninf","LM0032",2,101.764705882353,"Day11_.g",34.5
"309","11dpi","Eflab","LM0025",2,99.7619047619048,"Day.1_.g",42
"310","11dpi","Eflab","LM0025",2,99.7619047619048,"Day2_.g",41.9
"311","11dpi","Eflab","LM0025",2,99.7619047619048,"Day3_.g",40.5
"312","11dpi","Eflab","LM0025",2,99.7619047619048,"Day4_.g",41
"313","11dpi","Eflab","LM0025",2,99.7619047619048,"Day5_.g",41
"314","11dpi","Eflab","LM0025",2,99.7619047619048,"Day6_.g",40
"315","11dpi","Eflab","LM0025",2,99.7619047619048,"Day7_.g",39.4
"316","11dpi","Eflab","LM0025",2,99.7619047619048,"Day8_.g",35.5
"317","11dpi","Eflab","LM0025",2,99.7619047619048,"Day9_.g",32.3
"318","11dpi","Eflab","LM0025",2,99.7619047619048,"Day10_.g",31.8
"319","11dpi","Eflab","LM0025",2,99.7619047619048,"Day11_.g",33
"320","11dpi","Efwild","LM0027",2,99.2753623188406,"Day.1_.g",27.6
"321","11dpi","Efwild","LM0027",2,99.2753623188406,"Day2_.g",27.4
"322","11dpi","Efwild","LM0027",2,99.2753623188406,"Day3_.g",28.3
"323","11dpi","Efwild","LM0027",2,99.2753623188406,"Day4_.g",27
"324","11dpi","Efwild","LM0027",2,99.2753623188406,"Day5_.g",28.4
"325","11dpi","Efwild","LM0027",2,99.2753623188406,"Day6_.g",28.4
"326","11dpi","Efwild","LM0027",2,99.2753623188406,"Day7_.g",27.4
"327","11dpi","Efwild","LM0027",2,99.2753623188406,"Day8_.g",24.7
"328","11dpi","Efwild","LM0027",2,99.2753623188406,"Day9_.g",22.8
"329","11dpi","Efwild","LM0027",2,99.2753623188406,"Day10_.g",21.1
"330","11dpi","Efwild","LM0027",2,99.2753623188406,"Day11_.g",24.7
"331","11dpi","EI64","LM0078",2,101.734104046243,"Day.1_.g",34.6
"332","11dpi","EI64","LM0078",2,101.734104046243,"Day2_.g",35.2
"333","11dpi","EI64","LM0078",2,101.734104046243,"Day3_.g",34.3
"334","11dpi","EI64","LM0078",2,101.734104046243,"Day4_.g",34
"335","11dpi","EI64","LM0078",2,101.734104046243,"Day5_.g",32.6
"336","11dpi","EI64","LM0078",2,101.734104046243,"Day6_.g",34.4
"337","11dpi","EI64","LM0078",2,101.734104046243,"Day7_.g",34.1
"338","11dpi","EI64","LM0078",2,101.734104046243,"Day8_.g",34.9
"339","11dpi","EI64","LM0078",2,101.734104046243,"Day9_.g",35
"340","11dpi","EI64","LM0078",2,101.734104046243,"Day10_.g",35
"341","11dpi","EI64","LM0078",2,101.734104046243,"Day11_.g",34.9
"342","11dpi","Uninf","LM0049",2,97.0588235294118,"Day.1_.g",34
"343","11dpi","Uninf","LM0049",2,97.0588235294118,"Day2_.g",33
"344","11dpi","Uninf","LM0049",2,97.0588235294118,"Day3_.g",33.8
"345","11dpi","Uninf","LM0049",2,97.0588235294118,"Day4_.g",34
"346","11dpi","Uninf","LM0049",2,97.0588235294118,"Day5_.g",34
"347","11dpi","Uninf","LM0049",2,97.0588235294118,"Day6_.g",34.6
"348","11dpi","Uninf","LM0049",2,97.0588235294118,"Day7_.g",34
"349","11dpi","Uninf","LM0049",2,97.0588235294118,"Day8_.g",34
"350","11dpi","Uninf","LM0049",2,97.0588235294118,"Day9_.g",33.4
"351","11dpi","Uninf","LM0049",2,97.0588235294118,"Day10_.g",34
"352","11dpi","Uninf","LM0049",2,97.0588235294118,"Day11_.g",34
"353","11dpi","Eflab","LM0031",2,100.305810397554,"Day.1_.g",32.7
"354","11dpi","Eflab","LM0031",2,100.305810397554,"Day2_.g",32.8
"355","11dpi","Eflab","LM0031",2,100.305810397554,"Day3_.g",36.5
"356","11dpi","Eflab","LM0031",2,100.305810397554,"Day4_.g",32.1
"357","11dpi","Eflab","LM0031",2,100.305810397554,"Day5_.g",32.9
"358","11dpi","Eflab","LM0031",2,100.305810397554,"Day6_.g",32.6
"359","11dpi","Eflab","LM0031",2,100.305810397554,"Day7_.g",31.4
"360","11dpi","Eflab","LM0031",2,100.305810397554,"Day8_.g",28
"361","11dpi","Eflab","LM0031",2,100.305810397554,"Day9_.g",25
"362","11dpi","Eflab","LM0031",2,100.305810397554,"Day10_.g",23.2
"363","11dpi","Eflab","LM0031",2,100.305810397554,"Day11_.g",23.1
"364","11dpi","Efwild","LM0054",2,100.645161290323,"Day.1_.g",31
"365","11dpi","Efwild","LM0054",2,100.645161290323,"Day2_.g",31.2
"366","11dpi","Efwild","LM0054",2,100.645161290323,"Day3_.g",30.9
"367","11dpi","Efwild","LM0054",2,100.645161290323,"Day4_.g",30.4
"368","11dpi","Efwild","LM0054",2,100.645161290323,"Day5_.g",30.8
