labels,EH_ID,dpi,weight,weight_dpi0,Wchange,fecweight
FGW,LM0265,4,25.91,26.43,98.03253878,1.09
FGH,LM0295,7,20.4,21.31,95.72970436,1.43
EWX,LM0272,1,22.6,22.77,99.2534036,1.83
ESY,LM0276,3,32.1,29.59,108.4825955,2.38
EPQ,LM0287,4,19.89,18.83,105.6293149,0.88
EMP,LM0291,1,24.8,24.85,99.79879276,1.69
ELU,LM0287,2,19.96,18.83,106.0010621,1.43
ELQ,LM0277,0,23.88,23.88,100,0.78
EKV,LM0270,7,22.62,23.89,94.68396819,1.4
EJO,LM0292,6,22.1,22.15,99.77426637,1.24
EIV,LM0269,2,21.65,21.6,100.2314815,1.61
EIS,LM0265,3,26.41,26.43,99.92432841,1.47
EHR,LM0276,5,30.47,29.59,102.9739777,3.5
EHI,LM0292,2,21.63,22.15,97.6523702,2.58
EGK,LM0292,0,22.15,22.15,100,1.24
EFU,LM0277,7,24.1,23.88,100.921273,1.13
DVW,LM0280,7,18.64,17.57,106.089926,1.17
DUY,LM0286,7,20.14,19.07,105.6109072,1.14
DTV,LM0276,7,31.27,29.59,105.6775938,2.6
DTU,LM0278,8,22.24,20.88,106.51341,1.17
DRT,LM0295,4,20.2,21.31,94.79117785,1.07
DMZ,LM0291,5,24.71,24.85,99.43661972,2.3
DMR,LM0295,3,20.29,21.31,95.21351478,1.82
DKV,LM0286,3,20.3,19.07,106.4499213,1.57
DKM,LM0265,0,26.43,26.43,100,1.39
DIS,LM0273,7,21.72,21.7,100.0921659,1.94
DIP,LM0289,0,23.93,23.93,100,1.61
DHY,LM0278,6,22.59,20.88,108.1896552,1.77
DHV,LM0288,2,20.41,19.74,103.3941236,3.54
DHI,LM0263,2,22.28,21.25,104.8470588,1.67
DGQ,LM0286,1,19.47,19.07,102.0975354,2.2
DFQ,LM0286,2,19.46,19.07,102.045097,2.42
DFL,LM0287,1,19.02,18.83,101.0090281,1.46
DEK,LM0295,0,21.31,21.31,100,1.14
CWZ,LM0286,8,20.41,19.07,107.0267436,1.44
CTU,LM0272,4,23.14,22.77,101.6249451,1.17
CRX,LM0284,2,22.43,22.39,100.1786512,2.2
CRV,LM0285,0,19.43,19.43,100,1.49
CPW,LM0291,7,24.16,24.85,97.22334004,1.95
COW,LM0295,8,NA,21.31,NA,1.87
COP,LM0288,0,19.74,19.74,100,2.29
CMQ,LM0285,4,19.21,19.43,98.86773031,0.77
CLX,LM0273,3,21.47,21.7,98.94009217,1.82
CLV,LM0285,6,19.37,19.43,99.69119918,1
CKT,LM0260,0,29.02,29.02,100,1.21
CKS,LM0272,2,23.14,22.77,101.6249451,1.68
CIW,LM0288,8,19.97,19.74,101.1651469,1.37
CIM,LM0278,5,21.09,20.88,101.0057471,2.53
CHZ,LM0285,3,19.68,19.43,101.2866701,2.01
CHM,LM0263,5,22.05,21.25,103.7647059,1.66
CHL,LM0294,0,17.02,17.02,100,0.92
CGR,LM0283,4,19.54,19.1,102.3036649,1.05
CGI,LM0295,2,20.51,21.31,96.24589395,2.07
CFV,LM0262,2,21.95,21.13,103.8807383,1.65
CFU,LM0293,6,20.57,20.74,99.18032787,1.47
CER,LM0289,3,22.66,23.93,94.69285416,2.22
CEK,LM0277,8,23.62,23.88,98.91122278,1.52
BTZ,LM0270,4,22.6,23.89,94.60025115,1.75
BTV,LM0292,5,20.95,22.15,94.58239278,1.41
BRZ,LM0277,2,23.99,23.88,100.4606365,1.54
BQY,LM0291,8,NA,24.85,NA,1.04
BQV,LM0273,4,22.17,21.7,102.1658986,1.43
BNW,LM0293,4,20.76,20.74,100.096432,0.81
BNT,LM0286,4,19.36,19.07,101.5207132,1.36
BNQ,LM0279,0,21.35,21.35,100,1.09
BMX,LM0285,8,19.66,19.43,101.1837365,1.4
BMS,LM0279,5,20.86,21.35,97.70491803,1.32
BMR,LM0283,3,18.88,19.1,98.84816754,1.12
BLW,LM0292,1,21.89,22.15,98.8261851,1.26
BKY,LM0265,2,26.3,26.43,99.5081347,2.54
BKV,LM0262,4,22.96,21.13,108.660672,1.04
BIW,LM0269,0,21.6,21.6,100,1
BIT,LM0285,2,19.05,19.43,98.04426145,1.33
BIN,LM0277,6,24.21,23.88,101.3819095,1.9
BIJ,LM0263,4,22.37,21.25,105.2705882,0.98
BHX,LM0279,4,21.64,21.35,101.3583138,0.68
BGY,LM0276,8,31.04,29.59,104.9003042,1
BGV,LM0270,5,22.61,23.89,94.64210967,2.08
BGP,LM0294,2,17.09,17.02,100.4112808,0.82
BGI,LM0286,6,20.02,19.07,104.9816466,1.74
BEV,LM0285,7,19.01,19.43,97.83839424,1.06
BDP,LM0276,2,30.37,29.59,102.6360257,1.87
BCF,LM0288,5,18.99,19.74,96.2006079,1.45
AYZ,LM0272,8,22.78,22.77,100.0439174,1.48
AWX,LM0283,6,19.3,19.1,101.0471204,1.59
AVW,LM0280,6,18.55,17.57,105.5776892,2.72
AUZ,LM0260,6,26,29.02,89.59338387,2.76
AUW,LM0282,3,32.85,30.09,109.1724826,1.65
ATW,LM0293,1,13.85,20.74,66.77917068,1.39
AST,LM0287,3,20.03,18.83,106.3728093,1.27
ART,LM0277,5,21.36,23.88,89.44723618,1.61
ARS,LM0270,3,22.9,23.89,95.8560067,1.18
AQY,LM0269,6,19.71,21.6,91.25,1.31
AOZ,LM0270,2,24.55,23.89,102.7626622,2.23
AOT,LM0272,0,22.77,22.77,100,0.83
ANY,LM0295,5,20.33,21.31,95.40122008,2.98
AMV,LM0262,5,21.94,21.13,103.8334122,1.72
AKS,LM0263,1,21.82,21.25,102.6823529,2.22
AKL,LM0289,1,23.6,23.93,98.62097785,1.75
AJN,LM0283,7,19.07,19.1,99.84293194,1.13
AIZ,LM0293,5,19.76,20.74,95.27483124,1.18
AHV,LM0273,0,21.7,21.7,100,1.82
AHU,LM0265,6,23.73,26.43,89.78433598,2.06
AHT,LM0293,3,20.74,20.74,100,1.35
AGL,LM0289,5,21.73,23.93,90.80651901,2.85
AFP,LM0265,5,25.3,26.43,95.72455543,2.51
AFK,LM0275,2,21.51,20.83,103.2645223,1.3
AEG,LM0288,3,19.93,19.74,100.9625127,1.3
ADS,LM0277,1,24.07,23.88,100.7956449,1.69
ADF,LM0295,1,20.37,21.31,95.58892539,1.47
ACW,LM0285,1,19.26,19.43,99.12506433,1.67
ACH,LM0275,7,22.93,20.83,110.0816131,1.13
ABW,LM0276,1,30.73,29.59,103.8526529,2.22
ABP,LM0277,3,24.49,23.88,102.5544389,1.62
ABO,LM0262,8,22.95,21.13,108.613346,1.42
ABL,LM0275,4,22.54,20.83,108.2093135,0.84
ABC,LM0282,7,34.57,30.09,114.8886673,1.64
