"EH_ID","labels","dpi","OPG","IFNy_FEC","IFNy_CEWE","Caecum","delta","CXCR3","IRG6","IL.12","CD4","Treg","Div_Treg","Treg17","Treg_prop","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","experiment"
"LM_0264","E7aADL",8,0,15.6812526580593,12.6543617317481,"neg",-10.02,-7.4725,-1.0475,-4.9125,54.265,9.475,10.55,4.22,90.525,1.425,22.075,1.07,31.665,27.88,6.615,10.91,1.11,0.395,20.565,"E57"
"LM_0265","E7bIMQ",8,1020.40816326531,NA,24.5913139705393,"neg",-11.42,-5.5275,-15.3325,-6.5675,48.49,5.22,36.585,17.105,94.7,3.37,72.075,0.62,38.04,27.135,6.945,43.535,2.015,1.225,11.53,"E57"
"LM_0266","E7aIOS",8,0,9.65487230528789,1.04028249056332,"neg",-8.25,-8.0425,0.862500000000001,-4.0675,56.78,4.835,16.835,13.005,95.165,1.735,11.91,1.12,50.07,18.02,2.365,6.815,1.13,0.385,8.335,"E57"
"LM_0268","E7aGSW",8,0,4.78446213666117,22.2297969084074,"neg",-8.15,-16.435,-8.365,-12.48,67.43,3.9,13,12.72,96.08,1.855,13.035,1.44,19.12,14.64,4.765,7.74,1.825,0.525,15.605,"E57"
"LM_0269","E7bLOT",8,0,NA,28.0476364972057,"pos",-7.91,-6.3075,-13.0275,-3.8175,53.51,4.525,30.58,17.135,95.405,5.615,41.68,0.975,22.355,7.365,16.415,45.83,5.475,0.465,31.365,"E57"
"LM_0270","E7bKMQ",8,0,NA,19.7264528663963,"neg",-9.75,-10.955,-5.455,-8.01,49.935,6.265,43.855,12.8,93.705,5.395,56.13,0.875,30.46,13.72,7.845,51.61,5.17,1.41,21.41,"E57"
"LM_0271","E7aPSU",8,0,1.65664455658793,11.5962495992721,"neg",-9.2,-10.305,-4.755,-8.22,42.86,8.465,8.225,10.045,91.535,1.78,31.145,1.11,63.235,20.855,3.855,10.13,1.36,0.35,8.335,"E57"
"LM_0272","E7bAYZ",8,0,NA,NA,"neg",-10.55,-12.895,-6.865,-9.9,55.305,7.315,22.15,12.34,92.525,1.835,34.18,1.01,12.905,12.335,3.985,23.61,1.225,0.62,10.585,"E57"
"LM_0273","E7bKQW",8,0,NA,16.5237749733482,"neg",-10.42,-7.9625,-3.4275,-6.1625,52.1,5.205,31.795,18.21,94.675,2.74,21.99,0.73,27.275,18.26,2.81,15.015,2.01,0.46,8.88,"E57"
"LM_0275","E7bMNW",8,0,NA,6.05707055172943,"neg",4.14,-9.04,-3.14,-5.23,48.705,11.315,19.245,7.59,88.4,3.11,35.555,1.435,39.995,26.645,17.735,27.745,3.215,0.86,34.27,"E57"
"LM_0276","E7bBGY",8,0,NA,37.2475522517456,"neg",-10.61,-9.66,-3.74,-6.19,42.07,5.53,31.595,9.75,94.4,3.055,29.22,0.84,30.17,7.725,6.5,18.93,3.605,1.315,22.265,"E57"
"LM_0277","E7bCEK",8,0,NA,14.6670411958386,"neg",-10.39,-10.64,-3.945,-6.145,55.005,4.635,17.73,12.165,95.245,1.51,28.17,0.66,9.7,21.5,3.325,12.075,0.41,0.385,3.605,"E57"
"LM_0278","E7bDTU",8,0,NA,27.8926078147264,"neg",-10.99,-9.91,-5.355,-8.825,55.135,4.955,19.55,6.445,94.96,1.305,27.14,0.485,19.2,27.155,3.9,6.5,1.02,0.475,7.42,"E57"
"LM_0279","E7bFPV",8,4545.45454545455,NA,8.41303699477307,"neg",-9.18,-12.4775,-12.0475,-8.6525,48.92,14.3,52.62,14.605,85.59,7.425,79.505,1.73,69.7,21.09,21.605,36.21,2.315,2.34,14.775,"E57"
"LM_0280","E7bMRZ",8,0,NA,54.1465789028593,"pos",-7.12,-10.185,-3.255,-5.19,60.705,3.74,36.475,18.505,96.2,5.28,48.67,1.94,24.22,18.575,8.135,46.22,2.31,0.6,17.46,"E57"
"LM_0282","E7bFRU",8,0,NA,23.307649530542,"neg",-12.69,-5.255,-11.83,-5.85,49.85,4.7,26.94,8.94,95.235,3.02,22.305,1.4,21.805,10.375,6.72,17.135,2.78,0.71,18.35,"E57"
"LM_0283","E7bLYZ",8,0,NA,33.822275433801,"neg",-10.57,-10.3775,-2.8525,-5.16249999999999,53.755,9.235,19.495,6.415,90.6,1.375,27.52,0.83,28.285,29.465,4.22,16.695,0.83,0.745,9.825,"E57"
"LM_0284","E7bLRS",8,1666.66666666667,NA,48.3675947493746,"pos",-6.19,-8.2675,-2.3425,-4.1425,48.38,6.965,36.775,9.39,92.955,4.13,60.855,0.68,27.71,24.34,7.41,46.67,1.325,0.85,4.5,"E57"
"LM_0285","E7bBMX",8,85714.2857142857,NA,52.2081651889237,"pos",-3.11,-1.455,NA,-5.26499999999999,46.695,9.31,34.995,6.33,90.59,2.81,76.265,0.635,46.69,28.86,7.46,43.7,1.455,1.605,7.31,"E57"
"LM_0286","E7bCWZ",8,0,NA,19.5159265822312,"neg",-9.21,-6.12,-1.42,-4.235,58.17,7.095,12.905,5.325,92.62,1.33,22.6,0.63,23.055,33.33,8.91,6.915,0.4,0.43,5.01,"E57"
"LM_0287","E7bPRZ",8,1968.50393700787,NA,52.366947921615,"pos",-6.34,7.7525,19.7025,NA,50.8,9.805,35.235,8.23,90.045,5.48,76.185,1.43,59.04,34.585,15.035,35.205,1.54,1.405,9.265,"E57"
"LM_0288","E7bCIW",8,0,NA,32.5857551761345,"neg",-8.79,-10.505,-5.495,-8.07,57.615,5.52,13.72,5.7,94.32,1.235,29.35,0.59,20.91,32.53,7.58,9.96,0.43,0.335,4.315,"E57"
"LM_0289","E7bPSV",8,0,NA,11.1755693464102,"neg",-9.18,-9.55,-3.315,-7.37,67.755,3.245,22.775,17.04,96.645,1.835,15.255,1.08,12.22,14.995,5.16,6.565,1.07,0.18,9.73,"E57"
"LM_0291","E7bBQY",8,52884.6153846154,NA,110.035712563026,"pos",1.21,NA,NA,NA,42.085,9.84,37.85,8.35,89.995,7.57,71.14,1.005,41.105,30.975,27.805,38.4,3.785,1.43,12.825,"E57"
"LM_0292","E7bMOR",8,0,NA,22.3339434737452,"neg",-7.97,NA,NA,NA,54.71,7,17.57,9.18,92.895,1.315,26.475,0.925,25.815,26.945,9.665,10.63,0.665,0.545,7.805,"E57"
"LM_0294","E7bFLN",8,37500,NA,177.312730924564,"pos",11.61,-10.5775,-3.1975,-5.0975,48.125,10.595,33.98,5.645,89.265,4.17,58.705,0.52,39.065,28.025,12.985,49.65,2.52,2.04,14.905,"E57"
