"","challenge","CXCR3","delta","dpi","EH_ID","Eim_MC","faeces_weight","HybridStatus","IFNy_CEWE","IFNy_FEC","IL.12","infHistory","IRG6","labels","OPG","primary","Strain","weight","weight_dpi0","Wchange","EXP","currentInf"
"89","E64",NA,NA,7,"LM_0336",NA,3.37,NA,NA,NA,NA,"E88:E64",NA,"P3aWTG",234421.364985163,"E88","SWISS",49.7,51.9,95.7610789980732,"P3","E88"
"90","E64",NA,NA,3,"LM_0342",NA,1.8,NA,NA,4.06682666577567,NA,"E139:E64",NA,"P3aXYE",0,"E139","SWISS",56.3,57,98.7719298245614,"P3","E139"
"91","E88",NA,NA,9,"LM_0332",NA,0.64,NA,NA,NA,NA,"Eflab:E88",NA,"P3aYJG",242187.5,"Eflab","SWISS",49.9,61.2,81.5359477124183,"P3","Eflab"
"92","E88",NA,NA,8,"LM_0347",NA,4.86,NA,NA,NA,NA,"E88:E88",NA,"P3aYMT",187242.798353909,"E88","SWISS",63.7,71.5,89.0909090909091,"P3","E88"
"93","E64",NA,NA,6,"LM_0342",NA,1.96,NA,NA,25.4754716010109,NA,"E139:E64",NA,"P3aYNS",627551.020408163,"E139","SWISS",52.7,57,92.4561403508772,"P3","E139"
"94","UNI",NA,NA,11,"LM_0335",NA,3.06,NA,NA,NA,NA,"E88:UNI",NA,"P3aYTP",19607.8431372549,"E88","SWISS",43.6,49.4,88.2591093117409,"P3","E88"
"95","UNI",NA,NA,6,"LM_0346",NA,3.92,NA,NA,247.11678102021,NA,"UNI:UNI",NA,"P3aZQY",0,"UNI","SWISS",52.5,53.9,97.4025974025974,"P3","UNI"
"96","E88",NA,NA,6,"LM_0338",NA,0.7,NA,NA,264.226489898267,NA,"E64:E88",NA,"P3aZTI",514285.714285714,"E64","SWISS",45.3,51.3,88.3040935672515,"P3","E64"
"97","E64",NA,NA,5,"LM_0336",NA,0.67,NA,NA,NA,NA,"E88:E64",NA,"P3bAGV",649253.731343284,"E88","SWISS",46,52.3,95.4110898661568,"P3","E64"
"98","UNI",NA,NA,6,"LM_0337",NA,1.59,NA,NA,NA,NA,"E88:UNI",NA,"P3bAHV",0,"E88","SWISS",44.4,44.9,98.8864142538975,"P3","UNI"
"99","E64",NA,NA,3,"LM_0342",NA,1.87,NA,NA,NA,NA,"E139:E64",NA,"P3bBPM",8021.39037433155,"E139","SWISS",51.2,55.6,94.2446043165468,"P3","E64"
"100","E88",NA,NA,7,"LM_0341",NA,1.98,NA,NA,NA,NA,"E139:E88",NA,"P3bBPO",540404.04040404,"E139","SWISS",54.5,58.1,93.8037865748709,"P3","E88"
"101","E64",NA,NA,5,"LM_0339",NA,1.11,NA,NA,NA,NA,"E64:E64",NA,"P3bBUX",445945.945945946,"E64","SWISS",44.7,48.5,95.2577319587629,"P3","E64"
