labels,EH_ID,dpi,weight,weightloss,relative_weight,feces_weight,,weight_dpi0
HQT,LM0148,11,17.6,NA,100,1.65,,17.6
EHI,LM0149,11,22.6,NA,109.178743961353,0.78,,20.7
LOW,LM0150,11,19.6,NA,101.554404145078,1.44,,19.3
HSV,LM0151,11,30.1,NA,102.033898305085,0.88,,29.5
CGO,LM0152,11,18.7,NA,103.314917127072,0.73,,18.1
JSY,LM0153,11,13.3,NA,104.724409448819,0.52,,12.7
AEG,LM0154,11,14.1,NA,94,1.17,,15
DGL,LM0155,11,NA,NA,NA,NA,,NA
EGI,LM0156,11,17.7,NA,100.568181818182,1.31,,17.6
FOV,LM0157,11,27.7,NA,106.949806949807,1.22,,25.9
BQS,LM0158,11,33.3,NA,110.63122923588,1.05,,30.1
GJM,LM0159,11,15.7,NA,99.3670886075949,1.34,,15.8
EKT,LM0160,11,NA,NA,NA,NA,,12.4
GQR,LM0161,11,38.3,NA,104.644808743169,1.02,,36.6
FIZ,LM0162,11,16.7,NA,96.5317919075144,1.48,,17.3
EIN,LM0163,11,17,NA,98.2658959537572,1.34,,17.3
AKU,LM0164,11,22.3,NA,93.6974789915966,0.79,,23.8
KSZ,LM0165,11,20.9,NA,102.955665024631,1.22,,20.3
BOY,LM0166,11,31.8,NA,105.298013245033,0.65,,30.2
HNS,LM0167,11,13.9,NA,102.962962962963,0.6,,13.5
KRW,LM0168,11,NA,NA,NA,NA,,27
BDJ,LM0169,11,14.2,NA,96.5986394557823,0.6,,14.7
ATW,LM0170,11,21.6,NA,96.4285714285714,1.5,,22.4
LPZ,LM0171,11,13.8,NA,98.5714285714286,0.92,,14
BHL,LM0172,11,18.8,NA,98.9473684210526,3.1,,19
BJY,LM0173,11,15.5,NA,101.307189542484,2.19,,15.3
DVX,LM0174,11,18.1,NA,107.100591715976,1.45,,16.9
GWX,LM0175,11,26.9,NA,101.509433962264,1.4,,26.5
CFJ,LM0176,11,21.4,NA,95.1111111111111,1.07,,22.5
KPT,LM0177,11,15.3,NA,103.378378378378,0.66,,14.8
APX,LM0178,11,18.1,NA,100,1.65,,18.1
