labels,experiment,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,OPG,dilution
P3aSVD,P3,5,2,2,2,2.75,67901.2345679012,1
P3aSVZ,P3,0,0,0,0,0,0,1
P3aSWK,P3,0,0,0,0,0,0,1
P3aTBA,P3,NA,NA,NA,NA,NA,NA,NA
P3aTCS,P3,NA,NA,NA,NA,NA,NA,NA
P3aTKS,P3,NA,NA,NA,NA,NA,NA,NA
P3aTLE,P3,NA,NA,NA,NA,NA,NA,NA
P3aTNB,P3,NA,NA,NA,NA,NA,NA,NA
P3aTOW,P3,0,0,0,0,0,0,1
P3aTQH,P3,0,0,0,0,0,0,1
P3aTQK,P3,102,63,87,81,83.25,603260.869565217,1
P3aTSI,P3,17,19,34,20,22.5,236842.105263158,1
P3aTSY,P3,66,68,64,61,64.75,1505813.95348837,1
P3aTVC,P3,0,0,0,0,0,0,1
P3aUAS,P3,22,23,15,25,21.25,179324.894514768,1
P3aULZ,P3,NA,NA,NA,NA,NA,NA,NA
P3aURW,P3,4,5,7,8,6,126315.789473684,1
P3aUWS,P3,0,0,0,0,0,0,1
P3aUXG,P3,30,35,34,38,34.25,249090.909090909,1
P3aUZT,P3,0,0,1,0,0.25,4310.34482758621,1
P3aVAC,P3,NA,NA,NA,NA,NA,NA,NA
P3aVEB,P3,NA,NA,NA,NA,NA,NA,NA
P3aVKX,P3,46,41,37,39,40.75,582142.857142857,1
P3aVQF,P3,NA,NA,NA,NA,NA,NA,NA
P3aVUI,P3,NA,NA,NA,NA,NA,NA,NA
P3aWEK,P3,NA,NA,NA,NA,NA,NA,NA
P3aWMH,P3,NA,NA,NA,NA,NA,NA,NA
P3aWMM,P3,20,24,21,17,20.5,227777.777777778,1
P3aWRE,P3,NA,NA,NA,NA,NA,NA,NA
P3aWSE,P3,3,4,4,5,4,51948.0519480519,1
P3aWTG,P3,31,31,41,55,39.5,234421.364985163,1
P3aXBC,P3,NA,NA,NA,NA,NA,NA,NA
P3aXUQ,P3,NA,NA,NA,NA,NA,NA,NA
P3aXVS,P3,NA,NA,NA,NA,NA,NA,NA
P3aXYE,P3,0,0,0,0,0,0,1
P3aYJG,P3,7,9,8,7,7.75,242187.5,1
P3aYKB,P3,NA,NA,NA,NA,NA,NA,NA
P3aYKT,P3,NA,NA,NA,NA,NA,NA,NA
P3aYKY,P3,NA,NA,NA,NA,NA,NA,NA
P3aYLP,P3,NA,NA,NA,NA,NA,NA,NA
P3aYMT,P3,45,49,41,47,45.5,187242.798353909,1
P3aYNS,P3,62,63,70,51,61.5,627551.020408163,1
P3aYTP,P3,4,3,3,2,3,19607.8431372549,1
P3aYTT,P3,NA,NA,NA,NA,NA,NA,NA
P3aYUI,P3,NA,NA,NA,NA,NA,NA,NA
P3aYYU,P3,NA,NA,NA,NA,NA,NA,NA
P3aZGF,P3,NA,NA,NA,NA,NA,NA,NA
P3aZPZ,P3,NA,NA,NA,NA,NA,NA,NA
P3aZQY,P3,0,0,0,0,0,0,1
P3aZTI,P3,18,17,16,21,18,514285.714285714,1
P3aZTL,P3,NA,NA,NA,NA,NA,NA,NA
P3aZUX,P3,NA,NA,NA,NA,NA,NA,NA
P3aZXF,P3,NA,NA,NA,NA,NA,NA,NA
P3bAGV,P3,23,16,21,27,21.75,649253.731343284,1
P3bAHV,P3,0,0,0,0,0,0,1
P3bAOV,P3,NA,NA,NA,NA,NA,NA,NA
P3bBHI,P3,NA,NA,NA,NA,NA,NA,NA
P3bBPM,P3,2,0,1,0,0.75,8021.39037433155,1
P3bBPO,P3,48,54,53,59,53.5,540404.04040404,1
P3bBQA,P3,0,0,0,0,0,0,1
P3bBTL,P3,NA,NA,NA,NA,NA,NA,NA
P3bBUX,P3,34,16,27,22,24.75,445945.945945946,1
P3bBWS,P3,18,22,19,20,19.75,448863.636363636,1
P3bBZL,P3,NA,NA,NA,NA,NA,NA,NA
P3bCRA,P3,8,2,5,4,4.75,32758.6206896552,1
P3bCTS,P3,NA,NA,NA,NA,NA,NA,NA
P3bDGY,P3,10,13,13,19,13.75,162721.893491124,1
P3bECK,P3,NA,NA,NA,NA,NA,NA,NA
P3bEFI,P3,1,0,2,1,1,19230.7692307692,1
P3bERF,P3,NA,NA,NA,NA,NA,NA,NA
P3bEVI,P3,NA,NA,NA,NA,NA,NA,NA
P3bEVN,P3,NA,NA,NA,NA,NA,NA,NA
P3bEVY,P3,NA,NA,NA,NA,NA,NA,NA
P3bEWH,P3,NA,NA,NA,NA,NA,NA,NA
P3bFLD,P3,0,0,0,0,0,0,1
P3bFMI,P3,0,2,0,1,0.75,5660.37735849057,1
P3bFPD,P3,2,0,0,0,0.5,5988.02395209581,1
P3bFUT,P3,NA,NA,NA,NA,NA,NA,NA
P3bFVQ,P3,NA,NA,NA,NA,NA,NA,NA
P3bFWC,P3,NA,NA,NA,NA,NA,NA,NA
P3bFWG,P3,8,5,9,10,8,106666.666666667,1
P3bFYX,P3,98,92,82,79,87.75,895408.163265306,1
P3bHET,P3,NA,NA,NA,NA,NA,NA,NA
P3bHPH,P3,NA,NA,NA,NA,NA,NA,NA
P3bHSH,P3,NA,NA,NA,NA,NA,NA,NA
P3bHSI,P3,NA,NA,NA,NA,NA,NA,NA
P3bHYO,P3,2,2,2,4,2.5,23474.1784037559,1
P3bIAU,P3,NA,NA,NA,NA,NA,NA,NA
P3bICF,P3,NA,NA,NA,NA,NA,NA,NA
P3bIHD,P3,NA,NA,NA,NA,NA,NA,NA
P3bIIT,P3,0,0,0,0,0,0,1
P3bINX,P3,0,0,0,0,0,0,1
P3bIPY,P3,0,0,0,0,0,0,1
P3bISY,P3,NA,NA,NA,NA,NA,NA,NA
P3bJAH,P3,1,0,0,0,0.25,1824.81751824818,1
P3bJAT,P3,NA,NA,NA,NA,NA,NA,NA
P3bJRF,P3,71,67,77,81,74,743718.592964824,1
P3bJUN,P3,NA,NA,NA,NA,NA,NA,NA
P3bJVY,P3,0,0,0,0,0,0,1
P3bKLB,P3,NA,NA,NA,NA,NA,NA,NA
P3bKMJ,P3,1,0,0,0,0.25,3496.5034965035,1
P3bKTN,P3,NA,NA,NA,NA,NA,NA,NA
P3bLAV,P3,0,0,0,0,0,0,1
P3bLBS,P3,10,11,6,8,8.75,198863.636363636,1
P3bLCA,P3,0,0,0,0,0,0,1
P3bLFC,P3,56,64,49,57,56.5,1130000,1
P3bLNN,P3,NA,NA,NA,NA,NA,NA,NA
P3bLOR,P3,0,0,0,0,0,0,1
P3bLSG,P3,0,0,0,0,0,0,1
P3bLZC,P3,NA,NA,NA,NA,NA,NA,NA
P3bMRS,P3,NA,NA,NA,NA,NA,NA,NA
P3bMUY,P3,32,34,29,39,33.5,690721.649484536,1
P3bNPG,P3,NA,NA,NA,NA,NA,NA,NA
P3bNQG,P3,0,0,1,3,1,25316.4556962025,1
P3bNSX,P3,0,0,0,0,0,0,1
P3bNYU,P3,8,8,4,5,6.25,160256.41025641,1
P3bNZA,P3,NA,NA,NA,NA,NA,NA,NA
P3bOAH,P3,NA,NA,NA,NA,NA,NA,NA
P3bOCL,P3,NA,NA,NA,NA,NA,NA,NA
P3bOGG,P3,NA,NA,NA,NA,NA,NA,NA
P3bOKQ,P3,NA,NA,NA,NA,NA,NA,NA
P3bOKR,P3,50,42,41,47,45,445544.554455446,1
P3bONI,P3,0,0,0,0,0,0,1
P3bORK,P3,NA,NA,NA,NA,NA,NA,NA
P3bOYV,P3,0,0,NA,0,0,NA,1
P3bPBP,P3,NA,NA,NA,NA,NA,NA,NA
P3bPFK,P3,0,0,0,0,0,0,1
P3bQAP,P3,1,1,0,1,0.75,10067.1140939597,1
P3bQIT,P3,0,0,0,0,0,0,1
P3bQJG,P3,NA,NA,NA,NA,NA,NA,NA
P3bQKK,P3,NA,NA,NA,NA,NA,NA,NA
P3bQOV,P3,0,0,0,0,0,0,1
P3bQSG,P3,NA,NA,NA,NA,NA,NA,NA
P3bQTR,P3,0,0,0,1,0.25,3125,1
P3bRDY,P3,NA,NA,NA,NA,NA,NA,NA
P3bRLW,P3,0,0,0,0,0,0,1
P3bRMA,P3,0,0,0,0,0,0,1
P3bRPF,P3,NA,NA,NA,NA,NA,NA,NA
