"","dpi.diss","inf.strain","EH_ID","dpi_of_perc","perc_of_dpi1"
"LM0075.Day6_.p","7dip","Eflab","LM0075",6,97.5
"LM0094.Day6_.p","7dip","Efwild","LM0094",6,97.6261127596439
"LM0029.Day6_.p","7dip","EI64","LM0029",6,92.2305764411028
"LM0085.Day6_.p","7dip","Uninf","LM0085",6,96.7914438502674
"LM0079.Day6_.p","7dip","Eflab","LM0079",6,97.9827089337176
"LM0024.Day6_.p","7dip","Efwild","LM0024",6,85.5745721271394
"LM0084.Day6_.p","7dip","EI64","LM0084",6,112.011173184358
"LM0042.Day6_.p","7dip","Uninf","LM0042",6,85
"LM0059.Day6_.p","7dip","Eflab","LM0059",6,86.0824742268041
"LM0046.Day6_.p","7dip","Efwild","LM0046",6,93.5323383084577
"LM0043.Day6_.p","7dip","EI64","LM0043",6,89.0274314214464
"LM0065.Day6_.p","7dip","Uninf","LM0065",6,94.4309927360775
"LM0033.Day6_.p","9dpi","Eflab","LM0033",6,93.75
"LM0045.Day6_.p","9dpi","Efwild","LM0045",6,95
"LM0056.Day6_.p","9dpi","EI64","LM0056",6,98.7951807228916
"LM0091.Day6_.p","9dpi","Uninf","LM0091",6,101.408450704225
"LM0073.Day6_.p","9dpi","Eflab","LM0073",6,98.7012987012987
"LM0028.Day6_.p","9dpi","Efwild","LM0028",6,98.314606741573
"LM0035.Day6_.p","9dpi","EI64","LM0035",6,92.436974789916
"LM0023.Day6_.p","9dpi","Uninf","LM0023",6,106.918238993711
"LM0080.Day6_.p","9dpi","Eflab","LM0080",6,96.1636828644501
"LM0030.Day6_.p","9dpi","Efwild","LM0030",6,97.554347826087
"LM0066.Day6_.p","9dpi","EI64","LM0066",6,96.4285714285714
"LM0089.Day6_.p","9dpi","Uninf","LM0089",6,85
"LM0021.Day6_.p","11dpi","Eflab","LM0021",6,98.3333333333333
"LM0048.Day6_.p","11dpi","Efwild","LM0048",6,100
"LM0072.Day6_.p","11dpi","EI64","LM0072",6,91.3173652694611
"LM0032.Day6_.p","11dpi","Uninf","LM0032",6,100
"LM0025.Day6_.p","11dpi","Eflab","LM0025",6,95.2380952380952
"LM0027.Day6_.p","11dpi","Efwild","LM0027",6,102.898550724638
"LM0078.Day6_.p","11dpi","EI64","LM0078",6,99.4219653179191
"LM0049.Day6_.p","11dpi","Uninf","LM0049",6,101.764705882353
"LM0031.Day6_.p","11dpi","Eflab","LM0031",6,99.6941896024465
"LM0054.Day6_.p","11dpi","Efwild","LM0054",6,99.0322580645161
"LM0071.Day6_.p","11dpi","EI64","LM0071",6,87.5
"LM0053.Day6_.p","11dpi","Uninf","LM0053",6,107.142857142857
"LM0075.Day7_.p","7dip","Eflab","LM0075",7,NA
"LM0094.Day7_.p","7dip","Efwild","LM0094",7,NA
"LM0029.Day7_.p","7dip","EI64","LM0029",7,NA
"LM0085.Day7_.p","7dip","Uninf","LM0085",7,NA
"LM0079.Day7_.p","7dip","Eflab","LM0079",7,NA
"LM0024.Day7_.p","7dip","Efwild","LM0024",7,NA
"LM0084.Day7_.p","7dip","EI64","LM0084",7,NA
"LM0042.Day7_.p","7dip","Uninf","LM0042",7,NA
"LM0059.Day7_.p","7dip","Eflab","LM0059",7,NA
"LM0046.Day7_.p","7dip","Efwild","LM0046",7,NA
