"","labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution"
"152","P4aOBO",2,0,1,1,1
"153","P4aOBV",NA,NA,NA,NA,1
"154","P4aODF",NA,NA,NA,NA,1
"155","P4aOEA",0,0,0,0,1
"156","P4aOJF",1,0,0,1,1
"157","P4aONQ",0,0,0,0,1
"158","P4aOUM",0,0,0,0,1
"159","P4aOWI",0,0,0,0,1
"160","P4aOWL",NA,NA,NA,NA,1
"161","P4aOWQ",58,63,68,64,1
"162","P4aOZG",25,23,26,22,1
"163","P4aPBV",81,92,77,84,1
"164","P4aPBX",2,1,0,1,1
"165","P4aPPC",1,0,2,0,1
"166","P4aPQW",0,0,0,0,1
"167","P4aPRH",NA,NA,NA,NA,1
"168","P4aPSG",6,4,3,6,1
"169","P4aPUM",7,6,5,6,1
"170","P4aPVF",0,0,0,0,1
"171","P4aPWL",0,0,0,0,1
"172","P4aPXS",0,1,0,0,1
"173","P4aQAO",0,0,0,0,1
"174","P4aQBT",0,0,0,0,1
"175","P4aQKW",0,0,0,0,1
"176","P4aQMF",1,2,1,0,1
"177","P4aQMT",0,0,0,0,1
"178","P4aQPN",0,0,0,0,1
"179","P4aQVI",0,0,0,0,1
"180","P4aQYP",0,0,0,0,1
"181","P4aQYZ",0,0,0,0,1
"182","P4aRBY",5,6,7,6,1
"183","P4aRDV",98,112,102,107,1
"184","P4aRFT",0,0,0,0,1
"185","P4aRHX",3,3,4,2,1
"186","P4aRKJ",31,28,23,24,1
"187","P4aRPB",NA,NA,NA,NA,1
"188","P4aSBT",0,0,0,0,1
"189","P4aSHF",0,0,0,0,1
"190","P4aSNC",6,3,4,3,1
"191","P4aSOS",0,0,0,0,1
"192","P4aSRU",0,0,0,0,1
"193","P4aSWD",6,4,3,5,1
"194","P4aSWK",62,58,49,57,1
"195","P4aSYQ",NA,NA,NA,NA,1
"196","P4aTDW",1,0,1,0,1
"197","P4aTQA",0,0,0,0,1
"198","P4aTUY",114,121,109,102,1
"199","P4aTYQ",NA,NA,NA,NA,1
"200","P4aUAE",0,0,0,0,1
"201","P4aUAQ",3,4,3,1,1
"202","P4aUCA",0,0,0,0,1
"203","P4aUDZ",1,0,1,0,1
"204","P4aUGP",0,0,0,0,1
"205","P4aUGT",0,0,0,0,1
"206","P4aUGV",1,0,0,0,1
"207","P4aULF",12,9,11,10,1
"208","P4aULK",71,69,72,77,1
"209","P4aURG",0,0,0,0,1
"210","P4aUYW",NA,NA,NA,NA,1
"211","P4aVCF",9,4,8,7,1
"212","P4aVCP",129,125,131,117,1
"213","P4aVLF",0,0,0,0,1
"214","P4aVMI",0,0,0,0,1
"215","P4aVPK",0,0,0,0,1
"216","P4aVQC",0,0,0,0,1
"217","P4aWDD",0,0,0,0,1
"218","P4aWGN",NA,NA,NA,NA,1
"219","P4aWPM",0,0,0,1,1
"220","P4aWTF",NA,NA,NA,NA,1
"221","P4aWYZ",44,41,38,42,1
"222","P4aXBA",0,0,0,0,1
"223","P4aXEZ",0,0,0,0,1
"224","P4aXIJ",0,0,0,0,1
"225","P4aXJK",NA,NA,NA,NA,1
"226","P4aXKE",0,0,0,0,1
"227","P4aXLA",0,0,0,0,1
"228","P4aXTX",0,0,0,0,1
"229","P4aXYX",7,8,5,6,1
"230","P4aYAM",0,0,0,0,1
"231","P4aYED",0,1,0,0,1
"232","P4aYSI",106,109,111,121,1
"233","P4aYSZ",6,4,3,4,1
"234","P4aZBG",4,4,3,3,1
"235","P4aZCB",1,2,0,2,1
"236","P4aZCH",0,1,0,0,1
"237","P4aZCH",1,2,0,2,1
"238","P4aZFI",1,0,0,0,1
"239","P4aZFS",1,0,0,0,1
"240","P4aZRL",38,29,41,24,1
"241","P4aZZO",77,71,68,79,1
"242","P4bBAT",NA,NA,NA,NA,1
"243","P4bBAX",NA,NA,NA,NA,1
"244","P4bBBB",0,0,0,0,1
"245","P4bBBH",NA,NA,NA,NA,1
"246","P4bBFB",NA,NA,NA,NA,1
"247","P4bBHX",NA,NA,NA,NA,1
"248","P4bBOI",NA,NA,NA,NA,1
"249","P4bBSE",NA,NA,NA,NA,1
"250","P4bBTZ",NA,NA,NA,NA,1
"251","P4bBUU",0,0,0,0,1
"252","P4bBZP",NA,NA,NA,NA,1
"253","P4bCCI",NA,NA,NA,NA,1
"254","P4bCES",0,0,0,0,1
"255","P4bCQB",0,0,0,0,1
"256","P4bCSP",0,0,0,0,1
"257","P4bCUJ",NA,NA,NA,NA,1
"258","P4bDAR",NA,NA,NA,NA,1
"259","P4bDGJ",85,90,87,74,1
"260","P4bDJM",1,0,1,0,1
"261","P4bDRA",NA,NA,NA,NA,1
"262","P4bDXC",NA,NA,NA,NA,1
"263","P4bDXI",NA,NA,NA,NA,1
"264","P4bEBR",0,0,0,0,1
"265","P4bEES",67,59,64,69,1
"266","P4bEJB",33,41,29,37,1
"267","P4bEWJ",10,11,9,13,1
"268","P4bFFV",0,0,0,0,1
"269","P4bFMM",0,0,0,0,1
"270","P4bFPG",NA,NA,NA,NA,1
"271","P4bFPJ",NA,NA,NA,NA,1
"272","P4bFUA",NA,NA,NA,NA,1
"273","P4bFYX",NA,NA,NA,NA,1
"274","P4bGAB",3,2,1,0,1
"275","P4bGAB",3,2,1,0,1
"276","P4bGBX",NA,NA,NA,NA,1
"277","P4bGEE",2,1,0,0,1
"278","P4bGIQ",NA,NA,NA,NA,1
"279","P4bGTM",0,0,0,0,1
"280","P4bGXY",0,0,0,0,1
"281","P4bGXY",0,0,0,0,1
"282","P4bGYV",NA,NA,NA,NA,1
"283","P4bHGX",NA,NA,NA,NA,1
"284","P4bHHA",3,4,5,6,1
"285","P4bHNX",NA,NA,NA,NA,1
"286","P4bHOK",0,0,0,0,1
"287","P4bHVW",NA,NA,NA,NA,1
"288","P4bHXA",NA,NA,NA,NA,1
"289","P4bHXN",NA,NA,NA,NA,1
"290","P4bHYK",0,0,0,0,1
"291","P4bIAM",0,0,0,0,1
"292","P4bIAN",0,0,0,0,1
"293","P4bIBH",NA,NA,NA,NA,1
"294","P4bICB",NA,NA,NA,NA,1
"295","P4bICV",0,0,0,0,1
"296","P4bIFU",67,75,64,71,1
"297","P4bIFU",67,75,64,71,1
"298","P4bIKC",NA,NA,NA,NA,1
"299","P4bIMU",0,0,0,0,1
"300","P4bIOZ",24,17,20,19,1
"301","P4bISP",NA,NA,NA,NA,1
"302","P4bISV",NA,NA,NA,NA,1
"303","P4bIWL",0,0,0,0,1
"304","P4bIXP",0,0,0,0,1
"305","P4bIYG",0,0,0,0,1
"306","P4bJAT",0,0,0,0,1
"307","P4bJEY",15,12,11,10,1
"308","P4bJIL",21,9,17,11,1
"309","P4bJKP",0,0,0,0,1
"310","P4bJOV",0,0,0,0,1
"311","P4bJQG",NA,NA,NA,NA,1
"312","P4bJRA",0,0,0,0,1
"313","P4bJWS",1,0,0,1,1
"314","P4bJZP",0,0,0,0,1
"315","P4bKAB",0,0,0,0,1
"316","P4bKBF",48,54,44,53,1
"317","P4bKDS",0,0,0,0,1
"318","P4bKGL",0,0,0,0,1
"319","P4bKHA",0,0,0,0,1
"320","P4bKJY",0,0,0,0,1
"321","P4bKJY",0,0,0,0,1
"322","P4bKSX",NA,NA,NA,NA,1
"323","P4bLHZ",0,0,0,0,1
"324","P4bLKJ",0,0,0,0,1
"325","P4bLUN",14,12,16,11,1
"326","P4bLVS",6,4,5,3,1
"327","P4bLZA",0,0,0,0,1
"328","P4bMCM",0,0,0,0,1
"329","P4bMLG",0,0,0,0,1
"330","P4bMLZ",0,0,0,0,1
"331","P4bMOP",0,0,0,0,1
"332","P4bMOP",0,0,0,0,1
"333","P4bNCD",NA,NA,NA,NA,1
"334","P4bNLQ",NA,NA,NA,NA,1
"335","P4bNRH",58,77,68,69,1
"336","P4bNUP",0,0,0,0,1
"337","P4bNUZ",NA,NA,NA,NA,1
"338","P4bNZN",115,121,108,109,1
"339","P4bOGB",NA,NA,NA,NA,1
"340","P4bOIR",4,3,1,1,1
"341","P4bOKV",130,119,121,138,1
"342","P4bOOO",29,32,27,24,1
"343","P4bOQR",NA,NA,NA,NA,1
"344","P4bOSQ",0,0,0,0,1
"345","P4bOXC",NA,NA,NA,NA,1
"346","P4bOYK",0,NA,0,0,1
"347","P4bPBN",46,30,39,37,1
"348","P4bPBV",NA,NA,NA,NA,1
"349","P4bPDV",0,0,0,0,1
"350","P4bPOY",0,0,0,0,1
"351","P4bPQS",0,0,0,0,1
"352","P4bPQS",0,0,0,0,1
"353","P4bPSE",NA,NA,NA,NA,1
"354","P4bPWF",NA,NA,NA,NA,1
"355","P4bPWT",0,0,0,0,1
"356","P4bPYV",0,0,0,0,1
"357","P4bQCB",0,0,0,0,1
"358","P4bQNF",0,0,0,0,1
"359","P4bQNU",NA,NA,NA,NA,1
"360","P4bQSH",0,0,0,0,1
"361","P4bQSH",0,0,0,0,1
"362","P4bRAP",0,0,0,0,1
"363","P4bRBK",0,0,0,0,1
"364","P4bRBY",0,0,0,0,1
"365","P4bRIY",0,0,0,0,1
"366","P4bRLM",1,1,1,0,1
"367","P4bRLM",1,1,1,0,1
"368","P4bRXD",50,45,39,47,1
"369","P4bRXD",50,45,39,47,1
"370","P4bSBW",0,0,0,0,1
"371","P4bSJG",NA,NA,NA,NA,1
"372","P4bSLQ",86,65,69,71,1
"373","P4bSLR",3,9,7,4,1
"374","P4bSMO",0,0,0,0,1
"375","P4bSMQ",20,23,20,19,1
"376","P4bSMQ",20,23,20,19,1
"377","P4bSQN",NA,NA,NA,NA,1
"378","P4bSQT",NA,NA,NA,NA,1
"379","P4bSTL",2,1,0,1,1
"380","P4bSTT",NA,NA,NA,NA,1
"381","P4bSYC",NA,NA,NA,NA,1
"382","P4bTEV",NA,NA,NA,NA,1
"383","P4bTMO",NA,NA,NA,NA,1
"384","P4bTTS",NA,NA,NA,NA,1
"385","P4bTXK",0,0,0,0,1
"386","P4bUCC",NA,NA,NA,NA,1
"387","P4bULK",0,0,0,0,1
"388","P4bUMM",NA,NA,NA,NA,1
"389","P4bUMN",NA,NA,NA,NA,1
"390","P4bUMZ",123,111,117,109,1
"391","P4bUNW",28,31,35,29,1
"392","P4bURQ",NA,NA,NA,NA,1
"393","P4bUXA",0,0,0,0,1
"394","P4bVAG",NA,NA,NA,NA,1
"395","P4bVDY",0,0,0,0,1
"396","P4bVMP",NA,NA,NA,NA,1
"397","P4bVPL",NA,NA,NA,NA,1
"398","P4bVSE",NA,NA,NA,NA,1
"399","P4bVUW",18,14,15,12,1
"400","P4bVVV",4,5,5,4,1
"401","P4bVYO",60,71,57,49,1
"402","P4bWAH",0,0,0,0,1
"403","P4bWGQ",0,0,0,0,1
"404","P4bWKZ",0,0,0,0,1
"405","P4bWTX",0,0,0,0,1
"406","P4bWUH",NA,NA,NA,NA,1
"407","P4bWWU",0,0,0,0,1
"408","P4bWXG",0,0,0,0,1
"409","P4bWXZ",0,0,0,0,1
"410","P4bXFH",14,6,11,7,1
"411","P4bXLJ",NA,NA,NA,NA,1
"412","P4bXNG",NA,NA,NA,NA,1
"413","P4bXOQ",0,0,0,0,1
"414","P4bXOQ",0,0,0,0,1
"415","P4bXUM",0,0,0,0,1
"416","P4bXUM",0,0,0,0,1
"417","P4bXUZ",NA,NA,NA,NA,1
"418","P4bYAP",NA,NA,NA,NA,1
"419","P4bYCB",0,0,0,0,1
"420","P4bYFR",0,0,0,0,1
"421","P4bYHW",NA,NA,NA,NA,1
"422","P4bYMB",0,0,0,0,1
"423","P4bYNP",18,19,14,21,1
"424","P4bYNV",0,0,0,0,1
"425","P4bYNV",0,0,0,0,1
"426","P4bYPF",135,163,141,129,1
"427","P4bYVL",NA,NA,NA,NA,1
"428","P4bYYO",NA,NA,NA,NA,1
"429","P4bYYR",NA,NA,NA,NA,1
"430","P4bYZQ",0,0,0,0,1
"431","P4bZCF",16,21,19,17,1
"432","P4bZJC",NA,NA,NA,NA,1
"433","P4bZLQ",0,1,0,2,1
"434","P4bZPL",NA,NA,NA,NA,1
