"","EH_ID","labels","dpi","experiment","OPG","relative_weight","mouse_strain","primary_infection","challenge_infection","infection_history","batch","delta","IFNy_CEWE","Eim_MC","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8"
"46","LM0182","JMY",5,"E7a",0,102.538370720189,"SCHUNT_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","LM0182","JRS",6,"E7a",0,104.604486422668,"SCHUNT_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","LM0182","JSW",9,"E7a",243421.052631579,106.139315230224,"SCHUNT_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","LM0183","ABT",10,"E7a",55921.0526315789,97.0725995316159,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","LM0183","AVZ",3,"E7a",NA,97.1896955503513,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","LM0183","CEK",0,"E7a",0,100,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","LM0183","CIX",9,"E7a",329268.292682927,92.0374707259953,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","LM0183","CLN",2,"E7a",NA,98.0679156908665,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","LM0183","DEO",4,"E7a",0,100.117096018735,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","LM0183","DIY",8,"E7a",2375000,94.3208430913349,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","LM0183","DSY",6,"E7a",0,97.9508196721312,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","LM0183","EKQ",5,"E7a",0,98.7704918032787,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","LM0183","HJV",7,"E7a",211165.048543689,96.3700234192038,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","LM0183","PTZ",1,"E7a",NA,96.9555035128806,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","LM0183","PWX",11,"E7a",13157.8947368421,97.7751756440281,"PWD_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","LM0184","BGM",10,"E7a",113138.686131387,90.1754385964912,"STRA_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","LM0184","CUX",0,"E7a",0,100,"STRA_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","LM0184","EHS",4,"E7a",0,95.8771929824561,"STRA_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","LM0184","EKO",1,"E7a",NA,98.859649122807,"STRA_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","LM0184","ETU",2,"E7a",NA,99.1228070175439,"STRA_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","LM0184","KNT",11,"E7a",77777.7777777778,88.859649122807,"STRA_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","LM0184","LPU",3,"E7a",NA,97.3245614035088,"STRA_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","LM0184","LSU",8,"E7a",682203.389830509,91.8859649122807,"STRA_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","LM0184","LSZ",9,"E7a",250000,89.4736842105263,"STRA_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","LM0184","NRW",7,"E7a",7518.7969924812,94.5175438596491,"STRA_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","LM0184","OPZ",5,"E7a",0,96.3157894736842,"STRA_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","LM0184","SYZ",6,"E7a",0,93.5087719298246,"STRA_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","LM0185","BCE",4,"E7a",0,102.487562189055,"STRA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","LM0185","BIL",7,"E7a",0,99.8009950248756,"STRA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","LM0185","CEG",0,"E7a",0,100,"STRA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","LM0185","CHR",10,"E7a",155000,94.9751243781094,"STRA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","LM0185","CKR",5,"E7a",0,100.796019900498,"STRA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","LM0185","CKW",11,"E7a",0,98.1094527363184,"STRA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","LM0185","DMV",8,"E7a",967741.935483871,97.6616915422885,"STRA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","LM0185","EFU",6,"E7a",0,100.199004975124,"STRA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","LM0185","IKO",9,"E7a",247023.80952381,96.2686567164179,"STRA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","LM0185","IPT",3,"E7a",NA,100.149253731343,"STRA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","LM0185","IPY",2,"E7a",NA,102.686567164179,"STRA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","LM0185","MOV",1,"E7a",NA,101.144278606965,"STRA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","LM0186","BQY",5,"E7a",0,101.933701657459,"PWD_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","LM0186","BQZ",7,"E7a",0,98.6187845303867,"PWD_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","LM0186","CDE",2,"E7a",NA,97.9005524861878,"PWD_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","LM0186","CEW",4,"E7a",0,100.828729281768,"PWD_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","LM0186","EJM",6,"E7a",0,101.160220994475,"PWD_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","LM0186","FJK",10,"E7a",41015.625,101.325966850829,"PWD_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","LM0186","FJQ",3,"E7a",NA,98.4530386740331,"PWD_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","LM0186","FPV",0,"E7a",0,100,"PWD_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","LM0186","HQT",11,"E7a",0,99.5027624309392,"PWD_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","LM0186","JPY",8,"E7a",671875,96.9613259668508,"PWD_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","LM0186","KQZ",9,"E7a",295180.722891566,96.2983425414365,"PWD_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","LM0186","SUW",1,"E7a",NA,97.8453038674033,"PWD_SCHUNT","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","LM0187","AKP",10,"E7a",NA,NA,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","LM0187","AOP",7,"E7a",0,90.5445840813884,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","LM0187","APW",8,"E7a",NA,78.0371035308199,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","LM0187","CIZ",11,"E7a",NA,NA,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","LM0187","ENZ",1,"E7a",NA,100.119688809096,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","LM0187","EPU",4,"E7a",0,95.8707360861759,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","LM0187","FJS",0,"E7a",0,100,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","LM0187","FPR",6,"E7a",0,92.7588270496709,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","LM0187","KPZ",9,"E7a",NA,NA,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","LM0187","MNV",3,"E7a",NA,96.8282465589467,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","LM0187","MOU",5,"E7a",0,96.1699581089168,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","LM0187","NQS",2,"E7a",NA,96.4093357271095,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","LM0188","AOV",5,"E7a",0,97.0388349514563,"SCHUNT_STRA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","LM0188","BCR",1,"E7a",NA,98.3980582524272,"SCHUNT_STRA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","LM0188","CIP",10,"E7a",376712.328767123,82.6699029126214,"SCHUNT_STRA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","LM0188","CIW",0,"E7a",0,100,"SCHUNT_STRA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","LM0188","DET",8,"E7a",859375,88.495145631068,"SCHUNT_STRA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","LM0188","DNX",4,"E7a",0,95.9223300970874,"SCHUNT_STRA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","LM0188","DRY",3,"E7a",NA,97.8155339805825,"SCHUNT_STRA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","LM0188","EOU",6,"E7a",0,97.5728155339806,"SCHUNT_STRA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","LM0188","FKW",2,"E7a",NA,99.7572815533981,"SCHUNT_STRA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","LM0188","IJT",11,"E7a",127049.180327869,86.1165048543689,"SCHUNT_STRA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","LM0188","TWY",9,"E7a",375000,85.7766990291262,"SCHUNT_STRA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","LM0188","UVY",7,"E7a",57291.6666666667,97.4271844660194,"SCHUNT_STRA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","LM0189","ABV",6,"E7a",0,95.1262477980035,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","LM0189","AOW",10,"E7a",NA,NA,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","LM0189","AOY",8,"E7a",175000,80.4462712859659,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","LM0189","AYZ",4,"E7a",0,95.3611274221961,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","LM0189","CHW",7,"E7a",62500,91.015854374633,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","LM0189","CJS",1,"E7a",NA,96.0070463887258,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","LM0189","CKY",5,"E7a",0,97.9448032883147,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","LM0189","DGS",11,"E7a",NA,NA,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","LM0189","DOV",2,"E7a",NA,99.1779213153259,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","LM0189","IJW",0,"E7a",0,100,"PWD_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
