"","EH_ID","dpi","label","delta","IFNy_CEWE","Eim_MC","total_oocysts","infection_history","weight_change","primary","challenge","Strain","EXP_type","OPG","weight","weight_dpi0","faeces_weight","batch","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","label.1","totalOocysts"
"21","LM_0229",1,"E7aABG",NA,NA,NA,0,"E88:E88",96.43,"E88","E88","SCHUNT_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","LM_0229",2,"E7aBIO",NA,NA,NA,0,"E88:E88",99.06,"E88","E88","SCHUNT_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","LM_0229",3,"E7aAIO",NA,NA,NA,0,"E88:E88",98.9,"E88","E88","SCHUNT_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","LM_0229",4,"E7aLUV",NA,NA,NA,0,"E88:E88",98.53,"E88","E88","SCHUNT_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","LM_0229",5,"E7aCNT",NA,NA,NA,0,"E88:E88",104.3,"E88","E88","SCHUNT_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","LM_0229",6,"E7aFHK",NA,NA,NA,0,"E88:E88",102.57,"E88","E88","SCHUNT_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","LM_0229",7,"E7aNTU",NA,NA,NA,0,"E88:E88",97.95,"E88","E88","SCHUNT_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","LM_0229",8,"E7aEMW",-7.12,11.9382981889895,"neg",0,"E88:E88",99.74,"E88","E88","SCHUNT_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","LM_0231",0,"E7aBOY",NA,NA,NA,0,"E88:E64",100,"E88","E64","PWD_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","LM_0231",1,"E7aCIK",NA,NA,NA,0,"E88:E64",103.48,"E88","E64","PWD_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
