"","labels","experiment","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution"
"184","CMW","E5",NA,NA,NA,NA,NA,"1"
"185","FVY","E5",NA,NA,NA,NA,NA,"1"
"186","DUZ","E5",NA,NA,NA,NA,NA,"1"
"187","ADK","E5",NA,NA,NA,NA,NA,"1"
"188","OWX","E5",NA,NA,NA,NA,NA,"1"
"189","DEJ","E5",NA,NA,NA,NA,NA,"1"
"190","ATW","E5",NA,NA,NA,NA,NA,"1"
"191","GMY","E5",NA,NA,NA,NA,NA,"1"
"192","GLZ","E5",NA,NA,NA,NA,NA,"1"
"193","CLV","E5",NA,NA,NA,NA,NA,"1"
"194","GLU","E5",NA,NA,NA,NA,NA,"1"
"195","CRU","E5",NA,NA,NA,NA,NA,"1"
"196","LUX","E5",NA,NA,NA,NA,NA,"1"
"197","CHT","E5",NA,NA,NA,NA,NA,"1"
"198","KTV","E5",NA,NA,NA,NA,NA,"1"
"199","TVZ","E5",NA,NA,NA,NA,NA,"1"
"200","NSX","E5",NA,NA,NA,NA,NA,"1"
"201","GPZ","E5",NA,NA,NA,NA,NA,"1"
"202","DPQ","E5",NA,NA,NA,NA,NA,"1"
"203","ITZ","E5",NA,NA,NA,NA,NA,"1"
"204","EJR","E5",NA,NA,NA,NA,NA,"1"
"205","BCU","E5",NA,NA,NA,NA,NA,"1"
"206","JTZ","E5",NA,NA,NA,NA,NA,"1"
"207","CEU","E5",NA,NA,NA,NA,NA,"1"
"208","CNY","E5",NA,NA,NA,NA,NA,"1"
"209","EMU","E5",NA,NA,NA,NA,NA,"1"
"210","TUZ","E5",NA,NA,NA,NA,NA,"1"
"211","FKX","E5",NA,NA,NA,NA,NA,"1"
"212","CRZ","E5",NA,NA,NA,NA,NA,"1"
"213","EXY","E5",NA,NA,NA,NA,NA,"1"
"214","IKU","E5",NA,NA,NA,NA,NA,"1"
"215","JOR","E5",NA,NA,NA,NA,NA,"1"
"216","HKQ","E5",NA,NA,NA,NA,NA,"1"
"217","JMN","E5",NA,NA,NA,NA,NA,"1"
"218","EOS","E5",NA,NA,NA,NA,NA,"1"
"219","DLY","E5",NA,NA,NA,NA,NA,"1"
"220","AEK","E5",NA,NA,NA,NA,NA,"1"
"221","BMQ","E5",NA,NA,NA,NA,NA,"1"
"222","EVX","E5",NA,NA,NA,NA,NA,"1"
"223","HSX","E5",NA,NA,NA,NA,NA,"1"
"224","HRX","E5",NA,NA,NA,NA,NA,"1"
"225","GKW","E5",NA,NA,NA,NA,NA,"1"
"226","OUZ","E5",NA,NA,NA,NA,NA,"1"
"227","NTW","E5",NA,NA,NA,NA,NA,"1"
"228","JRU","E5",NA,NA,NA,NA,NA,"1"
"229","CLY","E5",NA,NA,NA,NA,NA,"1"
"230","BJL","E5",NA,NA,NA,NA,NA,"1"
"231","HUY","E5",NA,NA,NA,NA,NA,"1"
"232","MQT","E5",NA,NA,NA,NA,NA,"1"
"233","IRX","E5",NA,NA,NA,NA,NA,"1"
"234","BOR","E5",NA,NA,NA,NA,NA,"1"
"235","CLN","E5",NA,NA,NA,NA,NA,"1"
"236","ETU","E5",NA,NA,NA,NA,NA,"1"
"237","IPY","E5",NA,NA,NA,NA,NA,"1"
"238","CDE","E5",NA,NA,NA,NA,NA,"1"
"239","NQS","E5",NA,NA,NA,NA,NA,"1"
"240","FKW","E5",NA,NA,NA,NA,NA,"1"
"241","DOV","E5",NA,NA,NA,NA,NA,"1"
"242","EKR","E5",NA,NA,NA,NA,NA,"1"
"243","BNR","E5",NA,NA,NA,NA,NA,"1"
"244","IVX","E5",NA,NA,NA,NA,NA,"1"
"245","FKO","E5",NA,NA,NA,NA,NA,"1"
"246","EIP","E5",NA,NA,NA,NA,NA,"1"
"247","GVZ","E5",NA,NA,NA,NA,NA,"1"
"248","FOW","E5",NA,NA,NA,NA,NA,"1"
"249","FKM","E5",NA,NA,NA,NA,NA,"1"
"250","OTV","E5",NA,NA,NA,NA,NA,"1"
"251","CFG","E5",NA,NA,NA,NA,NA,"1"
"252","CGY","E5",NA,NA,NA,NA,NA,"1"
"253","AIO","E5",NA,NA,NA,NA,NA,"1"
"254","APX","E5",NA,NA,NA,NA,NA,"1"
"255","ILR","E5",NA,NA,NA,NA,NA,"1"
"256","AEF","E5",NA,NA,NA,NA,NA,"1"
"257","FIW","E5",NA,NA,NA,NA,NA,"1"
"258","FOX","E5",NA,NA,NA,NA,NA,"1"
"259","IOV","E5",NA,NA,NA,NA,NA,"1"
"260","IUY","E5",NA,NA,NA,NA,NA,"1"
"261","HQY","E5",NA,NA,NA,NA,NA,"1"
"262","OUW","E5",NA,NA,NA,NA,NA,"1"
"263","HTY","E5",NA,NA,NA,NA,NA,"1"
"264","CFO","E5",NA,NA,NA,NA,NA,"1"
"265","ADQ","E5",NA,NA,NA,NA,NA,"1"
"266","PRZ","E5",NA,NA,NA,NA,NA,"1"
"267","ABJ","E5",NA,NA,NA,NA,NA,"1"
"268","CEV","E5",NA,NA,NA,NA,NA,"1"
"269","AOQ","E5",NA,NA,NA,NA,NA,"1"
"270","ACQ","E5",NA,NA,NA,NA,NA,"1"
"271","EPS","E5",NA,NA,NA,NA,NA,"1"
"272","DEI","E5",NA,NA,NA,NA,NA,"1"
"273","DGM","E5",NA,NA,NA,NA,NA,"1"
"274","AGM","E5",NA,NA,NA,NA,NA,"1"
"275","FMY","E5",NA,NA,NA,NA,NA,"1"
"276","ELY","E5",NA,NA,NA,NA,NA,"1"
"277","HQU","E5",NA,NA,NA,NA,NA,"1"
"278","ILO","E5",NA,NA,NA,NA,NA,"1"
"279","CKN","E5",NA,NA,NA,NA,NA,"1"
"280","HQZ","E5",NA,NA,NA,NA,NA,"1"
"281","EWY","E5",NA,NA,NA,NA,NA,"1"
"282","DKZ","E5",NA,NA,NA,NA,NA,"1"
"283","HNQ","E5",NA,NA,NA,NA,NA,"1"
"284","MQV","E5",NA,NA,NA,NA,NA,"1"
"285","BIX","E5",NA,NA,NA,NA,NA,"1"
"286","MOW","E5",NA,NA,NA,NA,NA,"1"
"287","LOY","E5",NA,NA,NA,NA,NA,"1"
"288","GSZ","E5",NA,NA,NA,NA,NA,"1"
"289","DXY","E5",NA,NA,NA,NA,NA,"1"
"290","GRV","E5",NA,NA,NA,NA,NA,"1"
"291","RWY","E5",NA,NA,NA,NA,NA,"1"
"292","CHP","E5",NA,NA,NA,NA,NA,"1"
"293","CGR","E5",NA,NA,NA,NA,NA,"1"
"294","KTZ","E5",NA,NA,NA,NA,NA,"1"
"295","CRY","E5",NA,NA,NA,NA,NA,"1"
"296","NRV","E5",NA,NA,NA,NA,NA,"1"
"297","GHL","E5",NA,NA,NA,NA,NA,"1"
"298","SUX","E5",NA,NA,NA,NA,NA,"1"
"299","DQV","E5",NA,NA,NA,NA,NA,"1"
"300","ART","E5",NA,NA,NA,NA,NA,"1"
"301","DOQ","E5",NA,NA,NA,NA,NA,"1"
"302","CTX","E5",NA,NA,NA,NA,NA,"1"
"303","GKN","E5",NA,NA,NA,NA,NA,"1"
"304","ISX","E5",NA,NA,NA,NA,NA,"1"
"305","BTZ","E5",NA,NA,NA,NA,NA,"1"
"306","DFM","E5",NA,NA,NA,NA,NA,"1"
"307","DSZ","E5",NA,NA,NA,NA,NA,"1"
"308","FOY","E5",NA,NA,NA,NA,NA,"1"
"309","QTU","E5",NA,NA,NA,NA,NA,"1"
"310","KQT","E5",NA,NA,NA,NA,NA,"1"
"311","HKM","E5",NA,NA,NA,NA,NA,"1"
"312","DMP","E5",NA,NA,NA,NA,NA,"1"
"313","EUX","E5",NA,NA,NA,NA,NA,"1"
"314","DEL","E5",NA,NA,NA,NA,NA,"1"
"315","COY","E5",NA,NA,NA,NA,NA,"1"
"316","BJT","E5",NA,NA,NA,NA,NA,"1"
"317","DGL","E5",NA,NA,NA,NA,NA,"1"
"318","NQZ","E5",NA,NA,NA,NA,NA,"1"
"319","OPX","E5",NA,NA,NA,NA,NA,"1"
"320","DJO","E5",NA,NA,NA,NA,NA,"1"
"321","EFQ","E5",NA,NA,NA,NA,NA,"1"
"322","ADU","E5",NA,NA,NA,NA,NA,"1"
"323","MST","E5",NA,NA,NA,NA,NA,"1"
"324","LNQ","E5",NA,NA,NA,NA,NA,"1"
"325","PSZ","E5",NA,NA,NA,NA,NA,"1"
"326","KPQ","E5",NA,NA,NA,NA,NA,"1"
"327","ELO","E5",NA,NA,NA,NA,NA,"1"
"328","BIZ","E5",NA,NA,NA,NA,NA,"1"
"329","GJK","E5",NA,NA,NA,NA,NA,"1"
"330","KPR","E5",NA,NA,NA,NA,NA,"1"
"331","LNS","E5",NA,NA,NA,NA,NA,"1"
"332","HSY","E5",NA,NA,NA,NA,NA,"1"
"333","LST","E5",NA,NA,NA,NA,NA,"1"
"334","DHX","E5",NA,NA,NA,NA,NA,"1"
"335","DEX","E5",NA,NA,NA,NA,NA,"1"
"336","BEI","E5",NA,NA,NA,NA,NA,"1"
"337","ITY","E5",NA,NA,NA,NA,NA,"1"
"338","DJR","E5",NA,NA,NA,NA,NA,"1"
"339","BJW","E5",NA,NA,NA,NA,NA,"1"
"340","JQX","E5",NA,NA,NA,NA,NA,"1"
"341","CRT","E5",NA,NA,NA,NA,NA,"1"
"342","DJS","E5",NA,NA,NA,NA,NA,"1"
"343","GNW","E5",NA,NA,NA,NA,NA,"1"
"344","JNQ","E5",NA,NA,NA,NA,NA,"1"
"345","BIJ","E5",NA,NA,NA,NA,NA,"1"
"346","HKT","E5",NA,NA,NA,NA,NA,"1"
"347","CLZ","E5",NA,NA,NA,NA,NA,"1"
"348","QTW","E5",NA,NA,NA,NA,NA,"1"
"349","HIS","E5",NA,NA,NA,NA,NA,"1"
"350","AVZ","E5",NA,NA,NA,NA,NA,"1"
"351","LPU","E5",NA,NA,NA,NA,NA,"1"
"352","IPT","E5",NA,NA,NA,NA,NA,"1"
"353","FJQ","E5",NA,NA,NA,NA,NA,"1"
"354","MNV","E5",NA,NA,NA,NA,NA,"1"
"355","DRY","E5",NA,NA,NA,NA,NA,"1"
"356","KSV","E5",NA,NA,NA,NA,NA,"1"
"357","GQX","E5",NA,NA,NA,NA,NA,"1"
"358","MRT","E5",NA,NA,NA,NA,NA,"1"
"359","KNU","E5",NA,NA,NA,NA,NA,"1"
"360","AEN","E5",NA,NA,NA,NA,NA,"1"
"361","NQY","E5",NA,NA,NA,NA,NA,"1"
"362","EGS","E5",NA,NA,NA,NA,NA,"1"
"363","GHX","E5",NA,NA,NA,NA,NA,"1"
"364","AFR","E5",NA,NA,NA,NA,NA,"1"
