,EH_ID,dpi,labels,batch,experiment,relative_weight,OPG,primary_infection,challenge_infection,mouse_strain,delta,IFNy_CEWE,Eim_MC,infection_history,EXP_type,IFNy_MES,Position,CD4,Treg,Div_Treg,Treg17,Th1,Div_Th1,Th17,Div_Th17,CD8,Act_CD8,Div_Act_CD8,IFNy_CD4,IFNy_CD8
727,LM_0363,0,P4aIUQ,a,P4,100,NA,Eflab,NA,SWISS,NA,NA,NA,Eflab:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
728,LM_0363,0,P4bYYO,b,P4,100,NA,NA,UNI,SWISS,NA,NA,NA,Eflab:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
751,LM_0364,0,P4aEVZ,a,P4,100,NA,UNI,NA,SWISS,NA,NA,NA,UNI:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
752,LM_0364,0,P4bNUZ,b,P4,100,NA,NA,E88,SWISS,NA,NA,NA,UNI:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
775,LM_0365,0,P4aWTF,a,P4,100,NA,UNI,NA,SWISS,NA,NA,NA,UNI:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
776,LM_0365,0,P4bDRA,b,P4,100,NA,NA,E88,SWISS,NA,NA,NA,UNI:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
799,LM_0366,0,P4aWGN,a,P4,100,NA,UNI,NA,SWISS,NA,NA,NA,UNI:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,LM_0366,0,P4bYYR,b,P4,100,NA,NA,E64,SWISS,NA,NA,NA,UNI:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
820,LM_0367,0,P4aNLQ,a,P4,100,NA,UNI,NA,SWISS,NA,NA,NA,UNI:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
821,LM_0367,0,P4bHNX,b,P4,100,NA,NA,UNI,SWISS,NA,NA,NA,UNI:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,LM_0332,1,P3aZUX,a,P3,97.3856209150327,NA,Eflab,E88,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,LM_0332,1,P3bOKQ,b,P3,99.4152046783626,NA,Eflab,E88,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,LM_0333,1,P3aEWW,a,P3,98.292220113852,NA,Eflab,E64,SWISS,NA,NA,NA,Eflab:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
