labels,EH_ID,dpi,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,OPG,comment,dilution,batch
FGH,LM0232,7,0,0,0,0,0,,,1,a
IMQ,LM0233,7,0,0,0,0,0,,,1,a
AHU,LM0234,7,64,68,72,67,67.75,,,1,a
AQY,LM0235,7,12,28,23,20,20.75,,,1,a
NRU,LM0236,7,54,61,71,55,60.25,,,1,a
NOY,LM0238,7,19,22,24,15,20,,,1,a
LOT,LM0239,7,0,0,0,0,0,,,1,a
AVW,LM0240,7,7,3,11,6,6.75,,,1,a
FPV,LM0247,7,0,0,0,0,0,,,1,a
KOX,LM0248,7,15,16,13,21,16.25,,,1,a
CLV,LM0249,7,8,10,6,5,7.25,,,1,a
MRZ,LM0251,7,0,0,0,0,0,,,1,a
LRS,LM0254,7,0,0,0,0,0,,,1,a
NPY,LM0255,7,30,27,32,38,31.75,,,1,a
BMX,LM0256,7,0,0,0,0,0,,,1,a
PVX,LM0257,7,25,29,28,23,26.25,,,1,a
HKX,LM0258,7,46,61,77,58,60.5,,,1,a
NUY,LM0259,7,12,4,7,4,6.75,,,1,a
PRZ,LM0261,7,0,0,0,0,0,,,1,a
BQY,LM0264,7,0,0,0,0,0,,,1,a
COW,LM0266,7,0,0,0,0,0,,,1,a
AYZ,LM0268,7,0,0,0,0,0,,,1,a
KQW,LM0271,7,0,0,0,0,0,,,1,a
MNW,LM0227,8,3,5,8,1,4.25,,,1,a
BGY,LM0228,8,13,6,11,6,9,,,1,a
EMW,LM0229,8,0,0,0,0,0,,,1,a
CEK,LM0231,8,13,15,16,16,15,,,1,a
CUY,LM0232,8,0,0,0,0,0,,,1,a
STU,LM0233,8,0,0,0,0,0,,,1,a
BLW,LM0234,8,4,10,7,6,6.75,,,1,a
DTU,LM0235,8,1,0,1,0,0.5,,,1,a
FRU,LM0236,8,8,4,11,8,7.75,,,1,a
LYZ,LM0238,8,22,23,22,20,21.75,,,1,a
JMR,LM0239,8,0,0,0,0,0,,,1,a
CIW,LM0240,8,0,0,0,1,0.25,,,1,a
JMX,LM0247,8,0,1,0,0,0.25,,,1,a
APS,LM0248,8,0,2,0,2,1,,,1,a
PSV,LM0249,8,1,0,1,1,0.75,,,1,a
EOT,LM0251,8,0,0,0,0,0,,,1,a
BCD,LM0254,8,0,0,0,0,0,,,1,a
MOR,LM0255,8,5,11,13,8,9.25,,,1,a
JVZ,LM0256,8,0,0,0,0,0,,,1,a
JQU,LM0257,8,4,1,1,1,1.75,,,1,a
HVW,LM0258,8,4,4,3,6,4.25,,,1,a
GHI,LM0259,8,2,0,1,0,0.75,,,1,a
KOP,LM0261,8,0,0,0,0,0,,,1,a
ADL,LM0264,8,0,0,0,0,0,,,1,a
IOS,LM0266,8,0,0,0,0,0,,,1,a
GSW,LM0268,8,0,0,0,0,0,,,1,a
PSU,LM0271,8,0,0,0,0,0,,,1,a
