EH_ID,labels,weight,weight_dpi0,relative_weight,feces_weight,experiment
LM_0249,E7aFMR,26.2,26.1,100.38,1.15,E7
LM_0249,E7aCLV,24.55,26.1,94.06,1.12,E7
LM_0249,E7aANV,23.77,26.1,91.07,1.3,E7
LM_0251,E7aEOT,21.84,23.16,94.3,1.32,E7
LM_0251,E7aMRZ,22.66,23.16,97.84,1.12,E7
LM_0251,E7aAMS,23.05,23.16,99.53,2.01,E7
LM_0251,E7aGLO,22.36,23.16,96.55,1.98,E7
LM_0251,E7aDOT,21.89,23.16,94.52,1.18,E7
LM_0251,E7aGSZ,23.16,23.16,100,0.69,E7
LM_0251,E7aKNZ,21.85,23.16,94.34,0.93,E7
LM_0251,E7aLNT,23.09,23.16,99.7,1.06,E7
LM_0251,E7aADV,23.42,23.16,101.12,1.34,E7
LM_0254,E7aIUV,22.54,22.32,100.99,2.5,E7
LM_0254,E7aDMP,22.36,22.32,100.18,3.93,E7
LM_0254,E7aBCD,21.04,22.32,94.27,3.97,E7
LM_0254,E7aLRS,22.75,22.32,101.93,1.71,E7
LM_0254,E7aCHI,22.35,22.32,100.13,2.15,E7
LM_0254,E7aBQR,22.48,22.32,100.72,2.33,E7
LM_0254,E7aBCP,22.32,22.32,100,3.26,E7
LM_0254,E7aJRW,22.55,22.32,101.03,2.61,E7
LM_0254,E7aDVW,22.26,22.32,99.73,2.39,E7
LM_0255,E7aMOR,16.99,18.26,93.04,1.41,E7
LM_0255,E7aNPY,17.55,18.26,96.11,1.28,E7
LM_0255,E7aDPW,18.26,18.26,100,1.07,E7
LM_0255,E7aFGM,18.58,18.26,101.75,0.96,E7
LM_0255,E7aBWZ,17.24,18.26,94.41,0.68,E7
LM_0255,E7aGOW,17.35,18.26,95.02,0.86,E7
LM_0255,E7aAIR,18.44,18.26,100.99,1.41,E7
LM_0255,E7aCHX,17.69,18.26,96.88,1.74,E7
LM_0255,E7aDFU,17.98,18.26,98.47,1.49,E7
LM_0256,E7aAGS,29.26,29.15,100.38,1.74,E7
LM_0256,E7aJRX,30.05,29.15,103.09,2.22,E7
LM_0256,E7aIJY,29.15,29.15,100,1.77,E7
LM_0256,E7aBMX,30.58,29.15,104.91,1.59,E7
LM_0256,E7aKLQ,30.26,29.15,103.81,1.91,E7
LM_0256,E7aJVZ,29.82,29.15,102.3,2.16,E7
LM_0256,E7aAOX,30.71,29.15,105.35,2.27,E7
LM_0256,E7aKNQ,30.92,29.15,106.07,1.93,E7
LM_0256,E7aBSU,29.91,29.15,102.61,1.12,E7
LM_0257,E7aLOW,21.7,22.75,95.38,1.79,E7
LM_0257,E7aCJP,22.75,22.75,100,2.32,E7
LM_0257,E7aPVX,21.77,22.75,95.69,1.11,E7
LM_0257,E7aEJP,22.51,22.75,98.95,1.14,E7
LM_0257,E7aTUV,21.3,22.75,93.63,2.89,E7
LM_0257,E7aBEF,22.37,22.75,98.33,1.53,E7
LM_0257,E7aUVY,21.03,22.75,92.44,0.96,E7
LM_0257,E7aJQU,20.44,22.75,89.85,1.46,E7
LM_0257,E7aDHX,22.35,22.75,98.24,3.66,E7
LM_0258,E7aJXZ,18.53,19.74,93.87,1.08,E7
LM_0258,E7aCGS,19.47,19.74,98.63,1.3,E7
LM_0258,E7aAEQ,19.42,19.74,98.38,1.24,E7
LM_0258,E7aOPZ,19.18,19.74,97.16,1.55,E7
LM_0258,E7aKMS,18.7,19.74,94.73,0.84,E7
LM_0258,E7aHKX,18.14,19.74,91.89,0.87,E7
LM_0258,E7aFYZ,19.44,19.74,98.48,1.92,E7
LM_0258,E7aHJU,19.74,19.74,100,1.25,E7
LM_0258,E7aHVW,18.28,19.74,92.6,1.22,E7
LM_0259,E7aALR,28.89,28.89,100,1.64,E7
LM_0259,E7aAFV,29.25,28.89,101.25,1.14,E7
LM_0259,E7aGHL,28.77,28.89,99.58,1.57,E7
LM_0259,E7aCLS,28.55,28.89,98.82,1.5,E7
LM_0259,E7aNUY,29.44,28.89,101.9,1.38,E7
LM_0259,E7aGTW,29.46,28.89,101.97,1.68,E7
LM_0259,E7aGHI,28.32,28.89,98.03,2.58,E7
LM_0259,E7aFGV,29.68,28.89,102.73,2.19,E7
LM_0259,E7aDKW,28.54,28.89,98.79,1.86,E7
LM_0260,E7bCKT,29.02,29.02,100,1.21,E7
LM_0260,E7bJKZ,28.75,29.02,99.06960717,2.65,E7
LM_0260,E7bITX,29.36,29.02,101.1716058,1.61,E7
LM_0260,E7bGIT,28.15,29.02,97.00206754,1.03,E7
LM_0260,E7bGHV,27.06,29.02,93.24603722,3.14,E7
LM_0260,E7bNTU,27.42,29.02,94.48656099,2.37,E7
LM_0260,E7bRSU,29.82,29.02,102.7567195,1.82,E7
LM_0260,E7bRTX,29.31,29.02,100.9993108,1.27,E7
LM_0260,E7bAUZ,26,29.02,89.59338387,2.76,E7
LM_0261,E7aDLN,20.09,20.09,100,0.77,E7
LM_0261,E7aDMN,19.79,20.09,98.51,0.95,E7
LM_0261,E7aDTW,19.56,20.09,97.36,1.25,E7
LM_0261,E7aCLZ,19.81,20.09,98.61,1.16,E7
LM_0261,E7aKOP,18.69,20.09,93.03,1.36,E7
LM_0261,E7aCFZ,19.01,20.09,94.62,2.52,E7
LM_0261,E7aFGZ,19.57,20.09,97.41,1.51,E7
LM_0261,E7aPRZ,19.74,20.09,98.26,1.21,E7
LM_0261,E7aCNO,19.34,20.09,96.27,1.09,E7
LM_0262,E7bBKV,22.96,21.13,108.660672,1.04,E7
LM_0262,E7bABO,22.95,21.13,108.613346,1.42,E7
LM_0262,E7bAMV,21.94,21.13,103.8334122,1.72,E7
LM_0262,E7bFHK,22.27,21.13,105.3951727,1.58,E7
LM_0262,E7bHKS,21.53,21.13,101.8930431,1.38,E7
LM_0262,E7bHQZ,21.13,21.13,100,1.08,E7
LM_0262,E7bNSX,20.91,21.13,98.95882631,1.79,E7
LM_0262,E7bCFV,21.95,21.13,103.8807383,1.65,E7
LM_0262,E7bNRV,22.13,21.13,104.7326077,0.94,E7
LM_0263,E7bLMZ,21.26,21.25,100.0470588,1.56,E7
LM_0263,E7bBIJ,22.37,21.25,105.2705882,0.98,E7
LM_0263,E7bCHM,22.05,21.25,103.7647059,1.66,E7
LM_0263,E7bLNO,21.25,21.25,100,1.45,E7
LM_0263,E7bQRT,21.82,21.25,102.6823529,1.48,E7
LM_0263,E7bNPW,22.03,21.25,103.6705882,1.27,E7
LM_0263,E7bDHI,22.28,21.25,104.8470588,1.67,E7
LM_0263,E7bJRZ,20.33,21.25,95.67058824,1.82,E7
LM_0263,E7bAKS,21.82,21.25,102.6823529,2.22,E7
LM_0264,E7aELV,17.88,17.88,100,0.66,E7
LM_0264,E7aOQT,18.31,17.88,102.4,1.05,E7
LM_0264,E7aADL,17.81,17.88,99.61,1.01,E7
LM_0264,E7aBQY,18.4,17.88,102.91,1.08,E7
LM_0264,E7aBEV,18.08,17.88,101.12,0.95,E7
LM_0264,E7aIJR,18.55,17.88,103.75,1.06,E7
LM_0264,E7aAJT,18.3,17.88,102.35,0.82,E7
LM_0264,E7aENV,18.27,17.88,102.18,0.89,E7
LM_0264,E7aDIJ,17.65,17.88,98.71,1.05,E7
LM_0265,E7bAHU,23.73,26.43,89.78433598,2.06,E7
LM_0265,E7bAFP,25.3,26.43,95.72455543,2.51,E7
LM_0265,E7bBKY,26.3,26.43,99.5081347,2.54,E7
LM_0265,E7bPQY,26.11,26.43,98.78925463,2.34,E7
LM_0265,E7bEIS,26.41,26.43,99.92432841,1.47,E7
LM_0265,E7bDKM,26.43,26.43,100,1.39,E7
LM_0265,E7bFGW,25.91,26.43,98.03253878,1.09,E7
LM_0265,E7bIMQ,26.37,26.43,99.77298524,2.45,E7
LM_0265,E7bGSV,25.95,26.43,98.18388195,1.35,E7
LM_0266,E7aJUV,23.01,23.94,96.12,1.18,E7
LM_0266,E7aGRV,22.57,23.94,94.28,0.96,E7
LM_0266,E7aDKO,21.39,23.94,89.35,2.18,E7
LM_0266,E7aFLY,20.36,23.94,85.05,2.12,E7
LM_0266,E7aIOS,19.59,23.94,81.83,2.79,E7
LM_0266,E7aFLN,21.47,23.94,89.68,1.36,E7
LM_0266,E7aCOW,20.44,23.94,85.38,2.17,E7
LM_0266,E7aDJP,23.94,23.94,100,1.67,E7
LM_0266,E7aJTV,22.67,23.94,94.7,1.28,E7
LM_0268,E7aCPW,19.76,20.84,94.82,1.96,E7
LM_0268,E7aKWX,20.84,20.84,100,2.33,E7
LM_0268,E7aDGZ,19.79,20.84,94.96,2.21,E7
LM_0268,E7aGHV,18.85,20.84,90.45,1.53,E7
LM_0268,E7aGSW,19.11,20.84,91.7,2.11,E7
LM_0268,E7aAYZ,19.2,20.84,92.13,1.58,E7
LM_0268,E7aERS,19.55,20.84,93.81,2.5,E7
LM_0268,E7aAWZ,19.66,20.84,94.34,1.27,E7
LM_0268,E7aEIU,19.69,20.84,94.48,1.14,E7
LM_0269,E7bGPR,21.34,21.6,98.7962963,1.9,E7
LM_0269,E7bAQY,19.71,21.6,91.25,1.31,E7
LM_0269,E7bIQW,20.85,21.6,96.52777778,1.78,E7
LM_0269,E7bHJW,22.21,21.6,102.8240741,1.05,E7
LM_0269,E7bMNP,21.5,21.6,99.53703704,1.31,E7
LM_0269,E7bLOT,21.19,21.6,98.10185185,1.22,E7
LM_0269,E7bBIW,21.6,21.6,100,1,E7
LM_0269,E7bEIV,21.65,21.6,100.2314815,1.61,E7
LM_0269,E7bSUZ,21.51,21.6,99.58333333,0.94,E7
LM_0270,E7bARS,22.9,23.89,95.8560067,1.18,E7
LM_0270,E7bGQU,23.89,23.89,100,1.91,E7
LM_0270,E7bNRU,22.5,23.89,94.18166597,1.38,E7
LM_0270,E7bOSZ,22.92,23.89,95.93972373,1.62,E7
LM_0270,E7bAOZ,24.55,23.89,102.7626622,2.23,E7
LM_0270,E7bKMQ,23.01,23.89,96.3164504,1.58,E7
LM_0270,E7bEKV,22.62,23.89,94.68396819,1.4,E7
LM_0270,E7bBGV,22.61,23.89,94.64210967,2.08,E7
LM_0270,E7bBTZ,22.6,23.89,94.60025115,1.75,E7
LM_0271,E7aBEW,23.76,24.25,97.98,2.44,E7
LM_0271,E7aFHQ,23.3,24.25,96.08,0.88,E7
LM_0271,E7aPSU,23.34,24.25,96.25,2.08,E7
LM_0271,E7aKQW,23.28,24.25,96,1.79,E7
LM_0271,E7aPQZ,22.66,24.25,93.44,3.69,E7
LM_0271,E7aACO,23.33,24.25,96.21,1.8,E7
LM_0271,E7aAGI,22.8,24.25,94.02,4.02,E7
LM_0271,E7aCKO,24.25,24.25,100,1.39,E7
LM_0271,E7aHKT,24.24,24.25,99.96,2.07,E7
LM_0272,E7bEWX,22.6,22.77,99.2534036,1.83,E7
LM_0272,E7bLVZ,22.87,22.77,100.4391744,1.27,E7
LM_0272,E7bAYZ,22.78,22.77,100.0439174,1.48,E7
LM_0272,E7bJQZ,22.53,22.77,98.94598155,2.28,E7
LM_0272,E7bCKS,23.14,22.77,101.6249451,1.68,E7
LM_0272,E7bCTU,23.14,22.77,101.6249451,1.17,E7
LM_0272,E7bLQW,22.5,22.77,98.81422925,1.28,E7
LM_0272,E7bHWY,23.26,22.77,102.1519543,1.92,E7
LM_0272,E7bAOT,22.77,22.77,100,0.83,E7
LM_0273,E7bBQV,22.17,21.7,102.1658986,1.43,E7
LM_0273,E7bCLX,21.47,21.7,98.94009217,1.82,E7
LM_0273,E7bMPW,20.96,21.7,96.58986175,2.94,E7
LM_0273,E7bDIS,21.72,21.7,100.0921659,1.94,E7
LM_0273,E7bAHV,21.7,21.7,100,1.82,E7
LM_0273,E7bKPZ,22.27,21.7,102.6267281,1.49,E7
LM_0273,E7bGTV,20.67,21.7,95.25345622,1.82,E7
LM_0273,E7bOSX,20.87,21.7,96.17511521,2.07,E7
LM_0273,E7bKQW,21.81,21.7,100.5069124,2,E7
LM_0275,E7bNOU,21.34,20.83,102.4483917,1.27,E7
LM_0275,E7bGPT,21.63,20.83,103.8406145,1.01,E7
LM_0275,E7bIJP,20.83,20.83,100,1.2,E7
LM_0275,E7bUWZ,21.81,20.83,104.7047528,1.56,E7
LM_0275,E7bABL,22.54,20.83,108.2093135,0.84,E7
LM_0275,E7bHLP,22.25,20.83,106.8170907,1.24,E7
LM_0275,E7bAFK,21.51,20.83,103.2645223,1.3,E7
LM_0275,E7bMNW,22.47,20.83,107.8732597,1.19,E7
LM_0275,E7bACH,22.93,20.83,110.0816131,1.13,E7
LM_0276,E7bESY,32.1,29.59,108.4825955,2.38,E7
LM_0276,E7bPQT,29.59,29.59,100,1.74,E7
LM_0276,E7bBDP,30.37,29.59,102.6360257,1.87,E7
LM_0276,E7bBGY,31.04,29.59,104.9003042,1,E7
LM_0276,E7bDTV,31.27,29.59,105.6775938,2.6,E7
LM_0276,E7bABW,30.73,29.59,103.8526529,2.22,E7
LM_0276,E7bEHR,30.47,29.59,102.9739777,3.5,E7
LM_0276,E7bRXZ,31.62,29.59,106.8604258,1.79,E7
LM_0276,E7bPVZ,32.25,29.59,108.9895235,1.17,E7
LM_0277,E7bEFU,24.1,23.88,100.921273,1.13,E7
LM_0277,E7bELQ,23.88,23.88,100,0.78,E7
LM_0277,E7bADS,24.07,23.88,100.7956449,1.69,E7
LM_0277,E7bABP,24.49,23.88,102.5544389,1.62,E7
LM_0277,E7bSWZ,24.13,23.88,101.0469012,1.48,E7
LM_0277,E7bCEK,23.62,23.88,98.91122278,1.52,E7
LM_0277,E7bBRZ,23.99,23.88,100.4606365,1.54,E7
LM_0277,E7bBIN,24.21,23.88,101.3819095,1.9,E7
LM_0277,E7bART,21.36,23.88,89.44723618,1.61,E7
LM_0278,E7bCIM,21.09,20.88,101.0057471,2.53,E7
LM_0278,E7bKMP,21.63,20.88,103.591954,1.11,E7
LM_0278,E7bLMV,21.71,20.88,103.9750958,1.67,E7
LM_0278,E7bQVX,21.56,20.88,103.256705,2.62,E7
LM_0278,E7bMQS,22.31,20.88,106.848659,1.26,E7
LM_0278,E7bGVY,22.15,20.88,106.0823755,1.12,E7
LM_0278,E7bDTU,22.24,20.88,106.51341,1.17,E7
LM_0278,E7bILR,20.88,20.88,100,2,E7
LM_0278,E7bDHY,22.59,20.88,108.1896552,1.77,E7
LM_0279,E7bFPV,21.27,21.35,99.62529274,1.1,E7
LM_0279,E7bBHX,21.64,21.35,101.3583138,0.68,E7
LM_0279,E7bBMS,20.86,21.35,97.70491803,1.32,E7
LM_0279,E7bNOY,21.42,21.35,100.3278689,1.89,E7
LM_0279,E7bLNT,20.41,21.35,95.5971897,1.7,E7
LM_0279,E7bQSV,21.12,21.35,98.92271663,1.4,E7
LM_0279,E7bHIY,20.86,21.35,97.70491803,1.46,E7
LM_0279,E7bBNQ,21.35,21.35,100,1.09,E7
LM_0279,E7bSTZ,21.49,21.35,100.6557377,1.67,E7
LM_0280,E7bFJY,19.16,17.57,109.0495162,3.1,E7
LM_0280,E7bDVW,18.64,17.57,106.089926,1.17,E7
LM_0280,E7bOSY,17.68,17.57,100.6260672,2.67,E7
LM_0280,E7bAVW,18.55,17.57,105.5776892,2.72,E7
LM_0280,E7bNXY,18.57,17.57,105.6915196,1.18,E7
LM_0280,E7bIMP,17.57,17.57,100,1.28,E7
LM_0280,E7bMRZ,18.5,17.57,105.2931133,1.42,E7
LM_0280,E7bHKN,18.12,17.57,103.1303358,1.07,E7
LM_0280,E7bLQU,18.96,17.57,107.9112123,1.64,E7
LM_0282,E7bHNO,34.11,30.09,113.3599202,2.13,E7
LM_0282,E7bRWX,31.29,30.09,103.9880359,2.35,E7
LM_0282,E7bRWZ,30.09,30.09,100,2.25,E7
LM_0282,E7bFGZ,33.15,30.09,110.1694915,1.75,E7
LM_0282,E7bAUW,32.85,30.09,109.1724826,1.65,E7
LM_0282,E7bABC,34.57,30.09,114.8886673,1.64,E7
LM_0282,E7bGLS,30.62,30.09,101.7613825,2.34,E7
LM_0282,E7bIOZ,32.47,30.09,107.9096045,2.84,E7
LM_0282,E7bFRU,35.04,30.09,116.4506481,1.96,E7
LM_0283,E7bAWX,19.3,19.1,101.0471204,1.59,E7
LM_0283,E7bQRS,18.4,19.1,96.33507853,1.81,E7
LM_0283,E7bFJN,18.42,19.1,96.43979058,1.7,E7
LM_0283,E7bAJN,19.07,19.1,99.84293194,1.13,E7
LM_0283,E7bJMO,19.1,19.1,100,1.31,E7
LM_0283,E7bBMR,18.88,19.1,98.84816754,1.12,E7
LM_0283,E7bLYZ,19.35,19.1,101.3089005,1.49,E7
LM_0283,E7bCGR,19.54,19.1,102.3036649,1.05,E7
LM_0283,E7bKPU,19.4,19.1,101.5706806,1.5,E7
LM_0284,E7bFMV,22.76,22.39,101.6525234,1.95,E7
LM_0284,E7bLRS,23.55,22.39,105.1808843,1.5,E7
LM_0284,E7bLOR,22.39,22.39,100,1.27,E7
LM_0284,E7bFMN,21.88,22.39,97.72219741,1.86,E7
LM_0284,E7bLPZ,22.52,22.39,100.5806163,1.13,E7
LM_0284,E7bKOX,23.15,22.39,103.3943725,1.98,E7
LM_0284,E7bKLQ,22.4,22.39,100.0446628,1.29,E7
LM_0284,E7bKLT,22.56,22.39,100.7592675,1.26,E7
LM_0284,E7bCRX,22.43,22.39,100.1786512,2.2,E7
LM_0285,E7bBEV,19.01,19.43,97.83839424,1.06,E7
LM_0285,E7bACW,19.26,19.43,99.12506433,1.67,E7
LM_0285,E7bCRV,19.43,19.43,100,1.49,E7
LM_0285,E7bCHZ,19.68,19.43,101.2866701,2.01,E7
LM_0285,E7bCMQ,19.21,19.43,98.86773031,0.77,E7
LM_0285,E7bBIT,19.05,19.43,98.04426145,1.33,E7
LM_0285,E7bBMX,19.66,19.43,101.1837365,1.4,E7
LM_0285,E7bCLV,19.37,19.43,99.69119918,1,E7
LM_0285,E7bIKL,18.9,19.43,97.27225939,1.37,E7
LM_0286,E7bNPX,18.75,19.07,98.32197168,2.61,E7
LM_0286,E7bCWZ,20.41,19.07,107.0267436,1.44,E7
LM_0286,E7bBNT,19.36,19.07,101.5207132,1.36,E7
LM_0286,E7bDUY,20.14,19.07,105.6109072,1.14,E7
LM_0286,E7bDFQ,19.46,19.07,102.045097,2.42,E7
LM_0286,E7bDKV,20.3,19.07,106.4499213,1.57,E7
LM_0286,E7bGXY,19.07,19.07,100,2.27,E7
LM_0286,E7bDGQ,19.47,19.07,102.0975354,2.2,E7
LM_0286,E7bBGI,20.02,19.07,104.9816466,1.74,E7
LM_0287,E7bEPQ,19.89,18.83,105.6293149,0.88,E7
LM_0287,E7bLMS,19.29,18.83,102.4429102,1.42,E7
LM_0287,E7bHKV,18.83,18.83,100,0.95,E7
LM_0287,E7bPRZ,20.85,18.83,110.7275624,1.27,E7
LM_0287,E7bFLY,20.3,18.83,107.8066914,1.27,E7
LM_0287,E7bDFL,19.02,18.83,101.0090281,1.46,E7
LM_0287,E7bELU,19.96,18.83,106.0010621,1.43,E7
LM_0287,E7bAST,20.03,18.83,106.3728093,1.27,E7
LM_0287,E7bNPY,20.17,18.83,107.1163038,1.7,E7
LM_0288,E7bDHV,20.41,19.74,103.3941236,3.54,E7
LM_0288,E7bFIJ,19.9,19.74,100.810537,1.51,E7
LM_0288,E7bIKT,19.89,19.74,100.7598784,1.49,E7
LM_0288,E7bAEG,19.93,19.74,100.9625127,1.3,E7
