"","EH_ID","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection"
"88","LM0267","E57aAPV","E5",26.73,26.73,"100",1.65,0,"primary"
"89","LM0268","E57aBNZ","E5",18.01,18.01,"100",0,0,"primary"
"90","LM0269","E57aAFM","E5",20.09,20.09,"100",0.59,0,"primary"
"91","LM0270","E57aBDO","E5",19.14,19.14,"100",1.28,0,"primary"
"92","LM0271","E57aBDE","E5",21.28,21.28,"100",0.83,0,"primary"
"93","LM0272","E57aCPX","E5",16.13,16.13,"100",1.27,0,"primary"
"94","LM0273","E57aHVY","E5",18.66,18.66,"100",0.91,0,"primary"
"95","LM0274","E57aBRY","E5",24.65,24.65,"100",1.06,0,"primary"
"96","LM0275","E57aIOR","E5",19.4,19.4,"100",0.16,0,"primary"
"97","LM0276","E57aNTZ","E5",24.31,24.31,"100",0,0,"primary"
"98","LM0277","E57aDMX","E5",19.36,19.36,"100",0.81,0,"primary"
"99","LM0278","E57aCPQ","E5",17.54,17.54,"100",1.24,0,"primary"
"100","LM0279","E57aNPZ","E5",13.43,13.43,"100",0,0,"primary"
"101","LM0280","E57aCJR","E5",16.32,16.32,"100",0,0,"primary"
"102","LM0281","E57aHLS","E5",14.41,14.41,"100",0.35,0,"primary"
"103","LM0282","E57aBCF","E5",24.32,24.32,"100",0,0,"primary"
"104","LM0283","E57aBDR","E5",15.15,15.15,"100",0,0,"primary"
"105","LM0284","E57aBGH","E5",21.53,21.53,"100",0.64,0,"primary"
"106","LM0285","E57aBDK","E5",15.92,15.92,"100",0.89,0,"primary"
"107","LM0286","E57aMOR","E5",15.42,15.42,"100",0,0,"primary"
"108","LM0287","E57aBET","E5",19.81,19.81,"100",0,0,"primary"
"109","LM0288","E57aBHU","E5",17.29,17.29,"100",1.44,0,"primary"
"110","LM0289","E57aFPX","E5",19.44,19.44,"100",1.33,0,"primary"
"111","LM0291","E57aBGW","E5",16.53,16.53,"100",0.61,0,"primary"
"112","LM0292","E57aFMN","E5",20.56,20.56,"100",2.42,0,"primary"
"113","LM0293","E57aEMW","E5",16.94,16.94,"100",0.54,0,"primary"
"114","LM0294","E57aQXZ","E5",13.66,13.66,"100",0,0,"primary"
"115","LM0295","E57aADX","E5",17.12,17.12,"100",0.64,0,"primary"
"116","LM0179","E57aMQS","E5",19.79,18.93,"104.543053354464",0,1,"primary"
"117","LM0180","E57aDTY","E5",23.7,24.1,"98.3402489626556",0.73,1,"primary"
"118","LM0181","E57aMQR","E5",18.22,17.5,"104.114285714286",0,1,"primary"
"119","LM0182","E57aESV","E5",17.48,16.94,"103.18772136954",0.9,1,"primary"
"120","LM0183","E57aPTZ","E5",16.56,17.08,"96.9555035128806",1.34,1,"primary"
"121","LM0184","E57aEKO","E5",22.54,22.8,"98.859649122807",0,1,"primary"
"122","LM0185","E57aMOV","E5",20.33,20.1,"101.144278606965",0.67,1,"primary"
"123","LM0186","E57aSUW","E5",17.71,18.1,"97.8453038674033",0.17,1,"primary"
"124","LM0187","E57aENZ","E5",16.73,16.71,"100.119688809096",0,1,"primary"
"125","LM0188","E57aBCR","E5",20.27,20.6,"98.3980582524272",0.6,1,"primary"
"126","LM0189","E57aCJS","E5",16.35,17.03,"96.0070463887258",0,1,"primary"
"127","LM0190","E57aRSW","E5",15.9,15.55,"102.250803858521",0,1,"primary"
"128","LM0191","E57aINR","E5",21.74,21.97,"98.9531178880291",1.02,1,"primary"
"129","LM0192","E57aBCJ","E5",21.17,21.06,"100.522317188984",0.91,1,"primary"
"130","LM0193","E57aNRX","E5",16.75,16.4,"102.134146341463",0.1,1,"primary"
"131","LM0194","E57aNWZ","E5",20.55,20.37,"100.883652430044",0,1,"primary"
"132","LM0195","E57aEQU","E5",16.96,16.88,"100.473933649289",0.88,1,"primary"
"133","LM0196","E57aMNP","E5",22,22.5,"97.7777777777778",0,1,"primary"
"134","LM0197","E57aJOS","E5",20.96,21.35,"98.1733021077283",1.05,1,"primary"
