EH_ID,experiment,labels,weight,weight_dpi0,relative_weight,feces_weight,dpi,infection
LM_0333,P3,P3aIFD,52.4,52.7,99.4307400379507,NA,4,primary
LM_0347,P3,P3aIWZ,68.7,71.5,96.0839160839161,NA,2,primary
LM_0344,P3,P3aIZU,50,51.4,97.2762645914397,1.5,9,primary
LM_0345,P3,P3aJGV,56.7,60.7,93.4102141680395,2.58,6,primary
LM_0347,P3,P3aJGW,67,71.5,93.7062937062937,NA,5,primary
LM_0334,P3,P3aJIH,39.4,50.7,77.7120315581854,0.85,11,primary
LM_0334,P3,P3aJIX,47.4,50.7,93.491124260355,2.07,7,primary
LM_0341,P3,P3aJJH,51.2,59.1,86.6328257191202,1.95,5,primary
LM_0337,P3,P3aJLL,44.2,44.7,98.8814317673378,NA,1,primary
LM_0333,P3,P3aJOI,42.8,52.7,81.2144212523719,0.6,10,primary
LM_0339,P3,P3aJQD,47,49.6,94.758064516129,NA,10,primary
LM_0333,P3,P3aJRA,52.7,52.7,100,NA,0,primary
LM_0343,P3,P3aJRY,56.8,59.8,94.9832775919733,NA,1,primary
LM_0334,P3,P3aJVR,40.2,50.7,79.2899408284024,0.57,10,primary
LM_0347,P3,P3aJZP,71.5,71.5,100,NA,0,primary
LM_0334,P3,P3aKEG,42.3,50.7,83.4319526627219,1.06,9,primary
LM_0337,P3,P3aKIB,44.4,44.7,99.3288590604027,NA,3,primary
LM_0332,P3,P3aKIQ,58.8,61.2,96.078431372549,NA,6,primary
LM_0343,P3,P3aKPZ,57.3,59.8,95.819397993311,1.06,3,primary
LM_0342,P3,P3aKUB,53.4,57,93.6842105263158,2.2,7,primary
LM_0344,P3,P3aKUI,51.7,51.4,100.583657587549,NA,1,primary
LM_0344,P3,P3aKXD,50.1,51.4,97.4708171206226,1.35,7,primary
LM_0340,P3,P3aKYD,52.5,54.5,96.3302752293578,NA,9,primary
LM_0334,P3,P3aKYE,49,50.7,96.6469428007889,NA,4,primary
LM_0341,P3,P3aLKM,50.4,59.1,85.2791878172589,2.86,7,primary
LM_0334,P3,P3aLMT,44.7,50.7,88.1656804733728,NA,2,primary
LM_0332,P3,P3aLRK,58.7,61.2,95.9150326797386,NA,5,primary
LM_0343,P3,P3aLTM,59.8,59.8,100,NA,0,primary
LM_0342,P3,P3aLTV,53.6,57,94.0350877192983,NA,2,primary
LM_0340,P3,P3aMAO,50.5,54.5,92.6605504587156,1.82,7,primary
LM_0338,P3,P3aMCD,51.3,51.3,100,NA,0,primary
LM_0347,P3,P3aMCE,63.2,71.5,88.3916083916084,7.28,11,primary
LM_0342,P3,P3aMNQ,53.1,57,93.1578947368421,3.7,5,primary
LM_0342,P3,P3aMVU,55.6,57,97.5438596491228,2.5,4,primary
LM_0336,P3,P3aNGT,50.8,51.9,97.8805394990366,NA,5,primary
LM_0338,P3,P3aNJU,50.4,51.3,98.2456140350877,NA,2,primary
LM_0339,P3,P3aNLI,44.2,49.6,89.1129032258064,1.74,5,primary
LM_0345,P3,P3aNMF,57.3,60.7,94.3986820428336,4.04,5,primary
LM_0333,P3,P3aNRV,51.6,52.7,97.9127134724858,NA,2,primary
LM_0341,P3,P3aNYG,50.3,59.1,85.1099830795262,0.52,6,primary
LM_0342,P3,P3aOLI,55.8,57,97.8947368421053,NA,1,primary
LM_0341,P3,P3aOML,54,59.1,91.3705583756345,0.85,3,primary
LM_0338,P3,P3aOMQ,49.6,51.3,96.6861598440546,2.17,4,primary
LM_0347,P3,P3aOOZ,63.9,71.5,89.3706293706294,5.52,10,primary
LM_0347,P3,P3aOSC,65.2,71.5,91.1888111888112,4.15,9,primary
LM_0344,P3,P3aOTL,50.4,51.4,98.0544747081712,NA,10,primary
LM_0345,P3,P3aPEE,57.6,60.7,94.8929159802306,2.72,8,primary
LM_0333,P3,P3aPFK,45.8,52.7,86.9070208728653,0.85,9,primary
LM_0340,P3,P3aPJX,53.4,54.5,97.9816513761468,NA,2,primary
LM_0333,P3,P3aPLG,51,52.7,96.7741935483871,3.46,7,primary
LM_0338,P3,P3aPUD,48.7,51.3,94.9317738791423,NA,11,primary
LM_0340,P3,P3aQAG,53.1,54.5,97.4311926605505,NA,1,primary
LM_0339,P3,P3aQBP,47,49.6,94.758064516129,3.03,4,primary
LM_0347,P3,P3aQDW,66.7,71.5,93.2867132867133,NA,6,primary
LM_0337,P3,P3aQEC,39.3,44.7,87.9194630872483,1.81,10,primary
LM_0344,P3,P3aQEO,50,51.4,97.2762645914397,1.14,8,primary
LM_0345,P3,P3aQGP,58.8,60.7,96.8698517298188,NA,2,primary
LM_0340,P3,P3aQJU,51.6,54.5,94.6788990825688,NA,11,primary
LM_0340,P3,P3aREI,49,54.5,89.908256880734,1.14,6,primary
LM_0337,P3,P3aREY,44.3,44.7,99.1051454138702,NA,2,primary
LM_0342,P3,P3aRIY,57,57,100,NA,0,primary
LM_0345,P3,P3aRJA,56.7,60.7,93.4102141680395,4.4,7,primary
LM_0346,P3,P3aRPG,52.5,53.9,97.4025974025974,NA,11,primary
LM_0332,P3,P3aRRF,53.8,61.2,87.9084967320261,0.76,8,primary
LM_0346,P3,P3aRVL,52.2,53.9,96.8460111317254,NA,4,primary
LM_0345,P3,P3aRWR,59,60.7,97.1993410214168,NA,1,primary
LM_0346,P3,P3aRWU,53.5,53.9,99.2578849721707,NA,3,primary
LM_0339,P3,P3aRZE,47.3,49.6,95.3629032258064,NA,8,primary
LM_0346,P3,P3aSBV,52.5,53.9,97.4025974025974,3.81,9,primary
LM_0332,P3,P3aSHB,59.4,61.2,97.0588235294118,NA,2,primary
LM_0335,P3,P3aSMP,48.5,49.4,98.1781376518219,NA,3,primary
LM_0336,P3,P3aSMX,44.6,51.9,85.9344894026975,2.91,11,primary
LM_0333,P3,P3aSNB,52,52.7,98.6717267552182,NA,6,primary
LM_0342,P3,P3aSOX,53,57,92.9824561403509,NA,9,primary
LM_0339,P3,P3aSQC,44.2,49.6,89.1129032258064,1.17,6,primary
LM_0335,P3,P3aSRB,48.2,49.4,97.5708502024292,NA,1,primary
LM_0340,P3,P3aSRE,48.8,54.5,89.5412844036697,1.45,5,primary
LM_0336,P3,P3aSVD,43.6,51.9,84.0077071290944,0.81,10,primary
LM_0341,P3,P3aSVZ,53.7,59.1,90.8629441624366,1.68,4,primary
LM_0346,P3,P3aSWK,52.3,53.9,97.0315398886828,4.04,5,primary
LM_0338,P3,P3aTBA,48.8,51.3,95.1267056530214,NA,8,primary
LM_0338,P3,P3aTCS,50.4,51.3,98.2456140350877,NA,1,primary
LM_0339,P3,P3aTKS,46.2,49.6,93.1451612903226,NA,11,primary
LM_0341,P3,P3aTLE,54.3,59.1,91.8781725888325,NA,1,primary
LM_0332,P3,P3aTNB,59,61.2,96.4052287581699,NA,3,primary
LM_0344,P3,P3aTOW,50.2,51.4,97.6653696498055,1.4,6,primary
LM_0332,P3,P3aTQH,57.4,61.2,93.7908496732026,1.46,7,primary
LM_0337,P3,P3aTQK,42.3,44.7,94.6308724832215,2.76,8,primary
LM_0335,P3,P3aTSI,47,49.4,95.1417004048583,1.9,7,primary
LM_0343,P3,P3aTSY,51.6,59.8,86.2876254180602,0.86,6,primary
LM_0340,P3,P3aTVC,50.2,54.5,92.1100917431193,2.56,4,primary
LM_0335,P3,P3aUAS,45.1,49.4,91.2955465587045,2.37,8,primary
LM_0347,P3,P3aULZ,68.3,71.5,95.5244755244755,NA,3,primary
LM_0334,P3,P3aURW,44.6,50.7,87.9684418145957,0.95,8,primary
LM_0338,P3,P3aUWS,50.4,51.3,98.2456140350877,2.4,3,primary
LM_0336,P3,P3aUXG,47.9,51.9,92.2928709055877,2.75,8,primary
LM_0340,P3,P3aUZT,52.7,54.5,96.697247706422,1.16,3,primary
LM_0336,P3,P3aVAC,50.5,51.9,97.3025048169557,NA,3,primary
LM_0344,P3,P3aVEB,50,51.4,97.2762645914397,NA,11,primary
LM_0337,P3,P3aVKX,39.7,44.7,88.8143176733781,1.4,9,primary
LM_0335,P3,P3aVQF,47.9,49.4,96.9635627530364,NA,5,primary
LM_0347,P3,P3aVUI,64.8,71.5,90.6293706293706,NA,1,primary
LM_0344,P3,P3aWEK,52,51.4,101.167315175097,NA,2,primary
LM_0334,P3,P3aWMH,48.6,50.7,95.8579881656805,NA,3,primary
LM_0343,P3,P3aWMM,53.3,59.8,89.1304347826087,1.8,5,primary
LM_0334,P3,P3aWRE,48.8,50.7,96.2524654832347,NA,6,primary
LM_0335,P3,P3aWSE,42.5,49.4,86.0323886639676,1.54,10,primary
LM_0336,P3,P3aWTG,49.7,51.9,95.7610789980732,3.37,7,primary
LM_0334,P3,P3aXBC,48.5,50.7,95.6607495069034,NA,5,primary
LM_0338,P3,P3aXUQ,44.2,51.3,86.1598440545809,NA,9,primary
LM_0342,P3,P3aXVS,49.5,57,86.8421052631579,NA,11,primary
LM_0342,P3,P3aXYE,56.3,57,98.7719298245614,1.8,3,primary
LM_0332,P3,P3aYJG,49.9,61.2,81.5359477124183,0.64,9,primary
LM_0335,P3,P3aYKB,46.5,49.4,94.1295546558704,NA,2,primary
LM_0341,P3,P3aYKT,59.1,59.1,100,NA,0,primary
LM_0345,P3,P3aYKY,57.3,60.7,94.3986820428336,NA,10,primary
LM_0336,P3,P3aYLP,50.1,51.9,96.5317919075144,NA,2,primary
LM_0347,P3,P3aYMT,63.7,71.5,89.0909090909091,4.86,8,primary
LM_0342,P3,P3aYNS,52.7,57,92.4561403508772,1.96,6,primary
LM_0335,P3,P3aYTP,43.6,49.4,88.2591093117409,3.06,11,primary
LM_0332,P3,P3aYTT,59.2,61.2,96.7320261437908,NA,4,primary
LM_0342,P3,P3aYUI,51.2,57,89.8245614035088,NA,10,primary
LM_0346,P3,P3aYYU,52.8,53.9,97.9591836734694,NA,10,primary
LM_0341,P3,P3aZGF,54.2,59.1,91.7089678510998,NA,2,primary
LM_0344,P3,P3aZPZ,51.4,51.4,100,NA,0,primary
LM_0346,P3,P3aZQY,52.5,53.9,97.4025974025974,3.92,6,primary
LM_0338,P3,P3aZTI,45.3,51.3,88.3040935672515,0.7,6,primary
LM_0344,P3,P3aZTL,51.6,51.4,100.389105058366,NA,3,primary
LM_0332,P3,P3aZUX,59.6,61.2,97.3856209150327,NA,1,primary
LM_0334,P3,P3aZXF,59.5,50.7,117.357001972387,NA,1,primary
LM_0336,P3,P3bAGV,46,52.3,95.4110898661568,0.67,5,challenge
LM_0337,P3,P3bAHV,44.4,44.9,98.8864142538975,1.59,6,challenge
LM_0332,P3,P3bAOV,50.2,51.3,97.8557504873294,NA,5,challenge
LM_0332,P3,P3bBHI,51.3,51.3,100,NA,0,challenge
LM_0342,P3,P3bBPM,51.2,55.6,94.2446043165468,1.87,3,challenge
LM_0341,P3,P3bBPO,54.5,58.1,93.8037865748709,1.98,7,challenge
LM_0343,P3,P3bBQA,52.9,56.5,93.6283185840708,1.62,8,challenge
LM_0333,P3,P3bBTL,45.7,50,91.4,NA,8,challenge
LM_0339,P3,P3bBUX,44.7,48.5,95.2577319587629,1.11,5,challenge
LM_0336,P3,P3bBWS,43.8,52.3,83.7476099426386,0.88,7,challenge
LM_0346,P3,P3bBZL,52.3,53.2,96.6165413533835,NA,4,challenge
LM_0332,P3,P3bCRA,49.8,51.3,97.0760233918129,2.9,7,challenge
LM_0343,P3,P3bCTS,55.1,56.5,95.929203539823,NA,4,challenge
LM_0333,P3,P3bDGY,47.4,50,97,1.69,5,challenge
LM_0344,P3,P3bECK,NA,48.6,NA,NA,7,challenge
LM_0346,P3,P3bEFI,52.1,53.2,98.3082706766917,1.04,5,challenge
LM_0345,P3,P3bERF,58.2,59.2,98.3108108108108,NA,1,challenge
LM_0332,P3,P3bEVI,50.2,51.3,96.2962962962963,NA,4,challenge
LM_0334,P3,P3bEVN,47.3,47.3,100,NA,0,challenge
LM_0342,P3,P3bEVY,47.4,55.6,85.2517985611511,NA,8,challenge
LM_0341,P3,P3bEWH,54.7,58.1,94.1480206540448,NA,6,challenge
LM_0340,P3,P3bFLD,49.7,53.6,92.7238805970149,2.44,8,challenge
LM_0347,P3,P3bFMI,60.4,69.1,87.4095513748191,2.65,8,challenge
LM_0340,P3,P3bFPD,50.9,53.6,94.9626865671642,1.67,7,challenge
LM_0337,P3,P3bFUT,43.3,44.9,96.4365256124722,NA,1,challenge
LM_0338,P3,P3bFVQ,49.9,50.2,99.402390438247,NA,3,challenge
LM_0334,P3,P3bFWC,46.5,47.3,97.8858350951374,NA,4,challenge
LM_0338,P3,P3bFWG,48.3,50.2,96.2151394422311,1.5,8,challenge
LM_0345,P3,P3bFYX,54.8,59.2,92.5675675675675,1.96,7,challenge
LM_0338,P3,P3bHET,48.6,50.2,99.402390438247,NA,4,challenge
LM_0341,P3,P3bHPH,54.9,58.1,94.3201376936317,NA,3,challenge
LM_0347,P3,P3bHSH,69.1,69.1,100,NA,0,challenge
LM_0344,P3,P3bHSI,NA,48.6,NA,NA,6,challenge
LM_0345,P3,P3bHYO,56.7,59.2,97.8040540540541,2.13,4,challenge
LM_0346,P3,P3bIAU,53.2,53.2,100,NA,0,challenge
LM_0347,P3,P3bICF,63.5,69.1,93.1982633863965,NA,5,challenge
LM_0345,P3,P3bIHD,52.8,59.2,89.1891891891892,NA,8,challenge
LM_0335,P3,P3bIIT,45.6,47,97.0212765957447,1.78,8,challenge
LM_0336,P3,P3bINX,49.9,52.3,91.9694072657744,2.12,4,challenge
LM_0336,P3,P3bIPY,48.1,52.3,95.9847036328872,1.81,3,challenge
LM_0332,P3,P3bISY,49.4,51.3,96.2962962962963,NA,3,challenge
LM_0342,P3,P3bJAH,52.2,55.6,92.0863309352518,2.74,4,challenge
LM_0340,P3,P3bJAT,53.6,53.6,100,NA,0,challenge
LM_0333,P3,P3bJRF,45.5,50,91,1.99,7,challenge
LM_0339,P3,P3bJUN,43.7,48.5,90.1030927835052,NA,8,challenge
LM_0343,P3,P3bJVY,54.3,56.5,96.1061946902655,2.02,6,challenge
LM_0342,P3,P3bKLB,54.1,55.6,97.3021582733813,NA,1,challenge
LM_0337,P3,P3bKMJ,43.2,44.9,96.2138084632517,1.43,8,challenge
LM_0336,P3,P3bKTN,52.3,52.3,100,NA,0,challenge
LM_0343,P3,P3bLAV,54,56.5,95.5752212389381,2.25,7,challenge
LM_0339,P3,P3bLBS,44.1,48.5,90.9278350515464,0.88,6,challenge
LM_0340,P3,P3bLCA,51.2,53.6,95.5223880597015,1.72,6,challenge
LM_0345,P3,P3bLFC,55.3,59.2,93.4121621621621,1,6,challenge
LM_0343,P3,P3bLNN,54.2,56.5,97.5221238938053,NA,3,challenge
LM_0343,P3,P3bLOR,54.6,56.5,97.5221238938053,1.8,5,challenge
LM_0347,P3,P3bLSG,63,69.1,91.1722141823444,2.57,7,challenge
LM_0341,P3,P3bLZC,54.7,58.1,93.1153184165232,NA,5,challenge
LM_0345,P3,P3bMRS,59.2,59.2,100,NA,0,challenge
LM_0333,P3,P3bMUY,46.3,50,92.6,0.97,6,challenge
LM_0346,P3,P3bNPG,51.4,53.2,97.1804511278195,NA,3,challenge
LM_0341,P3,P3bNQG,52.5,58.1,90.3614457831325,0.79,8,challenge
LM_0337,P3,P3bNSX,44.2,44.9,96.6592427616927,1.58,5,challenge
LM_0336,P3,P3bNYU,44.4,52.3,84.8948374760994,0.78,6,challenge
LM_0344,P3,P3bNZA,47.8,48.6,98.3539094650206,NA,1,challenge
LM_0341,P3,P3bOAH,58.1,58.1,100,NA,0,challenge
LM_0337,P3,P3bOCL,43.4,44.9,98.8864142538975,NA,4,challenge
LM_0342,P3,P3bOGG,55.6,55.6,100,NA,0,challenge
LM_0332,P3,P3bOKQ,51,51.3,99.4152046783626,NA,1,challenge
LM_0345,P3,P3bOKR,57.9,59.2,95.777027027027,2.02,5,challenge
LM_0335,P3,P3bONI,46,47,97.8723404255319,2.44,7,challenge
LM_0333,P3,P3bORK,49.2,50,98.4,NA,1,challenge
LM_0334,P3,P3bOYV,46.2,47.3,97.6744186046512,1.59,7,challenge
LM_0344,P3,P3bPBP,NA,48.6,NA,NA,4,challenge
LM_0333,P3,P3bPFK,48.5,50,98,1.84,4,challenge
LM_0337,P3,P3bQAP,43.9,44.9,97.7728285077951,1.49,7,challenge
LM_0334,P3,P3bQIT,47,47.3,99.3657505285412,2.25,6,challenge
LM_0343,P3,P3bQJG,55.2,56.5,97.6991150442478,NA,1,challenge
LM_0340,P3,P3bQKK,52.8,53.6,95.7089552238806,NA,4,challenge
LM_0340,P3,P3bQOV,52.3,53.6,98.5074626865672,1.37,5,challenge
LM_0338,P3,P3bQSG,49.5,50.2,98.605577689243,NA,6,challenge
LM_0334,P3,P3bQTR,46.9,47.3,98.3086680761099,1.6,5,challenge
LM_0336,P3,P3bRDY,51,52.3,97.5143403441683,NA,1,challenge
LM_0334,P3,P3bRLW,45.1,47.3,95.3488372093024,2.15,8,challenge
LM_0335,P3,P3bRMA,46.3,47,98.5106382978723,1.51,6,challenge
LM_0338,P3,P3bRPF,50,50.2,96.8127490039841,NA,5,challenge
LM_0338,P3,P3bRYZ,49,50.2,97.6095617529881,NA,1,challenge
LM_0339,P3,P3bSNM,46.2,48.5,95.4639175257732,1.65,4,challenge
LM_0341,P3,P3bSWG,54.1,58.1,94.4922547332186,NA,4,challenge
LM_0332,P3,P3bTBI,50.6,51.3,98.635477582846,2.4,8,challenge
LM_0344,P3,P3bTIQ,48.6,48.6,100,NA,0,challenge
LM_0333,P3,P3bTMN,49,50,97.8,3.18,3,challenge
LM_0334,P3,P3bTPK,46.8,47.3,98.9429175475687,NA,1,challenge
LM_0339,P3,P3bTTE,47.3,48.5,97.5257731958763,NA,1,challenge
LM_0335,P3,P3bTTH,47,47,100,NA,0,challenge
LM_0332,P3,P3bUBY,49.5,51.3,96.4912280701754,NA,6,challenge
LM_0337,P3,P3bUDX,44.9,44.9,100,NA,0,challenge
LM_0347,P3,P3bUFY,62.6,69.1,90.5933429811867,2.9,6,challenge
LM_0339,P3,P3bUHH,42,48.5,86.5979381443299,1.11,7,challenge
LM_0337,P3,P3bUQN,44.4,44.9,97.5501113585746,NA,3,challenge
LM_0339,P3,P3bUUP,48.5,48.5,100,NA,0,challenge
LM_0346,P3,P3bUYT,52.7,53.2,99.0601503759399,NA,1,challenge
LM_0343,P3,P3bVAA,56.5,56.5,100,NA,0,challenge
LM_0339,P3,P3bVEO,46.3,48.5,97.7319587628866,1.73,3,challenge
LM_0347,P3,P3bVIZ,64.4,69.1,92.3299565846599,NA,4,challenge
LM_0346,P3,P3bVJA,49.4,53.2,92.8571428571429,1.87,8,challenge
LM_0346,P3,P3bVLZ,51.2,53.2,96.2406015037594,1.66,7,challenge
LM_0335,P3,P3bVUV,46.3,47,98.5106382978723,NA,1,challenge
LM_0347,P3,P3bVVN,65.6,69.1,94.9348769898698,NA,1,challenge
LM_0335,P3,P3bVWN,46.3,47,98.2978723404255,NA,4,challenge
LM_0347,P3,P3bWAC,63.8,69.1,92.6193921852388,NA,3,challenge
LM_0340,P3,P3bWVR,51.3,53.6,97.0149253731343,NA,3,challenge
LM_0344,P3,P3bWYF,NA,48.6,NA,NA,8,challenge
LM_0344,P3,P3bXAK,NA,48.6,NA,NA,3,challenge
LM_0342,P3,P3bXFC,46.5,55.6,83.6330935251799,1.14,7,challenge
LM_0336,P3,P3bXFQ,45.4,52.3,86.8068833652008,NA,8,challenge
LM_0338,P3,P3bXMO,49.5,50.2,98.605577689243,1.48,7,challenge
LM_0338,P3,P3bXXI,50.2,50.2,100,NA,0,challenge
LM_0345,P3,P3bXXV,57.9,59.2,95.4391891891892,3.55,3,challenge
LM_0346,P3,P3bXYA,51.2,53.2,96.2406015037594,1.08,6,challenge
LM_0333,P3,P3bYAO,50,50,100,NA,0,challenge
LM_0341,P3,P3bYNS,55,58.1,94.6643717728055,NA,1,challenge
LM_0334,P3,P3bYNT,46.3,47.3,98.0972515856237,NA,3,challenge
LM_0342,P3,P3bYVL,48.5,55.6,87.2302158273381,1.21,6,challenge
LM_0342,P3,P3bZBW,50.1,55.6,93.8848920863309,1.9,5,challenge
LM_0335,P3,P3bZDE,46.2,47,100,NA,3,challenge
LM_0335,P3,P3bZGF,46.4,47,98.5106382978723,1.49,5,challenge
LM_0344,P3,P3bZIB,NA,48.6,96.0905349794239,NA,5,challenge
LM_0340,P3,P3bZJZ,52.8,53.6,98.5074626865672,NA,1,challenge
LM_0338,P3,NA,49.9,50.2,99.402390438247,NA,2,challenge
LM_0333,P3,NA,48.9,50,97.8,NA,2,challenge
LM_0334,P3,NA,46.4,47.3,98.0972515856237,NA,2,challenge
LM_0335,P3,NA,47,47,100,NA,2,challenge
LM_0339,P3,NA,47.4,48.5,97.7319587628866,NA,2,challenge
LM_0342,P3,NA,52.4,55.6,94.2446043165468,NA,2,challenge
LM_0340,P3,NA,52,53.6,97.0149253731343,NA,2,challenge
LM_0345,P3,NA,56.5,59.2,95.4391891891892,NA,2,challenge
LM_0336,P3,NA,50.2,52.3,95.9847036328872,NA,2,challenge
LM_0346,P3,NA,51.7,53.2,97.1804511278195,NA,2,challenge
LM_0337,P3,NA,43.8,44.9,97.5501113585746,NA,2,challenge
LM_0332,P3,NA,50.7,51.3,98.8304093567252,NA,2,challenge
LM_0344,P3,NA,46.7,48.6,NA,NA,2,challenge
LM_0347,P3,NA,64,69.1,92.6193921852388,NA,2,challenge
LM_0343,P3,NA,55.1,56.5,97.5221238938053,NA,2,challenge
LM_0341,P3,NA,54.8,58.1,94.3201376936317,NA,2,challenge
