"","labels","experiment","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","OPG","dilution"
"333","E10aWYZ","E10",0,0,0,0,0,0,1
"334","E10aXBI","E10",2,1,1,6,2.5,21186.4406779661,1
"335","E10aXCI","E10",0,0,0,0,0,0,1
"336","E10aXCN","E10",0,0,0,0,0,0,1
"337","E10aXCZ","E10",0,0,0,0,0,0,1
"338","E10aXES","E10",0,0,0,0,0,0,1
"339","E10aXHF","E10",0,0,0,0,0,0,1
"340","E10aXIP","E10",NA,NA,NA,NA,NA,NA,1
"341","E10aXOY","E10",0,0,0,1,0.25,2976.19047619048,1
"342","E10aXTF","E10",0,0,0,0,0,0,1
"343","E10aXVU","E10",0,0,0,0,0,0,1
"344","E10aXZQ","E10",25,22,33,39,29.75,1101851.85185185,1
"345","E10aXZT","E10",NA,NA,NA,NA,NA,NA,NA
"346","E10aXZZ","E10",6,7,9,4,6.5,55555.5555555556,1
"347","E10aYFC","E10",14,11,23,8,14,148936.170212766,1
"348","E10aYFE","E10",9,2,4,10,6.25,62500,1
"349","E10aYFE.1","E10",NA,NA,NA,NA,NA,NA,1
"350","E10aYFN","E10",0,0,0,0,0,0,1
"351","E10aYFO","E10",NA,NA,NA,NA,NA,NA,NA
"352","E10aYHQ","E10",0,0,0,0,0,0,1
"353","E10aYJX","E10",0,0,0,0,0,0,1
"354","E10aYKG","E10",0,0,0,0,0,0,1
"355","E10aYKI","E10",0,0,0,0,0,0,1
"356","E10aYOG","E10",NA,NA,NA,NA,NA,NA,1
"357","E10aYOK","E10",0,0,0,0,0,0,1
"358","E10aYQD","E10",0,0,0,0,0,0,1
"359","E10aYQU","E10",16,15,10,10,12.75,148255.813953488,1
"360","E10aYRA","E10",0,0,0,0,0,0,1
"361","E10aYSJ","E10",0,0,0,0,0,0,1
"362","E10aYWJ","E10",NA,NA,NA,NA,NA,NA,NA
"363","E10aYXX","E10",0,0,0,0,0,0,1
"364","E10aYYC","E10",0,0,0,0,0,0,1
"365","E10aYZU","E10",0,0,0,0,0,0,1
"366","E10aZAD","E10",0,0,0,0,0,0,1
"367","E10aZAK","E10",0,0,0,0,0,0,1
"368","E10aZGP","E10",10,10,15,23,14.5,245762.711864407,1
"369","E10aZIH","E10",0,0,0,0,0,0,1
"370","E10aZIW","E10",NA,NA,NA,NA,NA,NA,NA
"371","E10aZJS","E10",0,0,0,0,0,0,1
"372","E10aZKY","E10",4,5,7,4,5,34722.2222222222,1
"373","E10aZLC","E10",NA,NA,NA,NA,NA,NA,1
"374","E10aZNH","E10",0,0,0,0,0,0,1
"375","E10aZQR","E10",NA,NA,NA,NA,NA,NA,1
"376","E10aZQX","E10",247,202,254,192,223.75,1229395.6043956,1
"377","E10aZSP","E10",NA,NA,NA,NA,NA,NA,1
"378","E10aZTI","E10",0,0,0,0,0,0,1
"379","E10aZTV","E10",0,0,0,0,0,0,1
"380","E10aZVP","E10",0,0,0,0,0,0,1
"381","E10aZWW","E10",NA,NA,NA,NA,NA,NA,1
"382","E10aZXG","E10",0,0,0,0,0,0,1
"383","E10aZYB","E10",0,0,0,0,0,0,1
"384","E10aZYQ","E10",31,38,28,26,30.75,320312.5,1
"385","E10bABE","E10",0,0,0,0,0,0,1
"386","E10bAEM","E10",0,0,0,0,0,0,1
"387","E10bAHH","E10",35,55,50,35,43.75,546875,1
"388","E10bAHK","E10",59,74,74,72,69.75,683823.529411765,1
"389","E10bAOU","E10",51,53,34,51,47.25,347426.470588235,1
"390","E10bBAM","E10",6,3,4,6,4.75,25000,1
"391","E10bBJK","E10",0,0,0,0,0,0,1
"392","E10bBKA","E10",0,0,0,0,0,0,1
"393","E10bBRI","E10",0,0,0,0,0,0,1
"394","E10bBWZ","E10",0,0,0,0,0,0,1
"395","E10bBXR","E10",0,0,0,0,0,0,1
"396","E10bCBB","E10",0,0,0,0,0,0,1
