"","EH_ID","dpi","batch","labels","experiment","weight","weight_dpi0","feces_weight","relative_weight","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","OPG","dilution","primary_infection","challenge_infection","mouse_strain","delta","IFNy_CEWE","Eim_MC"
"67","LM_0335",1,"b","P3bVUV","P3",46.3,47,NA,98.5106382978723,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"68","LM_0335",2,"a","P3aYKB","P3",46.5,49.4,NA,94.1295546558704,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"69","LM_0335",2,"b","P3bTEMP4","P3",47,47,NA,100,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"70","LM_0335",3,"a","P3aSMP","P3",48.5,49.4,NA,98.1781376518219,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"71","LM_0335",3,"b","P3bZDE","P3",46.2,47,NA,100,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"72","LM_0335",4,"a","P3aCNS","P3",47.7,49.4,NA,96.5587044534413,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"73","LM_0335",4,"b","P3bVWN","P3",46.3,47,NA,98.2978723404255,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"74","LM_0335",5,"a","P3aVQF","P3",47.9,49.4,NA,96.9635627530364,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"75","LM_0335",5,"b","P3bZGF","P3",46.4,47,1.49,98.5106382978723,0,0,0,0,0,0,1,"E88","UNI","NMRI",NA,NA,NA
"76","LM_0335",6,"a","P3aCHZ","P3",47.5,49.4,NA,96.1538461538462,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"77","LM_0335",6,"b","P3bRMA","P3",46.3,47,1.51,98.5106382978723,0,0,0,0,0,0,1,"E88","UNI","NMRI",NA,NA,NA
"78","LM_0335",7,"a","P3aTSI","P3",47,49.4,1.9,95.1417004048583,17,19,34,20,22.5,236842.105263158,1,"E88","UNI","NMRI",NA,NA,NA
"79","LM_0335",7,"b","P3bONI","P3",46,47,2.44,97.8723404255319,0,0,0,0,0,0,1,"E88","UNI","NMRI",NA,NA,NA
"80","LM_0335",8,"a","P3aUAS","P3",45.1,49.4,2.37,91.2955465587045,22,23,15,25,21.25,179324.894514768,1,"E88","UNI","NMRI",NA,NA,NA
"81","LM_0335",8,"b","P3bIIT","P3",45.6,47,1.78,97.0212765957447,0,0,0,0,0,0,1,"E88","UNI","NMRI",-5.57,23.6249410096919,"neg"
"82","LM_0335",9,"a","P3aFLM","P3",43.6,49.4,2.8,88.2591093117409,12,13,20,22,16.75,119642.857142857,1,"E88","UNI","NMRI",NA,NA,NA
"83","LM_0335",10,"a","P3aWSE","P3",42.5,49.4,1.54,86.0323886639676,3,4,4,5,4,51948.0519480519,1,"E88","UNI","NMRI",NA,NA,NA
"84","LM_0335",11,"a","P3aYTP","P3",43.6,49.4,3.06,88.2591093117409,4,3,3,2,3,19607.8431372549,1,"E88","UNI","NMRI",NA,NA,NA
"85","LM_0336",0,"a","P3aGBL","P3",51.9,51.9,NA,100,NA,NA,NA,NA,NA,NA,NA,"E88","E64","NMRI",NA,NA,NA
"86","LM_0336",0,"b","P3bKTN","P3",52.3,52.3,NA,100,NA,NA,NA,NA,NA,NA,NA,"E88","E64","NMRI",NA,NA,NA
