,labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean
132,E10aKBG,55,40,49,60,51
133,E10aFZA,82,59,55,59,63.75
134,E10aBXR,40,35,26,39,35
135,E10aMFO,148,175,136,161,155
136,E10aLEJ,94,82,89,92,89.25
137,E10aGCI,110,114,97,107,107
138,E10aVVZ,106,104,111,112,108.25
139,E10aLNM,101,125,112,91,107.25
140,E10aBRI,135,162,185,191,168.25
141,E10aAOU,4,4,5,7,5
142,E10aBAA,1,3,4,4,3
143,E10aHVE,8,15,18,15,14
144,E10aYQU,16,15,10,10,12.75
145,E10aUFL,1,1,1,0,0.75
146,E10aTJP,0,0,0,0,0
147,E10aRNY,1,2,2,2,1.75
148,E10aQCJ,7,1,10,4,5.5
149,E10aUEE,0,0,0,0,0
150,E10aLQI,0,0,0,0,0
151,E10aOHD,1,1,3,2,1.75
152,E10aZYQ,31,38,28,26,30.75
153,E10aVWS,0,0,0,0,0
154,E10aYSJ,0,0,0,0,0
155,E10aMSM,0,0,0,0,0
156,E10aDGV,0,0,0,0,0
157,E10aSLN,0,0,0,0,0
158,E10aAHK,0,0,0,0,0
159,E10aUZZ,0,0,0,0,0
160,E10aIXJ,0,0,0,0,0
161,E10aDFW,160,143,141,105,137.25
162,E10aBAM,18,21,18,16,18.25
163,E10aGSN,427,281,419,386,378.25
164,E10aBRN,NA,NA,NA,NA,#DIV/0!
165,E10aCBO,93,49,43,53,59.5
166,E10aGYP,3,4,8,9,6
167,E10aHRM,163,122,124,149,139.5
168,E10aZQX,247,202,254,192,223.75
169,E10aGFV,99,120,132,108,114.75
170,E10aUZY,43,68,46,38,48.75
171,E10aSAO,NA,NA,NA,NA,#DIV/0!
172,E10aCYC,120,152,160,177,152.25
173,E10aSDV,0,0,0,0,0
174,E10aKXV,1,3,1,0,1.25
175,E10aCDH,30,14,27,29,25
176,E10aYFE,9,2,4,10,6.25
177,E10aXBI,2,1,1,6,2.5
178,E10aXOY,0,0,0,1,0.25
179,E10aVEX,2,0,1,0,0.75
180,E10aCXR,1,4,2,4,2.75
181,E10aVPQ,3,1,2,5,2.75
182,E10aNPL,0,0,0,0,0
183,E10aKJG,29,15,21,31,24
184,E10aNPM,4,7,5,2,4.5
185,E10aZNH,0,0,0,0,0
186,E10aQTG,0,0,0,0,0
187,E10aGDN,0,0,0,0,0
188,E10aRFH,0,0,0,0,0
189,E10aUQM,0,0,0,0,0
190,E10aWQO,0,0,0,0,0
191,E10aSOB,0,0,0,0,0
192,E10aJFX,0,0,0,0,0
193,E10aYFC,14,11,23,8,#DIV/0!
194,E10aVLS,19,18,18,32,#DIV/0!
195,E10aRMO,75,84,72,79,#DIV/0!
196,E10aNMG,NA,NA,NA,NA,#DIV/0!
197,E10aWMB,9,7,18,12,#DIV/0!
198,E10aIMN,6,9,7,4,#DIV/0!
199,E10aPKZ,NA,NA,NA,NA,#DIV/0!
200,E10aFTF,59,60,54,79,#DIV/0!
201,E10aXZZ,6,7,9,4,#DIV/0!
202,E10aJLF,12,11,8,13,#DIV/0!
203,E10aWDM,NA,NA,NA,NA,#DIV/0!
204,E10aDEM,99,117,107,98,#DIV/0!
205,E10aJVK,6,5,1,2,#DIV/0!
206,E10aJTY,0,0,0,0,#DIV/0!
207,E10aSDI,23,19,18,12,#DIV/0!
208,E10aPIY,14,12,8,9,#DIV/0!
209,E10aKPA,2,1,2,0,#DIV/0!
210,E10aMTZ,10,8,7,7,#DIV/0!
211,E10aRBK,4,3,0,1,#DIV/0!
212,E10aJLH,1,0,0,0,#DIV/0!
213,E10aGRE,0,1,0,1,#DIV/0!
214,E10aPZH,0,1,2,1,#DIV/0!
215,E10aNCK,9,15,16,17,#DIV/0!
216,E10aGYU,4,3,8,6,#DIV/0!
217,E10aOKS,0,0,0,0,#DIV/0!
218,E10aEEB,0,0,0,0,#DIV/0!
219,E10aCQA,0,0,0,0,#DIV/0!
220,E10aYFN,0,0,0,0,0
221,E10aKJN,0,0,0,0,0
222,E10aXES,0,0,0,0,#DIV/0!
223,E10aRJY,0,0,0,0,#DIV/0!
224,E10aZAK,0,0,0,0,#DIV/0!
225,E10aBWZ,0,1,0,0,#DIV/0!
226,E10aQBG,0,0,2,0,#DIV/0!
227,E10aVIV,17,13,13,14,#DIV/0!
228,E10aJIT,NA,NA,NA,NA,#DIV/0!
229,E10aAHH,0,0,0,3,#DIV/0!
230,E10aEJZ,3,0,0,0,#DIV/0!
231,E10aJCW,NA,NA,NA,NA,#DIV/0!
232,E10aLFS,0,6,0,4,#DIV/0!
233,E10aMVN,0,0,0,0,#DIV/0!
234,E10aLQS,0,0,0,0,#DIV/0!
235,E10aGNE,NA,NA,NA,NA,#DIV/0!
236,E10aTSD,14,11,13,12,#DIV/0!
237,E10aVKF,67,81,81,86,#DIV/0!
238,E10aADZ,8,3,15,11,#DIV/0!
239,E10aXZQ,25,22,33,39,#DIV/0!
240,E10aKAT,1,1,0,0,#DIV/0!
241,E10aWWH,11,16,4,14,#DIV/0!
242,E10aPNK,26,8,9,18,#DIV/0!
243,E10aQPG,59,40,51,33,#DIV/0!
244,E10aCCE,3,1,2,1,#DIV/0!
