"","experiment","labels","EH_ID","dpi","weight","batch","relative_weight","weight_dpi0","feces_weight","infection_history","primary_infection","challenge_infection","mouse_strain","sex","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","OPG","dilution"
"16","E10","E10aBBQ","LM_0387",4,12.74,"a",89.9717514124294,14.16,0.59,"E88:E64","E88",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"17","E10","E10aBJK","LM_0385",1,15.79,"a",101.217948717949,15.6,0.84,"E88:E64","E88",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"18","E10","E10aBKA","LM_0372",4,20.32,"a",88.8500218627022,22.87,1.21,"E64:E88","E64",NA,"SCHUNT_SCHUNT",NA,3,1,3,3,2.5,20661.1570247934,1
"19","E10","E10aBQF","LM_0382",10,14.03,"a",78.1180400890869,17.96,NA,"E88:E88","E88",NA,"PWD_PWD",NA,NA,NA,NA,NA,NA,NA,1
"20","E10","E10aBRI","LM_0379",5,12.51,"a",84.527027027027,14.8,0.72,"E64:UNI","E64",NA,"PWD_PWD",NA,135,162,185,191,168.25,2336805.55555556,1
"21","E10","E10aBRN","LM_0371",6,NA,"a",NA,16.15,NA,"E64:E64","E64",NA,"PWD_PWD",NA,NA,NA,NA,NA,NA,NA,1
"22","E10","E10aBRU","LM_0370",10,17.78,"a",109.415384615385,16.25,1.01,"E64:E64","E64",NA,"PWD_PWD",NA,0,1,0,0,0.25,2475.24752475248,1
"23","E10","E10aBSE","LM_0397",10,18.07,"a",97.940379403794,18.45,0.83,"UNI:E64","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"24","E10","E10aBWZ","LM_0368",8,20.39,"a",94.793119479312,21.51,1.24,"E64:E64","E64",NA,"SCHUNT_SCHUNT",NA,0,1,0,0,0.25,2016.12903225806,1
"25","E10","E10aBXR","LM_0373",5,22.55,"a",90.055910543131,25.04,0.92,"E64:E88","E64",NA,"SCHUNT_SCHUNT",NA,40,35,26,39,35,380434.782608696,1
"26","E10","E10aCBB","LM_0392",4,21.16,"a",87.0423693953106,24.31,0.82,"UNI:UNI","UNI",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"27","E10","E10aCBO","LM_0372",6,20.42,"a",89.2872759073022,22.87,1.04,"E64:E88","E64",NA,"SCHUNT_SCHUNT",NA,93,49,43,53,59.5,572115.384615385,1
"28","E10","E10aCBY","LM_0374",2,16.2,"a",93.8042848870874,17.27,0.64,"E64:E88","E64",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"29","E10","E10aCCB","LM_0388",11,18.01,"a",78.9565979833406,22.81,0.18,"E88:UNI","E88",NA,"SCHUNT_SCHUNT",NA,0,2,2,2,1.5,83333.3333333333,1
"30","E10","E10aCCE","LM_0387",8,11.63,"a",82.1327683615819,14.16,0.11,"E88:E64","E88",NA,"PWD_PWD",NA,3,1,2,1,1.75,159090.909090909,1
"31","E10","E10aCDH","LM_0382",6,15.19,"a",84.5768374164811,17.96,0.44,"E88:E88","E88",NA,"PWD_PWD",NA,30,14,27,29,25,568181.818181818,1
"32","E10","E10aCGR","LM_0372",9,21.28,"a",93.0476606908614,22.87,1.54,"E64:E88","E64",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"33","E10","E10aCIJ","LM_0384",2,19.29,"a",100.051867219917,19.28,1.26,"E88:E64","E88",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"34","E10","E10aCLD","LM_0375",10,15.42,"a",102.458471760797,15.05,1.46,"E64:E88","E64",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"35","E10","E10aCLH","LM_0391",11,NA,"a",NA,15.73,NA,"E88:UNI","E88",NA,"PWD_PWD",NA,NA,NA,NA,NA,NA,NA,1
"36","E10","E10aCNW","LM_0370",5,15.17,"a",93.3538461538462,16.25,1.27,"E64:E64","E64",NA,"PWD_PWD",NA,199,186,188,179,188,1480314.96062992,1
"37","E10","E10aCQA","LM_0394",7,16.65,"a",114.986187845304,14.48,1.09,"UNI:UNI","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"38","E10","E10aCQF","LM_0396",4,17.44,"a",98.8662131519275,17.64,1.98,"UNI:E64","UNI",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"39","E10","E10aCSK","LM_0388",9,18.73,"a",82.1131082858396,22.81,0.31,"E88:UNI","E88",NA,"SCHUNT_SCHUNT",NA,47,52,40,43,45.5,1467741.93548387,1
"40","E10","E10aCTL","LM_0389",4,19.08,"a",97.9969183359014,19.47,1.35,"E88:UNI","E88",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"41","E10","E10aCWA","LM_0396",9,18.17,"a",103.004535147392,17.64,0.94,"UNI:E64","UNI",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"42","E10","E10aCWZ","LM_0394",1,16.23,"a",112.085635359116,14.48,0.9,"UNI:UNI","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"43","E10","E10aCXG","LM_0391",3,14.73,"a",93.6427209154482,15.73,1.53,"E88:UNI","E88",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"44","E10","E10aCXR","LM_0387",6,12.04,"a",85.0282485875706,14.16,0.4,"E88:E64","E88",NA,"PWD_PWD",NA,1,4,2,4,2.75,68750,1
"45","E10","E10aCYC","LM_0379",6,13.73,"a",92.7702702702703,14.8,0.78,"E64:UNI","E64",NA,"PWD_PWD",NA,120,152,160,177,152.25,1951923.07692308,1
"46","E10","E10aCYL","LM_0377",10,17.22,"a",95.5604883462819,18.02,1.37,"E64:UNI","E64",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"47","E10","E10aCZQ","LM_0373",2,24.4,"a",97.444089456869,25.04,1.32,"E64:E88","E64",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"48","E10","E10aDBR","LM_0377",2,17.16,"a",95.2275249722531,18.02,1.07,"E64:UNI","E64",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"49","E10","E10aDEM","LM_0379",7,15.14,"a",102.297297297297,14.8,0.87,"E64:UNI","E64",NA,"PWD_PWD",NA,99,117,107,98,105.25,1209770.11494253,1
"50","E10","E10aDFU","LM_0394",4,16.05,"a",110.842541436464,14.48,1.13,"UNI:UNI","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"51","E10","E10aDFW","LM_0368",6,19.34,"a",89.9116689911669,21.51,0.77,"E64:E64","E64",NA,"SCHUNT_SCHUNT",NA,160,143,141,105,137.25,1782467.53246753,1
"52","E10","E10aDGI","LM_0388",10,19.36,"a",84.8750548005261,22.81,0.33,"E88:UNI","E88",NA,"SCHUNT_SCHUNT",NA,59,72,65,41,59.25,1795454.54545455,1
"53","E10","E10aDGV","LM_0395",5,14.58,"a",94.7984395318596,15.38,0.62,"UNI:UNI","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"54","E10","E10aDIL","LM_0379",0,14.8,"a",100,14.8,NA,"E64:UNI","E64",NA,"PWD_PWD",NA,NA,NA,NA,NA,NA,NA,NA
"55","E10","E10aDMH","LM_0372",3,21.19,"a",92.6541320507215,22.87,1.15,"E64:E88","E64",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"56","E10","E10aDQH","LM_0369",10,17.54,"a",91.2591050988554,19.22,2.2,"E64:E64","E64",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"57","E10","E10aDWZ","LM_0379",1,14.32,"a",96.7567567567568,14.8,0.63,"E64:UNI","E64",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"58","E10","E10aEDH","LM_0369",4,18.49,"a",96.2018730489074,19.22,1.82,"E64:E64","E64",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"59","E10","E10aEEB","LM_0393",7,17.57,"a",103.535651149087,16.97,0.81,"UNI:UNI","UNI",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"60","E10","E10aEFY","LM_0383",11,NA,"a",NA,14.04,NA,"E88:E88","E88",NA,"PWD_PWD",NA,NA,NA,NA,NA,NA,NA,1
"61","E10","E10aEID","LM_0396",10,17.56,"a",99.546485260771,17.64,0.98,"UNI:E64","UNI",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"62","E10","E10aEJZ","LM_0373",8,22.63,"a",90.3753993610224,25.04,2.34,"E64:E88","E64",NA,"SCHUNT_SCHUNT",NA,3,0,0,0,0.75,3205.12820512821,1
"63","E10","E10aERA","LM_0376",2,17.47,"a",98.3117613956106,17.77,1.07,"E64:UNI","E64",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"64","E10","E10aERX","LM_0397",2,17.36,"a",94.0921409214092,18.45,0.7,"UNI:E64","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"65","E10","E10aESZ","LM_0398",1,16.35,"a",104.339502233567,15.67,1.34,"UNI:E88","UNI",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"66","E10","E10aETD","LM_0395",3,14.65,"a",95.2535760728219,15.38,0.56,"UNI:UNI","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"67","E10","E10aEVS","LM_0389",0,19.47,"a",100,19.47,NA,"E88:UNI","E88",NA,"SCHUNT_SCHUNT",NA,NA,NA,NA,NA,NA,NA,NA
"68","E10","E10aEVY","LM_0397",4,17.47,"a",94.6883468834688,18.45,0.92,"UNI:E64","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"69","E10","E10aFDU","LM_0389",3,18.8,"a",96.5588084232152,19.47,1.57,"E88:UNI","E88",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"70","E10","E10aFHY","LM_0375",4,12.78,"a",84.9169435215947,15.05,2.05,"E64:E88","E64",NA,"PWD_PWD",NA,5,10,7,12,8.5,41463.4146341463,1
"71","E10","E10aFIA","LM_0377",11,16.78,"a",93.118756936737,18.02,1.68,"E64:UNI","E64",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"72","E10","E10aFIJ","LM_0381",9,NA,"a",NA,14.8,NA,"E88:E88","E88",NA,"SCHUNT_SCHUNT",NA,NA,NA,NA,NA,NA,NA,1
"73","E10","E10aFPM","LM_0380",1,19.95,"a",100.655903128153,19.82,0.69,"E88:E88","E88",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"74","E10","E10aFRH","LM_0372",0,22.87,"a",100,22.87,NA,"E64:E88","E64",NA,"SCHUNT_SCHUNT",NA,NA,NA,NA,NA,NA,NA,NA
"75","E10","E10aFTF","LM_0375",7,14.36,"a",95.4152823920266,15.05,1.59,"E64:E88","E64",NA,"PWD_PWD",NA,59,60,54,79,63,396226.41509434,1
"76","E10","E10aFWR","LM_0377",0,18.02,"a",100,18.02,NA,"E64:UNI","E64",NA,"SCHUNT_SCHUNT",NA,NA,NA,NA,NA,NA,NA,NA
"77","E10","E10aFZA","LM_0372",5,19.75,"a",86.3576738084827,22.87,1.17,"E64:E88","E64",NA,"SCHUNT_SCHUNT",NA,82,59,55,59,63.75,544871.794871795,1
"78","E10","E10aFZY","LM_0374",9,NA,"a",NA,17.27,NA,"E64:E88","E64",NA,"PWD_PWD",NA,NA,NA,NA,NA,NA,NA,1
"79","E10","E10aGAF","LM_0386",2,16.12,"a",95.3846153846154,16.9,1.04,"E88:E64","E88",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"80","E10","E10aGAW","LM_0374",10,NA,"a",NA,17.27,NA,"E64:E88","E64",NA,"PWD_PWD",NA,NA,NA,NA,NA,NA,NA,1
"81","E10","E10aGAX","LM_0383",0,14.04,"a",100,14.04,NA,"E88:E88","E88",NA,"PWD_PWD",NA,NA,NA,NA,NA,NA,NA,NA
"82","E10","E10aGBB","LM_0393",2,17.27,"a",101.767825574543,16.97,1.3,"UNI:UNI","UNI",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"83","E10","E10aGCI","LM_0376",5,15.68,"a",88.2386043894204,17.77,0.96,"E64:UNI","E64",NA,"SCHUNT_SCHUNT",NA,110,114,97,107,107,1114583.33333333,1
"84","E10","E10aGDN","LM_0394",6,16.44,"a",113.53591160221,14.48,1.02,"UNI:UNI","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"85","E10","E10aGEU","LM_0395",10,15.62,"a",101.560468140442,15.38,0.71,"UNI:UNI","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"86","E10","E10aGFV","LM_0376",6,16.67,"a",93.8097917839055,17.77,0.89,"E64:UNI","E64",NA,"SCHUNT_SCHUNT",NA,99,120,132,108,114.75,1289325.84269663,1
"87","E10","E10aGMG","LM_0375",9,14.95,"a",99.3355481727575,15.05,1.77,"E64:E88","E64",NA,"PWD_PWD",NA,0,2,1,0,0.75,4237.28813559322,1
"88","E10","E10aGMH","LM_0398",3,16.93,"a",108.040842373963,15.67,1.52,"UNI:E88","UNI",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"89","E10","E10aGNE","LM_0378",8,NA,"a",NA,15.36,NA,"E64:UNI","E64",NA,"PWD_PWD",NA,NA,NA,NA,NA,NA,NA,1
"90","E10","E10aGNT","LM_0371",4,13.89,"a",86.0061919504644,16.15,1.2,"E64:E64","E64",NA,"PWD_PWD",NA,16,18,17,23,18.5,154166.666666667,1
"91","E10","E10aGRE","LM_0388",7,20.87,"a",91.4949583516002,22.81,0.96,"E88:UNI","E88",NA,"SCHUNT_SCHUNT",NA,0,1,0,1,0.5,5208.33333333333,1
"92","E10","E10aGRR","LM_0388",1,22.64,"a",99.2547128452433,22.81,0.59,"E88:UNI","E88",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"93","E10","E10aGSN","LM_0370",6,16.11,"a",99.1384615384615,16.25,1.24,"E64:E64","E64",NA,"PWD_PWD",NA,427,281,419,386,378.25,3050403.22580645,1
"94","E10","E10aGTL","LM_0399",1,14.59,"a",95.5468238375901,15.27,0.53,"UNI:E88","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"95","E10","E10aGYP","LM_0373",6,22.21,"a",88.6980830670927,25.04,1.43,"E64:E88","E64",NA,"SCHUNT_SCHUNT",NA,3,4,8,9,6,41958.041958042,1
"96","E10","E10aGYU","LM_0391",7,14.05,"a",89.319771137953,15.73,0.57,"E88:UNI","E88",NA,"PWD_PWD",NA,4,3,8,6,5.25,92105.2631578947,1
"97","E10","E10aHBV","LM_0389",11,17.26,"a",88.6492039034412,19.47,1.02,"E88:UNI","E88",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"98","E10","E10aHBZ","LM_0391",4,14.68,"a",93.3248569612206,15.73,1.26,"E88:UNI","E88",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"99","E10","E10aHEX","LM_0378",9,NA,"a",NA,15.36,NA,"E64:UNI","E64",NA,"PWD_PWD",NA,NA,NA,NA,NA,NA,NA,1
"100","E10","E10aHGR","LM_0383",3,13.84,"a",98.5754985754986,14.04,1.06,"E88:E88","E88",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"101","E10","E10aHLL","LM_0378",2,15.65,"a",101.888020833333,15.36,0.61,"E64:UNI","E64",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"102","E10","E10aHRM","LM_0374",6,12.59,"a",72.9009843659525,17.27,0.44,"E64:E88","E64",NA,"PWD_PWD",NA,163,122,124,149,139.5,3170454.54545455,1
"103","E10","E10aHRS","LM_0379",9,15.64,"a",105.675675675676,14.8,1.22,"E64:UNI","E64",NA,"PWD_PWD",NA,1,1,2,4,2,16393.4426229508,1
"104","E10","E10aHVE","LM_0382",5,15.81,"a",88.0289532293987,17.96,0.66,"E88:E88","E88",NA,"PWD_PWD",NA,8,15,18,15,14,212121.212121212,1
"105","E10","E10aHXV","LM_0391",9,NA,"a",NA,15.73,NA,"E88:UNI","E88",NA,"PWD_PWD",NA,NA,NA,NA,NA,NA,NA,1
"106","E10","E10aHZR","LM_0388",8,19.45,"a",85.2696185883385,22.81,0.56,"E88:UNI","E88",NA,"SCHUNT_SCHUNT",NA,4,4,17,21,11.5,205357.142857143,1
"107","E10","E10aIAU","LM_0398",9,17.97,"a",114.677728142948,15.67,1.67,"UNI:E88","UNI",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"108","E10","E10aICP","LM_0392",0,24.31,"a",100,24.31,NA,"UNI:UNI","UNI",NA,"SCHUNT_SCHUNT",NA,NA,NA,NA,NA,NA,NA,NA
"109","E10","E10aIFB","LM_0382",3,17.58,"a",97.8841870824053,17.96,0.7,"E88:E88","E88",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"110","E10","E10aIFF","LM_0397",8,18.04,"a",97.7777777777778,18.45,1.12,"UNI:E64","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"111","E10","E10aIKD","LM_0378",10,NA,"a",NA,15.36,NA,"E64:UNI","E64",NA,"PWD_PWD",NA,NA,NA,NA,NA,NA,NA,1
"112","E10","E10aIKG","LM_0397",9,18.67,"a",101.192411924119,18.45,1.1,"UNI:E64","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"113","E10","E10aIKU","LM_0381",4,14.81,"a",100.067567567568,14.8,0.97,"E88:E88","E88",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"114","E10","E10aIMD","LM_0373",9,23.22,"a",92.7316293929712,25.04,1.82,"E64:E88","E64",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"115","E10","E10aIMN","LM_0373",7,22.12,"a",88.3386581469649,25.04,1.41,"E64:E88","E64",NA,"SCHUNT_SCHUNT",NA,6,9,7,4,6.5,46099.2907801418,1
"116","E10","E10aIVO","LM_0373",3,23.39,"a",93.4105431309904,25.04,1.39,"E64:E88","E64",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"117","E10","E10aIXJ","LM_0399",5,15.03,"a",98.4282907662083,15.27,0.94,"UNI:E88","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"118","E10","E10aJCW","LM_0374",8,NA,"a",NA,17.27,NA,"E64:E88","E64",NA,"PWD_PWD",NA,NA,NA,NA,NA,NA,NA,1
"119","E10","E10aJFX","LM_0399",6,15.26,"a",99.9345121152587,15.27,0.9,"UNI:E88","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"120","E10","E10aJGM","LM_0375",0,15.05,"a",100,15.05,NA,"E64:E88","E64",NA,"PWD_PWD",NA,NA,NA,NA,NA,NA,NA,NA
"121","E10","E10aJIT","LM_0371",8,NA,"a",NA,16.15,NA,"E64:E64","E64",NA,"PWD_PWD",NA,NA,NA,NA,NA,NA,NA,1
"122","E10","E10aJLF","LM_0377",7,17.09,"a",94.8390677025527,18.02,1.14,"E64:UNI","E64",NA,"SCHUNT_SCHUNT",NA,12,11,8,13,11,96491.2280701754,1
"123","E10","E10aJLH","LM_0387",7,11.76,"a",83.0508474576271,14.16,0.73,"E88:E64","E88",NA,"PWD_PWD",NA,1,0,0,0,0.25,3424.65753424658,1
"124","E10","E10aJNY","LM_0379",3,14.23,"a",96.1486486486487,14.8,1.35,"E64:UNI","E64",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"125","E10","E10aJPT","LM_0390",1,15.52,"a",95.0980392156863,16.32,0.62,"E88:UNI","E88",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"126","E10","E10aJRO","LM_0368",0,21.51,"a",100,21.51,NA,"E64:E64","E64",NA,"SCHUNT_SCHUNT",NA,NA,NA,NA,NA,NA,NA,NA
"127","E10","E10aJTJ","LM_0394",3,16.33,"a",112.776243093923,14.48,1.46,"UNI:UNI","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"128","E10","E10aJTY","LM_0381",7,14.16,"a",95.6756756756757,14.8,0.74,"E88:E88","E88",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"129","E10","E10aJVK","LM_0380",7,19.18,"a",96.7709384460141,19.82,1.4,"E88:E88","E88",NA,"SCHUNT_SCHUNT",NA,6,5,1,2,3.5,25000,1
"130","E10","E10aJXJ","LM_0368",10,20.54,"a",95.4904695490469,21.51,1.13,"E64:E64","E64",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"131","E10","E10aKAJ","LM_0382",2,16,"a",89.086859688196,17.96,1.49,"E88:E88","E88",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"132","E10","E10aKAT","LM_0383",8,11.89,"a",84.6866096866097,14.04,0.04,"E88:E88","E88",NA,"PWD_PWD",NA,1,1,0,0,0.5,125000,1
"133","E10","E10aKBF","LM_0379",2,13.7,"a",92.5675675675675,14.8,0.98,"E64:UNI","E64",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"134","E10","E10aKBG","LM_0371",5,12.62,"a",78.1424148606811,16.15,0.2,"E64:E64","E64",NA,"PWD_PWD",NA,55,40,49,60,51,2550000,1
"135","E10","E10aKDN","LM_0388",0,22.81,"a",100,22.81,NA,"E88:UNI","E88",NA,"SCHUNT_SCHUNT",NA,NA,NA,NA,NA,NA,NA,NA
"136","E10","E10aKGF","LM_0380",3,20.81,"a",104.994954591322,19.82,1.3,"E88:E88","E88",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"137","E10","E10aKJG","LM_0390",6,16.64,"a",101.960784313725,16.32,0.9,"E88:UNI","E88",NA,"PWD_PWD",NA,29,15,21,31,24,266666.666666667,1
"138","E10","E10aKJN","LM_0396",7,17.69,"a",100.283446712018,17.64,1.27,"UNI:E64","UNI",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"139","E10","E10aKOV","LM_0376",10,16.73,"a",94.1474395047834,17.77,1.12,"E64:UNI","E64",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"140","E10","E10aKPA","LM_0384",7,17.85,"a",92.5829875518672,19.28,1.39,"E88:E64","E88",NA,"SCHUNT_SCHUNT",NA,2,1,2,0,1.25,8992.80575539568,1
"141","E10","E10aKSO","LM_0369",5,17.85,"a",92.8720083246618,19.22,1.63,"E64:E64","E64",NA,"SCHUNT_SCHUNT",NA,4,4,5,4,4.25,26073.6196319018,1
"142","E10","E10aKVQ","LM_0386",3,16.32,"a",96.5680473372781,16.9,0.99,"E88:E64","E88",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"143","E10","E10aKVT","LM_0368",2,20.99,"a",97.582519758252,21.51,1.17,"E64:E64","E64",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"144","E10","E10aKWX","LM_0397",11,18.02,"a",97.6693766937669,18.45,0.69,"UNI:E64","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"145","E10","E10aKXV","LM_0381",6,14.33,"a",96.8243243243243,14.8,0.93,"E88:E88","E88",NA,"SCHUNT_SCHUNT",NA,1,3,1,0,1.25,13440.8602150538,1
"146","E10","E10aKYA","LM_0392",10,25.68,"a",105.635540929659,24.31,1.59,"UNI:UNI","UNI",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"147","E10","E10aKZW","LM_0391",8,11.69,"a",74.3165924984107,15.73,0.15,"E88:UNI","E88",NA,"PWD_PWD",NA,3,0,3,4,2.5,166666.666666667,1
"148","E10","E10aKZX","LM_0375",3,14.54,"a",96.6112956810631,15.05,1.2,"E64:E88","E64",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"149","E10","E10aLCS","LM_0396",8,17.72,"a",100.453514739229,17.64,0.8,"UNI:E64","UNI",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"150","E10","E10aLEJ","LM_0375",5,12.66,"a",84.1196013289036,15.05,1,"E64:E88","E64",NA,"PWD_PWD",NA,94,82,89,92,89.25,892500,1
"151","E10","E10aLFS","LM_0375",8,15.22,"a",101.129568106312,15.05,1.84,"E64:E88","E64",NA,"PWD_PWD",NA,0,6,0,4,2.5,13586.9565217391,1
"152","E10","E10aLGU","LM_0390",3,16.08,"a",98.5294117647059,16.32,1.34,"E88:UNI","E88",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"153","E10","E10aLNM","LM_0378",5,12.27,"a",79.8828125,15.36,0.44,"E64:UNI","E64",NA,"PWD_PWD",NA,101,125,112,91,107.25,2437500,1
"154","E10","E10aLQF","LM_0395",4,14.47,"a",94.0832249674902,15.38,0.6,"UNI:UNI","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"155","E10","E10aLQI","LM_0389",5,18.46,"a",94.8125321006677,19.47,1.25,"E88:UNI","E88",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
