labels,EH_ID,dpi,weight,relative_weight,feces_weight,weight_dpi0,experiment,dissection_dpi
JWZ,LM0171,2,14,100,0.47,14,E4,
FTV,LM0172,2,18.4,96.8421052631579,1.78,19,E4,
BJP,LM0173,2,14.9,97.3856209150327,1.03,15.3,E4,
FRZ,LM0174,2,16.7,98.8165680473373,1.06,16.9,E4,
NUZ,LM0175,2,26.2,98.8679245283019,0.77,26.5,E4,
RST,LM0176,2,23.1,102.666666666667,0.75,22.5,E4,
HJZ,LM0177,2,14.9,100.675675675676,0.82,14.8,E4,
LXY,LM0178,2,18,99.4475138121547,1.19,18.1,E4,
IKN,LM0146,3,19.3,97.4747474747475,1,19.8,E4,
ORY,LM0147,3,16.8,107.692307692308,1,15.6,E4,
JYZ,LM0148,3,17.3,98.2954545454546,1.09,17.6,E4,
ELO,LM0149,3,21.2,102.415458937198,1.23,20.7,E4,
DFM,LM0150,3,17.7,91.7098445595855,0.1,19.3,E4,
HKM,LM0151,3,29.8,101.016949152542,1.59,29.5,E4,
IOT,LM0152,3,18,99.4475138121547,0.84,18.1,E4,
HJK,LM0153,3,12.8,100.787401574803,0.36,12.7,E4,
LNS,LM0154,3,14.7,98,0.59,15,E4,
JWY,LM0155,3,NA,NA,NA,NA,E4,
ESX,LM0156,3,17.6,100,1.39,17.6,E4,
BEY,LM0157,3,27.1,104.633204633205,1.11,25.9,E4,
IMV,LM0158,3,31.8,105.647840531561,0.94,30.1,E4,
FMQ,LM0159,3,15.3,96.8354430379747,1.03,15.8,E4,
DQV,LM0160,3,NA,NA,NA,12.4,E4,
WXY,LM0161,3,37,101.092896174863,1.17,36.6,E4,
CHX,LM0162,3,17.5,101.156069364162,1.04,17.3,E4,
OQT,LM0163,3,17.5,101.156069364162,0.88,17.3,E4,
HMW,LM0164,3,24,100.840336134454,1.3,23.8,E4,
HRX,LM0165,3,20.5,100.985221674877,1.09,20.3,E4,
HWY,LM0166,3,31,102.649006622517,1.28,30.2,E4,
DGW,LM0167,3,13.4,99.2592592592593,0.58,13.5,E4,
BJL,LM0168,3,27.2,100.740740740741,0.96,27,E4,
JTY,LM0169,3,14.6,99.3197278911565,0.85,14.7,E4,
BNZ,LM0170,3,22.2,99.1071428571429,0.96,22.4,E4,
KQW,LM0171,3,13.8,98.5714285714286,0.52,14,E4,
ADM,LM0172,3,19,100,1.45,19,E4,
FNT,LM0173,3,15.3,100,1.17,15.3,E4,
NPQ,LM0174,3,16.6,98.2248520710059,0.76,16.9,E4,
CDZ,LM0175,3,26.9,101.509433962264,1.25,26.5,E4,
AKY,LM0176,3,22.7,100.888888888889,1.05,22.5,E4,
FOW,LM0177,3,15.4,104.054054054054,0.7,14.8,E4,
HKX,LM0178,3,18.5,102.209944751381,0.97,18.1,E4,
DFL,LM0146,4,19.3,97.4747474747475,1.07,19.8,E4,
QUV,LM0147,4,16,102.564102564103,1.04,15.6,E4,
CIV,LM0148,4,17.3,98.2954545454546,0.91,17.6,E4,
JKQ,LM0149,4,21.3,102.898550724638,1.07,20.7,E4,
COP,LM0150,4,18.8,97.4093264248705,1.02,19.3,E4,
IKX,LM0151,4,31.1,105.423728813559,1.77,29.5,E4,
ACM,LM0152,4,17.6,97.2375690607735,1,18.1,E4,
PUZ,LM0153,4,12.8,100.787401574803,0.52,12.7,E4,
CFR,LM0154,4,14.3,95.3333333333334,0.87,15,E4,
CER,LM0155,4,NA,NA,NA,NA,E4,
AQZ,LM0156,4,17.4,98.8636363636364,0.98,17.6,E4,
ISY,LM0157,4,27.2,105.019305019305,1.5,25.9,E4,
HIQ,LM0158,4,32.2,106.976744186047,1.39,30.1,E4,
HQV,LM0159,4,15.2,96.2025316455696,0.8,15.8,E4,
LVW,LM0160,4,NA,NA,NA,12.4,E4,
CFN,LM0161,4,37.1,101.366120218579,1.33,36.6,E4,
JQW,LM0162,4,17.1,98.8439306358382,1.61,17.3,E4,
EVY,LM0163,4,17.6,101.734104046243,1.13,17.3,E4,
DFV,LM0164,4,23.1,97.0588235294118,0.79,23.8,E4,
DMR,LM0165,4,20.8,102.463054187192,1.27,20.3,E4,
LNR,LM0166,4,31.5,104.304635761589,1.51,30.2,E4,
RUZ,LM0167,4,13.1,97.037037037037,0.72,13.5,E4,
AVX,LM0168,4,27.5,101.851851851852,1.54,27,E4,
DTX,LM0169,4,14.7,100,0.97,14.7,E4,
CGY,LM0170,4,21.9,97.7678571428571,0.7,22.4,E4,
FNR,LM0171,4,13.5,96.4285714285714,0.63,14,E4,
MNU,LM0172,4,18.3,96.3157894736842,1.54,19,E4,
TVW,LM0173,4,14.8,96.7320261437908,1.4,15.3,E4,
FIT,LM0174,4,17.1,101.183431952663,0.83,16.9,E4,
JLZ,LM0175,4,26.3,99.2452830188679,1.63,26.5,E4,
AQU,LM0176,4,22.3,99.1111111111111,0.81,22.5,E4,
CLV,LM0177,4,14.6,98.6486486486487,1.13,14.8,E4,
CJW,LM0178,4,17.8,98.3425414364641,1.24,18.1,E4,
PQY,LM0146,5,19.6,98.989898989899,1.58,19.8,E4,
KSY,LM0147,5,15.3,98.0769230769231,0.49,15.6,E4,
COT,LM0148,5,16.8,95.4545454545455,0.47,17.6,E4,
DHN,LM0149,5,20.8,100.48309178744,1.17,20.7,E4,
ALV,LM0150,5,18.3,94.818652849741,1.71,19.3,E4,
DFT,LM0151,5,30.6,103.728813559322,1.99,29.5,E4,
IMS,LM0152,5,17.6,97.2375690607735,1.46,18.1,E4,
EMP,LM0153,5,12.5,98.4251968503937,0.36,12.7,E4,
ABJ,LM0154,5,13.7,91.3333333333333,0.4,15,E4,
DWY,LM0155,5,NA,NA,NA,NA,E4,
NUW,LM0156,5,17.9,101.704545454545,1.46,17.6,E4,
TUZ,LM0157,5,27,104.247104247104,1.6,25.9,E4,
DMS,LM0158,5,31.3,103.986710963455,1.53,30.1,E4,
BNX,LM0159,5,15.1,95.5696202531646,0.87,15.8,E4,
EPX,LM0160,5,NA,NA,NA,12.4,E4,
ACQ,LM0161,5,37.7,103.005464480874,1.55,36.6,E4,
FGX,LM0162,5,17.9,103.468208092486,1.76,17.3,E4,
NPY,LM0163,5,17,98.2658959537572,2.08,17.3,E4,
CMO,LM0164,5,22.5,94.5378151260504,0.98,23.8,E4,
FPV,LM0165,5,20.7,101.970443349754,1.26,20.3,E4,
BOT,LM0166,5,31.3,103.64238410596,0.87,30.2,E4,
CFT,LM0167,5,13.2,97.7777777777778,0.38,13.5,E4,
KQV,LM0168,5,27.1,100.37037037037,1.9,27,E4,
BEK,LM0169,5,14.3,97.2789115646259,0.31,14.7,E4,
INV,LM0170,5,21.7,96.875,1.03,22.4,E4,
FKW,LM0171,5,13.2,94.2857142857143,0.27,14,E4,
COQ,LM0172,5,18.5,97.3684210526316,1.65,19,E4,
EHV,LM0173,5,14.4,94.1176470588235,1.02,15.3,E4,
BDH,LM0174,5,15.9,94.0828402366864,0.8,16.9,E4,
AJY,LM0175,5,26.2,98.8679245283019,1.35,26.5,E4,
BVX,LM0176,5,21.9,97.3333333333333,1.72,22.5,E4,
ADH,LM0177,5,14.6,98.6486486486487,0.6,14.8,E4,
BFG,LM0178,5,17,93.9226519337016,0.8,18.1,E4,
JKT,LM0146,6,19.2,96.969696969697,1.35,19.8,E4,
HJN,LM0147,6,17.1,109.615384615385,1.26,15.6,E4,
HNW,LM0148,6,17.4,98.8636363636364,0.82,17.6,E4,
MVZ,LM0149,6,20.9,100.966183574879,0.91,20.7,E4,
AJO,LM0150,6,18.4,95.3367875647668,0.83,19.3,E4,
ABM,LM0151,6,31.8,107.796610169492,2.26,29.5,E4,
IMP,LM0152,6,17.2,95.0276243093922,0.87,18.1,E4,
NOP,LM0153,6,12.6,99.2125984251969,0.35,12.7,E4,
IXZ,LM0154,6,14,93.3333333333333,0.66,15,E4,
JMQ,LM0155,6,NA,NA,NA,NA,E4,
GTW,LM0156,6,17.8,101.136363636364,1.93,17.6,E4,
EQV,LM0157,6,27,104.247104247104,1.2,25.9,E4,
DNY,LM0158,6,31.7,105.31561461794,0.84,30.1,E4,
EQT,LM0159,6,16.1,101.898734177215,1.34,15.8,E4,
GNW,LM0160,6,NA,NA,NA,12.4,E4,
CQR,LM0161,6,37.4,102.185792349727,1.33,36.6,E4,
JRT,LM0162,6,17.2,99.4219653179191,1.62,17.3,E4,
CTY,LM0163,6,17,98.2658959537572,1.67,17.3,E4,
CEX,LM0164,6,23,96.6386554621849,0.72,23.8,E4,
CJO,LM0165,6,20.4,100.492610837438,1.09,20.3,E4,
ASZ,LM0166,6,31.6,104.635761589404,0.75,30.2,E4,
CQT,LM0167,6,13.3,98.5185185185185,0.72,13.5,E4,
LRT,LM0168,6,26.9,99.6296296296296,1.31,27,E4,
BPU,LM0169,6,14.4,97.9591836734694,0.65,14.7,E4,
GIS,LM0170,6,21.7,96.875,0.81,22.4,E4,
ITV,LM0171,6,12.8,91.4285714285714,0.64,14,E4,
CTW,LM0172,6,19.7,103.684210526316,1.9,19,E4,
LQS,LM0173,6,14.8,96.7320261437908,1.59,15.3,E4,
SUY,LM0174,6,16.4,97.0414201183432,0.73,16.9,E4,
HTX,LM0175,6,26.6,100.377358490566,0.97,26.5,E4,
HOU,LM0176,6,22.2,98.6666666666667,1.18,22.5,E4,
DFU,LM0177,6,14.8,100,0.39,14.8,E4,
GOW,LM0178,6,17.9,98.8950276243094,0.94,18.1,E4,
ADT,LM0146,7,19.2,96.969696969697,0.99,19.8,E4,
JMT,LM0147,7,17.3,110.897435897436,1.1,15.6,E4,
ISU,LM0148,7,17.9,101.704545454545,1.54,17.6,E4,
MSX,LM0149,7,21.4,103.381642512077,0.79,20.7,E4,
EVW,LM0150,7,19,98.4455958549223,0.71,19.3,E4,
JLW,LM0151,7,32,108.474576271186,1.03,29.5,E4,
EJT,LM0152,7,17.9,98.8950276243094,0.77,18.1,E4,
CPV,LM0153,7,13,102.362204724409,0.31,12.7,E4,
CLR,LM0154,7,14.2,94.6666666666667,0.79,15,E4,
GOV,LM0155,7,NA,NA,NA,NA,E4,
ASW,LM0156,7,17.8,101.136363636364,1.19,17.6,E4,
BEM,LM0157,7,27,104.247104247104,0.94,25.9,E4,
INW,LM0158,7,32.7,108.637873754153,0.76,30.1,E4,
LNZ,LM0159,7,15.9,100.632911392405,0.84,15.8,E4,
HQZ,LM0160,7,NA,NA,NA,12.4,E4,
BHM,LM0161,7,37.4,102.185792349727,0.81,36.6,E4,
MRU,LM0162,7,17.1,98.8439306358382,1.23,17.3,E4,
EKQ,LM0163,7,18.4,106.35838150289,0.75,17.3,E4,
NSZ,LM0164,7,22.3,93.6974789915966,0.68,23.8,E4,
CJV,LM0165,7,20.5,100.985221674877,0.54,20.3,E4,
LRV,LM0166,7,31.6,104.635761589404,0.69,30.2,E4,
ABL,LM0167,7,13.8,102.222222222222,0.58,13.5,E4,
AHQ,LM0168,7,27.3,101.111111111111,0.77,27,E4,
GSZ,LM0169,7,14.7,100,0.7,14.7,E4,
CEZ,LM0170,7,21.2,94.6428571428572,0.8,22.4,E4,
ADE,LM0171,7,13.5,96.4285714285714,0.93,14,E4,
OPQ,LM0172,7,19.6,103.157894736842,0.97,19,E4,
AGW,LM0173,7,15.1,98.6928104575163,2.08,15.3,E4,
FGV,LM0174,7,17.7,104.733727810651,1.04,16.9,E4,
IKM,LM0175,7,27.2,102.641509433962,1.89,26.5,E4,
CIJ,LM0176,7,21.7,96.4444444444444,0.71,22.5,E4,
MNW,LM0177,7,15,101.351351351351,0.75,14.8,E4,
CGI,LM0178,7,18.7,103.314917127072,1.86,18.1,E4,
ELZ,LM0146,8,18.8,94.949494949495,0.94,19.8,E4,
AYZ,LM0147,8,16.8,107.692307692308,1.22,15.6,E4,
PVZ,LM0148,8,18.1,102.840909090909,1.15,17.6,E4,
EOW,LM0149,8,22.3,107.729468599034,1.05,20.7,E4,
BQZ,LM0150,8,18.6,96.3730569948187,1.31,19.3,E4,
DIN,LM0151,8,32.3,109.491525423729,1.36,29.5,E4,
DJY,LM0152,8,18.3,101.104972375691,1.02,18.1,E4,
JNU,LM0153,8,13,102.362204724409,0.5,12.7,E4,
QXY,LM0154,8,14.3,95.3333333333334,0.88,15,E4,
MXY,LM0155,8,NA,NA,NA,NA,E4,
ABD,LM0156,8,17.7,100.568181818182,1.69,17.6,E4,
CPT,LM0157,8,27,104.247104247104,1.51,25.9,E4,
BDX,LM0158,8,32.7,108.637873754153,1.1,30.1,E4,
ACL,LM0159,8,15.8,100,1.23,15.8,E4,
DSU,LM0160,8,NA,NA,NA,12.4,E4,
CEV,LM0161,8,37.9,103.551912568306,1.02,36.6,E4,
IMU,LM0162,8,17.2,99.4219653179191,1.41,17.3,E4,
FGT,LM0163,8,17.2,99.4219653179191,1.44,17.3,E4,
FMP,LM0164,8,22.5,94.5378151260504,0.68,23.8,E4,
APY,LM0165,8,18.3,90.1477832512315,0.62,20.3,E4,
GMV,LM0166,8,31.8,105.298013245033,0.85,30.2,E4,
CFV,LM0167,8,14.1,104.444444444444,0.64,13.5,E4,
EKS,LM0168,8,26.1,96.6666666666667,0.87,27,E4,
NPT,LM0169,8,14.7,100,0.75,14.7,E4,
BIM,LM0170,8,20.9,93.3035714285714,0.47,22.4,E4,
PRX,LM0171,8,14.2,101.428571428571,0.57,14,E4,
DGJ,LM0172,8,18.6,97.8947368421053,1.85,19,E4,
GHR,LM0173,8,16.1,105.228758169935,1.55,15.3,E4,
FHM,LM0174,8,18,106.508875739645,1.55,16.9,E4,
WYZ,LM0175,8,25,94.3396226415094,0.49,26.5,E4,
FTZ,LM0176,8,21.6,96,0.95,22.5,E4,
GTX,LM0177,8,15.1,102.027027027027,0.64,14.8,E4,
HRU,LM0178,8,19.7,108.839779005525,1.85,18.1,E4,
KOZ,LM0146,9,19.5,98.4848484848485,0.72,19.8,E4,
NRZ,LM0147,9,16.7,107.051282051282,1.15,15.6,E4,
EGO,LM0148,9,18,102.272727272727,1.25,17.6,E4,
FJN,LM0149,9,21.5,103.864734299517,1.32,20.7,E4,
ACO,LM0150,9,18.6,96.3730569948187,0.78,19.3,E4,
GMX,LM0151,9,31.8,107.796610169492,1.12,29.5,E4,
GUY,LM0152,9,18.9,104.419889502762,1.05,18.1,E4,
DJX,LM0153,9,13.7,107.874015748032,0.43,12.7,E4,
HIX,LM0154,9,14.4,96,0.84,15,E4,
EIX,LM0155,9,NA,NA,NA,NA,E4,
TWX,LM0156,9,17.8,101.136363636364,0.97,17.6,E4,
JQT,LM0157,9,25,96.5250965250965,0.76,25.9,E4,
MTU,LM0158,9,32.7,108.637873754153,1.24,30.1,E4,
KRU,LM0159,9,15.7,99.3670886075949,1.2,15.8,E4,
EJU,LM0160,9,NA,NA,NA,12.4,E4,
LST,LM0161,9,37.9,103.551912568306,1.26,36.6,E4,
ILY,LM0162,9,17.2,99.4219653179191,1.47,17.3,E4,
DNW,LM0163,9,17.8,102.890173410405,0.69,17.3,E4,
ELQ,LM0164,9,22.1,92.8571428571429,0.86,23.8,E4,
BIL,LM0165,9,20.8,102.463054187192,1.07,20.3,E4,
BHS,LM0166,9,32.2,106.622516556291,0.8,30.2,E4,
IQZ,LM0167,9,14.1,104.444444444444,0.76,13.5,E4,
DHJ,LM0168,9,22.4,82.962962962963,0.27,27,E4,
DEK,LM0169,9,14.6,99.3197278911565,0.86,14.7,E4,
DRW,LM0170,9,20.9,93.3035714285714,0.42,22.4,E4,
EWY,LM0171,9,14,100,0.95,14,E4,
FLZ,LM0172,9,18.3,96.3157894736842,1.95,19,E4,
NPS,LM0173,9,15.4,100.653594771242,1.41,15.3,E4,
JKZ,LM0174,9,18.3,108.284023668639,1.58,16.9,E4,
ILS,LM0175,9,26.9,101.509433962264,1.16,26.5,E4,
CJX,LM0176,9,21.6,96,0.74,22.5,E4,
FHZ,LM0177,9,15.1,102.027027027027,0.84,14.8,E4,
DTU,LM0178,9,18.6,102.762430939227,1.21,18.1,E4,
EXY,LM0146,10,18.6,93.9393939393939,1.04,19.8,E4,
PTU,LM0147,10,16.9,108.333333333333,1,15.6,E4,
DGT,LM0148,10,17.9,101.704545454545,1.6,17.6,E4,
CGN,LM0149,10,22.2,107.246376811594,1.44,20.7,E4,
EGW,LM0150,10,19.1,98.9637305699482,1.15,19.3,E4,
GSY,LM0151,10,30.9,104.745762711864,0.73,29.5,E4,
PVW,LM0152,10,19.3,106.629834254144,1.48,18.1,E4,
HKT,LM0153,10,13.2,103.937007874016,0.48,12.7,E4,
BEQ,LM0154,10,14.3,95.3333333333334,0.7,15,E4,
ACD,LM0155,10,NA,NA,NA,NA,E4,
JLV,LM0156,10,18.3,103.977272727273,0.82,17.6,E4,
CEJ,LM0157,10,24.2,93.4362934362934,0.39,25.9,E4,
GKX,LM0158,10,31.5,104.651162790698,0.63,30.1,E4,
KRT,LM0159,10,15.4,97.4683544303798,0.9,15.8,E4,
ORU,LM0160,10,NA,NA,NA,12.4,E4,
BUX,LM0161,10,36.5,99.7267759562842,1.49,36.6,E4,
DEU,LM0162,10,17.3,100,1.73,17.3,E4,
EOR,LM0163,10,17.4,100.578034682081,1.12,17.3,E4,
BLQ,LM0164,10,22.3,93.6974789915966,0.89,23.8,E4,
HLX,LM0165,10,20.6,101.477832512315,1.42,20.3,E4,
EMU,LM0166,10,32.1,106.291390728477,0.91,30.2,E4,
EMT,LM0167,10,14,103.703703703704,0.63,13.5,E4,
GKP,LM0168,10,19.3,71.4814814814815,NA,27,E4,
BMP,LM0169,10,14.7,100,0.61,14.7,E4,
AIW,LM0170,10,21.3,95.0892857142857,0.77,22.4,E4,
AJT,LM0171,10,14.3,102.142857142857,0.84,14,E4,
IJP,LM0172,10,18.7,98.4210526315789,3.01,19,E4,
UVY,LM0173,10,15.7,102.614379084967,1.29,15.3,E4,
EHP,LM0174,10,18.4,108.87573964497,1.01,16.9,E4,
LNP,LM0175,10,27.4,103.396226415094,1.41,26.5,E4,
BKZ,LM0176,10,21.3,94.6666666666667,1.05,22.5,E4,
BMO,LM0177,10,15.2,102.702702702703,0.67,14.8,E4,
DHM,LM0178,10,18.5,102.209944751381,1.2,18.1,E4,
EIT,LM0146,11,18.5,93.4343434343434,0.85,19.8,E4,
DGQ,LM0147,11,14.8,94.8717948717949,0.37,15.6,E4,
HQT,LM0148,11,17.6,100,1.65,17.6,E4,
EHI,LM0149,11,22.6,109.178743961353,0.78,20.7,E4,
LOW,LM0150,11,19.6,101.554404145078,1.44,19.3,E4,
HSV,LM0151,11,30.1,102.033898305085,0.88,29.5,E4,
CGO,LM0152,11,18.7,103.314917127072,0.73,18.1,E4,
JSY,LM0153,11,13.3,104.724409448819,0.52,12.7,E4,
AEG,LM0154,11,14.1,94,1.17,15,E4,
DGL,LM0155,11,NA,NA,NA,NA,E4,
EGI,LM0156,11,17.7,100.568181818182,1.31,17.6,E4,
FOV,LM0157,11,27.7,106.949806949807,1.22,25.9,E4,
BQS,LM0158,11,33.3,110.63122923588,1.05,30.1,E4,
GJM,LM0159,11,15.7,99.3670886075949,1.34,15.8,E4,
EKT,LM0160,11,NA,NA,NA,12.4,E4,
GQR,LM0161,11,38.3,104.644808743169,1.02,36.6,E4,
FIZ,LM0162,11,16.7,96.5317919075144,1.48,17.3,E4,
EIN,LM0163,11,17,98.2658959537572,1.34,17.3,E4,
AKU,LM0164,11,22.3,93.6974789915966,0.79,23.8,E4,
KSZ,LM0165,11,20.9,102.955665024631,1.22,20.3,E4,
BOY,LM0166,11,31.8,105.298013245033,0.65,30.2,E4,
HNS,LM0167,11,13.9,102.962962962963,0.6,13.5,E4,
KRW,LM0168,11,NA,NA,NA,27,E4,
BDJ,LM0169,11,14.2,96.5986394557823,0.6,14.7,E4,
ATW,LM0170,11,21.6,96.4285714285714,1.5,22.4,E4,
LPZ,LM0171,11,13.8,98.5714285714286,0.92,14,E4,
BHL,LM0172,11,18.8,98.9473684210526,3.1,19,E4,
BJY,LM0173,11,15.5,101.307189542484,2.19,15.3,E4,
DVX,LM0174,11,18.1,107.100591715976,1.45,16.9,E4,
GWX,LM0175,11,26.9,101.509433962264,1.4,26.5,E4,
CFJ,LM0176,11,21.4,95.1111111111111,1.07,22.5,E4,
KPT,LM0177,11,15.3,103.378378378378,0.66,14.8,E4,
APX,LM0178,11,18.1,100,1.65,18.1,E4,
