"","labels","EH_ID","dpi","weight","weight_dpi0","faeces_weight","wloss","primary","challenge","infHistory","OPG"
"45","P3aFJS","LM_0346",7,52.7,53.9,3.12,97.7736549165121,"UNI","UNI","UNI:UNI",0
"46","P3aFKH","LM_0345",3,58.5,60.7,NA,96.3756177924217,"UNI","E64","UNI:E64",NA
"47","P3aFLM","LM_0335",9,43.6,49.4,2.8,88.2591093117409,"E88","UNI","E88:UNI",29910.7142857143
"48","P3aFOK","LM_0332",11,45.9,61.2,0.49,75,"Eflab","E88","Eflab:E88",5102.04081632653
"49","P3aFRB","LM_0340",10,51.4,54.5,NA,94.3119266055046,"E64","UNI","E64:UNI",NA
"50","P3aFRJ","LM_0332",0,61.2,61.2,NA,100,"Eflab","E88","Eflab:E88",NA
"51","P3aFUN","LM_0343",8,50.4,59.8,NA,84.2809364548495,"E139","UNI","E139:UNI",NA
"52","P3aGBL","LM_0336",0,51.9,51.9,NA,100,"E88","E64","E88:E64",NA
"53","P3aGFF","LM_0345",4,58,60.7,NA,95.5518945634267,"UNI","E64","UNI:E64",NA
"54","P3aGPG","LM_0341",10,53.1,59.1,NA,89.8477157360406,"E139","E88","E139:E88",NA
"55","P3aGTO","LM_0337",5,44.5,44.7,NA,99.5525727069351,"E88","UNI","E88:UNI",NA
"56","P3aHAT","LM_0343",2,56.7,59.8,NA,94.8160535117057,"E139","UNI","E139:UNI",NA
"57","P3aHEM","LM_0333",3,51.7,52.7,NA,98.1024667931689,"Eflab","E64","Eflab:E64",NA
"58","P3aHEN","LM_0338",10,49.1,51.3,NA,95.7115009746589,"E64","E88","E64:E88",NA
"59","P3aHHB","LM_0345",0,60.7,60.7,NA,100,"UNI","E64","UNI:E64",NA
"60","P3aHIX","LM_0339",3,48.5,49.6,2.62,97.7822580645161,"E64","E64","E64:E64",0
"61","P3aHYV","LM_0340",8,50.7,54.5,NA,93.0275229357798,"E64","UNI","E64:UNI",NA
"62","P3aIAK","LM_0333",5,51.5,52.7,NA,97.7229601518027,"Eflab","E64","Eflab:E64",NA
"63","P3aIFD","LM_0333",4,52.4,52.7,NA,99.4307400379507,"Eflab","E64","Eflab:E64",NA
"64","P3aIWZ","LM_0347",2,68.7,71.5,NA,96.0839160839161,"E88","E88","E88:E88",NA
"65","P3aIZU","LM_0344",9,50,51.4,1.5,97.2762645914397,"UNI","E88","UNI:E88",0
"66","P3aJGV","LM_0345",6,56.7,60.7,2.58,93.4102141680395,"UNI","E64","UNI:E64",0
"67","P3aJGW","LM_0347",5,67,71.5,NA,93.7062937062937,"E88","E88","E88:E88",NA
"68","P3aJIH","LM_0334",11,39.4,50.7,0.85,77.7120315581854,"Eflab","UNI","Eflab:UNI",0
"69","P3aJIX","LM_0334",7,47.4,50.7,2.07,93.491124260355,"Eflab","UNI","Eflab:UNI",10265.7004830918
"70","P3aJJH","LM_0341",5,51.2,59.1,1.95,86.6328257191202,"E139","E88","E139:E88",48717.9487179487
"71","P3aJLL","LM_0337",1,44.2,44.7,NA,98.8814317673378,"E88","UNI","E88:UNI",NA
"72","P3aJOI","LM_0333",10,42.8,52.7,0.6,81.2144212523719,"Eflab","E64","Eflab:E64",8333.33333333333
"73","P3aJQD","LM_0339",10,47,49.6,NA,94.758064516129,"E64","E64","E64:E64",NA
"74","P3aJRA","LM_0333",0,52.7,52.7,NA,100,"Eflab","E64","Eflab:E64",NA
"75","P3aJRY","LM_0343",1,56.8,59.8,NA,94.9832775919733,"E139","UNI","E139:UNI",NA
"76","P3aJVR","LM_0334",10,40.2,50.7,0.57,79.2899408284024,"Eflab","UNI","Eflab:UNI",4385.9649122807
"77","P3aJZP","LM_0347",0,71.5,71.5,NA,100,"E88","E88","E88:E88",NA
"78","P3aKEG","LM_0334",9,42.3,50.7,1.06,83.4319526627219,"Eflab","UNI","Eflab:UNI",29481.1320754717
"79","P3aKIB","LM_0337",3,44.4,44.7,NA,99.3288590604027,"E88","UNI","E88:UNI",NA
"80","P3aKIQ","LM_0332",6,58.8,61.2,NA,96.078431372549,"Eflab","E88","Eflab:E88",NA
"81","P3aKPZ","LM_0343",3,57.3,59.8,1.06,95.819397993311,"E139","UNI","E139:UNI",0
"82","P3aKUB","LM_0342",7,53.4,57,2.2,93.6842105263158,"E139","E64","E139:E64",18750
"83","P3aKUI","LM_0344",1,51.7,51.4,NA,100.583657587549,"UNI","E88","UNI:E88",NA
"84","P3aKXD","LM_0344",7,50.1,51.4,1.35,97.4708171206226,"UNI","E88","UNI:E88",0
"85","P3aKYD","LM_0340",9,52.5,54.5,NA,96.3302752293578,"E64","UNI","E64:UNI",NA
"86","P3aKYE","LM_0334",4,49,50.7,NA,96.6469428007889,"Eflab","UNI","Eflab:UNI",NA
"87","P3aLKM","LM_0341",7,50.4,59.1,2.86,85.2791878172589,"E139","E88","E139:E88",74737.7622377622
"88","P3aLMT","LM_0334",2,44.7,50.7,NA,88.1656804733728,"Eflab","UNI","Eflab:UNI",NA
"89","P3aLRK","LM_0332",5,58.7,61.2,NA,95.9150326797386,"Eflab","E88","Eflab:E88",NA
"90","P3aLTM","LM_0343",0,59.8,59.8,NA,100,"E139","UNI","E139:UNI",NA
"91","P3aLTV","LM_0342",2,53.6,57,NA,94.0350877192983,"E139","E64","E139:E64",NA
"92","P3aMAO","LM_0340",7,50.5,54.5,1.82,92.6605504587156,"E64","UNI","E64:UNI",129120.879120879
"93","P3aMCD","LM_0338",0,51.3,51.3,NA,100,"E64","E88","E64:E88",NA
"94","P3aMCE","LM_0347",11,63.2,71.5,7.28,88.3916083916084,"E88","E88","E88:E88",2403.84615384615
"95","P3aMNQ","LM_0342",5,53.1,57,3.7,93.1578947368421,"E139","E64","E139:E64",53040.5405405405
"96","P3aMVU","LM_0342",4,55.6,57,2.5,97.5438596491228,"E139","E64","E139:E64",500
"97","P3aNGT","LM_0336",5,50.8,51.9,NA,97.8805394990366,"E88","E64","E88:E64",NA
"98","P3aNJU","LM_0338",2,50.4,51.3,NA,98.2456140350877,"E64","E88","E64:E88",NA
"99","P3aNLI","LM_0339",5,44.2,49.6,1.74,89.1129032258064,"E64","E64","E64:E64",46695.4022988506
"100","P3aNMF","LM_0345",5,57.3,60.7,4.04,94.3986820428336,"UNI","E64","UNI:E64",0
"101","P3aNRV","LM_0333",2,51.6,52.7,NA,97.9127134724858,"Eflab","E64","Eflab:E64",NA
"102","P3aNYG","LM_0346",6,52.5,53.9,3.92,97.4025974025974,"UNI","UNI","UNI:UNI",0
"103","P3aOLI","LM_0342",1,55.8,57,NA,97.8947368421053,"E139","E64","E139:E64",NA
"104","P3aOML","LM_0341",3,54,59.1,0.85,91.3705583756345,"E139","E88","E139:E88",0
"105","P3aOMQ","LM_0338",4,49.6,51.3,2.17,96.6861598440546,"E64","E88","E64:E88",0
"106","P3aOOZ","LM_0347",10,63.9,71.5,5.52,89.3706293706294,"E88","E88","E88:E88",12228.2608695652
"107","P3aOSC","LM_0347",9,65.2,71.5,4.15,91.1888111888112,"E88","E88","E88:E88",81927.7108433735
"108","P3aOTL","LM_0344",10,50.4,51.4,NA,98.0544747081712,"UNI","E88","UNI:E88",NA
"109","P3aPEE","LM_0345",8,57.6,60.7,2.72,94.8929159802306,"UNI","E64","UNI:E64",0
"110","P3aPFK","LM_0333",9,45.8,52.7,0.85,86.9070208728653,"Eflab","E64","Eflab:E64",19117.6470588235
"111","P3aPJX","LM_0340",2,53.4,54.5,NA,97.9816513761468,"E64","UNI","E64:UNI",NA
"112","P3aPLG","LM_0333",7,51,52.7,3.46,96.7741935483871,"Eflab","E64","Eflab:E64",14089.5953757225
"113","P3aPUD","LM_0338",11,48.7,51.3,NA,94.9317738791423,"E64","E88","E64:E88",NA
"114","P3aQAG","LM_0340",1,53.1,54.5,NA,97.4311926605505,"E64","UNI","E64:UNI",NA
"115","P3aQBP","LM_0339",4,47,49.6,3.03,94.758064516129,"E64","E64","E64:E64",0
"116","P3aQDW","LM_0347",6,66.7,71.5,NA,93.2867132867133,"E88","E88","E88:E88",NA
"117","P3aQEC","LM_0337",10,39.3,44.7,1.81,87.9194630872483,"E88","UNI","E88:UNI",2762.43093922652
"118","P3aQEO","LM_0344",8,50,51.4,1.14,97.2762645914397,"UNI","E88","UNI:E88",0
"119","P3aQGP","LM_0345",2,58.8,60.7,NA,96.8698517298188,"UNI","E64","UNI:E64",NA
"120","P3aQJU","LM_0340",11,51.6,54.5,NA,94.6788990825688,"E64","UNI","E64:UNI",NA
"121","P3aREI","LM_0340",6,49,54.5,1.14,89.908256880734,"E64","UNI","E64:UNI",64692.9824561404
"122","P3aREY","LM_0337",2,44.3,44.7,NA,99.1051454138702,"E88","UNI","E88:UNI",NA
"123","P3aRIY","LM_0342",0,57,57,NA,100,"E139","E64","E139:E64",NA
"124","P3aRJA","LM_0345",7,56.7,60.7,4.4,93.4102141680395,"UNI","E64","UNI:E64",0
"125","P3aRPG","LM_0346",11,52.5,53.9,NA,97.4025974025974,"UNI","UNI","UNI:UNI",NA
"126","P3aRRF","LM_0332",8,53.8,61.2,0.76,87.9084967320261,"Eflab","E88","Eflab:E88",90460.5263157895
"127","P3aRVL","LM_0346",4,52.2,53.9,NA,96.8460111317254,"UNI","UNI","UNI:UNI",NA
"128","P3aRWR","LM_0345",1,59,60.7,NA,97.1993410214168,"UNI","E64","UNI:E64",NA
"129","P3aRWU","LM_0346",3,53.5,53.9,NA,99.2578849721707,"UNI","UNI","UNI:UNI",NA
"130","P3aRZE","LM_0339",8,47.3,49.6,NA,95.3629032258064,"E64","E64","E64:E64",NA
"131","P3aSBV","LM_0346",9,52.5,53.9,3.81,97.4025974025974,"UNI","UNI","UNI:UNI",0
"132","P3aSHB","LM_0332",2,59.4,61.2,NA,97.0588235294118,"Eflab","E88","Eflab:E88",NA
"133","P3aSMP","LM_0335",3,48.5,49.4,NA,98.1781376518219,"E88","UNI","E88:UNI",NA
"134","P3aSMX","LM_0336",11,44.6,51.9,2.91,85.9344894026975,"E88","E64","E88:E64",1718.21305841924
"135","P3aSNB","LM_0333",6,52,52.7,NA,98.6717267552182,"Eflab","E64","Eflab:E64",NA
"136","P3aSOX","LM_0342",9,53,57,NA,92.9824561403509,"E139","E64","E139:E64",NA
"137","P3aSQC","LM_0339",6,44.2,49.6,1.17,89.1129032258064,"E64","E64","E64:E64",405982.905982906
"138","P3aSRB","LM_0335",1,48.2,49.4,NA,97.5708502024292,"E88","UNI","E88:UNI",NA
"139","P3aSRE","LM_0340",5,48.8,54.5,1.45,89.5412844036697,"E64","UNI","E64:UNI",159482.75862069
"140","P3aSVD","LM_0336",10,43.6,51.9,0.81,84.0077071290944,"E88","E64","E88:E64",16975.3086419753
"141","P3aSVZ","LM_0341",4,53.7,59.1,1.68,90.8629441624366,"E139","E88","E139:E88",0
"142","P3aSWK","LM_0346",5,52.3,53.9,4.04,97.0315398886828,"UNI","UNI","UNI:UNI",0
"143","P3aTBA","LM_0338",8,48.8,51.3,NA,95.1267056530214,"E64","E88","E64:E88",NA
"144","P3aTCS","LM_0338",1,50.4,51.3,NA,98.2456140350877,"E64","E88","E64:E88",NA
"145","P3aTKS","LM_0339",11,46.2,49.6,NA,93.1451612903226,"E64","E64","E64:E64",NA
"146","P3aTLE","LM_0341",1,54.3,59.1,NA,91.8781725888325,"E139","E88","E139:E88",NA
"147","P3aTNB","LM_0332",3,59,61.2,NA,96.4052287581699,"Eflab","E88","Eflab:E88",NA
"148","P3aTOW","LM_0344",6,50.2,51.4,1.4,97.6653696498055,"UNI","E88","UNI:E88",0
"149","P3aTQH","LM_0332",7,57.4,61.2,1.46,93.7908496732026,"Eflab","E88","Eflab:E88",0
"150","P3aTQK","LM_0337",8,42.3,44.7,2.76,94.6308724832215,"E88","UNI","E88:UNI",150815.217391304
"151","P3aTSI","LM_0335",7,47,49.4,1.9,95.1417004048583,"E88","UNI","E88:UNI",59210.5263157895
"152","P3aTSY","LM_0343",6,51.6,59.8,0.86,86.2876254180602,"E139","UNI","E139:UNI",376453.488372093
"153","P3aTVC","LM_0340",4,50.2,54.5,2.56,92.1100917431193,"E64","UNI","E64:UNI",0
"154","P3aUAS","LM_0335",8,45.1,49.4,2.37,91.2955465587045,"E88","UNI","E88:UNI",44831.223628692
"155","P3aULZ","LM_0347",3,68.3,71.5,NA,95.5244755244755,"E88","E88","E88:E88",NA
"156","P3aURW","LM_0334",8,44.6,50.7,0.95,87.9684418145957,"Eflab","UNI","Eflab:UNI",31578.9473684211
"157","P3aUWS","LM_0338",3,50.4,51.3,2.4,98.2456140350877,"E64","E88","E64:E88",0
"158","P3aUXG","LM_0336",8,47.9,51.9,2.75,92.2928709055877,"E88","E64","E88:E64",62272.7272727273
"159","P3aUZT","LM_0340",3,52.7,54.5,1.16,96.697247706422,"E64","UNI","E64:UNI",1077.58620689655
"160","P3aVAC","LM_0336",3,50.5,51.9,NA,97.3025048169557,"E88","E64","E88:E64",NA
"161","P3aVEB","LM_0344",11,50,51.4,NA,97.2762645914397,"UNI","E88","UNI:E88",NA
"162","P3aVKX","LM_0337",9,39.7,44.7,1.4,88.8143176733781,"E88","UNI","E88:UNI",145535.714285714
"163","P3aVQF","LM_0335",5,47.9,49.4,NA,96.9635627530364,"E88","UNI","E88:UNI",NA
"164","P3aVUI","LM_0347",1,64.8,71.5,NA,90.6293706293706,"E88","E88","E88:E88",NA
"165","P3aWEK","LM_0344",2,52,51.4,NA,101.167315175097,"UNI","E88","UNI:E88",NA
"166","P3aWMH","LM_0334",3,48.6,50.7,NA,95.8579881656805,"Eflab","UNI","Eflab:UNI",NA
"167","P3aWMM","LM_0343",5,53.3,59.8,1.8,89.1304347826087,"E139","UNI","E139:UNI",56944.4444444444
"168","P3aWRE","LM_0334",6,48.8,50.7,NA,96.2524654832347,"Eflab","UNI","Eflab:UNI",NA
"169","P3aWSE","LM_0335",10,42.5,49.4,1.54,86.0323886639676,"E88","UNI","E88:UNI",12987.012987013
"170","P3aWTG","LM_0336",7,49.7,51.9,3.37,95.7610789980732,"E88","E64","E88:E64",58605.3412462908
"171","P3aXBC","LM_0334",5,48.5,50.7,NA,95.6607495069034,"Eflab","UNI","Eflab:UNI",NA
"172","P3aXUQ","LM_0338",9,44.2,51.3,NA,86.1598440545809,"E64","E88","E64:E88",NA
"173","P3aXVS","LM_0342",11,49.5,57,NA,86.8421052631579,"E139","E64","E139:E64",NA
"174","P3aXYE","LM_0342",3,56.3,57,1.8,98.7719298245614,"E139","E64","E139:E64",0
"175","P3aYJG","LM_0332",9,49.9,61.2,0.64,81.5359477124183,"Eflab","E88","Eflab:E88",60546.875
"176","P3aYKB","LM_0335",2,46.5,49.4,NA,94.1295546558704,"E88","UNI","E88:UNI",NA
"177","P3aYKT","LM_0341",0,59.1,59.1,NA,100,"E139","E88","E139:E88",NA
"178","P3aYKY","LM_0345",10,57.3,60.7,NA,94.3986820428336,"UNI","E64","UNI:E64",NA
"179","P3aYLP","LM_0336",2,50.1,51.9,NA,96.5317919075144,"E88","E64","E88:E64",NA
"180","P3aYMT","LM_0347",8,63.7,71.5,4.86,89.0909090909091,"E88","E88","E88:E88",46810.6995884774
"181","P3aYNS","LM_0342",6,52.7,57,1.96,92.4561403508772,"E139","E64","E139:E64",156887.755102041
"182","P3aYTP","LM_0335",11,43.6,49.4,3.06,88.2591093117409,"E88","UNI","E88:UNI",4901.96078431373
"183","P3aYTT","LM_0332",4,59.2,61.2,NA,96.7320261437908,"Eflab","E88","Eflab:E88",NA
"184","P3aYUI","LM_0342",10,51.2,57,NA,89.8245614035088,"E139","E64","E139:E64",NA
"185","P3aYYU","LM_0346",10,52.8,53.9,NA,97.9591836734694,"UNI","UNI","UNI:UNI",NA
"186","P3aZGF","LM_0341",2,54.2,59.1,NA,91.7089678510998,"E139","E88","E139:E88",NA
"187","P3aZPZ","LM_0344",0,51.4,51.4,NA,100,"UNI","E88","UNI:E88",NA
"188","P3aZQY","LM_0341",6,50.3,59.1,0.52,85.1099830795262,"E139","E88","E139:E88",0
"189","P3aZTI","LM_0338",6,45.3,51.3,0.7,88.3040935672515,"E64","E88","E64:E88",128571.428571429
"190","P3aZTL","LM_0344",3,51.6,51.4,NA,100.389105058366,"UNI","E88","UNI:E88",NA
"191","P3aZUX","LM_0332",1,59.6,61.2,NA,97.3856209150327,"Eflab","E88","Eflab:E88",NA
"192","P3aZXF","LM_0334",1,59.5,50.7,NA,117.357001972387,"Eflab","UNI","Eflab:UNI",NA
"193","P3bAGV","LM_0336",5,46,52.3,0.67,95.4110898661568,"E88","E64","E88:E64",162313.432835821
"194","P3bAHV","LM_0337",6,44.4,44.9,1.59,98.8864142538975,"E88","UNI","E88:UNI",0
"195","P3bAOV","LM_0332",5,50.2,51.3,NA,97.8557504873294,"Eflab","E88","Eflab:E88",NA
"196","P3bBHI","LM_0332",0,51.3,51.3,NA,100,"Eflab","E88","Eflab:E88",NA
"197","P3bBPM","LM_0342",3,51.2,55.6,1.87,94.2446043165468,"E139","E64","E139:E64",2005.34759358289
"198","P3bBPO","LM_0341",7,54.5,58.1,1.98,93.8037865748709,"E139","E88","E139:E88",135101.01010101
"199","P3bBQA","LM_0343",8,52.9,56.5,1.62,93.6283185840708,"E139","UNI","E139:UNI",0
"200","P3bBTL","LM_0333",8,45.7,50,NA,91.4,"Eflab","E64","Eflab:E64",NA
"201","P3bBUX","LM_0339",5,44.7,48.5,1.11,95.2577319587629,"E64","E64","E64:E64",111486.486486486
"202","P3bBWS","LM_0336",7,43.8,52.3,0.88,83.7476099426386,"E88","E64","E88:E64",112215.909090909
"203","P3bBZL","LM_0346",4,52.3,53.2,NA,96.6165413533835,"UNI","UNI","UNI:UNI",NA
"204","P3bCRA","LM_0332",7,49.8,51.3,2.9,97.0760233918129,"Eflab","E88","Eflab:E88",8189.65517241379
"205","P3bCTS","LM_0343",4,55.1,56.5,NA,95.929203539823,"E139","UNI","E139:UNI",NA
"206","P3bDGY","LM_0333",5,47.4,50,1.69,97,"Eflab","E64","Eflab:E64",40680.4733727811
"207","P3bECK","LM_0344",7,NA,48.6,NA,NA,"UNI","E88","UNI:E88",NA
"208","P3bEFI","LM_0346",5,52.1,53.2,1.04,98.3082706766917,"UNI","UNI","UNI:UNI",4807.69230769231
"209","P3bERF","LM_0345",1,58.2,59.2,NA,98.3108108108108,"UNI","E64","UNI:E64",NA
"210","P3bEVI","LM_0332",4,50.2,51.3,NA,96.2962962962963,"Eflab","E88","Eflab:E88",NA
"211","P3bEVN","LM_0334",0,47.3,47.3,NA,100,"Eflab","UNI","Eflab:UNI",NA
"212","P3bEVY","LM_0342",8,47.4,55.6,NA,85.2517985611511,"E139","E64","E139:E64",NA
"213","P3bEWH","LM_0341",6,54.7,58.1,NA,94.1480206540448,"E139","E88","E139:E88",NA
"214","P3bFLD","LM_0340",8,49.7,53.6,2.44,92.7238805970149,"E64","UNI","E64:UNI",0
"215","P3bFMI","LM_0347",8,60.4,69.1,2.65,87.4095513748191,"E88","E88","E88:E88",1415.09433962264
"216","P3bFPD","LM_0340",7,50.9,53.6,1.67,94.9626865671642,"E64","UNI","E64:UNI",1497.00598802395
"217","P3bFUT","LM_0337",1,43.3,44.9,NA,96.4365256124722,"E88","UNI","E88:UNI",NA
"218","P3bFVQ","LM_0338",3,49.9,50.2,NA,99.402390438247,"E64","E88","E64:E88",NA
"219","P3bFWC","LM_0334",4,46.5,47.3,NA,97.8858350951374,"Eflab","UNI","Eflab:UNI",NA
"220","P3bFWG","LM_0338",8,48.3,50.2,1.5,96.2151394422311,"E64","E88","E64:E88",26666.6666666667
"221","P3bFYX","LM_0345",7,54.8,59.2,1.96,92.5675675675675,"UNI","E64","UNI:E64",223852.040816327
"222","P3bHET","LM_0338",4,48.6,50.2,NA,99.402390438247,"E64","E88","E64:E88",NA
"223","P3bHPH","LM_0341",3,54.9,58.1,NA,94.3201376936317,"E139","E88","E139:E88",NA
"224","P3bHSH","LM_0347",0,69.1,69.1,NA,100,"E88","E88","E88:E88",NA
"225","P3bHSI","LM_0344",6,NA,48.6,NA,NA,"UNI","E88","UNI:E88",NA
"226","P3bHYO","LM_0345",4,56.7,59.2,2.13,97.8040540540541,"UNI","E64","UNI:E64",5868.54460093897
"227","P3bIAU","LM_0346",0,53.2,53.2,NA,100,"UNI","UNI","UNI:UNI",NA
"228","P3bICF","LM_0347",5,63.5,69.1,NA,93.1982633863965,"E88","E88","E88:E88",NA
"229","P3bIHD","LM_0345",8,52.8,59.2,NA,89.1891891891892,"UNI","E64","UNI:E64",NA
"230","P3bIIT","LM_0335",8,45.6,47,1.78,97.0212765957447,"E88","UNI","E88:UNI",0
"231","P3bINX","LM_0336",4,49.9,52.3,2.12,91.9694072657744,"E88","E64","E88:E64",0
"232","P3bIPY","LM_0336",3,48.1,52.3,1.81,95.9847036328872,"E88","E64","E88:E64",0
"233","P3bISY","LM_0332",3,49.4,51.3,NA,96.2962962962963,"Eflab","E88","Eflab:E88",NA
"234","P3bJAH","LM_0342",4,52.2,55.6,2.74,92.0863309352518,"E139","E64","E139:E64",456.204379562044
"235","P3bJAT","LM_0340",0,53.6,53.6,NA,100,"E64","UNI","E64:UNI",NA
"236","P3bJRF","LM_0333",7,45.5,50,1.99,91,"Eflab","E64","Eflab:E64",185929.648241206
"237","P3bJUN","LM_0339",8,43.7,48.5,NA,90.1030927835052,"E64","E64","E64:E64",NA
"238","P3bJVY","LM_0343",6,54.3,56.5,2.02,96.1061946902655,"E139","UNI","E139:UNI",0
"239","P3bKLB","LM_0342",1,54.1,55.6,NA,97.3021582733813,"E139","E64","E139:E64",NA
"240","P3bKMJ","LM_0337",8,43.2,44.9,1.43,96.2138084632517,"E88","UNI","E88:UNI",874.125874125874
"241","P3bKTN","LM_0336",0,52.3,52.3,NA,100,"E88","E64","E88:E64",NA
"242","P3bLAV","LM_0343",7,54,56.5,2.25,95.5752212389381,"E139","UNI","E139:UNI",0
"243","P3bLBS","LM_0339",6,44.1,48.5,0.88,90.9278350515464,"E64","E64","E64:E64",49715.9090909091
"244","P3bLCA","LM_0340",6,51.2,53.6,1.72,95.5223880597015,"E64","UNI","E64:UNI",0
"245","P3bLFC","LM_0345",6,55.3,59.2,1,93.4121621621621,"UNI","E64","UNI:E64",282500
"246","P3bLNN","LM_0343",3,54.2,56.5,NA,97.5221238938053,"E139","UNI","E139:UNI",NA
"247","P3bLOR","LM_0343",5,54.6,56.5,1.8,97.5221238938053,"E139","UNI","E139:UNI",0
"248","P3bLSG","LM_0347",7,63,69.1,2.57,91.1722141823444,"E88","E88","E88:E88",0
"249","P3bLZC","LM_0341",5,54.7,58.1,NA,93.1153184165232,"E139","E88","E139:E88",NA
"250","P3bMRS","LM_0345",0,59.2,59.2,NA,100,"UNI","E64","UNI:E64",NA
"251","P3bMUY","LM_0333",6,46.3,50,0.97,92.6,"Eflab","E64","Eflab:E64",172680.412371134
