experiment,labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,dilution,oocyst_mean
E3,DZ,0,0,0,0,1,0
E3,EG,61,47,59,46,1,53.25
E3,EH,2,1,2,2,1,1.75
E3,EI,0,0,0,0,1,0
E3,EJ,0,2,1,2,1,1.25
E3,EL,0,0,0,0,1,0
E3,EM,2,2,2,1,1,1.75
E3,EN,0,0,0,0,1,0
E3,EO,0,0,0,0,1,0
E3,EP,0,0,0,0,1,0
E3,EQ,36,25,24,33,1,29.5
E3,ER,0,0,0,0,1,0
E3,ET,3,0,3,2,1,2
E3,EU,1,1,0,3,1,1.25
E3,EV,16,25,26,27,1,23.5
E3,EW,3,4,4,8,1,4.75
E3,EX,0,0,0,0,1,0
E3,EZ,0,0,0,0,1,0
E3,FG,2,0,1,0,1,0.75
E3,FH,118,100,105,119,1,110.5
E3,FI,6,28,18,16,1,17
E3,FJ,0,0,0,0,1,0
E3,FK,0,0,0,0,1,0
E3,FL,236,279,245,265,1,256.25
E3,FM,1,0,0,0,1,0.25
E3,FN,0,1,0,1,1,0.5
E3,FO,0,0,0,0,1,0
E3,FP,0,0,0,0,1,0
E3,FS,233,236,155,195,1,204.75
E3,FT,0,0,0,0,1,0
E3,FV,42,44,51,41,1,44.5
E3,FW,0,0,0,0,1,0
E3,FY,0,0,0,0,1,0
E3,FZ,0,0,0,0,1,0
E3,GI,3,3,2,1,1,2.25
E3,GJ,5,5,6,2,1,4.5
E3,GK,0,0,0,0,1,0
E3,GL,0,0,0,0,1,0
E3,GM,0,0,0,0,1,0
E3,GO,8,5,8,7,1,7
E3,GP,0,0,0,0,1,0
E3,GQ,0,0,0,0,1,0
E3,GR,0,0,0,0,1,0
E3,GS,22,29,36,43,1,32.5
E3,GT,0,0,0,0,1,0
E3,GU,59,67,49,53,1,57
E3,GV,1,0,0,0,1,0.25
E3,GX,0,0,0,0,1,0
E3,GY,0,0,0,0,1,0
E3,GZ,53,61,66,74,1,63.5
E3,HI,0,0,0,0,1,0
E3,HJ,0,0,0,0,1,0
E3,HK,0,0,0,0,1,0
E3,HL,32,22,23,41,1,29.5
E3,HM,0,0,0,0,1,0
E3,HN,0,2,4,1,1,1.75
E3,HO,0,0,0,0,1,0
E3,HP,0,0,0,0,1,0
E3,HQ,1,0,1,0,1,0.5
E3,HR,0,0,0,0,1,0
E3,HS,0,0,0,0,1,0
E3,HT,0,0,0,0,1,0
E3,HV,0,0,0,0,1,0
E3,HW,0,0,0,0,1,0
E3,HX,0,0,0,0,1,0
E3,HY,0,0,0,0,1,0
E3,HZ,0,0,0,0,1,0
E3,IJ,0,0,0,0,1,0
E3,IK,83,83,67,67,1,75
E3,IL,0,0,0,0,1,0
E3,IM,0,0,0,0,1,0
E3,IN,0,1,2,2,1,1.25
E3,IO,0,0,0,0,1,0
E3,IP,3,5,0,2,1,2.5
E3,IR,23,13,26,24,1,21.5
E3,IT,1,0,0,1,1,0.5
E3,IU,0,0,0,0,1,0
E3,IV,0,1,2,0,1,0.75
E3,IX,0,0,0,0,1,0
E3,IY,55,47,51,47,1,50
E3,IZ,2,0,0,1,1,0.75
E3,JK,0,0,0,0,1,0
E3,JM,0,1,0,1,1,0.5
E3,JP,0,0,0,0,1,0
E3,JR,0,0,0,0,1,0
E3,JS,0,0,0,1,1,0.25
E3,JT,0,0,0,0,1,0
E3,JU,0,0,0,0,1,0
E3,JV,0,0,0,0,1,0
E3,JW,0,0,0,0,1,0
E3,JX,0,0,0,0,1,0
E3,JY,4,2,1,2,1,2.25
E3,JZ,2,7,1,4,1,3.5
E3,KL,0,0,0,3,1,0.75
E3,KM,10,5,5,9,1,7.25
E3,KN,0,0,0,0,1,0
E3,KO,0,0,0,0,1,0
E3,KP,0,0,0,0,1,0
E3,KR,0,0,0,0,1,0
E3,KU,0,0,0,0,1,0
E3,KV,0,0,0,0,1,0
E3,KW,0,0,2,1,1,0.75
E3,KX,0,1,0,0,1,0.25
E3,KY,43,41,38,35,1,39.25
E3,KZ,0,0,0,0,1,0
E3,LM,23,11,19,20,1,18.25
E3,LN,0,2,1,1,1,1
E3,LO,0,0,0,0,1,0
E3,LP,0,0,0,1,1,0.25
E3,LQ,30,19,16,20,1,21.25
E3,LR,0,0,0,0,1,0
E3,LS,0,0,0,0,1,0
E3,LT,0,0,0,0,1,0
E3,LU,0,0,0,0,1,0
E3,LW,37,38,54,44,1,43.25
E3,LX,0,0,0,0,1,0
E3,LY,0,0,0,1,1,0.25
E3,LZ,0,0,0,0,1,0
E3,MN,0,0,0,1,1,0.25
E3,MO,0,0,0,0,1,0
E3,MP,0,0,0,0,1,0
E3,MQ,31,26,37,39,1,33.25
E3,MR,4,9,10,14,1,9.25
E3,MS,0,0,0,0,1,0
E3,MT,35,28,31,29,1,30.75
E3,MU,53,47,38,57,1,48.75
E3,MV,258,299,304,374,1,308.75
E3,MX,0,0,0,0,1,0
E3,MY,0,0,0,0,1,0
E3,MZ,0,1,1,2,1,1
E3,NO,4,10,12,12,1,9.5
E3,NQ,42,40,47,31,1,40
E3,NR,3,5,7,8,1,5.75
E3,NS,0,0,0,0,1,0
E3,NT,0,0,0,0,1,0
E3,NU,53,56,50,49,1,52
E3,NW,0,0,0,0,1,0
E3,NY,0,0,0,0,1,0
E3,NZ,4,6,6,4,1,5
E3,OR,0,1,2,4,1,1.75
E3,OS,0,0,0,0,1,0
E3,OT,0,0,0,0,1,0
E3,OU,0,0,0,0,1,0
E3,OV,131,134,155,136,1,139
E3,OW,19,20,11,24,1,18.5
E3,OX,0,0,1,3,1,1
E3,OY,65,43,40,52,1,50
E3,OZ,0,0,2,0,1,0.5
E3,PR,0,0,0,0,1,0
E3,PT,0,0,0,2,1,0.5
E3,PU,0,0,0,0,1,0
E3,PV,0,0,0,0,1,0
E3,PW,0,0,0,0,1,0
E3,PX,0,0,0,0,1,0
E3,PY,0,0,0,0,1,0
E3,QR,0,0,0,0,1,0
E3,QS,0,0,0,0,1,0
E3,QT,0,0,0,0,1,0
E3,QU,21,32,17,28,1,24.5
E3,QW,0,0,0,0,1,0
E3,QX,0,0,0,0,1,0
E3,QY,0,0,0,0,1,0
E3,QZ,0,0,0,0,1,0
E3,RS,0,0,1,0,1,0.25
E3,RT,0,0,0,0,1,0
E3,RU,0,0,1,0,1,0.25
E3,RV,0,1,0,0,1,0.25
E3,RW,0,0,0,0,1,0
E3,RY,0,1,1,1,1,0.75
E3,RZ,0,0,0,0,1,0
E3,ST,0,0,0,0,1,0
E3,SV,0,0,1,0,1,0.25
E3,SW,0,0,0,0,1,0
E3,SX,0,0,0,0,1,0
E3,SY,16,27,26,20,1,22.25
E3,SZ,0,0,0,0,1,0
E3,TU,0,0,0,0,1,0
E3,TV,0,0,0,0,1,0
E3,TW,0,0,0,0,1,0
E3,TX,89,112,115,103,1,104.75
E3,TY,0,0,0,0,1,0
E3,TZ,0,0,0,0,1,0
E3,UV,15,11,12,13,1,12.75
E3,UW,141,183,159,129,1,153
E3,UX,0,0,0,0,1,0
E3,UZ,0,0,0,0,1,0
E3,VW,0,0,0,0,1,0
E3,VX,0,0,0,0,1,0
E3,VZ,12,9,11,10,1,10.5
E3,WX,14,16,20,27,1,19.25
E3,WY,51,76,55,75,1,64.25
E3,WZ,0,0,0,0,1,0
E3,XY,0,0,0,0,1,0
E3,XZ,26,34,22,21,1,25.75
E3,YZ,51,50,34,58,1,48.25
