labels,EH_ID,dpi,weight,weight_dpi0,relative_weight,feces_weight,dpi_dissect
E11aHKX,LM0421,10,17.41,16.71,104.189108318372,2.06,
E11aSVX,LM0406,10,17.11,18.5,92.4864864864865,1.97,
E11aABM,LM0407,10,23.37,23.58,99.1094147582697,1.07,
E11aELT,LM0415,10,21.01,20.99,100.095283468318,0.97,
E11aJTU,LM0401,10,19.81,20.22,97.9723046488625,0.88,
E11aFMY,LM0425,10,15.95,16.13,98.8840669559827,1.83,
E11aABU,LM0430,10,24.86,26.25,94.7047619047619,1.08,
E11aCLR,LM0400,11,18.28,17.96,101.781737193764,2.2,
E11aIMO,LM0404,11,15.5,16.48,94.0533980582524,1.98,
E11aCPZ,LM0410,11,16.66,16.98,98.1154299175501,0.9,
E11aAOP,LM0431,11,17.98,18.85,95.3846153846154,2.19,
E11aHJT,LM0408,11,15.12,15.42,98.0544747081712,1.28,
E11aCQZ,LM0411,11,15.82,15.9,99.496855345912,1.22,
E11aCHS,LM0417,11,23.5,25.38,92.5925925925926,1.68,
E11aEJT,LM0422,11,14,14.43,97.020097020097,1.65,
E11aDHN,LM0413,11,20.68,21.88,94.5155393053016,1.17,
E11aIJR,LM0424,11,14.5,16.11,90.0062073246431,2.04,
E11aALP,LM0427,11,NA,15.23,NA,NA,a10
E11aLSX,LM0405,11,NA,14.67,NA,NA,a8
E11aDFU,LM0420,11,16.33,19.87,82.1841972823352,1.21,
E11aCEU,LM0423,11,NA,14.77,NA,NA,a8
E11aNPW,LM0428,11,19.5,23.42,83.2621690862511,0.98,
E11aJUZ,LM0429,11,14.13,17.18,82.2467986030268,0.92,
E11aDJP,LM0403,11,NA,15.12,NA,NA,a8
E11aKLR,LM0414,11,NA,17.97,NA,NA,a8
E11aFOQ,LM0418,11,NA,20.59,NA,NA,a8
E11aCEY,LM0419,11,NA,21.31,NA,NA,a9
E11aFIK,LM0409,11,NA,17.89,NA,NA,a8
E11aBQU,LM0416,11,NA,13.45,NA,NA,a10
E11aDRS,LM0426,11,20.9,24.21,86.3279636513837,1.74,
E11aCEP,LM0402,11,18.44,19.52,94.4672131147541,0.6,
E11aAOV,LM0412,11,23.63,23.57,100.254560882478,1.31,
E11aDMX,LM0421,11,17.35,16.71,103.830041891083,1.56,
E11aIJQ,LM0406,11,17.26,18.5,93.2972972972973,1.73,
E11aDFI,LM0407,11,22.74,23.58,96.4376590330789,0.82,
E11aGPU,LM0415,11,21.42,20.99,102.048594568842,0.91,
E11aPUY,LM0401,11,19.41,20.22,95.9940652818991,1.74,
E11aDOS,LM0425,11,16.22,16.13,100.557966522009,1.89,
E11aALR,LM0430,11,24.9,26.25,94.8571428571428,1.67,
