"EH_ID";"labels";"Expe";"Neubauer1";"Neubauer2";"Neubauer3";"Neubauer4";"oocyst_mean";"dilution_ml";"OPG";"dpi";"weight";"weight_dpi0";"weightloss";"fecweight";"Eimeria";"X";"X.1";"X.2";"X.3";"X.4";"Locality";"Genome";"Strain";"IDD";"Dam";"Gen";"Sir";"IDS";"Sir.1";"Gen.1";"Born";"Fpar";"LS";"MM";"FF";"ID";"PIN";"Sex";"Gen.2";"Wean";"BW10";"BW20";"Clip";"Departure";"NOTE";"Parent1";"Parent2";"HybridStatus";"ageAtdpi0expe1a";"Batch";"InfectionStrain";"Mouse_subspecies";"Mouse_strain";"infection_isolate";"Eimeria_species";"mean_Neubauer";"OPGstatus"
"LM0179";"ELN";"Expe005_1a";0;0;0;0;NA;1;0;4;19,45;18,93;-0,52;1,71;"E88";"";"";NA;NA;NA;" PWD x BUSNA ";" mus x mus ";"PWD_BUSNA";" SY ";2996;46;" BUSNA ";" SY ";6113;60;"2018-03-23";6;9;"4";"5";" EX ";727;" F ";" F1 ";" 1F ";"4.73";8,44;" P3 ";NA;NA;" PWD ";" BUSNA ";"outbred";15,4285714285714;1;" E88 ";"M.m.musculus F1";"M.m.musculus F1 
(PWD_BUSNA)";"E88";"E.falciformis";0;"negative"
"LM0179";"MQS";"Expe005_1a";NA;NA;NA;NA;NA;1;NA;1;19,79;18,93;-0,859999999999999;0;"E88";"";"";NA;NA;NA;" PWD x BUSNA ";" mus x mus ";"PWD_BUSNA";" SY ";2996;46;" BUSNA ";" SY ";6113;60;"2018-03-23";6;9;"4";"5";" EX ";727;" F ";" F1 ";" 1F ";"4.73";8,44;" P3 ";NA;NA;" PWD ";" BUSNA ";"outbred";15,4285714285714;1;" E88 ";"M.m.musculus F1";"M.m.musculus F1 
(PWD_BUSNA)";"E88";"E.falciformis";NA;"na"
"LM0180";"DTY";"Expe005_1a";NA;NA;NA;NA;NA;1;NA;1;23,7;24,1;0,400000000000002;0;"E88";"";"";NA;NA;NA;" STRA x BUSNA ";" dom x mus ";"STRA_BUSNA";" SY ";6346;55;" BUSNA ";" SY ";6111;60;"2018-03-07";2;5;"2";"3";" EX ";658;" M ";" F1 ";" 1M ";"7.96";10,43;" P2 ";NA;NA;" STRA ";" BUSNA ";"hybrids";17,7142857142857;1;" E88 ";"Hybrid";"Hybrid 
(STRA_BUSNA)";"E88";"E.falciformis";NA;"na"
"LM0180";"BLX";"Expe005_1a";0;0;0;0;NA;1;0;0;24,1;24,1;0;1,51;"E88";"";"";NA;NA;NA;" STRA x BUSNA ";" dom x mus ";"STRA_BUSNA";" SY ";6346;55;" BUSNA ";" SY ";6111;60;"2018-03-07";2;5;"2";"3";" EX ";658;" M ";" F1 ";" 1M ";"7.96";10,43;" P2 ";NA;NA;" STRA ";" BUSNA ";"hybrids";17,7142857142857;1;" E88 ";"Hybrid";"Hybrid 
(STRA_BUSNA)";"E88";"E.falciformis";0;"negative"
"LM0180";"LMW";"Expe005_1a";0;0;0;0;NA;1;0;5;23,92;24,1;0,18;1,07;"E88";"";"";NA;NA;NA;" STRA x BUSNA ";" dom x mus ";"STRA_BUSNA";" SY ";6346;55;" BUSNA ";" SY ";6111;60;"2018-03-07";2;5;"2";"3";" EX ";658;" M ";" F1 ";" 1M ";"7.96";10,43;" P2 ";NA;NA;" STRA ";" BUSNA ";"hybrids";17,7142857142857;1;" E88 ";"Hybrid";"Hybrid 
(STRA_BUSNA)";"E88";"E.falciformis";0;"negative"
"LM0180";"CLZ";"Expe005_1a";NA;NA;NA;NA;NA;1;NA;3;23,79;24,1;0,310000000000002;0;"E88";"";"";NA;NA;NA;" STRA x BUSNA ";" dom x mus ";"STRA_BUSNA";" SY ";6346;55;" BUSNA ";" SY ";6111;60;"2018-03-07";2;5;"2";"3";" EX ";658;" M ";" F1 ";" 1M ";"7.96";10,43;" P2 ";NA;NA;" STRA ";" BUSNA ";"hybrids";17,7142857142857;1;" E88 ";"Hybrid";"Hybrid 
(STRA_BUSNA)";"E88";"E.falciformis";NA;"na"
"LM0180";"GLV";"Expe005_1a";0;0;0;0;NA;1;0;4;24,01;24,1;0,0899999999999999;0,96;"E88";"";"";NA;NA;NA;" STRA x BUSNA ";" dom x mus ";"STRA_BUSNA";" SY ";6346;55;" BUSNA ";" SY ";6111;60;"2018-03-07";2;5;"2";"3";" EX ";658;" M ";" F1 ";" 1M ";"7.96";10,43;" P2 ";NA;NA;" STRA ";" BUSNA ";"hybrids";17,7142857142857;1;" E88 ";"Hybrid";"Hybrid 
(STRA_BUSNA)";"E88";"E.falciformis";0;"negative"
"LM0180";"DPT";"Expe005_1a";16;17;8;14;NA;1;127314,814814815;10;22,61;24,1;1,49;1,08;"E88";"";"";NA;NA;NA;" STRA x BUSNA ";" dom x mus ";"STRA_BUSNA";" SY ";6346;55;" BUSNA ";" SY ";6111;60;"2018-03-07";2;5;"2";"3";" EX ";658;" M ";" F1 ";" 1M ";"7.96";10,43;" P2 ";NA;NA;" STRA ";" BUSNA ";"hybrids";17,7142857142857;1;" E88 ";"Hybrid";"Hybrid 
(STRA_BUSNA)";"E88";"E.falciformis";13,75;"positive"
"LM0180";"IJY";"Expe005_1a";0;2;0;0;NA;1;4000;11;23,59;24,1;0,510000000000002;1,25;"E88";"";"";NA;NA;NA;" STRA x BUSNA ";" dom x mus ";"STRA_BUSNA";" SY ";6346;55;" BUSNA ";" SY ";6111;60;"2018-03-07";2;5;"2";"3";" EX ";658;" M ";" F1 ";" 1M ";"7.96";10,43;" P2 ";NA;NA;" STRA ";" BUSNA ";"hybrids";17,7142857142857;1;" E88 ";"Hybrid";"Hybrid 
(STRA_BUSNA)";"E88";"E.falciformis";0,5;"positive"
"LM0180";"KWY";"Expe005_1a";0;0;0;0;NA;1;0;6;23,66;24,1;0,440000000000001;0,88;"E88";"";"";NA;NA;NA;" STRA x BUSNA ";" dom x mus ";"STRA_BUSNA";" SY ";6346;55;" BUSNA ";" SY ";6111;60;"2018-03-07";2;5;"2";"3";" EX ";658;" M ";" F1 ";" 1M ";"7.96";10,43;" P2 ";NA;NA;" STRA ";" BUSNA ";"hybrids";17,7142857142857;1;" E88 ";"Hybrid";"Hybrid 
(STRA_BUSNA)";"E88";"E.falciformis";0;"negative"
"LM0180";"CGI";"Expe005_1a";30;44;58;48;NA;1;6e+05;8;22,25;24,1;1,85;0,75;"E88";"soft feces";"";NA;NA;NA;" STRA x BUSNA ";" dom x mus ";"STRA_BUSNA";" SY ";6346;55;" BUSNA ";" SY ";6111;60;"2018-03-07";2;5;"2";"3";" EX ";658;" M ";" F1 ";" 1M ";"7.96";10,43;" P2 ";NA;NA;" STRA ";" BUSNA ";"hybrids";17,7142857142857;1;" E88 ";"Hybrid";"Hybrid 
(STRA_BUSNA)";"E88";"E.falciformis";45;"positive"
"LM0180";"QRU";"Expe005_1a";0;0;0;0;NA;1;0;7;23,32;24,1;0,780000000000001;1,01;"E88";"";"";NA;NA;NA;" STRA x BUSNA ";" dom x mus ";"STRA_BUSNA";" SY ";6346;55;" BUSNA ";" SY ";6111;60;"2018-03-07";2;5;"2";"3";" EX ";658;" M ";" F1 ";" 1M ";"7.96";10,43;" P2 ";NA;NA;" STRA ";" BUSNA ";"hybrids";17,7142857142857;1;" E88 ";"Hybrid";"Hybrid 
(STRA_BUSNA)";"E88";"E.falciformis";0;"negative"
"LM0180";"QVZ";"Expe005_1a";19;31;24;21;NA;1;365384,615384615;9;21,69;24,1;2,41;0,65;"E88";"";"";NA;NA;NA;" STRA x BUSNA ";" dom x mus ";"STRA_BUSNA";" SY ";6346;55;" BUSNA ";" SY ";6111;60;"2018-03-07";2;5;"2";"3";" EX ";658;" M ";" F1 ";" 1M ";"7.96";10,43;" P2 ";NA;NA;" STRA ";" BUSNA ";"hybrids";17,7142857142857;1;" E88 ";"Hybrid";"Hybrid 
(STRA_BUSNA)";"E88";"E.falciformis";23,75;"positive"
"LM0180";"MQT";"Expe005_1a";NA;NA;NA;NA;NA;1;NA;2;23,82;24,1;0,280000000000001;0;"E88";"";"";NA;NA;NA;" STRA x BUSNA ";" dom x mus ";"STRA_BUSNA";" SY ";6346;55;" BUSNA ";" SY ";6111;60;"2018-03-07";2;5;"2";"3";" EX ";658;" M ";" F1 ";" 1M ";"7.96";10,43;" P2 ";NA;NA;" STRA ";" BUSNA ";"hybrids";17,7142857142857;1;" E88 ";"Hybrid";"Hybrid 
(STRA_BUSNA)";"E88";"E.falciformis";NA;"na"
"LM0181";"LPT";"Expe005_1a";22;20;25;19;NA;1;2388888,88888889;8;14,81;17,5;2,69;0,09;"E88";"";"";NA;NA;NA;" Buskovice ";" mus ";"BUSNA_BUSNA";" SY ";8209;62;" BUSNA ";" SY ";8208;62;"2018-04-20";1;3;"1";"2";" EX ";871;" M ";"63";" 1M ";"5.61";10,03;" L2 ";NA;NA;" BUSNA ";" BUSNA ";"parents";11,4285714285714;1;" E88 ";"M.m.musculus P";"M.m.musculus P 
(BUSNA_BUSNA)";"E88";"E.falciformis";21,5;"positive"
"LM0181";"AWY";"Expe005_1a";0;0;0;0;NA;1;0;0;17,5;17,5;0;0,93;"E88";"";"";NA;NA;NA;" Buskovice ";" mus ";"BUSNA_BUSNA";" SY ";8209;62;" BUSNA ";" SY ";8208;62;"2018-04-20";1;3;"1";"2";" EX ";871;" M ";"63";" 1M ";"5.61";10,03;" L2 ";NA;NA;" BUSNA ";" BUSNA ";"parents";11,4285714285714;1;" E88 ";"M.m.musculus P";"M.m.musculus P 
(BUSNA_BUSNA)";"E88";"E.falciformis";0;"negative"
"LM0181";"MQR";"Expe005_1a";NA;NA;NA;NA;NA;1;NA;1;18,22;17,5;-0,719999999999999;0;"E88";"";"";NA;NA;NA;" Buskovice ";" mus ";"BUSNA_BUSNA";" SY ";8209;62;" BUSNA ";" SY ";8208;62;"2018-04-20";1;3;"1";"2";" EX ";871;" M ";"63";" 1M ";"5.61";10,03;" L2 ";NA;NA;" BUSNA ";" BUSNA ";"parents";11,4285714285714;1;" E88 ";"M.m.musculus P";"M.m.musculus P 
(BUSNA_BUSNA)";"E88";"E.falciformis";NA;"na"
"LM0181";"HPU";"Expe005_1a";25;21;32;26;NA;1;1130434,7826087;9;14,73;17,5;2,77;0,23;"E88";"";"";NA;NA;NA;" Buskovice ";" mus ";"BUSNA_BUSNA";" SY ";8209;62;" BUSNA ";" SY ";8208;62;"2018-04-20";1;3;"1";"2";" EX ";871;" M ";"63";" 1M ";"5.61";10,03;" L2 ";NA;NA;" BUSNA ";" BUSNA ";"parents";11,4285714285714;1;" E88 ";"M.m.musculus P";"M.m.musculus P 
(BUSNA_BUSNA)";"E88";"E.falciformis";26;"positive"
"LM0181";"CGH";"Expe005_1a";3;1;1;0;NA;1;59523,8095238095;11;14,41;17,5;3,09;0,21;"E88";"";"";NA;NA;NA;" Buskovice ";" mus ";"BUSNA_BUSNA";" SY ";8209;62;" BUSNA ";" SY ";8208;62;"2018-04-20";1;3;"1";"2";" EX ";871;" M ";"63";" 1M ";"5.61";10,03;" L2 ";NA;NA;" BUSNA ";" BUSNA ";"parents";11,4285714285714;1;" E88 ";"M.m.musculus P";"M.m.musculus P 
(BUSNA_BUSNA)";"E88";"E.falciformis";1,25;"positive"
"LM0181";"INV";"Expe005_1a";0;1;0;2;NA;1;8064,51612903226;7;16,03;17,5;1,47;0,93;"E88";"";"";NA;NA;NA;" Buskovice ";" mus ";"BUSNA_BUSNA";" SY ";8209;62;" BUSNA ";" SY ";8208;62;"2018-04-20";1;3;"1";"2";" EX ";871;" M ";"63";" 1M ";"5.61";10,03;" L2 ";NA;NA;" BUSNA ";" BUSNA ";"parents";11,4285714285714;1;" E88 ";"M.m.musculus P";"M.m.musculus P 
(BUSNA_BUSNA)";"E88";"E.falciformis";0,75;"positive"
"LM0181";"BCS";"Expe005_1a";13;5;8;15;NA;1;301470,588235294;10;14,5;17,5;3;0,34;"E88";"";"";NA;NA;NA;" Buskovice ";" mus ";"BUSNA_BUSNA";" SY ";8209;62;" BUSNA ";" SY ";8208;62;"2018-04-20";1;3;"1";"2";" EX ";871;" M ";"63";" 1M ";"5.61";10,03;" L2 ";NA;NA;" BUSNA ";" BUSNA ";"parents";11,4285714285714;1;" E88 ";"M.m.musculus P";"M.m.musculus P 
(BUSNA_BUSNA)";"E88";"E.falciformis";10,25;"positive"
"LM0181";"KMS";"Expe005_1a";0;0;0;0;NA;1;0;5;16,91;17,5;0,59;1,28;"E88";"";"";NA;NA;NA;" Buskovice ";" mus ";"BUSNA_BUSNA";" SY ";8209;62;" BUSNA ";" SY ";8208;62;"2018-04-20";1;3;"1";"2";" EX ";871;" M ";"63";" 1M ";"5.61";10,03;" L2 ";NA;NA;" BUSNA ";" BUSNA ";"parents";11,4285714285714;1;" E88 ";"M.m.musculus P";"M.m.musculus P 
(BUSNA_BUSNA)";"E88";"E.falciformis";0;"negative"
"LM0181";"JLY";"Expe005_1a";0;0;0;0;NA;1;0;6;17,48;17,5;0,0199999999999996;0,87;"E88";"";"";NA;NA;NA;" Buskovice ";" mus ";"BUSNA_BUSNA";" SY ";8209;62;" BUSNA ";" SY ";8208;62;"2018-04-20";1;3;"1";"2";" EX ";871;" M ";"63";" 1M ";"5.61";10,03;" L2 ";NA;NA;" BUSNA ";" BUSNA ";"parents";11,4285714285714;1;" E88 ";"M.m.musculus P";"M.m.musculus P 
(BUSNA_BUSNA)";"E88";"E.falciformis";0;"negative"
"LM0181";"IRX";"Expe005_1a";NA;NA;NA;NA;NA;1;NA;2;17,78;17,5;-0,280000000000001;0;"E88";"";"";NA;NA;NA;" Buskovice ";" mus ";"BUSNA_BUSNA";" SY ";8209;62;" BUSNA ";" SY ";8208;62;"2018-04-20";1;3;"1";"2";" EX ";871;" M ";"63";" 1M ";"5.61";10,03;" L2 ";NA;NA;" BUSNA ";" BUSNA ";"parents";11,4285714285714;1;" E88 ";"M.m.musculus P";"M.m.musculus P 
(BUSNA_BUSNA)";"E88";"E.falciformis";NA;"na"
"LM0181";"QTW";"Expe005_1a";NA;NA;NA;NA;NA;1;NA;3;17,41;17,5;0,0899999999999999;0;"E88";"";"";NA;NA;NA;" Buskovice ";" mus ";"BUSNA_BUSNA";" SY ";8209;62;" BUSNA ";" SY ";8208;62;"2018-04-20";1;3;"1";"2";" EX ";871;" M ";"63";" 1M ";"5.61";10,03;" L2 ";NA;NA;" BUSNA ";" BUSNA ";"parents";11,4285714285714;1;" E88 ";"M.m.musculus P";"M.m.musculus P 
(BUSNA_BUSNA)";"E88";"E.falciformis";NA;"na"
"LM0181";"PSY";"Expe005_1a";0;0;0;0;NA;1;0;4;17,65;17,5;-0,149999999999999;1,18;"E88";"";"";NA;NA;NA;" Buskovice ";" mus ";"BUSNA_BUSNA";" SY ";8209;62;" BUSNA ";" SY ";8208;62;"2018-04-20";1;3;"1";"2";" EX ";871;" M ";"63";" 1M ";"5.61";10,03;" L2 ";NA;NA;" BUSNA ";" BUSNA ";"parents";11,4285714285714;1;" E88 ";"M.m.musculus P";"M.m.musculus P 
(BUSNA_BUSNA)";"E88";"E.falciformis";0;"negative"
"LM0182";"ESV";"Expe005_1a";NA;NA;NA;NA;NA;1;NA;1;17,48;16,94;-0,539999999999999;0;"E88";"";"";NA;NA;NA;" SCHUNT x PWD ";" dom x mus ";"SCHUNT_PWD";" SY ";6904;37;" PWD ";" SY ";5342;42;"2018-03-23";1;7;"5";"2";" EX ";720;" M ";" F1 ";" 1M ";"5.75";10,17;" P2 ";NA;NA;" SCHUNT ";" PWD ";"hybrids";15,4285714285714;1;" E88 ";"Hybrid";"Hybrid 
(SCHUNT_PWD)";"E88";"E.falciformis";NA;"na"
"LM0182";"CLT";"Expe005_1a";0;0;0;0;NA;1;0;0;16,94;16,94;0;1,09;"E88";"";"";NA;NA;NA;" SCHUNT x PWD ";" dom x mus ";"SCHUNT_PWD";" SY ";6904;37;" PWD ";" SY ";5342;42;"2018-03-23";1;7;"5";"2";" EX ";720;" M ";" F1 ";" 1M ";"5.75";10,17;" P2 ";NA;NA;" SCHUNT ";" PWD ";"hybrids";15,4285714285714;1;" E88 ";"Hybrid";"Hybrid 
(SCHUNT_PWD)";"E88";"E.falciformis";0;"negative"
"LM0182";"JMY";"Expe005_1a";0;0;0;0;NA;1;0;5;17,37;16,94;-0,43;2,51;"E88";"";"";NA;NA;NA;" SCHUNT x PWD ";" dom x mus ";"SCHUNT_PWD";" SY ";6904;37;" PWD ";" SY ";5342;42;"2018-03-23";1;7;"5";"2";" EX ";720;" M ";" F1 ";" 1M ";"5.75";10,17;" P2 ";NA;NA;" SCHUNT ";" PWD ";"hybrids";15,4285714285714;1;" E88 ";"Hybrid";"Hybrid 
(SCHUNT_PWD)";"E88";"E.falciformis";0;"negative"
"LM0182";"ACW";"Expe005_1a";7;12;20;12;NA;1;102822,580645161;8;18,18;16,94;-1,24;1,24;"E88";"";"";NA;NA;NA;" SCHUNT x PWD ";" dom x mus ";"SCHUNT_PWD";" SY ";6904;37;" PWD ";" SY ";5342;42;"2018-03-23";1;7;"5";"2";" EX ";720;" M ";" F1 ";" 1M ";"5.75";10,17;" P2 ";NA;NA;" SCHUNT ";" PWD ";"hybrids";15,4285714285714;1;" E88 ";"Hybrid";"Hybrid 
(SCHUNT_PWD)";"E88";"E.falciformis";12,75;"positive"
"LM0182";"DMZ";"Expe005_1a";4;7;7;11;NA;1;54924,2424242424;10;17,61;16,94;-0,669999999999998;1,32;"E88";"";"";NA;NA;NA;" SCHUNT x PWD ";" dom x mus ";"SCHUNT_PWD";" SY ";6904;37;" PWD ";" SY ";5342;42;"2018-03-23";1;7;"5";"2";" EX ";720;" M ";" F1 ";" 1M ";"5.75";10,17;" P2 ";NA;NA;" SCHUNT ";" PWD ";"hybrids";15,4285714285714;1;" E88 ";"Hybrid";"Hybrid 
(SCHUNT_PWD)";"E88";"E.falciformis";7,25;"positive"
"LM0182";"ABD";"Expe005_1a";0;0;0;0;NA;1;0;4;17,35;16,94;-0,41;1,14;"E88";"";"";NA;NA;NA;" SCHUNT x PWD ";" dom x mus ";"SCHUNT_PWD";" SY ";6904;37;" PWD ";" SY ";5342;42;"2018-03-23";1;7;"5";"2";" EX ";720;" M ";" F1 ";" 1M ";"5.75";10,17;" P2 ";NA;NA;" SCHUNT ";" PWD ";"hybrids";15,4285714285714;1;" E88 ";"Hybrid";"Hybrid 
(SCHUNT_PWD)";"E88";"E.falciformis";0;"negative"
"LM0182";"FSW";"Expe005_1a";0;0;0;0;NA;1;0;7;17,37;16,94;-0,43;1,61;"E88";"";"";NA;NA;NA;" SCHUNT x PWD ";" dom x mus ";"SCHUNT_PWD";" SY ";6904;37;" PWD ";" SY ";5342;42;"2018-03-23";1;7;"5";"2";" EX ";720;" M ";" F1 ";" 1M ";"5.75";10,17;" P2 ";NA;NA;" SCHUNT ";" PWD ";"hybrids";15,4285714285714;1;" E88 ";"Hybrid";"Hybrid 
(SCHUNT_PWD)";"E88";"E.falciformis";0;"negative"
"LM0182";"HNX";"Expe005_1a";0;0;2;1;NA;1;5244,75524475525;11;18,09;16,94;-1,15;1,43;"E88";"";"";NA;NA;NA;" SCHUNT x PWD ";" dom x mus ";"SCHUNT_PWD";" SY ";6904;37;" PWD ";" SY ";5342;42;"2018-03-23";1;7;"5";"2";" EX ";720;" M ";" F1 ";" 1M ";"5.75";10,17;" P2 ";NA;NA;" SCHUNT ";" PWD ";"hybrids";15,4285714285714;1;" E88 ";"Hybrid";"Hybrid 
(SCHUNT_PWD)";"E88";"E.falciformis";0,75;"positive"
"LM0182";"BOR";"Expe005_1a";NA;NA;NA;NA;NA;1;NA;2;17,45;16,94;-0,509999999999998;0;"E88";"";"";NA;NA;NA;" SCHUNT x PWD ";" dom x mus ";"SCHUNT_PWD";" SY ";6904;37;" PWD ";" SY ";5342;42;"2018-03-23";1;7;"5";"2";" EX ";720;" M ";" F1 ";" 1M ";"5.75";10,17;" P2 ";NA;NA;" SCHUNT ";" PWD ";"hybrids";15,4285714285714;1;" E88 ";"Hybrid";"Hybrid 
(SCHUNT_PWD)";"E88";"E.falciformis";NA;"na"
"LM0182";"JSW";"Expe005_1a";49;39;23;37;NA;1;243421,052631579;9;17,98;16,94;-1,04;1,52;"E88";"";"";NA;NA;NA;" SCHUNT x PWD ";" dom x mus ";"SCHUNT_PWD";" SY ";6904;37;" PWD ";" SY ";5342;42;"2018-03-23";1;7;"5";"2";" EX ";720;" M ";" F1 ";" 1M ";"5.75";10,17;" P2 ";NA;NA;" SCHUNT ";" PWD ";"hybrids";15,4285714285714;1;" E88 ";"Hybrid";"Hybrid 
(SCHUNT_PWD)";"E88";"E.falciformis";37;"positive"
"LM0182";"JRS";"Expe005_1a";0;0;0;0;NA;1;0;6;17,72;16,94;-0,779999999999998;0,96;"E88";"";"";NA;NA;NA;" SCHUNT x PWD ";" dom x mus ";"SCHUNT_PWD";" SY ";6904;37;" PWD ";" SY ";5342;42;"2018-03-23";1;7;"5";"2";" EX ";720;" M ";" F1 ";" 1M ";"5.75";10,17;" P2 ";NA;NA;" SCHUNT ";" PWD ";"hybrids";15,4285714285714;1;" E88 ";"Hybrid";"Hybrid 
(SCHUNT_PWD)";"E88";"E.falciformis";0;"negative"
