EH_ID,dpi,weight,weight_dpi0,faeces_weight,wloss,labels,day_change
LM_0348,10,NA,44.4,NA,#VALUE!,OWL,#VALUE!
LM_0349,10,NA,50.5,NA,#VALUE!,DIW,#VALUE!
LM_0350,10,NA,54.5,NA,#VALUE!,GWH,#VALUE!
LM_0351,10,NA,43.6,NA,#VALUE!,HDF,#VALUE!
LM_0352,10,40.8,40.6,2.39,100.492610837438,XIJ,1.62561576354678
LM_0353,10,41.47,45.1,3.04,91.9512195121951,EBU,1.50776053215077
LM_0354,10,41.57,45,3.22,92.3777777777778,DYG,-1.15555555555557
LM_0355,10,44.52,43.9,2.32,101.412300683371,CPK,-0.136674259681101
LM_0356,10,35.87,40.7,1.41,88.1326781326781,MMF,3.24324324324324
LM_0357,10,34.55,42.8,0.12,80.7242990654206,YSZ,1.00467289719626
LM_0358,10,39.37,49.5,0.9,79.5353535353535,RHX,3.49494949494948
LM_0359,10,39.74,46.7,1.59,85.0963597430407,XYX,-1.13490364025697
LM_0360,10,NA,42.1,NA,#VALUE!,ECQ,#VALUE!
LM_0361,10,40.04,46.1,3.47,86.8546637744035,ZRL,1.47505422993493
LM_0362,10,36.62,51.1,0.23,71.6634050880626,BGC,-2.5440313111546
LM_0363,10,41.13,46.7,2.1,88.0728051391863,DAQ,2.26980728051393
LM_0364,10,44.51,41.6,1.7,106.995192307692,RFT,1.65865384615384
LM_0365,10,57.82,59.2,3.13,97.6689189189189,JRE,-0.996621621621628
LM_0366,10,44.88,48.1,2.23,93.3056133056133,VLF,-0.29106029106029
LM_0367,10,46.57,49.6,1.31,93.8911290322581,IJQ,0.040322580645182
LM_0348,11,NA,44.4,NA,#VALUE!,LSL,#VALUE!
LM_0349,11,NA,50.5,NA,#VALUE!,UYW,#VALUE!
LM_0350,11,NA,54.5,NA,#VALUE!,BDZ,#VALUE!
LM_0351,11,NA,43.6,NA,#VALUE!,MHC,#VALUE!
LM_0352,11,40.76,40.6,2.09,100.394088669951,KUB,-0.098522167487687
LM_0353,11,41.23,45.1,2.03,91.4190687361419,HRY,-0.532150776053214
LM_0354,11,42.05,45,1.98,93.4444444444445,GZU,1.06666666666666
LM_0355,11,45.33,43.9,1.6,103.257403189066,GFH,1.84510250569477
LM_0356,11,37.51,40.7,2.17,92.1621621621621,NDH,4.02948402948402
LM_0357,11,34.71,42.8,1.74,81.0981308411215,QMF,0.37383177570095
LM_0358,11,39.94,49.5,2.22,80.6868686868687,ZCB,1.15151515151516
LM_0359,11,40.96,46.7,2.2,87.7087794432548,EER,2.61241970021413
LM_0360,11,NA,42.1,NA,#VALUE!,HGF,#VALUE!
LM_0361,11,40.68,46.1,2.11,88.2429501084599,IJW,1.3882863340564
LM_0362,11,NA,51.1,NA,#VALUE!,EUW,#VALUE!
LM_0363,11,41.75,46.7,1.76,89.4004282655246,PVF,1.32762312633832
LM_0364,11,43.76,41.6,2.09,105.192307692308,PWL,-1.80288461538461
LM_0365,11,57.91,59.2,1.64,97.8209459459459,KPL,0.152027027027032
LM_0366,11,44.75,48.1,2.6,93.035343035343,XTX,-0.270270270270274
LM_0367,11,45.94,49.6,1.59,92.6209677419355,KFE,-1.27016129032259
