Pos	Name	Ct SYBR	Ct Mean SYBR	Ct Dev. SYBR	Amount SYBR [Copies]	Amount Mean SYBR	Amount Dev. SYBR	Target SYBR
C12	LM0289	21,93	22,57	0,95	1,00			mouse
D1	LM0283	33,55	34,38	0,72	1,00			eimeria
D2	LM0283	34,84	34,38	0,72	1,00			eimeria
D3	LM0283	34,76	34,38	0,72	1,00			eimeria
D4	LM0283	23,76	23,81	0,07	1,00			mouse
D5	LM0283	23,79	23,81	0,07	1,00			mouse
D6	LM0283	23,88	23,81	0,07	1,00			mouse
D7	LM0292	31,30	31,02	0,91	1,00			eimeria
D8	LM0292	30,01	31,02	0,91	1,00			eimeria
D9	LM0292	31,75	31,02	0,91	1,00			eimeria
D10	LM0292	25,05	23,05	1,73	1,00			mouse
D11	LM0292	22,12	23,05	1,73	1,00			mouse
D12	LM0292	21,98	23,05	1,73	1,00			mouse
E1	LM0276	35,19	34,76	0,39	1,00			eimeria
E2	LM0276	34,67	34,76	0,39	1,00			eimeria
E3	LM0276	34,43	34,76	0,39	1,00			eimeria
E4	LM0276	24,11	24,15	0,37	1,00			mouse
E5	LM0276	24,53	24,15	0,37	1,00			mouse
E6	LM0276	23,80	24,15	0,37	1,00			mouse
E7	LM0293	32,47	32,53	0,05	1,00			eimeria
E8	LM0293	32,56	32,53	0,05	1,00			eimeria
E9	LM0293	32,56	32,53	0,05	1,00			eimeria
E10	LM0293	35,68	27,51	7,08	1,00			mouse
E11	LM0293	23,84	27,51	7,08	1,00			mouse
E12	LM0293	23,01	27,51	7,08	1,00			mouse
F1	LM0275	18,25	17,60	1,05	1,00			eimeria
F2	LM0275	16,38	17,60	1,05	1,00			eimeria
F3	LM0275	18,15	17,60	1,05	1,00			eimeria
F4	LM0275	21,69	21,74	0,11	1,00			mouse
F5	LM0275	21,67	21,74	0,11	1,00			mouse
F6	LM0275	21,87	21,74	0,11	1,00			mouse
F7	LM0263	30,01	30,75	0,65	1,00			eimeria
F8	LM0263	30,99	30,75	0,65	1,00			eimeria
F9	LM0263	31,25	30,75	0,65	1,00			eimeria
F10	LM0263	24,82	22,37	2,13	1,00			mouse
