labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,dilution
BLQ,0,0,0,0,2
BMO,0,0,0,0,2
BMP,0,0,0,0,2
BNX,25,22,21,32,1
BNZ,0,0,0,0,2
BOT,18,21,26,33,1
BOY,0,0,0,0,2
BPU,31,18,17,51,2
BQS,0,0,0,0,2
BQZ,1,0,1,0,2
BUX,0,0,0,0,2
BVX,109,99,121,106,1.5
CDZ,0,0,0,0,2
CEJ,0,0,0,0,2
CEL,0,0,0,0,2
CER,NA,NA,NA,NA,NA
CEV,0,0,0,0,1
CEX,0,0,0,0,2
CEZ,41,31,42,46,1
CFJ,1,0,0,0,2
CFN,0,0,0,0,2
CFR,0,0,0,0,2
CFT,3,11,6,9,1
CFV,3,9,8,8,1
CGI,21,22,37,26,1
CGN,2,0,1,0,2
CGO,0,0,0,0,2
CGY,0,0,0,0,2
CHI,0,0,0,0,2
CHR,0,0,0,0,2
CHV,0,0,0,0,2
CHX,0,0,0,0,2
CIJ,1,5,4,3,1
CIL,0,0,0,0,2
CIV,0,0,0,0,2
CJO,8,7,7,6,2
CJV,0,0,0,1,1
CJW,0,0,0,2,2
CJX,0,1,0,0,2
CLR,14,4,5,8,1
CLV,0,0,0,0,2
CMO,8,6,2,9,2
COP,0,0,0,0,2
COQ,17,28,21,32,1
COT,7,8,10,4,2
CPT,3,0,3,3,2
CPV,38,48,44,37,1
CQR,13,17,20,15,2
CQT,108,61,107,65,2
CRX,0,0,0,0,2
CRY,0,0,0,0,2
CTU,0,0,0,0,2
CTW,17,12,7,17,2
CTY,38,45,35,29,2
DEK,6,4,0,1,2
DEO,0,0,0,0,2
DEU,0,0,0,0,2
DFL,0,0,0,0,2
DFM,0,0,0,0,2
DFR,0,0,0,0,2
DFT,11,12,8,4,2
DFU,10,8,5,8,2
DFV,0,0,0,0,2
DFW,0,0,0,0,1
DGJ,2,0,0,0,1
DGL,NA,NA,NA,NA,NA
DGM,0,0,0,0,1
DGQ,0,0,0,0,2
DGT,2,0,3,0,2
DGW,0,0,0,0,2
DHJ,0,0,0,0,2
DHK,0,0,0,0,2
DHM,3,1,1,1,2
DHN,33,55,45,45,2
DIN,9,5,7,11,1
DJX,0,1,1,0,2
DJY,3,5,3,5,1
DKO,0,0,0,0,2
DKP,0,0,0,0,2
DMR,0,0,0,0,2
DMS,79,88,65,79,2
DMU,0,0,0,0,3
DNW,0,0,0,0,2
DNY,81,62,76,68,2
DPX,0,0,0,0,2
DQV,NA,NA,NA,NA,NA
DRW,0,0,0,1,2
DSU,NA,NA,NA,NA,NA
DTU,2,5,1,4,2
DTX,1,0,0,0,2
DVX,0,0,0,0,2
DWY,NA,NA,NA,NA,NA
EFO,0,0,0,0,2
EFQ,0,0,0,0,2
EGI,0,0,0,0,2
EGO,1,4,4,1,2
EGW,0,0,0,0,2
EHI,0,0,0,0,2
EHP,0,0,0,0,2
EHR,0,0,0,0,2
EHV,24,22,27,31,1
EIN,1,0,0,0,2
EIT,0,0,0,0,2
EIX,NA,NA,NA,NA,NA
EJT,7,5,6,7,1
EJU,NA,NA,NA,NA,NA
EKQ,2,0,0,1,1
EKS,5,1,2,5,1
EKT,NA,NA,NA,NA,NA
ELO,0,0,0,0,2
ELQ,3,0,1,1,2
ELZ,1,0,0,0,1
EMP,3,0,6,2,2
EMT,0,0,0,0,2
EMU,0,0,0,0,2
EOR,0,0,0,0,2
EOW,3,3,3,1,1
EPT,0,0,0,0,2
EPX,NA,NA,NA,NA,NA
EQT,46,33,42,35,2
EQV,47,40,39,46,2
ESX,0,0,0,0,2
EVW,13,7,12,22,1
EVY,0,0,0,0,2
EWY,1,10,3,2,2
EXY,0,0,0,0,2
FGT,1,1,0,1,1
FGV,14,20,8,15,1
FGX,78,78,99,109,1
FHM,1,5,1,3,1
FHR,0,0,0,0,2
FHZ,2,2,2,6,2
FIT,0,0,0,0,2
FIZ,0,0,0,0,2
FJN,0,0,0,0,2
FKW,18,12,11,15,1
FKX,0,0,0,0,2
FLZ,0,0,0,0,2
FMO,0,0,0,0,2
FMP,22,19,26,23,1
FMQ,0,0,0,0,2
FNQ,0,0,0,0,2
FNR,2,0,0,0,2
FNT,0,0,0,0,2
FOV,0,0,0,0,2
FOW,0,0,0,0,2
FOZ,0,0,0,0,2
FPR,0,0,0,0,2
FPV,13,21,22,29,1
FRZ,0,0,0,0,2
FTV,0,0,0,0,2
FTZ,3,1,1,2,1
FYZ,0,0,0,0,2
GHL,0,0,0,0,2
GHR,1,0,0,2,1
GHY,0,0,0,0,2
GIQ,0,0,0,0,2
GIS,33,20,22,28,2
GJM,0,0,0,0,2
GKP,NA,NA,NA,NA,NA
GKT,0,0,0,0,2
GKX,0,0,0,0,2
GLU,0,0,0,0,1
GMO,0,0,0,0,2
GMV,4,8,5,1,1
GMX,0,0,0,0,2
GNW,NA,NA,NA,NA,NA
GOU,0,0,0,0,2
GOV,NA,NA,NA,NA,NA
GOW,45,40,35,29,2
GQR,0,0,0,0,2
GRV,0,0,0,0,2
GSW,NA,NA,NA,NA,NA
GSY,0,0,0,0,2
GSZ,98,104,86,97,1
GTW,19,11,15,17,2
GTX,2,3,8,8,1
GUY,0,0,0,0,2
GVX,0,0,0,0,1
GWX,1,0,0,0,2
HIQ,1,0,0,0,2
HIR,0,0,0,0,2
HIX,0,0,0,0,2
HJK,0,0,0,0,2
HJL,0,0,0,0,2
HJN,54,46,46,51,1
HJZ,0,0,0,0,2
HKM,0,0,0,0,2
HKT,0,0,0,0,2
HKX,0,0,0,0,2
HLN,0,0,0,0,2
HLX,0,0,0,0,2
HMS,0,0,0,0,2
HMW,0,0,0,0,2
HNS,0,0,0,0,2
HNW,19,27,18,27,2
HOU,13,15,11,12,2
HQT,0,0,1,1,2
HQV,0,0,0,1,2
HQZ,NA,NA,NA,NA,NA
HRU,2,4,5,3,2
HRX,0,0,0,0,2
HSV,0,0,0,0,2
HTX,40,33,51,33,2
HUW,0,0,0,0,2
HVW,0,0,0,0,2
HWY,0,0,0,0,2
IJP,0,0,0,0,2
IJS,0,0,0,0,1
IKM,25,17,18,18,1
IKN,0,0,0,0,2
IKQ,0,0,0,0,2
IKX,0,0,0,0,2
ILM,0,0,0,0,2
ILO,0,0,0,0,2
ILS,0,0,0,0,2
ILY,0,1,0,0,2
IMP,18,23,35,28,2
IMQ,0,0,0,0,2
IMS,46,37,34,50,2
IMU,4,1,3,2,1
IMV,0,0,0,0,2
IMX,0,0,0,0,2
INV,36,41,30,43,1
INW,65,49,60,55,1
IOT,0,0,0,0,2
IOW,0,0,0,0,2
IQZ,0,0,0,2,2
ISU,55,50,54,40,1
ISY,0,0,0,0,2
ITV,51,68,35,42,2
IXZ,40,11,18,26,2
JKM,0,0,0,0,2
JKQ,1,0,0,0,2
JKT,7,5,8,6,2
JKZ,0,0,1,0,2
JLV,0,0,0,0,2
JLW,5,11,7,14,1
JLZ,1,0,0,3,2
JMQ,NA,NA,NA,NA,NA
JMT,7,12,15,9,1
JMX,0,0,0,0,2
JNU,3,4,4,2,1
JPR,0,0,0,0,2
JQT,0,0,0,0,2
JQW,1,0,0,0,2
JRT,111,117,81,101,2
JSY,0,0,0,0,2
JTY,0,0,0,0,2
JUZ,0,0,0,0,2
JWY,NA,NA,NA,NA,NA
JWZ,0,0,0,0,2
JYZ,0,0,0,0,2
KOZ,1,0,0,1,2
KPT,0,1,0,0,2
KQV,41,31,30,42,1.5
KQW,0,0,0,0,2
KRT,0,0,0,0,2
KRU,1,2,1,1,2
KRW,NA,NA,NA,NA,NA
KRX,0,0,0,0,2
KSY,7,7,5,5,2
KSZ,0,0,0,0,2
KWY,0,0,0,0,2
LNP,0,0,0,0,2
LNR,0,0,0,0,2
LNS,0,0,0,0,2
LNZ,4,4,1,4,1
LOR,0,0,0,0,2
LOW,0,0,0,0,2
LPZ,0,0,1,0,2
LQS,26,17,22,36,2
LRT,66,50,64,50,2
LRU,0,0,0,0,2
LRV,18,18,23,18,1
LST,0,0,0,0,2
LSZ,0,0,0,0,2
LVW,NA,NA,NA,NA,NA
LXY,0,0,0,0,2
MNU,0,0,0,0,2
MNW,37,43,43,36,1
MQU,NA,NA,NA,NA,NA
MRU,8,6,4,8,1
MSX,3,5,4,7,1
MTU,0,0,0,0,2
MVZ,54,58,54,45,2
MWX,0,0,0,0,2
MXY,NA,NA,NA,NA,NA
NOP,18,17,14,13,2
NPQ,0,0,0,0,2
NPS,0,0,0,0,2
NPT,10,11,14,5,1
NPY,58,80,66,71,1
NRZ,1,0,0,0,2
NSZ,13,28,27,24,1
NUW,5,10,10,3,2
NUZ,0,0,0,0,2
OPQ,5,5,4,3,1
OPT,0,0,0,0,2
OQT,0,0,0,0,2
OQV,0,0,0,0,2
ORU,NA,NA,NA,NA,NA
ORY,0,0,0,0,2
OSZ,0,0,0,0,2
PQY,27,14,24,16,2
PRX,5,11,12,10,2
PST,0,0,0,0,2
PTU,0,0,0,0,2
PUZ,0,0,0,0,2
PVW,0,0,0,0,2
PVX,0,0,0,0,2
PVY,NA,NA,NA,NA,NA
PVZ,15,11,21,20,1
PWX,0,0,0,0,2
QUV,0,0,1,0,2
QVY,0,0,0,0,2
QXY,1,1,4,2,2
RST,0,0,0,0,1
RSY,0,0,0,0,2
RUZ,0,0,0,0,2
SUY,28,27,24,25,2
TUZ,24,27,25,26,3
TVW,0,0,0,0,2
TWX,1,0,0,0,2
UVY,0,0,0,1,2
WXY,0,0,0,0,2
WYZ,0,0,0,0,1
