"","EH_ID","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi"
"1119","LM0263","JUW","E5",NA,18.47,"#VALUE!",1.67,9
"1120","LM0264","BPZ","E5",NA,17.69,"#VALUE!",1.1,9
"1121","LM0265","BER","E5",NA,23.29,"#VALUE!",1.39,9
"1122","LM0266","CEI","E5",NA,18.04,"#VALUE!",0,9
"1123","LM0267","BFT","E5",NA,26.73,"#VALUE!",0.57,9
"1124","LM0268","ARW","E5",NA,18.01,"#VALUE!",0.78,9
"1125","LM0269","DHL","E5",NA,20.09,"#VALUE!",0,9
"1126","LM0270","FKR","E5",NA,19.14,"#VALUE!",0,9
"1127","LM0271","ADM","E5",NA,21.28,"#VALUE!",0,9
"1128","LM0272","AMN","E5",NA,16.13,"#VALUE!",1,9
"1129","LM0273","HWX","E5",NA,18.66,"#VALUE!",0,9
"1130","LM0274","DJY","E5",NA,24.65,"#VALUE!",2.04,9
"1131","LM0275","DHT","E5",NA,19.4,"#VALUE!",2.71,9
"1132","LM0276","LVX","E5",NA,24.31,"#VALUE!",2.41,9
"1133","LM0277","DVX","E5",NA,19.36,"#VALUE!",1.45,9
"1134","LM0278","MUY","E5",NA,17.54,"#VALUE!",0,9
"1135","LM0279","JXY","E5",NA,13.43,"#VALUE!",1.67,9
"1136","LM0280","BKO","E5",NA,16.32,"#VALUE!",1.95,9
"1137","LM0281","ABF","E5",NA,14.41,"#VALUE!",0,9
"1138","LM0282","AQT","E5",NA,24.32,"#VALUE!",1.47,9
"1139","LM0283","HOT","E5",NA,15.15,"#VALUE!",0,9
"1140","LM0284","DHO","E5",NA,21.53,"#VALUE!",1.67,9
"1141","LM0285","EIS","E5",NA,15.92,"#VALUE!",0,9
"1142","LM0286","GMU","E5",NA,15.42,"#VALUE!",0,9
"1143","LM0287","GKO","E5",NA,19.81,"#VALUE!",0,9
"1144","LM0288","IPX","E5",NA,17.29,"#VALUE!",0.89,9
"1145","LM0289","MNX","E5",NA,19.44,"#VALUE!",0,9
"1146","LM0291","GTZ","E5",NA,16.53,"#VALUE!",0,9
"1147","LM0292","EGK","E5",NA,20.56,"#VALUE!",0,9
"1148","LM0293","EQX","E5",NA,16.94,"#VALUE!",1.18,9
"1149","LM0294","NVY","E5",NA,13.66,"#VALUE!",0.96,9
"1150","LM0295","AVW","E5",NA,17.12,"#VALUE!",1.63,9
"1151","LM0179","BLZ","E5",18.25,18.93,"96.4078182778658",0.61,10
"1152","LM0180","DPT","E5",22.61,24.1,"93.8174273858921",1.4,10
"1153","LM0181","BCS","E5",14.5,17.5,"82.8571428571429",0.9,10
"1154","LM0182","DMZ","E5",17.61,16.94,"103.955135773318",0,10
"1155","LM0183","ABT","E5",16.58,17.08,"97.0725995316159",0,10
"1156","LM0184","BGM","E5",20.56,22.8,"90.1754385964912",0,10
"1157","LM0185","CHR","E5",19.09,20.1,"94.9751243781094",1.75,10
"1158","LM0186","FJK","E5",18.34,18.1,"101.325966850829",0,10
"1159","LM0187","AKP","E5",NA,16.71,"#VALUE!",0,10
"1160","LM0188","CIP","E5",17.03,20.6,"82.6699029126214",0.99,10
"1161","LM0189","AOW","E5",NA,17.03,"#VALUE!",1.71,10
"1162","LM0190","LUW","E5",12.53,15.55,"80.5787781350482",2.2,10
"1163","LM0191","BCY","E5",20.45,21.97,"93.0814747382795",1.21,10
"1164","LM0192","AGL","E5",19.66,21.06,"93.35232668566",0.99,10
"1165","LM0193","RTY","E5",NA,16.4,"#VALUE!",0.88,10
"1166","LM0194","EMX","E5",17.99,20.37,"88.3161512027491",0,10
"1167","LM0195","FTX","E5",17.09,16.88,"101.244075829384",0,10
"1168","LM0196","ABN","E5",20.52,22.5,"91.2",0,10
"1169","LM0197","LYZ","E5",22.65,21.35,"106.088992974239",0.89,10
"1170","LM0198","RXZ","E5",15.17,17.65,"85.9490084985836",0,10
"1171","LM0199","ACJ","E5",26.62,26.85,"99.1433891992551",0.5,10
"1172","LM0200","BDN","E5",24.35,22.32,"109.094982078853",0.44,10
"1173","LM0201","ESZ","E5",21.08,21.75,"96.919540229885",0.92,10
"1174","LM0202","DMQ","E5",15.74,17.68,"89.027149321267",0,10
"1175","LM0203","LTY","E5",21.4,20.26,"105.626850937808",0.76,10
"1176","LM0204","MTU","E5",20.22,19.26,"104.984423676012",0,10
"1177","LM0206","FJL","E5",16.22,16.97,"95.5804360636417",0.53,10
"1178","LM0207","EHM","E5",17.61,17.27,"101.968731905038",1.66,10
"1179","LM0208","MTZ","E5",22.87,22.82,"100.219106047327",0,10
"1180","LM0209","ASY","E5",22.55,22.09,"102.08239022182",0,10
"1181","LM0210","EKY","E5",17.84,15.65,"113.993610223642",0.92,10
"1182","LM0211","DKM","E5",17.94,17.42,"102.985074626866",0,10
"1183","LM0212","DIK","E5",20.68,21.58,"95.8294717330862",0.98,10
"1184","LM0213","TUW","E5",15.75,15.39,"102.33918128655",0.61,10
"1185","LM0214","EIJ","E5",28.34,27.43,"103.317535545024",1.19,10
"1186","LM0215","KQY","E5",25.05,23.9,"104.811715481172",0,10
"1187","LM0216","AMT","E5",17.79,18.37,"96.842678279804",0,10
"1188","LM0217","HMZ","E5",19.45,17.74,"109.639233370913",0.67,10
"1189","LM0218","GKS","E5",20.92,20.36,"102.750491159136",0.72,10
"1190","LM0219","DFV","E5",19.4,19,"102.105263157895",1.11,10
"1191","LM0220","BQS","E5",19.72,19.72,"100",1.08,10
"1192","LM0221","KNV","E5",18.72,19.73,"94.8808920425747",0,10
"1193","LM0222","BQX","E5",23.87,23.99,"99.4997915798249",0,10
"1194","LM0223","UXY","E5",22.28,20.73,"107.477086348288",0,10
"1195","LM0224","BNY","E5",19.63,19.21,"102.186361270172",1.41,10
"1196","LM0225","BHY","E5",28.64,28.05,"102.103386809269",1.35,10
"1197","LM0226","DER","E5",15.79,15.16,"104.155672823219",0.58,10
"1198","LM0227","GPR","E5",20.99,20.03,"104.792810783824",1.32,10
"1199","LM0228","ANO","E5",18.66,18.56,"100.538793103448",0,10
"1200","LM0229","ORU","E5",13.83,15.82,"87.4209860935525",0,10
"1201","LM0230","CKO","E5",NA,15.87,"#VALUE!",0.67,10
"1202","LM0231","AOR","E5",16.64,18.71,"88.9363976483164",0.88,10
