Exp_ID,EH_ID,dpi,primary,challenge,labels
P4_012020,LM_0361,3,UNI,E64,
P4_012020,LM_0362,3,UNI,UNI,
P4_012020,LM_0363,3,E88,E88,
P4_012020,LM_0348,4,Eflab,E88,
P4_012020,LM_0349,4,Eflab,E64,
P4_012020,LM_0350,4,Eflab,UNI,
P4_012020,LM_0351,4,E88,E88,
P4_012020,LM_0352,4,E88,E64,
P4_012020,LM_0353,4,E88,UNI,
P4_012020,LM_0354,4,E64,E88,
P4_012020,LM_0355,4,E64,E64,
P4_012020,LM_0356,4,E64,UNI,
P4_012020,LM_0357,4,E139,E88,
P4_012020,LM_0358,4,E139,E64,
P4_012020,LM_0359,4,E139,UNI,
P4_012020,LM_0360,4,UNI,E88,
P4_012020,LM_0361,4,UNI,E64,
P4_012020,LM_0362,4,UNI,UNI,
P4_012020,LM_0363,4,E88,E88,
P4_012020,LM_0348,5,Eflab,E88,
P4_012020,LM_0349,5,Eflab,E64,
P4_012020,LM_0350,5,Eflab,UNI,
P4_012020,LM_0351,5,E88,E88,
P4_012020,LM_0352,5,E88,E64,
P4_012020,LM_0353,5,E88,UNI,
P4_012020,LM_0354,5,E64,E88,
P4_012020,LM_0355,5,E64,E64,
P4_012020,LM_0356,5,E64,UNI,
P4_012020,LM_0357,5,E139,E88,
P4_012020,LM_0358,5,E139,E64,
P4_012020,LM_0359,5,E139,UNI,
P4_012020,LM_0360,5,UNI,E88,
P4_012020,LM_0361,5,UNI,E64,
P4_012020,LM_0362,5,UNI,UNI,
P4_012020,LM_0363,5,E88,E88,
P4_012020,LM_0348,6,Eflab,E88,
P4_012020,LM_0349,6,Eflab,E64,
P4_012020,LM_0350,6,Eflab,UNI,
P4_012020,LM_0351,6,E88,E88,
P4_012020,LM_0352,6,E88,E64,
P4_012020,LM_0353,6,E88,UNI,
P4_012020,LM_0354,6,E64,E88,
P4_012020,LM_0355,6,E64,E64,
P4_012020,LM_0356,6,E64,UNI,
P4_012020,LM_0357,6,E139,E88,
P4_012020,LM_0358,6,E139,E64,
P4_012020,LM_0359,6,E139,UNI,
P4_012020,LM_0360,6,UNI,E88,
P4_012020,LM_0361,6,UNI,E64,
P4_012020,LM_0362,6,UNI,UNI,
P4_012020,LM_0363,6,E88,E88,
P4_012020,LM_0348,7,Eflab,E88,
P4_012020,LM_0349,7,Eflab,E64,
P4_012020,LM_0350,7,Eflab,UNI,
P4_012020,LM_0351,7,E88,E88,
P4_012020,LM_0352,7,E88,E64,
P4_012020,LM_0353,7,E88,UNI,
P4_012020,LM_0354,7,E64,E88,
P4_012020,LM_0355,7,E64,E64,
P4_012020,LM_0356,7,E64,UNI,
P4_012020,LM_0357,7,E139,E88,
P4_012020,LM_0358,7,E139,E64,
P4_012020,LM_0359,7,E139,UNI,
P4_012020,LM_0360,7,UNI,E88,
P4_012020,LM_0361,7,UNI,E64,
P4_012020,LM_0362,7,UNI,UNI,
P4_012020,LM_0363,7,E88,E88,
P4_012020,LM_0348,8,Eflab,E88,
P4_012020,LM_0349,8,Eflab,E64,
P4_012020,LM_0350,8,Eflab,UNI,
P4_012020,LM_0351,8,E88,E88,
P4_012020,LM_0352,8,E88,E64,
P4_012020,LM_0353,8,E88,UNI,
P4_012020,LM_0354,8,E64,E88,
P4_012020,LM_0355,8,E64,E64,
P4_012020,LM_0356,8,E64,UNI,
P4_012020,LM_0357,8,E139,E88,
P4_012020,LM_0358,8,E139,E64,
P4_012020,LM_0359,8,E139,UNI,
P4_012020,LM_0360,8,UNI,E88,
P4_012020,LM_0361,8,UNI,E64,
P4_012020,LM_0362,8,UNI,UNI,
P4_012020,LM_0363,8,E88,E88,
P4_012020,LM_0348,9,Eflab,E88,
P4_012020,LM_0349,9,Eflab,E64,
P4_012020,LM_0350,9,Eflab,UNI,
P4_012020,LM_0351,9,E88,E88,
P4_012020,LM_0352,9,E88,E64,
P4_012020,LM_0353,9,E88,UNI,
P4_012020,LM_0354,9,E64,E88,
P4_012020,LM_0355,9,E64,E64,
P4_012020,LM_0356,9,E64,UNI,
P4_012020,LM_0357,9,E139,E88,
P4_012020,LM_0358,9,E139,E64,
P4_012020,LM_0359,9,E139,UNI,
P4_012020,LM_0360,9,UNI,E88,
P4_012020,LM_0361,9,UNI,E64,
P4_012020,LM_0362,9,UNI,UNI,
P4_012020,LM_0363,9,E88,E88,
P4_012020,LM_0348,10,Eflab,E88,
P4_012020,LM_0349,10,Eflab,E64,
P4_012020,LM_0350,10,Eflab,UNI,
P4_012020,LM_0351,10,E88,E88,
P4_012020,LM_0352,10,E88,E64,
P4_012020,LM_0353,10,E88,UNI,
P4_012020,LM_0354,10,E64,E88,
P4_012020,LM_0355,10,E64,E64,
P4_012020,LM_0356,10,E64,UNI,
P4_012020,LM_0357,10,E139,E88,
P4_012020,LM_0358,10,E139,E64,
P4_012020,LM_0359,10,E139,UNI,
P4_012020,LM_0360,10,UNI,E88,
P4_012020,LM_0361,10,UNI,E64,
P4_012020,LM_0362,10,UNI,UNI,
P4_012020,LM_0363,10,E88,E88,
P4_012020,LM_0348,11,Eflab,E88,
P4_012020,LM_0349,11,Eflab,E64,
P4_012020,LM_0350,11,Eflab,UNI,
P4_012020,LM_0351,11,E88,E88,
P4_012020,LM_0352,11,E88,E64,
P4_012020,LM_0353,11,E88,UNI,
P4_012020,LM_0354,11,E64,E88,
P4_012020,LM_0355,11,E64,E64,
P4_012020,LM_0356,11,E64,UNI,
P4_012020,LM_0357,11,E139,E88,
P4_012020,LM_0358,11,E139,E64,
P4_012020,LM_0359,11,E139,UNI,
P4_012020,LM_0360,11,UNI,E88,
P4_012020,LM_0361,11,UNI,E64,
P4_012020,LM_0362,11,UNI,UNI,
P4_012020,LM_0363,11,E88,E88,
