,EH_ID,dpi,wloss,labels,primary
151,LM_0358,7,NA,SWK,E88
152,LM_0359,7,NA,OZG,E88
153,LM_0360,7,NA,RBY,Eflab
154,LM_0361,7,NA,VCP,Eflab
155,LM_0362,7,NA,KCF,Eflab
156,LM_0363,7,NA,ETW,Eflab
157,LM_0364,7,NA,GEH,UNI
158,LM_0365,7,NA,GAV,UNI
159,LM_0366,7,NA,EOB,UNI
160,LM_0367,7,NA,CXE,UNI
161,LM_0348,8,NA,GCN,E139
162,LM_0349,8,NA,HEA,E139
163,LM_0350,8,NA,GUJ,E139
164,LM_0351,8,NA,KXK,E139
165,LM_0352,8,NA,FDT,E64
166,LM_0353,8,NA,CNF,E64
167,LM_0354,8,NA,FGV,E64
168,LM_0355,8,NA,LWB,E64
169,LM_0356,8,NA,YSI,E88
170,LM_0357,8,NA,BWK,E88
171,LM_0358,8,NA,IVI,E88
172,LM_0359,8,NA,FXB,E88
173,LM_0360,8,NA,IQD,Eflab
174,LM_0361,8,NA,BFV,Eflab
175,LM_0362,8,NA,DTP,Eflab
176,LM_0363,8,NA,CPI,Eflab
177,LM_0364,8,NA,NOU,UNI
178,LM_0365,8,NA,ONQ,UNI
179,LM_0366,8,NA,UAE,UNI
180,LM_0367,8,NA,HQG,UNI
181,LM_0348,9,NA,JKY,E139
182,LM_0349,9,NA,HTT,E139
183,LM_0350,9,NA,DUE,E139
184,LM_0351,9,NA,PRH,E139
185,LM_0352,9,NA,PBX,E64
186,LM_0353,9,NA,NWE,E64
187,LM_0354,9,NA,ENX,E64
188,LM_0355,9,NA,NJL,E64
189,LM_0356,9,NA,EXA,E88
190,LM_0357,9,NA,WYZ,E88
191,LM_0358,9,NA,SNC,E88
192,LM_0359,9,NA,ULF,E88
193,LM_0360,9,NA,SYQ,Eflab
194,LM_0361,9,NA,FTM,Eflab
195,LM_0362,9,NA,PUM,Eflab
196,LM_0363,9,NA,RDV,Eflab
197,LM_0364,9,NA,IJK,UNI
198,LM_0365,9,NA,EDT,UNI
199,LM_0366,9,NA,OWI,UNI
200,LM_0367,9,NA,KBE,UNI
201,LM_0348,10,NA,OWL,E139
202,LM_0349,10,NA,DIW,E139
203,LM_0350,10,NA,GWH,E139
204,LM_0351,10,NA,HDF,E139
205,LM_0352,10,NA,XIJ,E64
206,LM_0353,10,NA,EBU,E64
207,LM_0354,10,NA,DYG,E64
208,LM_0355,10,NA,CPK,E64
209,LM_0356,10,NA,MMF,E88
210,LM_0357,10,NA,YSZ,E88
211,LM_0358,10,NA,RHX,E88
212,LM_0359,10,NA,XYX,E88
213,LM_0360,10,NA,ECQ,Eflab
214,LM_0361,10,NA,ZRL,Eflab
215,LM_0362,10,NA,BGC,Eflab
216,LM_0363,10,NA,DAQ,Eflab
217,LM_0364,10,NA,RFT,UNI
218,LM_0365,10,NA,JRE,UNI
219,LM_0366,10,NA,VLF,UNI
220,LM_0367,10,NA,IJQ,UNI
221,LM_0348,11,NA,LSL,E139
222,LM_0349,11,NA,UYW,E139
223,LM_0350,11,NA,BDZ,E139
224,LM_0351,11,NA,MHC,E139
225,LM_0352,11,NA,KUB,E64
226,LM_0353,11,NA,HRY,E64
227,LM_0354,11,NA,GZU,E64
228,LM_0355,11,NA,GFH,E64
229,LM_0356,11,NA,NDH,E88
230,LM_0357,11,NA,QMF,E88
231,LM_0358,11,NA,ZCB,E88
232,LM_0359,11,NA,EER,E88
233,LM_0360,11,NA,HGF,Eflab
234,LM_0361,11,NA,IJW,Eflab
235,LM_0362,11,NA,EUW,Eflab
236,LM_0363,11,NA,PVF,Eflab
237,LM_0364,11,NA,PWL,UNI
238,LM_0365,11,NA,KPL,UNI
239,LM_0366,11,NA,XTX,UNI
240,LM_0367,11,NA,KFE,UNI
