"","EH_ID","dpi","labels","infection_history","primary","challenge","strain","sex"
"125","LM_0396",4,"E10aCQF","UNI:E64","UNI",NA,"SCHUNT",NA
"126","LM_0397",4,"E10aEVY","UNI:E64","UNI",NA,"PWD",NA
"127","LM_0398",4,"E10aZJS","UNI:E88","UNI",NA,"SCHUNT",NA
"128","LM_0399",4,"E10aSBP","UNI:E88","UNI",NA,"PWD",NA
"129","LM_0368",5,"E10aZGP","E64:E64","E64",NA,"SCHUNT",NA
"130","LM_0369",5,"E10aKSO","E64:E64","E64",NA,"SCHUNT",NA
"131","LM_0370",5,"E10aCNW","E64:E64","E64",NA,"PWD",NA
"132","LM_0371",5,"E10aKBG","E64:E64","E64",NA,"PWD",NA
"133","LM_0372",5,"E10aFZA","E64:E88","E64",NA,"SCHUNT",NA
"134","LM_0373",5,"E10aBXR","E64:E88","E64",NA,"SCHUNT",NA
"135","LM_0374",5,"E10aMFO","E64:E88","E64",NA,"PWD",NA
"136","LM_0375",5,"E10aLEJ","E64:E88","E64",NA,"PWD",NA
"137","LM_0376",5,"E10aGCI","E64:UNI","E64",NA,"SCHUNT",NA
"138","LM_0377",5,"E10aVVZ","E64:UNI","E64",NA,"SCHUNT",NA
"139","LM_0378",5,"E10aLNM","E64:UNI","E64",NA,"PWD",NA
"140","LM_0379",5,"E10aBRI","E64:UNI","E64",NA,"PWD",NA
"141","LM_0380",5,"E10aAOU","E88:E88","E88",NA,"SCHUNT",NA
"142","LM_0381",5,"E10aBAA","E88:E88","E88",NA,"SCHUNT",NA
"143","LM_0382",5,"E10aHVE","E88:E88","E88",NA,"PWD",NA
"144","LM_0383",5,"E10aYQU","E88:E88","E88",NA,"PWD",NA
"145","LM_0384",5,"E10aUFL","E88:E64","E88",NA,"SCHUNT",NA
"146","LM_0385",5,"E10aTJP","E88:E64","E88",NA,"SCHUNT",NA
"147","LM_0386",5,"E10aRNY","E88:E64","E88",NA,"PWD",NA
"148","LM_0387",5,"E10aQCJ","E88:E64","E88",NA,"PWD",NA
"149","LM_0388",5,"E10aUEE","E88:UNI","E88",NA,"SCHUNT",NA
"150","LM_0389",5,"E10aLQI","E88:UNI","E88",NA,"SCHUNT",NA
"151","LM_0390",5,"E10aOHD","E88:UNI","E88",NA,"PWD",NA
"152","LM_0391",5,"E10aZYQ","E88:UNI","E88",NA,"PWD",NA
"153","LM_0392",5,"E10aVWS","UNI:UNI","UNI",NA,"SCHUNT",NA
"154","LM_0393",5,"E10aYSJ","UNI:UNI","UNI",NA,"SCHUNT",NA
"155","LM_0394",5,"E10aMSM","UNI:UNI","UNI",NA,"PWD",NA
"156","LM_0395",5,"E10aDGV","UNI:UNI","UNI",NA,"PWD",NA
"157","LM_0396",5,"E10aSLN","UNI:E64","UNI",NA,"SCHUNT",NA
"158","LM_0397",5,"E10aAHK","UNI:E64","UNI",NA,"PWD",NA
"159","LM_0398",5,"E10aUZZ","UNI:E88","UNI",NA,"SCHUNT",NA
"160","LM_0399",5,"E10aIXJ","UNI:E88","UNI",NA,"PWD",NA
"161","LM_0368",6,"E10aDFW","E64:E64","E64",NA,"SCHUNT",NA
"162","LM_0369",6,"E10aBAM","E64:E64","E64",NA,"SCHUNT",NA
"163","LM_0370",6,"E10aGSN","E64:E64","E64",NA,"PWD",NA
"164","LM_0371",6,"E10aBRN","E64:E64","E64",NA,"PWD",NA
"165","LM_0372",6,"E10aCBO","E64:E88","E64",NA,"SCHUNT",NA
"166","LM_0373",6,"E10aGYP","E64:E88","E64",NA,"SCHUNT",NA
"167","LM_0374",6,"E10aHRM","E64:E88","E64",NA,"PWD",NA
"168","LM_0375",6,"E10aZQX","E64:E88","E64",NA,"PWD",NA
"169","LM_0376",6,"E10aGFV","E64:UNI","E64",NA,"SCHUNT",NA
"170","LM_0377",6,"E10aUZY","E64:UNI","E64",NA,"SCHUNT",NA
"171","LM_0378",6,"E10aSAO","E64:UNI","E64",NA,"PWD",NA
"172","LM_0379",6,"E10aCYC","E64:UNI","E64",NA,"PWD",NA
"173","LM_0380",6,"E10aSDV","E88:E88","E88",NA,"SCHUNT",NA
"174","LM_0381",6,"E10aKXV","E88:E88","E88",NA,"SCHUNT",NA
"175","LM_0382",6,"E10aCDH","E88:E88","E88",NA,"PWD",NA
"176","LM_0383",6,"E10aYFE","E88:E88","E88",NA,"PWD",NA
"177","LM_0384",6,"E10aXBI","E88:E64","E88",NA,"SCHUNT",NA
"178","LM_0385",6,"E10aXOY","E88:E64","E88",NA,"SCHUNT",NA
"179","LM_0386",6,"E10aVEX","E88:E64","E88",NA,"PWD",NA
"180","LM_0387",6,"E10aCXR","E88:E64","E88",NA,"PWD",NA
"181","LM_0388",6,"E10aVPQ","E88:UNI","E88",NA,"SCHUNT",NA
"182","LM_0389",6,"E10aNPL","E88:UNI","E88",NA,"SCHUNT",NA
"183","LM_0390",6,"E10aKJG","E88:UNI","E88",NA,"PWD",NA
"184","LM_0391",6,"E10aNPM","E88:UNI","E88",NA,"PWD",NA
"185","LM_0392",6,"E10aZNH","UNI:UNI","UNI",NA,"SCHUNT",NA
"186","LM_0393",6,"E10aQTG","UNI:UNI","UNI",NA,"SCHUNT",NA
"187","LM_0394",6,"E10aGDN","UNI:UNI","UNI",NA,"PWD",NA
"188","LM_0395",6,"E10aRFH","UNI:UNI","UNI",NA,"PWD",NA
"189","LM_0396",6,"E10aUQM","UNI:E64","UNI",NA,"SCHUNT",NA
"190","LM_0397",6,"E10aWQO","UNI:E64","UNI",NA,"PWD",NA
"191","LM_0398",6,"E10aSOB","UNI:E88","UNI",NA,"SCHUNT",NA
"192","LM_0399",6,"E10aJFX","UNI:E88","UNI",NA,"PWD",NA
"193","LM_0368",7,"E10aYFC","E64:E64","E64",NA,"SCHUNT",NA
"194","LM_0369",7,"E10aVLS","E64:E64","E64",NA,"SCHUNT",NA
"195","LM_0370",7,"E10aRMO","E64:E64","E64",NA,"PWD",NA
"196","LM_0371",7,"E10aNMG","E64:E64","E64",NA,"PWD",NA
"197","LM_0372",7,"E10aWMB","E64:E88","E64",NA,"SCHUNT",NA
"198","LM_0373",7,"E10aIMN","E64:E88","E64",NA,"SCHUNT",NA
"199","LM_0374",7,"E10aPKZ","E64:E88","E64",NA,"PWD",NA
"200","LM_0375",7,"E10aFTF","E64:E88","E64",NA,"PWD",NA
"201","LM_0376",7,"E10aXZZ","E64:UNI","E64",NA,"SCHUNT",NA
"202","LM_0377",7,"E10aJLF","E64:UNI","E64",NA,"SCHUNT",NA
"203","LM_0378",7,"E10aWDM","E64:UNI","E64",NA,"PWD",NA
"204","LM_0379",7,"E10aDEM","E64:UNI","E64",NA,"PWD",NA
"205","LM_0380",7,"E10aJVK","E88:E88","E88",NA,"SCHUNT",NA
"206","LM_0381",7,"E10aJTY","E88:E88","E88",NA,"SCHUNT",NA
"207","LM_0382",7,"E10aSDI","E88:E88","E88",NA,"PWD",NA
"208","LM_0383",7,"E10aPIY","E88:E88","E88",NA,"PWD",NA
"209","LM_0384",7,"E10aKPA","E88:E64","E88",NA,"SCHUNT",NA
"210","LM_0385",7,"E10aMTZ","E88:E64","E88",NA,"SCHUNT",NA
"211","LM_0386",7,"E10aRBK","E88:E64","E88",NA,"PWD",NA
"212","LM_0387",7,"E10aJLH","E88:E64","E88",NA,"PWD",NA
"213","LM_0388",7,"E10aGRE","E88:UNI","E88",NA,"SCHUNT",NA
"214","LM_0389",7,"E10aPZH","E88:UNI","E88",NA,"SCHUNT",NA
"215","LM_0390",7,"E10aNCK","E88:UNI","E88",NA,"PWD",NA
"216","LM_0391",7,"E10aGYU","E88:UNI","E88",NA,"PWD",NA
"217","LM_0392",7,"E10aOKS","UNI:UNI","UNI",NA,"SCHUNT",NA
"218","LM_0393",7,"E10aEEB","UNI:UNI","UNI",NA,"SCHUNT",NA
"219","LM_0394",7,"E10aCQA","UNI:UNI","UNI",NA,"PWD",NA
"220","LM_0395",7,"E10aYFN","UNI:UNI","UNI",NA,"PWD",NA
"221","LM_0396",7,"E10aKJN","UNI:E64","UNI",NA,"SCHUNT",NA
"222","LM_0397",7,"E10aXES","UNI:E64","UNI",NA,"PWD",NA
"223","LM_0398",7,"E10aRJY","UNI:E88","UNI",NA,"SCHUNT",NA
"224","LM_0399",7,"E10aZAK","UNI:E88","UNI",NA,"PWD",NA
"225","LM_0368",8,"E10aBWZ","E64:E64","E64",NA,"SCHUNT",NA
"226","LM_0369",8,"E10aQBG","E64:E64","E64",NA,"SCHUNT",NA
"227","LM_0370",8,"E10aVIV","E64:E64","E64",NA,"PWD",NA
"228","LM_0371",8,"E10aJIT","E64:E64","E64",NA,"PWD",NA
"229","LM_0372",8,"E10aAHH","E64:E88","E64",NA,"SCHUNT",NA
"230","LM_0373",8,"E10aEJZ","E64:E88","E64",NA,"SCHUNT",NA
"231","LM_0374",8,"E10aJCW","E64:E88","E64",NA,"PWD",NA
"232","LM_0375",8,"E10aLFS","E64:E88","E64",NA,"PWD",NA
"233","LM_0376",8,"E10aMVN","E64:UNI","E64",NA,"SCHUNT",NA
"234","LM_0377",8,"E10aLQS","E64:UNI","E64",NA,"SCHUNT",NA
"235","LM_0378",8,"E10aGNE","E64:UNI","E64",NA,"PWD",NA
"236","LM_0379",8,"E10aTSD","E64:UNI","E64",NA,"PWD",NA
"237","LM_0380",8,"E10aVKF","E88:E88","E88",NA,"SCHUNT",NA
"238","LM_0381",8,"E10aADZ","E88:E88","E88",NA,"SCHUNT",NA
"239","LM_0382",8,"E10aXZQ","E88:E88","E88",NA,"PWD",NA
"240","LM_0383",8,"E10aKAT","E88:E88","E88",NA,"PWD",NA
"241","LM_0384",8,"E10aWWH","E88:E64","E88",NA,"SCHUNT",NA
"242","LM_0385",8,"E10aPNK","E88:E64","E88",NA,"SCHUNT",NA
"243","LM_0386",8,"E10aQPG","E88:E64","E88",NA,"PWD",NA
"244","LM_0387",8,"E10aCCE","E88:E64","E88",NA,"PWD",NA
"245","LM_0388",8,"E10aHZR","E88:UNI","E88",NA,"SCHUNT",NA
"246","LM_0389",8,"E10aVXW","E88:UNI","E88",NA,"SCHUNT",NA
"247","LM_0390",8,"E10aPMC","E88:UNI","E88",NA,"PWD",NA
"248","LM_0391",8,"E10aKZW","E88:UNI","E88",NA,"PWD",NA
"249","LM_0392",8,"E10aYZU","UNI:UNI","UNI",NA,"SCHUNT",NA
"250","LM_0393",8,"E10aOET","UNI:UNI","UNI",NA,"SCHUNT",NA
"251","LM_0394",8,"E10aXCZ","UNI:UNI","UNI",NA,"PWD",NA
"252","LM_0395",8,"E10aPON","UNI:UNI","UNI",NA,"PWD",NA
"253","LM_0396",8,"E10aLCS","UNI:E64","UNI",NA,"SCHUNT",NA
"254","LM_0397",8,"E10aIFF","UNI:E64","UNI",NA,"PWD",NA
"255","LM_0398",8,"E10aQSC.1","UNI:E88","UNI",NA,"SCHUNT",NA
"256","LM_0399",8,"E10aPSW","UNI:E88","UNI",NA,"PWD",NA
"257","LM_0368",9,"E10aPMN","E64:E64","E64",NA,"SCHUNT",NA
"258","LM_0369",9,"E10aYKG","E64:E64","E64",NA,"SCHUNT",NA
"259","LM_0370",9,"E10aWQA","E64:E64","E64",NA,"PWD",NA
"260","LM_0371",9,"E10aOTB","E64:E64","E64",NA,"PWD",NA
"261","LM_0372",9,"E10aCGR","E64:E88","E64",NA,"SCHUNT",NA
"262","LM_0373",9,"E10aIMD","E64:E88","E64",NA,"SCHUNT",NA
"263","LM_0374",9,"E10aFZY","E64:E88","E64",NA,"PWD",NA
"264","LM_0375",9,"E10aGMG","E64:E88","E64",NA,"PWD",NA
"265","LM_0376",9,"E10aOMR","E64:UNI","E64",NA,"SCHUNT",NA
"266","LM_0377",9,"E10aSTP.1","E64:UNI","E64",NA,"SCHUNT",NA
"267","LM_0378",9,"E10aHEX","E64:UNI","E64",NA,"PWD",NA
"268","LM_0379",9,"E10aHRS","E64:UNI","E64",NA,"PWD",NA
"269","LM_0380",9,"E10aNIC","E88:E88","E88",NA,"SCHUNT",NA
"270","LM_0381",9,"E10aFIJ","E88:E88","E88",NA,"SCHUNT",NA
"271","LM_0382",9,"E10aWOX","E88:E88","E88",NA,"PWD",NA
"272","LM_0383",9,"E10aAEX","E88:E88","E88",NA,"PWD",NA
"273","LM_0384",9,"E10aMGW","E88:E64","E88",NA,"SCHUNT",NA
"274","LM_0385",9,"E10aOEW","E88:E64","E88",NA,"SCHUNT",NA
"275","LM_0386",9,"E10aXIP","E88:E64","E88",NA,"PWD",NA
"276","LM_0387",9,"E10aOJA","E88:E64","E88",NA,"PWD",NA
"277","LM_0388",9,"E10aCSK","E88:UNI","E88",NA,"SCHUNT",NA
"278","LM_0389",9,"E10aUMB","E88:UNI","E88",NA,"SCHUNT",NA
"279","LM_0390",9,"E10aQYJ","E88:UNI","E88",NA,"PWD",NA
"280","LM_0391",9,"E10aHXV","E88:UNI","E88",NA,"PWD",NA
"281","LM_0392",9,"E10aXVU","UNI:UNI","UNI",NA,"SCHUNT",NA
"282","LM_0393",9,"E10aSQR","UNI:UNI","UNI",NA,"SCHUNT",NA
"283","LM_0394",9,"E10aMJU","UNI:UNI","UNI",NA,"PWD",NA
"284","LM_0395",9,"E10aPHT","UNI:UNI","UNI",NA,"PWD",NA
"285","LM_0396",9,"E10aCWA","UNI:E64","UNI",NA,"SCHUNT",NA
"286","LM_0397",9,"E10aIKG","UNI:E64","UNI",NA,"PWD",NA
"287","LM_0398",9,"E10aIAU","UNI:E88","UNI",NA,"SCHUNT",NA
"288","LM_0399",9,"E10aXCN","UNI:E88","UNI",NA,"PWD",NA
"289","LM_0368",10,"E10aJXJ","E64:E64","E64",NA,"SCHUNT",NA
"290","LM_0369",10,"E10aDQH","E64:E64","E64",NA,"SCHUNT",NA
"291","LM_0370",10,"E10aBRU","E64:E64","E64",NA,"PWD",NA
"292","LM_0371",10,"E10aYFE.1","E64:E64","E64",NA,"PWD",NA
"293","LM_0372",10,"E10aAAX","E64:E88","E64",NA,"SCHUNT",NA
"294","LM_0373",10,"E10aWQO.1","E64:E88","E64",NA,"SCHUNT",NA
"295","LM_0374",10,"E10aGAW","E64:E88","E64",NA,"PWD",NA
"296","LM_0375",10,"E10aCLD","E64:E88","E64",NA,"PWD",NA
"297","LM_0376",10,"E10aKOV","E64:UNI","E64",NA,"SCHUNT",NA
"298","LM_0377",10,"E10aCYL","E64:UNI","E64",NA,"SCHUNT",NA
"299","LM_0378",10,"E10aIKD","E64:UNI","E64",NA,"PWD",NA
"300","LM_0379",10,"E10aTCS","E64:UNI","E64",NA,"PWD",NA
"301","LM_0380",10,"E10aVIS","E88:E88","E88",NA,"SCHUNT",NA
"302","LM_0381",10,"E10aZWW","E88:E88","E88",NA,"SCHUNT",NA
"303","LM_0382",10,"E10aBQF","E88:E88","E88",NA,"PWD",NA
"304","LM_0383",10,"E10aZQR","E88:E88","E88",NA,"PWD",NA
"305","LM_0384",10,"E10aVNV","E88:E64","E88",NA,"SCHUNT",NA
"306","LM_0385",10,"E10aTXB","E88:E64","E88",NA,"SCHUNT",NA
"307","LM_0386",10,"E10aVIW","E88:E64","E88",NA,"PWD",NA
"308","LM_0387",10,"E10aSPY","E88:E64","E88",NA,"PWD",NA
"309","LM_0388",10,"E10aDGI","E88:UNI","E88",NA,"SCHUNT",NA
"310","LM_0389",10,"E10aLZO","E88:UNI","E88",NA,"SCHUNT",NA
"311","LM_0390",10,"E10aQWN","E88:UNI","E88",NA,"PWD",NA
"312","LM_0391",10,"E10aNNQ","E88:UNI","E88",NA,"PWD",NA
"313","LM_0392",10,"E10aKYA","UNI:UNI","UNI",NA,"SCHUNT",NA
"314","LM_0393",10,"E10aTDF","UNI:UNI","UNI",NA,"SCHUNT",NA
"315","LM_0394",10,"E10aZTV","UNI:UNI","UNI",NA,"PWD",NA
"316","LM_0395",10,"E10aGEU","UNI:UNI","UNI",NA,"PWD",NA
"317","LM_0396",10,"E10aEID","UNI:E64","UNI",NA,"SCHUNT",NA
"318","LM_0397",10,"E10aBSE","UNI:E64","UNI",NA,"PWD",NA
"319","LM_0398",10,"E10aWCG","UNI:E88","UNI",NA,"SCHUNT",NA
"320","LM_0399",10,"E10aUBS","UNI:E88","UNI",NA,"PWD",NA
"321","LM_0368",11,"E10aYOK","E64:E64","E64",NA,"SCHUNT",NA
"322","LM_0369",11,"E10aNKZ","E64:E64","E64",NA,"SCHUNT",NA
"323","LM_0370",11,"E10aAYM","E64:E64","E64",NA,"PWD",NA
"324","LM_0371",11,"E10aWGZ","E64:E64","E64",NA,"PWD",NA
"325","LM_0372",11,"E10aTFM","E64:E88","E64",NA,"SCHUNT",NA
"326","LM_0373",11,"E10aAXX","E64:E88","E64",NA,"SCHUNT",NA
"327","LM_0374",11,"E10aTSW","E64:E88","E64",NA,"PWD",NA
"328","LM_0375",11,"E10aQHA","E64:E88","E64",NA,"PWD",NA
"329","LM_0376",11,"E10aYJX","E64:UNI","E64",NA,"SCHUNT",NA
"330","LM_0377",11,"E10aFIA","E64:UNI","E64",NA,"SCHUNT",NA
"331","LM_0378",11,"E10aPSI","E64:UNI","E64",NA,"PWD",NA
"332","LM_0379",11,"E10aVBF","E64:UNI","E64",NA,"PWD",NA
"333","LM_0380",11,"E10aPVS","E88:E88","E88",NA,"SCHUNT",NA
"334","LM_0381",11,"E10aZLC","E88:E88","E88",NA,"SCHUNT",NA
"335","LM_0382",11,"E10aLZC","E88:E88","E88",NA,"PWD",NA
