"Locality","Genome","Strain","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","NOTE","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","InfectionStrain","EH_id"
"Prague","mus","PWD_PWD","SY",7076,42,"PWD","SY",7073,42,2018-04-03,2,9,"3","6","EX",783,"F","43","1F","3.12",4.68,"L5",NA,"","PWD","PWD","parental strains",13.8571428571429,2,"E88","LM0237"
"Prague","mus","PWD_PWD","SY",7076,42,"PWD","SY",7073,42,2018-04-03,2,9,"3","6","EX",784,"F","43","1F","3.04",4.38,"P2",NA,"REZERVA","PWD","PWD","parental strains",13.8571428571429,2,"E88","LM0253"
"Prague","mus","PWD_PWD","SY",7076,42,"PWD","SY",7073,42,2018-05-01,3,6,"3","3","EX",926,"M","43","1M","5.10",7.41,"L2",NA,"REZERVA","PWD","PWD","parental strains",9.85714285714286,2,"E88","LM0252"
"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,2018-05-07,5,8,"4","4","EX",979,"F","F1","1F","5.91",10.38,"L5",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E88","LM0231"
"SCHUNT x PWD","dom x mus","SCHUNT_PWD","SY",6904,37,"PWD","SY",5342,42,2018-04-15,2,10,"7","3","EX",837,"F","F1","1F","6.95",11.7,"P5",NA,"","SCHUNT","PWD","inter subsp. hybrids",12.1428571428571,2,"E88","LM0240"
"SCHUNT x PWD","dom x mus","SCHUNT_PWD","SY",6904,37,"PWD","SY",5342,42,2018-05-08,3,7,"4","3","EX",989,"M","F1","1M","6.59",11.22,"L4",NA,"REZERVA","SCHUNT","PWD","inter subsp. hybrids",8.85714285714286,2,"E88","LM0254"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",5726,36,"SCHUNT","SY",5725,36,2018-05-07,6,5,"2","3","EX",982,"M","37","1M","7.32",11.61,"P2",NA,"REZERVA","SCHUNT","SCHUNT","parental strains",9,2,"E88","LM0257"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",5726,36,"SCHUNT","SY",5725,36,2018-05-07,6,5,"2","3","EX",985,"F","37","1F","6.23",9.01,"P5",NA,"","SCHUNT","SCHUNT","parental strains",9,2,"E88","LM0229"
"Schweben 2","dom","SCHUNT_SCHUNT","SY",5726,36,"SCHUNT","SY",5725,36,2018-05-07,6,5,"2","3","EX",986,"F","37","1F","7.12",10.94,"L2",NA,"","SCHUNT","SCHUNT","parental strains",9,2,"E88","LM0239"
"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,2018-05-06,5,5,"3","2","EX",968,"M","F1","1M","7.31",12.85,"L4",NA,"REZERVA","SCHUNT","STRA","outbred hybrids",9.14285714285714,2,"E88","LM0249"
"SCHUNT x STRA","dom","SCHUNT_STRA","SY",3472,36,"STRA","SY",7281,56,2018-05-06,5,5,"3","2","EX",970,"F","F1","1F","7.68",12.47,"P3",NA,"","SCHUNT","STRA","outbred hybrids",9.14285714285714,2,"E88","LM0246"
"STRA x BUSNA","dom x mus","STRA_BUSNA","SY",6346,55,"BUSNA","SY",6111,60,2018-03-07,2,5,"2","3","EX",662,"F","F1","1F","7.71",10.34,"L4",NA,"","STRA","BUSNA","inter subsp. hybrids",17.7142857142857,2,"E88","LM0228"
"STRA x BUSNA","dom x mus","STRA_BUSNA","SY",6346,55,"BUSNA","SY",6111,60,2018-04-20,3,7,"2","5","EX",869,"F","F1","1F","7.32",12.31,"P2",NA,"REZERVA","STRA","BUSNA","inter subsp. hybrids",11.4285714285714,2,"E88","LM0251"
"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,2018-03-21,3,11,"7","4","EX",712,"F","F1","1F","6.01",11.23,"P5",NA,"","STRA","SCHUNT","outbred hybrids",15.7142857142857,2,"E88","LM0235"
"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,2018-05-02,4,10,"6","4","EX",935,"M","F1","1M","7.69",13.66,"P4",NA,"REZERVA","STRA","SCHUNT","outbred hybrids",9.71428571428571,2,"E88","LM0247"
"STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,2018-05-02,4,10,"6","4","EX",936,"F","F1","1F","7.62",12.83,"P5",NA,"REZERVA","STRA","SCHUNT","outbred hybrids",9.71428571428571,2,"E88","LM0248"
"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,2018-05-03,2,7,"6","1","EX",948,"M","57","1M","7.73",11.92,"P2",NA,"","STRA","STRA","parental strains",9.57142857142857,2,"E88","LM0236"
"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,2018-05-03,2,7,"6","1","EX",949,"M","57","1M","7.77",11.71,"P3",NA,"","STRA","STRA","parental strains",9.57142857142857,2,"E88","LM0256"
"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,2018-05-03,2,7,"6","1","EX",951,"M","57","1M","8.16",12.32,"P5",NA,"REZERVA","STRA","STRA","parental strains",9.57142857142857,2,"E88","LM0234"
"Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,2018-05-03,2,7,"6","1","EX",953,"F","57","1F","7.91",11.69,"L2",NA,"REZERVA","STRA","STRA","parental strains",9.57142857142857,2,"E88","LM0233"
