EH_ID,dpi,labels,primary,,,,,,,,,,
LM_0399,3,,,,,,,,,,,,
LM_0368,4,,,,,,,,,,,,
LM_0369,4,,,,,,,,,,,,
LM_0370,4,,,,,,,,,,,,
LM_0371,4,,,,,,,,,,,,
LM_0372,4,,,,,,,,,,,,
LM_0373,4,,,,,,,,,,,,
LM_0374,4,,,,,,,,,,,,
LM_0375,4,,,,,,,,,,,,
LM_0376,4,,,,,,,,,,,,
LM_0377,4,,,,,,,,,,,,
LM_0378,4,,,,,,,,,,,,
LM_0379,4,,,,,,,,,,,,
LM_0380,4,,,,,,,,,,,,
LM_0381,4,,,,,,,,,,,,
LM_0382,4,,,,,,,,,,,,
LM_0383,4,,,,,,,,,,,,
LM_0384,4,,,,,,,,,,,,
LM_0385,4,,,,,,,,,,,,
LM_0386,4,,,,,,,,,,,,
LM_0387,4,,,,,,,,,,,,
LM_0388,4,,,,,,,,,,,,
LM_0389,4,,,,,,,,,,,,
LM_0390,4,,,,,,,,,,,,
LM_0391,4,,,,,,,,,,,,
LM_0392,4,,,,,,,,,,,,
LM_0393,4,,,,,,,,,,,,
LM_0394,4,,,,,,,,,,,,
LM_0395,4,,,,,,,,,,,,
LM_0396,4,,,,,,,,,,,,
LM_0397,4,,,,,,,,,,,,
LM_0398,4,,,,,,,,,,,,
LM_0399,4,,,,,,,,,,,,
LM_0368,5,,,,,,,,,,,,
LM_0369,5,,,,,,,,,,,,
LM_0370,5,,,,,,,,,,,,
LM_0371,5,,,,,,,,,,,,
LM_0372,5,,,,,,,,,,,,
LM_0373,5,,,,,,,,,,,,
LM_0374,5,,,,,,,,,,,,
LM_0375,5,,,,,,,,,,,,
LM_0376,5,,,,,,,,,,,,
LM_0377,5,,,,,,,,,,,,
LM_0378,5,,,,,,,,,,,,
LM_0379,5,,,,,,,,,,,,
LM_0380,5,,,,,,,,,,,,
LM_0381,5,,,,,,,,,,,,
LM_0382,5,,,,,,,,,,,,
LM_0383,5,,,,,,,,,,,,
LM_0384,5,,,,,,,,,,,,
LM_0385,5,,,,,,,,,,,,
LM_0386,5,,,,,,,,,,,,
LM_0387,5,,,,,,,,,,,,
LM_0388,5,,,,,,,,,,,,
LM_0389,5,,,,,,,,,,,,
LM_0390,5,,,,,,,,,,,,
LM_0391,5,,,,,,,,,,,,
LM_0392,5,,,,,,,,,,,,
LM_0393,5,,,,,,,,,,,,
LM_0394,5,,,,,,,,,,,,
LM_0395,5,,,,,,,,,,,,
LM_0396,5,,,,,,,,,,,,
LM_0397,5,,,,,,,,,,,,
LM_0398,5,,,,,,,,,,,,
LM_0399,5,,,,,,,,,,,,
LM_0368,6,,,,,,,,,,,,
LM_0369,6,,,,,,,,,,,,
LM_0370,6,,,,,,,,,,,,
LM_0371,6,,,,,,,,,,,,
LM_0372,6,,,,,,,,,,,,
LM_0373,6,,,,,,,,,,,,
LM_0374,6,,,,,,,,,,,,
LM_0375,6,,,,,,,,,,,,
LM_0376,6,,,,,,,,,,,,
LM_0377,6,,,,,,,,,,,,
LM_0378,6,,,,,,,,,,,,
LM_0379,6,,,,,,,,,,,,
LM_0380,6,,,,,,,,,,,,
LM_0381,6,,,,,,,,,,,,
LM_0382,6,,,,,,,,,,,,
LM_0383,6,,,,,,,,,,,,
LM_0384,6,,,,,,,,,,,,
LM_0385,6,,,,,,,,,,,,
LM_0386,6,,,,,,,,,,,,
LM_0387,6,,,,,,,,,,,,
LM_0388,6,,,,,,,,,,,,
LM_0389,6,,,,,,,,,,,,
LM_0390,6,,,,,,,,,,,,
LM_0391,6,,,,,,,,,,,,
LM_0392,6,,,,,,,,,,,,
LM_0393,6,,,,,,,,,,,,
LM_0394,6,,,,,,,,,,,,
LM_0395,6,,,,,,,,,,,,
LM_0396,6,,,,,,,,,,,,
LM_0397,6,,,,,,,,,,,,
LM_0398,6,,,,,,,,,,,,
LM_0399,6,,,,,,,,,,,,
LM_0368,7,,,,,,,,,,,,
LM_0369,7,,,,,,,,,,,,
LM_0370,7,,,,,,,,,,,,
LM_0371,7,,,,,,,,,,,,
LM_0372,7,,,,,,,,,,,,
LM_0373,7,,,,,,,,,,,,
LM_0374,7,,,,,,,,,,,,
LM_0375,7,,,,,,,,,,,,
LM_0376,7,,,,,,,,,,,,
LM_0377,7,,,,,,,,,,,,
LM_0378,7,,,,,,,,,,,,
LM_0379,7,,,,,,,,,,,,
LM_0380,7,,,,,,,,,,,,
LM_0381,7,,,,,,,,,,,,
LM_0382,7,,,,,,,,,,,,
LM_0383,7,,,,,,,,,,,,
LM_0384,7,,,,,,,,,,,,
LM_0385,7,,,,,,,,,,,,
LM_0386,7,,,,,,,,,,,,
LM_0387,7,,,,,,,,,,,,
LM_0388,7,,,,,,,,,,,,
LM_0389,7,,,,,,,,,,,,
LM_0390,7,,,,,,,,,,,,
LM_0391,7,,,,,,,,,,,,
LM_0392,7,,,,,,,,,,,,
LM_0393,7,,,,,,,,,,,,
LM_0394,7,,,,,,,,,,,,
LM_0395,7,,,,,,,,,,,,
LM_0396,7,,,,,,,,,,,,
LM_0397,7,,,,,,,,,,,,
LM_0398,7,,,,,,,,,,,,
LM_0399,7,,,,,,,,,,,,
LM_0368,8,,,,,,,,,,,,
LM_0369,8,,,,,,,,,,,,
LM_0370,8,,,,,,,,,,,,
LM_0371,8,,,,,,,,,,,,
LM_0372,8,,,,,,,,,,,,
LM_0373,8,,,,,,,,,,,,
LM_0374,8,,,,,,,,,,,,
LM_0375,8,,,,,,,,,,,,
LM_0376,8,,,,,,,,,,,,
LM_0377,8,,,,,,,,,,,,
LM_0378,8,,,,,,,,,,,,
LM_0379,8,,,,,,,,,,,,
LM_0380,8,,,,,,,,,,,,
LM_0381,8,,,,,,,,,,,,
LM_0382,8,,,,,,,,,,,,
LM_0383,8,,,,,,,,,,,,
LM_0384,8,,,,,,,,,,,,
LM_0385,8,,,,,,,,,,,,
LM_0386,8,,,,,,,,,,,,
LM_0387,8,,,,,,,,,,,,
LM_0388,8,,,,,,,,,,,,
LM_0389,8,,,,,,,,,,,,
LM_0390,8,,,,,,,,,,,,
LM_0391,8,,,,,,,,,,,,
LM_0392,8,,,,,,,,,,,,
LM_0393,8,,,,,,,,,,,,
LM_0394,8,,,,,,,,,,,,
LM_0395,8,,,,,,,,,,,,
LM_0396,8,,,,,,,,,,,,
LM_0397,8,,,,,,,,,,,,
LM_0398,8,,,,,,,,,,,,
LM_0399,8,,,,,,,,,,,,
LM_0368,9,,,,,,,,,,,,
LM_0369,9,,,,,,,,,,,,
LM_0370,9,,,,,,,,,,,,
LM_0371,9,,,,,,,,,,,,
LM_0372,9,,,,,,,,,,,,
LM_0373,9,,,,,,,,,,,,
LM_0374,9,,,,,,,,,,,,
LM_0375,9,,,,,,,,,,,,
LM_0376,9,,,,,,,,,,,,
LM_0377,9,,,,,,,,,,,,
LM_0378,9,,,,,,,,,,,,
LM_0379,9,,,,,,,,,,,,
LM_0380,9,,,,,,,,,,,,
LM_0381,9,,,,,,,,,,,,
LM_0382,9,,,,,,,,,,,,
LM_0383,9,,,,,,,,,,,,
LM_0384,9,,,,,,,,,,,,
LM_0385,9,,,,,,,,,,,,
LM_0386,9,,,,,,,,,,,,
LM_0387,9,,,,,,,,,,,,
LM_0388,9,,,,,,,,,,,,
LM_0389,9,,,,,,,,,,,,
LM_0390,9,,,,,,,,,,,,
LM_0391,9,,,,,,,,,,,,
LM_0392,9,,,,,,,,,,,,
LM_0393,9,,,,,,,,,,,,
LM_0394,9,,,,,,,,,,,,
LM_0395,9,,,,,,,,,,,,
LM_0396,9,,,,,,,,,,,,
LM_0397,9,,,,,,,,,,,,
LM_0398,9,,,,,,,,,,,,
LM_0399,9,,,,,,,,,,,,
LM_0368,10,,,,,,,,,,,,
LM_0369,10,,,,,,,,,,,,
LM_0370,10,,,,,,,,,,,,
LM_0371,10,,,,,,,,,,,,
LM_0372,10,,,,,,,,,,,,
LM_0373,10,,,,,,,,,,,,
LM_0374,10,,,,,,,,,,,,
LM_0375,10,,,,,,,,,,,,
LM_0376,10,,,,,,,,,,,,
LM_0377,10,,,,,,,,,,,,
LM_0378,10,,,,,,,,,,,,
LM_0379,10,,,,,,,,,,,,
LM_0380,10,,,,,,,,,,,,
LM_0381,10,,,,,,,,,,,,
LM_0382,10,,,,,,,,,,,,
LM_0383,10,,,,,,,,,,,,
LM_0384,10,,,,,,,,,,,,
LM_0385,10,,,,,,,,,,,,
LM_0386,10,,,,,,,,,,,,
LM_0387,10,,,,,,,,,,,,
LM_0388,10,,,,,,,,,,,,
LM_0389,10,,,,,,,,,,,,
LM_0390,10,,,,,,,,,,,,
LM_0391,10,,,,,,,,,,,,
LM_0392,10,,,,,,,,,,,,
LM_0393,10,,,,,,,,,,,,
LM_0394,10,,,,,,,,,,,,
LM_0395,10,,,,,,,,,,,,
LM_0396,10,,,,,,,,,,,,
LM_0397,10,,,,,,,,,,,,
LM_0398,10,,,,,,,,,,,,
LM_0399,10,,,,,,,,,,,,
LM_0368,11,,,,,,,,,,,,
LM_0369,11,,,,,,,,,,,,
LM_0370,11,,,,,,,,,,,,
LM_0371,11,,,,,,,,,,,,
LM_0372,11,,,,,,,,,,,,
LM_0373,11,,,,,,,,,,,,
LM_0374,11,,,,,,,,,,,,
LM_0375,11,,,,,,,,,,,,
LM_0376,11,,,,,,,,,,,,
LM_0377,11,,,,,,,,,,,,
LM_0378,11,,,,,,,,,,,,
LM_0379,11,,,,,,,,,,,,
LM_0380,11,,,,,,,,,,,,
LM_0381,11,,,,,,,,,,,,
LM_0382,11,,,,,,,,,,,,
LM_0383,11,,,,,,,,,,,,
LM_0384,11,,,,,,,,,,,,
LM_0385,11,,,,,,,,,,,,
LM_0386,11,,,,,,,,,,,,
LM_0387,11,,,,,,,,,,,,
LM_0388,11,,,,,,,,,,,,
LM_0389,11,,,,,,,,,,,,
LM_0390,11,,,,,,,,,,,,
LM_0391,11,,,,,,,,,,,,
LM_0392,11,,,,,,,,,,,,
LM_0393,11,,,,,,,,,,,,
LM_0394,11,,,,,,,,,,,,
LM_0395,11,,,,,,,,,,,,
LM_0396,11,,,,,,,,,,,,
LM_0397,11,,,,,,,,,,,,
LM_0398,11,,,,,,,,,,,,
LM_0399,11,,,,,,,,,,,,
