"","EH_id","dpi","oocysts.per.g","Inf_strain","strain"
"83","LM0103",2,0,"Eflab","PWD"
"84","LM0103",4,0,"Eflab","PWD"
"85","LM0103",7,1445.08670520231,"Eflab","PWD"
"86","LM0105",10,625,"EI64","PWD"
"87","LM0105",4,80000,"EI64","PWD"
"88","LM0105",7,1413346.61354582,"EI64","PWD"
"89","LM0105",5,177884.615384615,"EI64","PWD"
"90","LM0105",8,225925.925925926,"EI64","PWD"
"91","LM0105",9,7194.24460431655,"EI64","PWD"
"92","LM0105",0,0,"EI64","PWD"
"93","LM0105",1,0,"EI64","PWD"
"94","LM0105",3,0,"EI64","PWD"
"95","LM0105",2,0,"EI64","PWD"
"96","LM0105",6,4089201.87793427,"EI64","PWD"
"97","LM0105",11,533.049040511727,"EI64","PWD"
"98","LM0106",4,2600,"Eflab","PWD"
"99","LM0106",9,479166.666666667,"Eflab","PWD"
"100","LM0106",3,0,"Eflab","PWD"
"101","LM0106",5,0,"Eflab","PWD"
"102","LM0106",8,250000,"Eflab","PWD"
"103","LM0106",6,0,"Eflab","PWD"
"104","LM0106",1,0,"Eflab","PWD"
"105","LM0106",0,0,"Eflab","PWD"
"106","LM0106",7,31250,"Eflab","PWD"
"107","LM0106",2,0,"Eflab","PWD"
"108","LM0107",7,552238.805970149,"EI64","WSB"
"109","LM0107",9,10416.6666666667,"EI64","WSB"
"110","LM0107",6,714912.280701754,"EI64","WSB"
"111","LM0107",2,0,"EI64","WSB"
"112","LM0107",5,375000,"EI64","WSB"
"113","LM0107",8,21683.6734693878,"EI64","WSB"
"114","LM0107",3,0,"EI64","WSB"
"115","LM0107",0,0,"EI64","WSB"
"116","LM0107",1,0,"EI64","WSB"
"117","LM0107",4,5813.95348837209,"EI64","WSB"
"118","LM0108",6,0,"Eflab","WP"
"119","LM0108",2,0,"Eflab","WP"
"120","LM0108",7,438.59649122807,"Eflab","WP"
"121","LM0108",4,0,"Eflab","WP"
"122","LM0108",8,320833.333333333,"Eflab","WP"
"123","LM0108",1,0,"Eflab","WP"
"124","LM0108",5,0,"Eflab","WP"
"125","LM0108",10,685000,"Eflab","WP"
"126","LM0108",0,0,"Eflab","WP"
"127","LM0108",9,2664179.10447761,"Eflab","WP"
"128","LM0108",3,0,"Eflab","WP"
"129","LM0109",5,1077433.62831858,"EI64","PWD"
"130","LM0109",4,165031.44654088,"EI64","PWD"
"131","LM0109",10,0,"EI64","PWD"
"132","LM0109",9,4545.45454545455,"EI64","PWD"
"133","LM0109",3,0,"EI64","PWD"
"134","LM0109",1,0,"EI64","PWD"
"135","LM0109",11,0,"EI64","PWD"
"136","LM0109",0,0,"EI64","PWD"
"137","LM0109",2,0,"EI64","PWD"
"138","LM0109",7,767241.379310345,"EI64","PWD"
"139","LM0109",8,261363.636363636,"EI64","PWD"
"140","LM0109",6,1521126.76056338,"EI64","PWD"
"141","LM0110",4,0,"Eflab","WP"
"142","LM0110",9,5e+05,"Eflab","WP"
"143","LM0110",6,0,"Eflab","WP"
"144","LM0110",0,0,"Eflab","WP"
"145","LM0110",8,178571.428571429,"Eflab","WP"
"146","LM0110",1,0,"Eflab","WP"
"147","LM0110",5,0,"Eflab","WP"
"148","LM0110",2,0,"Eflab","WP"
"149","LM0110",7,1893.93939393939,"Eflab","WP"
"150","LM0110",3,0,"Eflab","WP"
"151","LM0111",0,0,"Eflab","WP"
"152","LM0111",7,0,"Eflab","WP"
"153","LM0111",6,0,"Eflab","WP"
"154","LM0111",2,0,"Eflab","WP"
"155","LM0111",9,1271428.57142857,"Eflab","WP"
"156","LM0111",4,0,"Eflab","WP"
"157","LM0111",3,0,"Eflab","WP"
"158","LM0111",8,54245.2830188679,"Eflab","WP"
"159","LM0111",1,0,"Eflab","WP"
"160","LM0111",5,0,"Eflab","WP"
"161","LM0112",10,0,"EI64","PWD"
"162","LM0112",4,82580.6451612903,"EI64","PWD"
"163","LM0112",8,288793.103448276,"EI64","PWD"
"164","LM0112",6,4543269.23076923,"EI64","PWD"
"165","LM0112",1,0,"EI64","PWD"
"166","LM0112",11,0,"EI64","PWD"
"167","LM0112",2,0,"EI64","PWD"
"168","LM0112",0,0,"EI64","PWD"
"169","LM0112",3,0,"EI64","PWD"
"170","LM0112",7,1376470.58823529,"EI64","PWD"
"171","LM0112",9,10698.1981981982,"EI64","PWD"
"172","LM0112",5,1103125,"EI64","PWD"
"173","LM0113",0,0,"EI64","WSB"
"174","LM0113",11,0,"EI64","WSB"
"175","LM0113",1,0,"EI64","WSB"
"176","LM0113",2,0,"EI64","WSB"
"177","LM0113",10,0,"EI64","WSB"
"178","LM0113",6,297674.418604651,"EI64","WSB"
"179","LM0113",4,641.025641025641,"EI64","WSB"
"180","LM0113",9,1086.95652173913,"EI64","WSB"
"181","LM0113",3,0,"EI64","WSB"
"182","LM0113",8,56188.9250814332,"EI64","WSB"
"183","LM0113",7,221714.285714286,"EI64","WSB"
"184","LM0113",5,1072592.59259259,"EI64","WSB"
"185","LM0114",4,0,"Eflab","WSB"
"186","LM0114",2,0,"Eflab","WSB"
"187","LM0114",9,1e+06,"Eflab","WSB"
"188","LM0114",3,0,"Eflab","WSB"
"189","LM0114",1,0,"Eflab","WSB"
"190","LM0114",7,498.00796812749,"Eflab","WSB"
"191","LM0114",8,750000,"Eflab","WSB"
"192","LM0114",0,0,"Eflab","WSB"
"193","LM0114",5,0,"Eflab","WSB"
"194","LM0114",6,0,"Eflab","WSB"
"195","LM0115",2,0,"EI64","PWD"
"196","LM0115",0,0,"EI64","PWD"
"197","LM0115",7,2698224.85207101,"EI64","PWD"
"198","LM0115",1,0,"EI64","PWD"
"199","LM0115",3,0,"EI64","PWD"
"200","LM0115",11,66235.3666050524,"EI64","PWD"
"201","LM0115",9,32500,"EI64","PWD"
"202","LM0115",5,490740.740740741,"EI64","PWD"
"203","LM0115",10,23305.0847457627,"EI64","PWD"
"204","LM0115",8,293539.325842697,"EI64","PWD"
"205","LM0115",4,66950.3546099291,"EI64","PWD"
"206","LM0115",6,9028301.88679245,"EI64","PWD"
"207","LM0116",6,0,"Eflab","PWD"
"208","LM0116",1,0,"Eflab","PWD"
"209","LM0116",4,0,"Eflab","PWD"
"210","LM0116",7,0,"Eflab","PWD"
"211","LM0116",0,0,"Eflab","PWD"
"212","LM0116",9,731707.317073171,"Eflab","PWD"
"213","LM0116",8,1441176.47058824,"Eflab","PWD"
"214","LM0116",5,0,"Eflab","PWD"
"215","LM0116",3,0,"Eflab","PWD"
"216","LM0116",2,0,"Eflab","PWD"
"217","LM0117",11,0,"EI64","WP"
"218","LM0117",8,22727.2727272727,"EI64","WP"
"219","LM0117",6,711111.111111111,"EI64","WP"
"220","LM0117",9,7117.43772241993,"EI64","WP"
"221","LM0117",10,722.543352601156,"EI64","WP"
"222","LM0117",7,178316.498316498,"EI64","WP"
"223","LM0117",3,0,"EI64","WP"
"224","LM0117",1,0,"EI64","WP"
"225","LM0117",5,15463.9175257732,"EI64","WP"
"226","LM0117",0,0,"EI64","WP"
"227","LM0117",4,0,"EI64","WP"
"228","LM0117",2,0,"EI64","WP"
"229","LM0118",4,1344.08602150538,"EI64","PWD"
"230","LM0118",8,585616.438356164,"EI64","PWD"
"231","LM0118",6,5500000,"EI64","PWD"
"232","LM0118",0,0,"EI64","PWD"
"233","LM0118",10,2564.10256410256,"EI64","PWD"
"234","LM0118",7,808401.639344262,"EI64","PWD"
"235","LM0118",9,32663.3165829146,"EI64","PWD"
"236","LM0118",1,0,"EI64","PWD"
"237","LM0118",2,0,"EI64","PWD"
"238","LM0118",3,0,"EI64","PWD"
"239","LM0118",11,464.684014869888,"EI64","PWD"
"240","LM0118",5,938775.510204082,"EI64","PWD"
"241","LM0119",6,902173.913043478,"EI64","WP"
"242","LM0119",3,0,"EI64","WP"
"243","LM0119",2,0,"EI64","WP"
"244","LM0119",1,0,"EI64","WP"
"245","LM0119",7,257645.259938838,"EI64","WP"
"246","LM0119",11,943.396226415094,"EI64","WP"
"247","LM0119",9,3257.32899022801,"EI64","WP"
"248","LM0119",8,19519.5195195195,"EI64","WP"
"249","LM0119",5,319148.936170213,"EI64","WP"
"250","LM0119",0,0,"EI64","WP"
"251","LM0119",4,5642.45810055866,"EI64","WP"
"252","LM0119",10,42763.1578947368,"EI64","WP"
"253","LM0120",4,0,"Eflab","WP"
"254","LM0120",8,163793.103448276,"Eflab","WP"
"255","LM0120",0,0,"Eflab","WP"
"256","LM0120",5,0,"Eflab","WP"
"257","LM0120",1,0,"Eflab","WP"
"258","LM0120",7,3597.12230215827,"Eflab","WP"
"259","LM0120",2,0,"Eflab","WP"
"260","LM0120",3,0,"Eflab","WP"
"261","LM0120",9,421052.631578947,"Eflab","WP"
"262","LM0120",6,0,"Eflab","WP"
"263","LM0121",5,0,"Eflab","WP"
"264","LM0121",1,0,"Eflab","WP"
"265","LM0121",7,19480.5194805195,"Eflab","WP"
"266","LM0121",6,0,"Eflab","WP"
"267","LM0121",0,0,"Eflab","WP"
"268","LM0121",9,421875,"Eflab","WP"
"269","LM0121",3,0,"Eflab","WP"
"270","LM0121",2,0,"Eflab","WP"
"271","LM0121",8,419642.857142857,"Eflab","WP"
"272","LM0121",4,0,"Eflab","WP"
