Exp_ID,labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG
Exp_003,LS,NA,NA,NA,NA,NA,NA,NA
Exp_003,BM,NA,NA,NA,NA,NA,NA,NA
Exp_003,VW,NA,NA,NA,NA,NA,NA,NA
Exp_003,DQ,NA,NA,NA,NA,NA,NA,NA
Exp_003,DX,NA,NA,NA,NA,NA,NA,NA
Exp_003,GM,NA,NA,NA,NA,NA,NA,NA
Exp_003,MX,NA,NA,NA,NA,NA,NA,NA
Exp_003,GT,NA,NA,NA,NA,NA,NA,NA
Exp_003,CL,NA,NA,NA,NA,NA,NA,NA
Exp_003,KO,NA,NA,NA,NA,NA,NA,NA
Exp_003,QX,NA,NA,NA,NA,NA,NA,NA
Exp_003,JT,NA,NA,NA,NA,NA,NA,NA
Exp_003,FW,NA,NA,NA,NA,NA,NA,NA
Exp_003,PR,NA,NA,NA,NA,NA,NA,NA
Exp_003,FY,NA,NA,NA,NA,NA,NA,NA
Exp_003,BS,NA,NA,NA,NA,NA,NA,NA
Exp_003,MN,NA,NA,NA,NA,NA,NA,NA
Exp_003,KX,NA,NA,NA,NA,NA,NA,NA
Exp_003,LY,NA,NA,NA,NA,NA,NA,NA
Exp_003,GX,NA,NA,NA,NA,NA,NA,NA
Exp_003,JX,NA,NA,NA,NA,NA,NA,NA
Exp_003,HQ,NA,NA,NA,NA,NA,NA,NA
Exp_003,KW,NA,NA,NA,NA,NA,NA,NA
Exp_003,IT,NA,NA,NA,NA,NA,NA,NA
Exp_003,EP,NA,NA,NA,NA,NA,NA,NA
Exp_003,DI,NA,NA,NA,NA,NA,NA,NA
Exp_003,MS,NA,NA,NA,NA,NA,NA,NA
Exp_003,HR,NA,NA,NA,NA,NA,NA,NA
Exp_003,QW,NA,NA,NA,NA,NA,NA,NA
Exp_003,LZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,RY,NA,NA,NA,NA,NA,NA,NA
Exp_003,ET,NA,NA,NA,NA,NA,NA,NA
Exp_003,TX,NA,NA,NA,NA,NA,NA,NA
Exp_003,HL,NA,NA,NA,NA,NA,NA,NA
Exp_003,FI,NA,NA,NA,NA,NA,NA,NA
Exp_003,NR,NA,NA,NA,NA,NA,NA,NA
Exp_003,UV,NA,NA,NA,NA,NA,NA,NA
Exp_003,CK,NA,NA,NA,NA,NA,NA,NA
Exp_003,OW,NA,NA,NA,NA,NA,NA,NA
Exp_003,GO,NA,NA,NA,NA,NA,NA,NA
Exp_003,GS,NA,NA,NA,NA,NA,NA,NA
Exp_003,LM,NA,NA,NA,NA,NA,NA,NA
Exp_003,DF,NA,NA,NA,NA,NA,NA,NA
Exp_003,BN,NA,NA,NA,NA,NA,NA,NA
Exp_003,NU,NA,NA,NA,NA,NA,NA,NA
Exp_003,OV,NA,NA,NA,NA,NA,NA,NA
Exp_003,VZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,NO,NA,NA,NA,NA,NA,NA,NA
Exp_003,EW,NA,NA,NA,NA,NA,NA,NA
Exp_003,WY,NA,NA,NA,NA,NA,NA,NA
Exp_003,BY,NA,NA,NA,NA,NA,NA,NA
Exp_003,AQ,NA,NA,NA,NA,NA,NA,NA
Exp_003,EV,NA,NA,NA,NA,NA,NA,NA
Exp_003,LW,NA,NA,NA,NA,NA,NA,NA
Exp_003,CU,NA,NA,NA,NA,NA,NA,NA
Exp_003,IK,NA,NA,NA,NA,NA,NA,NA
Exp_003,SY,NA,NA,NA,NA,NA,NA,NA
Exp_003,GU,NA,NA,NA,NA,NA,NA,NA
Exp_003,CM,NA,NA,NA,NA,NA,NA,NA
Exp_003,XZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,AD,NA,NA,NA,NA,NA,NA,NA
Exp_003,EQ,NA,NA,NA,NA,NA,NA,NA
Exp_003,QU,NA,NA,NA,NA,NA,NA,NA
Exp_003,NZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,AU,NA,NA,NA,NA,NA,NA,NA
Exp_003,MU,NA,NA,NA,NA,NA,NA,NA
Exp_003,FL,NA,NA,NA,NA,NA,NA,NA
Exp_003,FS,NA,NA,NA,NA,NA,NA,NA
Exp_003,NQ,NA,NA,NA,NA,NA,NA,NA
Exp_003,UW,NA,NA,NA,NA,NA,NA,NA
Exp_003,KY,NA,NA,NA,NA,NA,NA,NA
Exp_003,DW,NA,NA,NA,NA,NA,NA,NA
Exp_003,CP,NA,NA,NA,NA,NA,NA,NA
Exp_003,CX,NA,NA,NA,NA,NA,NA,NA
Exp_003,YZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,BH,NA,NA,NA,NA,NA,NA,NA
Exp_003,AV,NA,NA,NA,NA,NA,NA,NA
Exp_003,DE,NA,NA,NA,NA,NA,NA,NA
Exp_003,LQ,NA,NA,NA,NA,NA,NA,NA
Exp_003,EG,NA,NA,NA,NA,NA,NA,NA
Exp_003,GZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,BT,NA,NA,NA,NA,NA,NA,NA
Exp_003,DV,NA,NA,NA,NA,NA,NA,NA
Exp_003,FV,NA,NA,NA,NA,NA,NA,NA
Exp_003,OY,NA,NA,NA,NA,NA,NA,NA
Exp_003,BZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,BX,NA,NA,NA,NA,NA,NA,NA
Exp_003,MV,NA,NA,NA,NA,NA,NA,NA
Exp_003,IY,NA,NA,NA,NA,NA,NA,NA
Exp_003,CD,NA,NA,NA,NA,NA,NA,NA
Exp_003,MR,NA,NA,NA,NA,NA,NA,NA
Exp_003,AO,NA,NA,NA,NA,NA,NA,NA
Exp_003,CJ,NA,NA,NA,NA,NA,NA,NA
Exp_003,FH,NA,NA,NA,NA,NA,NA,NA
Exp_003,DG,NA,NA,NA,NA,NA,NA,NA
Exp_003,AB,NA,NA,NA,NA,NA,NA,NA
Exp_003,CT,NA,NA,NA,NA,NA,NA,NA
Exp_003,KM,NA,NA,NA,NA,NA,NA,NA
Exp_003,MQ,NA,NA,NA,NA,NA,NA,NA
Exp_003,CN,NA,NA,NA,NA,NA,NA,NA
Exp_003,HZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,JZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,JS,NA,NA,NA,NA,NA,NA,NA
Exp_003,LN,NA,NA,NA,NA,NA,NA,NA
Exp_003,GJ,NA,NA,NA,NA,NA,NA,NA
Exp_003,BU,NA,NA,NA,NA,NA,NA,NA
Exp_003,DO,NA,NA,NA,NA,NA,NA,NA
Exp_003,BG,NA,NA,NA,NA,NA,NA,NA
Exp_003,JY,NA,NA,NA,NA,NA,NA,NA
Exp_003,IR,NA,NA,NA,NA,NA,NA,NA
Exp_003,LP,NA,NA,NA,NA,NA,NA,NA
Exp_003,WX,NA,NA,NA,NA,NA,NA,NA
Exp_003,RV,NA,NA,NA,NA,NA,NA,NA
Exp_003,MZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,MT,NA,NA,NA,NA,NA,NA,NA
Exp_003,IP,NA,NA,NA,NA,NA,NA,NA
Exp_003,OS,NA,NA,NA,NA,NA,NA,NA
Exp_003,GV,NA,NA,NA,NA,NA,NA,NA
Exp_003,IN,NA,NA,NA,NA,NA,NA,NA
Exp_003,GI,NA,NA,NA,NA,NA,NA,NA
Exp_003,EM,NA,NA,NA,NA,NA,NA,NA
Exp_003,RU,NA,NA,NA,NA,NA,NA,NA
Exp_003,HS,NA,NA,NA,NA,NA,NA,NA
Exp_003,FK,NA,NA,NA,NA,NA,NA,NA
Exp_003,AJ,NA,NA,NA,NA,NA,NA,NA
Exp_003,MP,NA,NA,NA,NA,NA,NA,NA
Exp_003,DY,NA,NA,NA,NA,NA,NA,NA
Exp_003,FG,NA,NA,NA,NA,NA,NA,NA
Exp_003,HV,NA,NA,NA,NA,NA,NA,NA
Exp_003,EH,NA,NA,NA,NA,NA,NA,NA
Exp_003,SV,NA,NA,NA,NA,NA,NA,NA
Exp_003,KL,NA,NA,NA,NA,NA,NA,NA
Exp_003,IV,NA,NA,NA,NA,NA,NA,NA
Exp_003,IZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,GR,NA,NA,NA,NA,NA,NA,NA
Exp_003,HM,NA,NA,NA,NA,NA,NA,NA
Exp_003,OX,NA,NA,NA,NA,NA,NA,NA
Exp_003,NY,NA,NA,NA,NA,NA,NA,NA
Exp_003,PU,NA,NA,NA,NA,NA,NA,NA
Exp_003,KU,NA,NA,NA,NA,NA,NA,NA
Exp_003,AN,NA,NA,NA,NA,NA,NA,NA
Exp_003,MY,NA,NA,NA,NA,NA,NA,NA
Exp_003,RS,NA,NA,NA,NA,NA,NA,NA
Exp_003,AX,NA,NA,NA,NA,NA,NA,NA
Exp_003,CS,NA,NA,NA,NA,NA,NA,NA
Exp_003,DN,NA,NA,NA,NA,NA,NA,NA
Exp_003,BL,NA,NA,NA,NA,NA,NA,NA
Exp_003,KN,NA,NA,NA,NA,NA,NA,NA
Exp_003,GP,NA,NA,NA,NA,NA,NA,NA
Exp_003,HX,NA,NA,NA,NA,NA,NA,NA
Exp_003,CY,NA,NA,NA,NA,NA,NA,NA
Exp_003,OZ,NA,NA,NA,NA,NA,NA,NA
Exp_003,CR,NA,NA,NA,NA,NA,NA,NA
Exp_003,FT,NA,NA,NA,NA,NA,NA,NA
Exp_003,EJ,NA,NA,NA,NA,NA,NA,NA
Exp_003,EX,NA,NA,NA,NA,NA,NA,NA
Exp_003,DU,NA,NA,NA,NA,NA,NA,NA
Exp_003,RT,NA,NA,NA,NA,NA,NA,NA
Exp_003,HN,NA,NA,NA,NA,NA,NA,NA
Exp_003,XY,NA,NA,NA,NA,NA,NA,NA
Exp_003,KV,NA,NA,NA,NA,NA,NA,NA
Exp_003,PT,NA,NA,NA,NA,NA,NA,NA
Exp_003,KP,NA,NA,NA,NA,NA,NA,NA
Exp_003,QS,NA,NA,NA,NA,NA,NA,NA
Exp_003,PX,NA,NA,NA,NA,NA,NA,NA
Exp_003,EN,NA,NA,NA,NA,NA,NA,NA
Exp_003,IJ,NA,NA,NA,NA,NA,NA,NA
Exp_003,FO,NA,NA,NA,NA,NA,NA,NA
Exp_003,HJ,NA,NA,NA,NA,NA,NA,NA
Exp_003,NS,NA,NA,NA,NA,NA,NA,NA
Exp_003,EU,NA,NA,NA,NA,NA,NA,NA
Exp_003,FN,NA,NA,NA,NA,NA,NA,NA
Exp_003,EO,NA,NA,NA,NA,NA,NA,NA
Exp_003,JM,NA,NA,NA,NA,NA,NA,NA
Exp_003,FM,NA,NA,NA,NA,NA,NA,NA
Exp_003,JU,NA,NA,NA,NA,NA,NA,NA
Exp_003,HP,NA,NA,NA,NA,NA,NA,NA
Exp_003,AT,NA,NA,NA,NA,NA,NA,NA
Exp_003,AC,NA,NA,NA,NA,NA,NA,NA
Exp_003,DM,NA,NA,NA,NA,NA,NA,NA
Exp_003,AE,NA,NA,NA,NA,NA,NA,NA
Exp_003,MO,NA,NA,NA,NA,NA,NA,NA
Exp_003,PW,NA,NA,NA,NA,NA,NA,NA
Exp_003,IM,NA,NA,NA,NA,NA,NA,NA
Exp_003,CO,NA,NA,NA,NA,NA,NA,NA
Exp_003,OR,NA,NA,NA,NA,NA,NA,NA
