"","labels","EH_ID","infHistory","Strain","HybridStatus","primary","challenge","dpi","weight","weight_dpi0","Wchange","fecweight","oocyst_1","oocyst_2","oocyst_3","oocyst_4","average","OPG","comment","volume_PBS_mL","totalOocysts","IFNy_FEC","IFNy_CEWE","delta","CXCR3","IL.12","IRG6","Caecum","Eim_MC"
"99","E7aDTW","LM_0261","E64:E88","PWD_SCHUNT","inter subsp. hybrids","E64","E88",3,19.56,20.09,97.36,1.25,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"100","E7aDUZ","LM_0233","E88:E88","STRA_STRA","parental strains","E88","E88",0,29.77,29.77,100,2.85,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"101","E7aDVW","LM_0254","E88:E88","SCHUNT_PWD","inter subsp. hybrids","E88","E88",6,22.26,22.32,99.73,2.39,0,0,0,0,0,0,NA,1,0,5.68730891054033,NA,NA,NA,NA,NA,NA,NA
"102","E7aEFL","LM_0235","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",5,19.81,19.58,101.17,1.49,22,47,31,51,37.75,253355.704697987,NA,1,377500,NA,NA,NA,NA,NA,NA,NA,NA
"103","E7aEFQ","LM_0239","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",3,19.33,19.41,99.59,1.99,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"104","E7aEHM","LM_0235","E88:E64","STRA_SCHUNT","outbred hybrids","E88","E64",2,19.35,19.58,98.83,1.11,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"105","E7aEIQ","LM_0239","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",0,19.41,19.41,100,1.94,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"106","E7aEIU","LM_0268","E64:E88","SCHUNT_SCHUNT","parental strains","E64","E88",2,19.69,20.84,94.48,1.14,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"107","E7aEJN","LM_0228","E88:E64","STRA_BUSNA","inter subsp. hybrids","E88","E64",0,21.23,21.23,100,1.24,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"108","E7aEJP","LM_0257","E88:E64","SCHUNT_SCHUNT","parental strains","E88","E64",2,22.51,22.75,98.95,1.14,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"109","E7aEKV","LM_0234","E88:E64","STRA_STRA","parental strains","E88","E64",3,33,32.76,100.73,1.46,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"110","E7aEKX","LM_0240","E88:E64","SCHUNT_PWD","inter subsp. hybrids","E88","E64",3,21.24,20.45,103.86,1.6,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"111","E7aELV","LM_0264","E64:E88","PWD_PWD","parental strains","E64","E88",0,17.88,17.88,100,0.66,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"112","E7aELZ","LM_0227","E88:E64","BUSNA_STRA","inter subsp. hybrids","E88","E64",4,22.88,23.86,95.89,2.23,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"113","E7aEMW","LM_0229","E88:E88","SCHUNT_SCHUNT","parental strains","E88","E88",8,19.01,19.06,99.74,2.36,0,0,0,0,0,0,NA,1,0,1.65664455658793,11.9382981889895,-7.12,-7.4325,-4.6475,-3.1225,"neg","neg"
"114","E7aENV","LM_0264","E64:E88","PWD_PWD","parental strains","E64","E88",3,18.27,17.88,102.18,0.89,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"115","E7aEOT","LM_0251","E88:E88","STRA_BUSNA","inter subsp. hybrids","E88","E88",8,21.84,23.16,94.3,1.32,0,0,0,0,0,0,NA,1,0,10.7285610680602,1.71942881541789,-4.73,-8.835,-6.47,-4.365,"pos","pos"
"116","E7aEQV","LM_0236","E88:E64","STRA_STRA","parental strains","E88","E64",5,25.72,26.25,97.98,1.96,47,29,38,27,35.25,179846.93877551,NA,1,352500,NA,NA,NA,NA,NA,NA,NA,NA
"117","E7aERS","LM_0268","E64:E88","SCHUNT_SCHUNT","parental strains","E64","E88",5,19.55,20.84,93.81,2.5,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"118","E7aERY","LM_0233","E88:E88","STRA_STRA","parental strains","E88","E88",3,30.71,29.77,103.16,1.66,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"119","E7aESW","LM_0228","E88:E64","STRA_BUSNA","inter subsp. hybrids","E88","E64",5,23.47,21.23,110.55,1.32,55,51,48,44,49.5,375000,NA,1,495000,NA,NA,NA,NA,NA,NA,NA,NA
"120","E7aEWY","LM_0238","E88:E64","PWD_BUSNA","outbred hybrids","E88","E64",6,20.47,21.39,95.7,0.47,2,2,4,2,2.5,53191.4893617021,NA,1,25000,NA,NA,NA,NA,NA,NA,NA,NA
"121","E7aFGH","LM_0232","E88:E88","BUSNA_STRA","inter subsp. hybrids","E88","E88",7,27.02,26.37,102.46,1.67,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"122","E7aFGM","LM_0255","E88:E64","BUSNA_BUSNA","parental strains","E88","E64",2,18.58,18.26,101.75,0.96,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
