original.label,Exp_ID,prelim_labels,date,comment,weight,weightloss,weightRelativeToInfection,fecweight,dayFollowWeight,PIN,weightAtStart,weightlossBeforeInf,weightRelativeToStart,EH_id
8513,Exp004,32,31-05-18,1g seeds mix in petri dish,13.8,NA,NA,NA,24,SY F 8513 G43 L5,14.5,0.699999999999999,95.1724137931034,LM0154
526,Exp004,1,30-05-18,1g seeds mix in petri dish,27.6,NA,NA,NA,23,EX F 526 G55 P2,25.4,-2.2,108.661417322835,LM0151
9619,Exp004,2,30-05-18,1g seeds mix in petri dish,18.5,NA,NA,NA,23,SY F 9619 G60 P2,18,-0.5,102.777777777778,LM0172
8514,Exp004,3,30-05-18,1g seeds mix in petri dish,12,NA,NA,NA,23,SY F 8514 G43 P2,12.1,0.0999999999999996,99.1735537190083,LM0153
9620,Exp004,4,30-05-18,1g seeds mix in petri dish,16.6,NA,NA,NA,23,SY F 9620 G60 P3,16.5,-0.100000000000001,100.606060606061,LM0156
9617,Exp004,5,30-05-18,1g seeds mix in petri dish,18.5,NA,NA,NA,23,SY M 9617 G60 L3,16.6,-1.9,111.44578313253,LM0178
8481,Exp004,6,30-05-18,1g seeds mix in petri dish,17,NA,NA,NA,23,SY F 8481 G37 L3,17.4,0.399999999999999,97.7011494252874,LM0152
525,Exp004,7,30-05-18,1g seeds mix in petri dish,34.2,NA,NA,NA,23,EX M 525 G55 L3,31.8,-2.4,107.547169811321,LM0161
9618,Exp004,8,30-05-18,1g seeds mix in petri dish,16.9,NA,NA,NA,23,SY F 9618 G60 L4,16.1,-0.799999999999997,104.968944099379,LM0147
8486,Exp004,9,30-05-18,1g seeds mix in petri dish,16.6,NA,NA,NA,23,SY F 8486 G38 P5,17.3,0.699999999999999,95.9537572254335,LM0162
8505,Exp004,10,30-05-18,1g seeds mix in petri dish,13,NA,NA,NA,23,SY M 8505 G43 P2,12.4,-0.6,104.838709677419,LM0167
8478,Exp004,11,30-05-18,1g seeds mix in petri dish,23.6,NA,NA,NA,23,SY M 8478 G37 P4,23.2,-0.400000000000002,101.724137931034,LM0164
