,EH_ID,Strain,HybridStatus,primary,challenge,labels,dpi,weight,weight_dpi0,Wchange,fecweight,average,volume_PBS_mL,totalOocysts,OPG,infHistory
366,LM0280,SCHUNT_SCHUNT,parental strains,E64,E64,2IMP,0,17.57,17.57,100,1.28,0,1,0,0,E64:E64
367,LM0280,SCHUNT_SCHUNT,parental strains,E64,E64,2MRZ,8,18.5,17.57,105.2931133,1.42,0,1,0,0,E64:E64
368,LM0280,SCHUNT_SCHUNT,parental strains,E64,E64,2HKN,4,18.12,17.57,103.1303358,1.07,0,1,0,0,E64:E64
369,LM0280,SCHUNT_SCHUNT,parental strains,E64,E64,2LQU,5,18.96,17.57,107.9112123,1.64,0.25,1,2500,1524.39024390244,E64:E64
370,LM0282,STRA_STRA,parental strains,E64,E88,2HNO,6,34.11,30.09,113.3599202,2.13,0,1,0,0,E64:E88
371,LM0282,STRA_STRA,parental strains,E64,E88,2RWX,2,31.29,30.09,103.9880359,2.35,0,1,0,0,E64:E88
372,LM0282,STRA_STRA,parental strains,E64,E88,2RWZ,0,30.09,30.09,100,2.25,0,1,0,0,E64:E88
373,LM0282,STRA_STRA,parental strains,E64,E88,2FGZ,4,33.15,30.09,110.1694915,1.75,0,1,0,0,E64:E88
374,LM0282,STRA_STRA,parental strains,E64,E88,2AUW,3,32.85,30.09,109.1724826,1.65,0,1,0,0,E64:E88
375,LM0282,STRA_STRA,parental strains,E64,E88,2ABC,7,34.57,30.09,114.8886673,1.64,0,1,0,0,E64:E88
376,LM0282,STRA_STRA,parental strains,E64,E88,2GLS,1,30.62,30.09,101.7613825,2.34,0,1,0,0,E64:E88
377,LM0282,STRA_STRA,parental strains,E64,E88,2IOZ,5,32.47,30.09,107.9096045,2.84,0,1,0,0,E64:E88
378,LM0282,STRA_STRA,parental strains,E64,E88,2FRU,8,35.04,30.09,116.4506481,1.96,0,1,0,0,E64:E88
379,LM0283,PWD_PWD,parental strains,E64,E88,2AWX,6,19.3,19.1,101.0471204,1.59,0,1,0,0,E64:E88
380,LM0283,PWD_PWD,parental strains,E64,E88,2QRS,5,18.4,19.1,96.33507853,1.81,0,1,0,0,E64:E88
381,LM0283,PWD_PWD,parental strains,E64,E88,2FJN,2,18.42,19.1,96.43979058,1.7,0,1,0,0,E64:E88
382,LM0283,PWD_PWD,parental strains,E64,E88,2AJN,7,19.07,19.1,99.84293194,1.13,0,1,0,0,E64:E88
383,LM0283,PWD_PWD,parental strains,E64,E88,2JMO,0,19.1,19.1,100,1.31,0,1,0,0,E64:E88
384,LM0283,PWD_PWD,parental strains,E64,E88,2BMR,3,18.88,19.1,98.84816754,1.12,0,1,0,0,E64:E88
385,LM0283,PWD_PWD,parental strains,E64,E88,2LYZ,8,19.35,19.1,101.3089005,1.49,0,1,0,0,E64:E88
386,LM0283,PWD_PWD,parental strains,E64,E88,2CGR,4,19.54,19.1,102.3036649,1.05,0,1,0,0,E64:E88
387,LM0283,PWD_PWD,parental strains,E64,E88,2KPU,1,19.4,19.1,101.5706806,1.5,0,1,0,0,E64:E88
388,LM0284,STRA_BUSNA,inter subsp. hybrids,E64,E64,2FMV,3,22.76,22.39,101.6525234,1.95,0,1,0,0,E64:E64
389,LM0284,STRA_BUSNA,inter subsp. hybrids,E64,E64,2LRS,8,23.55,22.39,105.1808843,1.5,0.25,1,2500,1666.66666666667,E64:E64
