"","EH_ID","labels","Strain","HybridStatus","primary","challenge","dpi","weight","weight_dpi0","Wchange","fecweight","oocyst_1","oocyst_2","oocyst_3","oocyst_4","average","OPG","comment","volume_PBS_mL","totalOocysts","infHistory","IFNy_FEC","IFNy_CEWE","Caecum","delta","CXCR3","IRG6","IL.12","Sample","cell.counting.x106.","cell_counts","ThCD4p","TcCD8p","Th1IFNgp_in_CD4p","Th17IL17Ap_in_CD4p","Tc1IFNgp_in_CD8p","Treg_Foxp3_in_CD4p","Dividing_Ki67p_in_Foxp3p","RORgtp_in_Foxp3p","Th1Tbetp_in_CD4pFoxp3n","Dividing_Ki67p_in_Tbetp","Th17RORgp_in_CD4pFoxp3n","Dividing_Ki67p_in_RORgtp","Position","ThCD4p.cells","TcCD8p.cells","Th1IFNgp_in_CD4p.cells","Th17IL17Ap_in_CD4p.cells","Treg_Foxp3_in_CD4p.cells","Tc1IFNgp_in_CD8p.cells","RORgtp_in_Foxp3p.cells","Dividing_Ki67p_in_Foxp3p.cells","Dividing_Ki67p_in_RORgtp.cells","ThCD4p_Foxp3n","ThCD4p_Foxp3n.cells","Th1Tbetp_in_CD4pFoxp3n.cells","Th17RORgp_in_CD4pFoxp3n.cells","Dividing_Ki67p_in_Tbetp.cells"
"11","LM_0233","E7aSTU","STRA_STRA","parental strains","E88","E88",8,29.96,29.77,100.64,1.75,0,0,0,0,0,0,NA,1,0,"E88:E88",4.86923097297706,809.333333333333,"neg",-5.97,-11.1725,NA,-6.1225,"41: Posterior LN_33_017.fcs",13.2,13200000,45.96,26.25,3.17,1.41,17.79,6.23,43.92,24.3,4.34,80.46,0.81,43.02,"Posterior",6066720,3465000,192315.024,85540.752,377956.656,616423.5,91843.467408,40337.6508855936,39511.0596789216,89.19,6066713.77,263295.377618,49140.381537,211847.460831443
"12","LM_0233","E7aSTU","STRA_STRA","parental strains","E88","E88",8,29.96,29.77,100.64,1.75,0,0,0,0,0,0,NA,1,0,"E88:E88",4.86923097297706,809.333333333333,"neg",-5.97,-11.1725,NA,-6.1225,"6: Anterior LN_33_044.fcs",21,21000000,39.31,26.9,10.63,0.89,41.05,6.89,27.64,17.77,10.5,80.86,2.03,77.88,"Anterior",8255100,5649000,877517.13,73470.39,568776.39,2318914.5,101071.564503,27936.1804286292,78714.5344349364,81.59,8255093.11,866784.77655,167578.390133,700882.17031833
"13","LM_0234","E7aBLW","STRA_STRA","parental strains","E88","E64",8,32.64,32.76,99.63,1.63,4,10,7,6,6.75,41411.0429447853,NA,1,67500,"E88:E64",5.98219397547729,1090.33333333333,"pos",-7.89,NA,NA,NA,"42: Posterior LN_34_004.fcs",25,25000000,51.02,7.46,9.29,0.4,46.37,5.34,38.95,22.26,7.82,44.7,1.09,22.55,"Posterior",12755000,1865000,1184939.5,51020,681117,864800.5,151616.6442,59054.6829159,34189.5532671,84.97,12754994.66,997440.582412,139029.441794,445855.940338164
"14","LM_0234","E7aBLW","STRA_STRA","parental strains","E88","E64",8,32.64,32.76,99.63,1.63,4,10,7,6,6.75,41411.0429447853,NA,1,67500,"E88:E64",5.98219397547729,1090.33333333333,"pos",-7.89,NA,NA,NA,"7: Anterior LN_34_031.fcs",23,23000000,54.1,18.61,1.82,0.2,21.96,7.3,17.12,22.76,1.52,33.96,1.08,27.86,"Anterior",12443000,4280300,226462.6,24886,908339,939953.88,206737.9564,35393.53813568,57597.19465304,90.68,12442992.7,189133.48904,134384.32116,64229.732877984
"15","LM_0235","E7aDTU","STRA_SCHUNT","outbred hybrids","E88","E64",8,19.51,19.58,99.64,0.95,1,0,1,0,0.5,5263.15789473684,NA,1,5000,"E88:E64",2.12034089731856,528.333333333333,"pos",-5.84,-8.6925,-3.0275,-5.5975,"43: Posterior LN_35_005.fcs",13.7,13700000,44.14,12.6,7.69,2.17,25.71,8.44,62.16,17.85,6.98,60.92,0.99,29.14,"Posterior",6047180,1726200,465028.142,131223.806,510381.992,443806.02,91103.185572,56629.7401515552,26547.4682756808,81.7,6047171.56,422092.574888,59866.998444,257138.79662177
"16","LM_0235","E7aDTU","STRA_SCHUNT","outbred hybrids","E88","E64",8,19.51,19.58,99.64,0.95,1,0,1,0,0.5,5263.15789473684,NA,1,5000,"E88:E64",2.12034089731856,528.333333333333,"pos",-5.84,-8.6925,-3.0275,-5.5975,"8: Anterior LN_35_032.fcs",15.4,15400000,44.83,7.47,2.84,0.32,18.36,5.96,16.81,10.39,3.04,25.44,0.86,31.63,"Anterior",6903820,1150380,196068.488,22092.224,411467.672,211209.768,42751.4911208,7186.52565740648,13522.296641509,90.88,6903814.04,209875.946816,59372.800744,53392.4408699904
"17","LM_0236","E7aFRU","STRA_STRA","parental strains","E88","E64",8,27.05,26.25,103.05,2.33,8,4,11,8,7.75,33261.8025751073,NA,1,77500,"E88:E64",0.939915392134487,1168.66666666667,"pos",-6.02,NA,NA,NA,"44: Posterior LN_36_006.fcs",17.5,17500000,54.41,12.83,1.61,0.54,12.95,7.48,23.21,20.59,1.45,32.84,1.54,13.95,"Posterior",9521750,2245250,153300.175,51417.45,712226.9,290759.875,146647.51871,34036.889092591,20457.328860045,90.37,9521742.52,138065.26654,146634.834808,45340.633531736
"18","LM_0236","E7aFRU","STRA_STRA","parental strains","E88","E64",8,27.05,26.25,103.05,2.33,8,4,11,8,7.75,33261.8025751073,NA,1,77500,"E88:E64",0.939915392134487,1168.66666666667,"pos",-6.02,NA,NA,NA,"9: Anterior LN_36_033.fcs",20,20000000,47.38,8.73,9.5,0.41,42.16,5.47,27.86,17.89,6.67,77.2,1.25,62.3,"Anterior",9476000,1746000,900220,38851.6,518337.2,736113.6,92730.52508,25834.724287288,57771.11712484,84.62,9475994.53,632048.835151,118449.931625,487941.700736572
"19","LM_0238","E7aLYZ","PWD_BUSNA","outbred hybrids","E88","E64",8,20.41,21.39,95.42,1.38,22,23,22,20,21.75,157608.695652174,NA,1,217500,"E88:E64",3.47981538698723,608.5,"pos",-4.42,-10.3425,-4.3375,-6.3925,"45: Posterior LN_38_007.fcs",9,9000000,47.44,19.68,2.3,0.72,7.74,5.79,45.41,27.97,2.65,24.66,0.87,34.44,"Posterior",4269600,1771200,98200.8,30741.12,247209.84,137090.88,69144.592248,31398.5593398168,23813.3975702112,91.19,4269594.21,113144.246565,37145.469627,27901.371202929
"20","LM_0238","E7aLYZ","PWD_BUSNA","outbred hybrids","E88","E64",8,20.41,21.39,95.42,1.38,22,23,22,20,21.75,157608.695652174,NA,1,217500,"E88:E64",3.47981538698723,608.5,"pos",-4.42,-10.3425,-4.3375,-6.3925,"10: Anterior LN_38_034.fcs",7,7000000,45.64,15.28,9.29,0.22,30.23,5.25,21.39,9.94,10.5,54.72,0.96,48.16,"Anterior",3194800,1069600,296796.92,7028.56,167727,323340.08,16672.0638,3566.15444682,8029.26592608,85.24,3194794.75,335453.44875,30670.0296,183560.127156
"21","LM_0239","E7aJMR","SCHUNT_SCHUNT","parental strains","E88","E88",8,18.47,19.41,95.16,2.87,0,0,0,0,0,0,NA,1,0,"E88:E88",5.68730891054033,237.833333333333,"pos",-6.76,NA,NA,NA,"46: Posterior LN_39_018.fcs",3.5,3500000,51.28,29.09,4.74,0.87,37.51,10.69,18.11,10.23,2.96,33.66,1.79,22.67,"Posterior",1794800,1018150,85073.52,15614.76,191864.12,381908.065,19627.699476,3554.5763751036,4449.5994712092,83.7,1794789.31,53125.763576,32126.728649,17882.1320196816
"22","LM_0239","E7aJMR","SCHUNT_SCHUNT","parental strains","E88","E88",8,18.47,19.41,95.16,2.87,0,0,0,0,0,0,NA,1,0,"E88:E88",5.68730891054033,237.833333333333,"pos",-6.76,NA,NA,NA,"11: Anterior LN_39_045.fcs",3.5,3500000,41.18,7.92,14.43,0.71,40.97,5.73,26.43,22.16,7.86,72.77,2.08,64.29,"Anterior",1441300,277200,207979.59,10233.23,82586.49,113568.84,18301.166184,4836.9982224312,11765.8197396936,79.13,1441294.27,113285.729622,29978.920816,82438.0254459294
"23","LM_0240","E7aCIW","SCHUNT_PWD","inter subsp. hybrids","E88","E64",8,20.45,20.45,100,1.39,0,0,0,1,0.25,1798.56115107914,NA,1,2500,"E88:E64",5.61738807203253,424,"pos",-6.65,-8.47,-2.455,-5.66,"47: Posterior LN_40_008.fcs",7.4,7400000,33.8,5.21,4.12,1.02,26.66,6.28,44.41,14.88,2.68,32.59,1.01,36.25,"Posterior",2501200,385540,103049.44,25512.24,157075.36,102784.964,23372.813568,10379.8665055488,8472.6449184,88.58,2501193.72,67031.991696,25262.056572,21845.7260937264
"24","LM_0240","E7aCIW","SCHUNT_PWD","inter subsp. hybrids","E88","E64",8,20.45,20.45,100,1.39,0,0,0,1,0.25,1798.56115107914,NA,1,2500,"E88:E64",5.61738807203253,424,"pos",-6.65,-8.47,-2.455,-5.66,"12: Anterior LN_40_035.fcs",3,3000000,42.44,26.66,5.42,0.52,27.98,8.04,12.91,7.98,8.09,79.62,1.1,62.38,"Anterior",1273200,799800,69007.44,6620.64,102365.28,223784.04,8168.749344,1054.5855403104,5095.6658407872,86.02,1273191.96,103001.229564,14005.11156,82009.5789788568
"25","LM_0247","E7aJMX","STRA_SCHUNT","outbred hybrids","E88","E88",8,25.93,27.13,95.58,7.14,0,1,0,0,0.25,350.140056022409,NA,1,2500,"E88:E88",5.74965573181054,148.5,"pos",-4.68,-11.1375,-3.9525,-6.0825,"13: Anterior LN_47_046.fcs",8.4,8400000,66.93,14.32,2.16,0.5,14.05,3.86,17.03,21.02,1.92,14.76,1.05,31.56,"Anterior",5622120,1202880,121437.792,28110.6,217013.832,169004.64,45616.3074864,7768.45716493392,14396.5066427078,93.48,5622116.14,107944.629888,59032.21947,15932.6273714688
"26","LM_0247","E7aJMX","STRA_SCHUNT","outbred hybrids","E88","E88",8,25.93,27.13,95.58,7.14,0,1,0,0,0.25,350.140056022409,NA,1,2500,"E88:E88",5.74965573181054,148.5,"pos",-4.68,-11.1375,-3.9525,-6.0825,"48: Posterior LN_47_019.fcs",2.3,2300000,55.3,21.94,0.41,0.26,6.76,4.96,18.26,17.5,0.83,33.67,0.75,13.06,"Posterior",1271900,504620,5214.79,3306.94,63086.24,34112.312,11040.092,2015.9207992,1441.8360152,94.37,1271895.04,10556.728832,9539.2128,3554.4505977344
"27","LM_0248","E7aAPS","STRA_SCHUNT","outbred hybrids","E88","E64",8,20.58,23.46,87.72,2.5,0,2,0,2,1,4000,NA,1,10000,"E88:E64",4.43651968737429,307.333333333333,"pos",-6.92,NA,NA,NA,"49: Posterior LN_48_009.fcs",24.3,24300000,56.11,28.29,1.51,0.53,10.49,5.45,24.93,10.25,1.44,27.99,0.58,19.17,"Posterior",13634730,6874470,205884.423,72264.069,743092.785,721131.903,76167.0104625,18988.4357083012,14601.2159056612,92.51,13634724.55,196340.03352,79081.40239,54955.575382248
"28","LM_0248","E7aAPS","STRA_SCHUNT","outbred hybrids","E88","E64",8,20.58,23.46,87.72,2.5,0,2,0,2,1,4000,NA,1,10000,"E88:E64",4.43651968737429,307.333333333333,"pos",-6.92,NA,NA,NA,"14: Anterior LN_48_036.fcs",9.4,9400000,35.08,32.28,12.41,1.08,38.24,8.08,30.55,14.15,11.3,64.38,0.97,59.65,"Anterior",3297520,3034320,409222.232,35613.216,266439.616,1160323.968,37701.205664,11517.718330352,22488.769178576,78.43,3297511.92,372618.84696,31985.865624,239892.013672848
"29","LM_0249","E7aPSV","SCHUNT_STRA","outbred hybrids","E88","E64",8,24.4,26.1,93.49,2.71,1,0,1,1,0.75,2767.52767527675,NA,1,7500,"E88:E64",1.62435853414336,242.666666666667,"pos",-5.96,-9.7675,-4.1475,-6.6525,"15: Anterior LN_49_037.fcs",9.4,9400000,54.23,20.31,2.47,0.21,14.69,6.42,8.61,13.4,2.73,18.17,0.94,28.54,"Anterior",5097620,1909140,125911.214,10705.002,327267.204,280452.666,43853.805336,3775.8126394296,12515.8760428944,90.9,5097613.58,139164.850734,47917.567652,25286.2533783678
"30","LM_0249","E7aPSV","SCHUNT_STRA","outbred hybrids","E88","E64",8,24.4,26.1,93.49,2.71,1,0,1,1,0.75,2767.52767527675,NA,1,7500,"E88:E64",1.62435853414336,242.666666666667,"pos",-5.96,-9.7675,-4.1475,-6.6525,"50: Posterior LN_49_010.fcs",8.9,8900000,46.36,20.09,2.7,1.75,18.06,15.52,55.31,17,7.67,87.12,2.17,73.12,"Posterior",4126040,1788010,111403.08,72205.7,640361.408,322914.606,108861.43936,60211.262110016,79599.484460032,80.03,4126024.48,316466.077616,89534.731216,275705.246819059
"31","LM_0251","E7aEOT","STRA_BUSNA","inter subsp. hybrids","E88","E88",8,21.84,23.16,94.3,1.32,0,0,0,0,0,0,NA,1,0,"E88:E88",10.7285610680602,35.5,"pos",-4.73,-8.835,-4.365,-6.47,"51: Posterior LN_51_020.fcs",2.3,2300000,58.8,19.95,3.76,0.84,24.6,5.19,51.35,23.41,7.99,52.81,2.81,27.39,"Posterior",1352400,458850,50850.24,11360.16,70189.56,112877.1,16431.375996,8437.511573946,4500.5538853044,90.21,1352394.81,108056.345319,38002.294161,57064.5559629639
"32","LM_0251","E7aEOT","STRA_BUSNA","inter subsp. hybrids","E88","E88",8,21.84,23.16,94.3,1.32,0,0,0,0,0,0,NA,1,0,"E88:E88",10.7285610680602,35.5,"pos",-4.73,-8.835,-4.365,-6.47,"16: Anterior LN_51_047.fcs",4.7,4700000,39.38,15.77,10.06,1.28,34.01,6.04,27.84,35.6,9.41,64.44,1.61,50.22,"Anterior",1850860,741190,186196.516,23691.008,111791.944,252078.719,39797.932064,11079.7442866176,19986.5214825408,82.62,1850853.96,174165.357636,29798.748756,112232.156460638
"33","LM_0254","E7aBCD","SCHUNT_PWD","inter subsp. hybrids","E88","E88",8,21.04,22.32,94.27,3.97,0,0,0,0,0,0,NA,1,0,"E88:E88",6.3485357460407,218.666666666667,"neg",-8.48,NA,NA,NA,"52: Posterior LN_54_021.fcs",1.5,1500000,51.64,11.9,3.61,0.43,20.16,4.61,30.46,13.21,3.52,17.8,2.33,12.88,"Posterior",774600,178500,27963.06,3330.78,35709.06,35985.6,4717.166826,1436.8490151996,607.5710871888,91.35,774595.39,27265.757728,18048.072587,4853.304875584
"34","LM_0254","E7aBCD","SCHUNT_PWD","inter subsp. hybrids","E88","E88",8,21.04,22.32,94.27,3.97,0,0,0,0,0,0,NA,1,0,"E88:E88",6.3485357460407,218.666666666667,"neg",-8.48,NA,NA,NA,"17: Anterior LN_54_048.fcs",2.4,2400000,43.63,19.07,4.65,0.98,26.18,7.01,18.6,17.71,5.62,55.05,1.19,35.18,"Anterior",1047120,457680,48691.08,10261.776,73403.112,119820.624,12999.6911352,2417.9425511472,4573.29134136336,87.36,1047112.99,58847.750038,12460.644581,32395.686395919
"35","LM_0255","E7aMOR","BUSNA_BUSNA","parental strains","E88","E64",8,16.99,18.26,93.04,1.41,5,11,13,8,9.25,65602.8368794326,NA,1,92500,"E88:E64",7.0619457854202,866.166666666667,"pos",-2.73,-10.875,-3.245,-6.495,"53: Posterior LN_55_011.fcs",15,15000000,56.83,31.19,0.91,0.53,10.22,8.21,18.63,7.25,0.89,25.43,0.59,30.52,"Posterior",8524500,4678500,77572.95,45179.85,699861.45,478142.7,50739.955125,9452.8536397875,15485.83430415,90.35,8524491.79,75867.976931,50294.501561,19293.2265335533
"36","LM_0255","E7aMOR","BUSNA_BUSNA","parental strains","E88","E64",8,16.99,18.26,93.04,1.41,5,11,13,8,9.25,65602.8368794326,NA,1,92500,"E88:E64",7.0619457854202,866.166666666667,"pos",-2.73,-10.875,-3.245,-6.495,"18: Anterior LN_55_038.fcs",5.6,5600000,63.37,17.22,1.95,0.4,17.71,5.35,14.79,14.02,1.91,29.06,0.61,25.34,"Anterior",3548720,964320,69200.04,14194.88,189856.52,170781.072,26617.884104,3936.7850589816,6744.9718319536,92.3,3548714.65,67780.449815,21647.159365,19696.998716239
"37","LM_0256","E7aJVZ","STRA_STRA","parental strains","E88","E88",8,29.82,29.15,102.3,2.16,0,0,0,0,0,0,NA,1,0,"E88:E88",3.4229556011352,137.833333333333,"neg",-8.9,-8.5175,-2.1375,-4.0625,"54: Posterior LN_56_022.fcs",11.1,11100000,43.49,23.02,1.93,0.63,5.32,8.57,48.12,12.54,5.4,69.2,0.75,36.09,"Posterior",4827390,2555220,93168.627,30412.557,413707.323,135937.704,51878.8983042,24964.125863981,18723.0943979858,88.87,4827381.43,260678.59722,36205.360725,180389.58927624
"38","LM_0256","E7aJVZ","STRA_STRA","parental strains","E88","E88",8,29.82,29.15,102.3,2.16,0,0,0,0,0,0,NA,1,0,"E88:E88",3.4229556011352,137.833333333333,"neg",-8.9,-8.5175,-2.1375,-4.0625,"19: Anterior LN_56_049.fcs",17,17000000,52.68,30.61,2.14,0.26,19.48,6.64,15.62,10.11,1.5,19.84,0.62,24.57,"Anterior",8955600,5203700,191649.84,23284.56,594651.84,1013680.76,60119.301024,9390.6348199488,14771.3122615968,90.96,8955593.36,134333.9004,55524.678832,26651.84583936
"39","LM_0257","E7aJQU","SCHUNT_SCHUNT","parental strains","E88","E64",8,20.44,22.75,89.85,1.46,4,1,1,1,1.75,11986.301369863,NA,1,17500,"E88:E64",6.97024477714995,200.5,"pos",-6.93,-10.995,-3.45,-5.385,"55: Posterior LN_57_012.fcs",5.3,5300000,46.5,29,1.18,1.04,10.29,8.98,36.55,7.26,2.43,78.79,0.54,53.99,"Posterior",2464500,1537000,29081.1,25630.8,221312.1,158157.3,16067.25846,5872.58296713,8674.712842554,88.8,2464491.02,59887.131786,13308.251508,47185.0711341894
"40","LM_0257","E7aJQU","SCHUNT_SCHUNT","parental strains","E88","E64",8,20.44,22.75,89.85,1.46,4,1,1,1,1.75,11986.301369863,NA,1,17500,"E88:E64",6.97024477714995,200.5,"pos",-6.93,-10.995,-3.45,-5.385,"20: Anterior LN_57_039.fcs",3.2,3200000,35.15,23.44,2.72,1.04,32.66,8.17,21.37,6.82,8.35,91.51,3.75,69.96,"Anterior",1124800,750080,30594.56,11697.92,91896.16,244976.128,6267.318112,1339.3258805344,4384.6157511552,88.07,1124791.83,93920.117805,42179.693625,85946.2998033555
"41","LM_0258","E7aHVW","BUSNA_PWD","outbred hybrids","E64","E64",8,18.28,19.74,92.6,1.22,4,4,3,6,4.25,34836.0655737705,NA,1,42500,"E64:E64",2.83376840524125,212.833333333333,"pos",-5.75,-8.295,-2.285,-5.855,"56: Posterior LN_58_013.fcs",6.4,6400000,60.04,31.51,0.36,0.23,5.87,5.94,16.02,6.35,0.77,29.6,0.59,22.11,"Posterior",3842560,2016640,13833.216,8837.888,228248.064,118376.768,14493.752064,2321.8990806528,3204.5685813504,93.47,3842554.06,29587.666262,22671.068954,8757.949213552
"42","LM_0258","E7aHVW","BUSNA_PWD","outbred hybrids","E64","E64",8,18.28,19.74,92.6,1.22,4,4,3,6,4.25,34836.0655737705,NA,1,42500,"E64:E64",2.83376840524125,212.833333333333,"pos",-5.75,-8.295,-2.285,-5.855,"21: Anterior LN_58_040.fcs",5.1,5100000,54.47,11.02,2.6,0.42,20.84,4.19,14.68,13.61,1.53,20.86,1.06,30.67,"Anterior",2777970,562020,72227.22,11667.474,116396.943,117124.968,15841.6239423,2325.55039472964,4858.62606310341,92.79,2777965.81,42502.876893,29446.437586,8866.1001198798
"43","LM_0259","E7aGHI","STRA_BUSNA","inter subsp. hybrids","E64","E64",8,28.32,28.89,98.03,2.58,2,0,1,0,0.75,2906.97674418605,NA,1,7500,"E64:E64",4.45462750530078,401.333333333333,"neg",-8,-9.505,-3.07,-5.27,"57: Posterior LN_59_014.fcs",10.1,10100000,51.64,34.33,2.06,1.98,10.68,10.91,46.77,10.84,6.58,84.69,1.62,67.81,"Posterior",5215640,3467330,107442.184,103269.672,569026.324,370310.844,61682.4535216,28848.8835120523,41826.871732997,85.05,5215629.09,343188.394122,84493.191258,290646.250981922
"44","LM_0259","E7aGHI","STRA_BUSNA","inter subsp. hybrids","E64","E64",8,28.32,28.89,98.03,2.58,2,0,1,0,0.75,2906.97674418605,NA,1,7500,"E64:E64",4.45462750530078,401.333333333333,"neg",-8,-9.505,-3.07,-5.27,"22: Anterior LN_59_041.fcs",6.9,6900000,58.95,20.25,5.5,0.57,29.91,4.39,25.07,24.46,5.74,59.57,0.91,39.15,"Anterior",4067550,1397250,223715.25,23185.035,178565.445,417917.475,43677.107847,10949.8509372429,17099.5877221005,89.54,4067545.61,233477.118014,37014.665051,139082.31920094
