labels,EH_ID,dpi,weight,weight_dpi0,weightloss,weightRelativeToInfection,fecweight,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG
HW,LM0309,23,,,,,,,,,,,,
LU,LM0310,23,,,,,,,,,,,,
OT,LM0311,23,,,,,,,,,,,,
FQ,LM0312,23,,,,,,,,,,,,
JT,LM0313,23,,,,,,,,,,,,
OU,LM0314,23,,,,,,,,,,,,
RV,LM0315,23,,,,,,,,,,,,
ET,LM0316,23,,,,,,,,,,,,
TZ,LM0317,23,,,,,,,,,,,,
CF,LM0318,23,,,,,,,,,,,,
EY,LM0319,23,,,,,,,,,,,,
CR,LM0304,25,,,,,,,,,,,,
OS,LM0305,25,,,,,,,,,,,,
NO,LM0306,25,,,,,,,,,,,,
BV,LM0307,25,,,,,,,,,,,,
CX,LM0308,25,,,,,,,,,,,,
CD,LM0309,25,,,,,,,,,,,,
DR,LM0310,25,,,,,,,,,,,,
AL,LM0311,25,,,,,,,,,,,,
PX,LM0312,25,,,,,,,,,,,,
NT,LM0313,25,,,,,,,,,,,,
FH,LM0314,25,,,,,,,,,,,,
IS,LM0315,25,,,,,,,,,,,,
BT,LM0316,25,,,,,,,,,,,,
IO,LM0317,25,,,,,,,,,,,,
DS,LM0318,25,,,,,,,,,,,,
IP,LM0319,25,,,,,,,,,,,,
