"","labels","AVG","totalOocysts","EH_ID","dpi","weight","weight_dpi0","faeces_weight","wloss","batch","primary","challenge","infHistory","oocyst_1","oocyst_2","oocyst_3","oocyst_4","OPG"
"62","P3aTQK",83.25,1665000,"LM_0337",8,42.3,44.7,2.76,94.6308724832215,"a","E88","UNI","E88:UNI",102,63,87,81,603260.869565217
"63","P3aTSI",22.5,450000,"LM_0335",7,47,49.4,1.9,95.1417004048583,"a","E88","UNI","E88:UNI",17,19,34,20,236842.105263158
"64","P3aTSY",64.75,1295000,"LM_0343",6,51.6,59.8,0.86,86.2876254180602,"a","E139","UNI","E139:UNI",66,68,64,61,1505813.95348837
"65","P3aTVC",0,0,"LM_0340",4,50.2,54.5,2.56,92.1100917431193,"a","E64","UNI","E64:UNI",0,0,0,0,0
"66","P3aUAS",21.25,425000,"LM_0335",8,45.1,49.4,2.37,91.2955465587045,"a","E88","UNI","E88:UNI",22,23,15,25,179324.894514768
"67","P3aURW",6,120000,"LM_0334",8,44.6,50.7,0.95,87.9684418145957,"a","Eflab","UNI","Eflab:UNI",4,5,7,8,126315.789473684
"68","P3aUWS",0,0,"LM_0338",3,50.4,51.3,2.4,98.2456140350877,"a","E64","E88","E64:E88",0,0,0,0,0
"69","P3aUXG",34.25,685000,"LM_0336",8,47.9,51.9,2.75,92.2928709055877,"a","E88","E64","E88:E64",30,35,34,38,249090.909090909
"70","P3aUZT",0.25,5000,"LM_0340",3,52.7,54.5,1.16,96.697247706422,"a","E64","UNI","E64:UNI",0,0,1,0,4310.34482758621
"71","P3aVKX",40.75,815000,"LM_0337",9,39.7,44.7,1.4,88.8143176733781,"a","E88","UNI","E88:UNI",46,41,37,39,582142.857142857
"72","P3aWMM",20.5,410000,"LM_0343",5,53.3,59.8,1.8,89.1304347826087,"a","E139","UNI","E139:UNI",20,24,21,17,227777.777777778
"73","P3aWSE",4,80000,"LM_0335",10,42.5,49.4,1.54,86.0323886639676,"a","E88","UNI","E88:UNI",3,4,4,5,51948.0519480519
"74","P3aWTG",39.5,790000,"LM_0336",7,49.7,51.9,3.37,95.7610789980732,"a","E88","E64","E88:E64",31,31,41,55,234421.364985163
"75","P3aXYE",0,0,"LM_0342",3,56.3,57,1.8,98.7719298245614,"a","E139","E64","E139:E64",0,0,0,0,0
"76","P3aYJG",7.75,155000,"LM_0332",9,49.9,61.2,0.64,81.5359477124183,"a","Eflab","E88","Eflab:E88",7,9,8,7,242187.5
"77","P3aYMT",45.5,910000,"LM_0347",8,63.7,71.5,4.86,89.0909090909091,"a","E88","E88","E88:E88",45,49,41,47,187242.798353909
"78","P3aYNS",61.5,1230000,"LM_0342",6,52.7,57,1.96,92.4561403508772,"a","E139","E64","E139:E64",62,63,70,51,627551.020408163
"79","P3aYTP",3,60000,"LM_0335",11,43.6,49.4,3.06,88.2591093117409,"a","E88","UNI","E88:UNI",4,3,3,2,19607.8431372549
"80","P3aZQY",0,0,"LM_0346",6,52.5,53.9,3.92,97.4025974025974,"a","UNI","UNI","UNI:UNI",0,0,0,0,0
"81","P3aZTI",18,360000,"LM_0338",6,45.3,51.3,0.7,88.3040935672515,"a","E64","E88","E64:E88",18,17,16,21,514285.714285714
"82","P3bAGV",21.75,435000,"LM_0336",5,46,52.3,0.67,95.4110898661568,"b","E88","E64","E88:E64",23,16,21,27,649253.731343284
"83","P3bAHV",0,0,"LM_0337",6,44.4,44.9,1.59,98.8864142538975,"b","E88","UNI","E88:UNI",0,0,0,0,0
"84","P3bBPM",0.75,15000,"LM_0342",3,51.2,55.6,1.87,94.2446043165468,"b","E139","E64","E139:E64",2,0,1,0,8021.39037433155
"85","P3bBPO",53.5,1070000,"LM_0341",7,54.5,58.1,1.98,93.8037865748709,"b","E139","E88","E139:E88",48,54,53,59,540404.04040404
"86","P3bBQA",0,0,"LM_0343",8,52.9,56.5,1.62,93.6283185840708,"b","E139","UNI","E139:UNI",0,0,0,0,0
"87","P3bBUX",24.75,495000,"LM_0339",5,44.7,48.5,1.11,95.2577319587629,"b","E64","E64","E64:E64",34,16,27,22,445945.945945946
"88","P3bBWS",19.75,395000,"LM_0336",7,43.8,52.3,0.88,83.7476099426386,"b","E88","E64","E88:E64",18,22,19,20,448863.636363636
"89","P3bCRA",4.75,95000,"LM_0332",7,49.8,51.3,2.9,97.0760233918129,"b","Eflab","E88","Eflab:E88",8,2,5,4,32758.6206896552
"90","P3bDGY",13.75,275000,"LM_0333",5,47.4,50,1.69,97,"b","Eflab","E64","Eflab:E64",10,13,13,19,162721.893491124
"91","P3bEFI",1,20000,"LM_0346",5,52.1,53.2,1.04,98.3082706766917,"b","UNI","UNI","UNI:UNI",1,0,2,1,19230.7692307692
"92","P3bFLD",0,0,"LM_0340",8,49.7,53.6,2.44,92.7238805970149,"b","E64","UNI","E64:UNI",0,0,0,0,0
"93","P3bFMI",0.75,15000,"LM_0347",8,60.4,69.1,2.65,87.4095513748191,"b","E88","E88","E88:E88",0,2,0,1,5660.37735849057
"94","P3bFPD",0.5,10000,"LM_0340",7,50.9,53.6,1.67,94.9626865671642,"b","E64","UNI","E64:UNI",2,0,0,0,5988.02395209581
"95","P3bFWG",8,160000,"LM_0338",8,48.3,50.2,1.5,96.2151394422311,"b","E64","E88","E64:E88",8,5,9,10,106666.666666667
"96","P3bFYX",87.75,1755000,"LM_0345",7,54.8,59.2,1.96,92.5675675675675,"b","UNI","E64","UNI:E64",98,92,82,79,895408.163265306
"97","P3bHYO",2.5,50000,"LM_0345",4,56.7,59.2,2.13,97.8040540540541,"b","UNI","E64","UNI:E64",2,2,2,4,23474.1784037559
