"labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution","OPG","Expe"
"DFL","","","","","","","","Expe005_1b"
"QUX","","","","","","","","Expe005_1b"
"FIU","","","","","","","","Expe005_1b"
"AIR","","","","","","","","Expe005_1b"
"EIL","","","","","","","","Expe005_1b"
"OQX","","","","","","","","Expe005_1b"
"IQW","","","","","","","","Expe005_1b"
"AKU","","","","","","","","Expe005_1b"
"BEM","","","","","","","","Expe005_1b"
"KTU","","","","","","","","Expe005_1b"
"DPV","","","","","","","","Expe005_1b"
"DHQ","","","","","","","","Expe005_1b"
"CWX","","","","","","","","Expe005_1b"
"DJU","","","","","","","","Expe005_1b"
"ABY","","","","","","","","Expe005_1b"
"ABM","","","","","","","","Expe005_1b"
"OTZ","","","","","","","","Expe005_1b"
"GMX","","","","","","","","Expe005_1b"
"BFX","","","","","","","","Expe005_1b"
"DFN","","","","","","","","Expe005_1b"
"INU","","","","","","","","Expe005_1b"
"CGL","","","","","","","","Expe005_1b"
"AKR","","","","","","","","Expe005_1b"
"HOZ","","","","","","","","Expe005_1b"
"AKQ","","","","","","","","Expe005_1b"
"BWY","","","","","","","","Expe005_1b"
"IMR","","","","","","","","Expe005_1b"
"GIL","","","","","","","","Expe005_1b"
"JNR","","","","","","","","Expe005_1b"
"KOT","","","","","","","","Expe005_1b"
"BPU","","","","","","","","Expe005_1b"
"BEP","","","","","","","","Expe005_1b"
"FHX","","","","","","","","Expe005_1b"
"NOQ","","","","","","","","Expe005_1b"
"DRW","","","","","","","","Expe005_1b"
"IOQ","","","","","","","","Expe005_1b"
"DNY","","","","","","","","Expe005_1b"
"DMY","","","","","","","","Expe005_1b"
"EUV","","","","","","","","Expe005_1b"
"ENO","","","","","","","","Expe005_1b"
"JOW","","","","","","","","Expe005_1b"
"OPW","","","","","","","","Expe005_1b"
"AKV","","","","","","","","Expe005_1b"
"EJL","","","","","","","","Expe005_1b"
"BLW","","","","","","","","Expe005_1b"
"GTU","","","","","","","","Expe005_1b"
"HJN","","","","","","","","Expe005_1b"
"JLW","","","","","","","","Expe005_1b"
"OPS","","","","","","","","Expe005_1b"
"MWX","","","","","","","","Expe005_1b"
"CSV","","","","","","","","Expe005_1b"
"JMO","","","","","","","","Expe005_1b"
"MWZ","","","","","","","","Expe005_1b"
"BNW","","","","","","","","Expe005_1b"
"FHR","","","","","","","","Expe005_1b"
"LMY","","","","","","","","Expe005_1b"
"LPX","","","","","","","","Expe005_1b"
