"labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution","OPG","Expe"
"CIN","","","","","","","","Expe005_2b"
"RTX","","","","","","","","Expe005_2b"
"GMZ","","","","","","","","Expe005_2b"
"QST","","","","","","","","Expe005_2b"
"ENU","","","","","","","","Expe005_2b"
"BVZ","","","","","","","","Expe005_2b"
"GJP","","","","","","","","Expe005_2b"
"KVX","","","","","","","","Expe005_2b"
"EOW","","","","","","","","Expe005_2b"
"BLO","","","","","","","","Expe005_2b"
"HNO","","","","","","","","Expe005_2b"
"KQV","","","","","","","","Expe005_2b"
"ESU","","","","","","","","Expe005_2b"
"TWX","","","","","","","","Expe005_2b"
"PTY","","","","","","","","Expe005_2b"
"IQT","","","","","","","","Expe005_2b"
"ASW","","","","","","","","Expe005_2b"
"QXY","","","","","","","","Expe005_2b"
"BHW","","","","","","","","Expe005_2b"
"APZ","","","","","","","","Expe005_2b"
"FIJ","","","","","","","","Expe005_2b"
"GLX","","","","","","","","Expe005_2b"
"DFS","","","","","","","","Expe005_2b"
"EIV","","","","","","","","Expe005_2b"
"DEQ","","","","","","","","Expe005_2b"
"AIY","","","","","","","","Expe005_2b"
"FGU","","","","","","","","Expe005_2b"
"EKX","","","","","","","","Expe005_2b"
"HST","","","","","","","","Expe005_2b"
"JQU","","","","","","","","Expe005_2b"
"GJQ","","","","","","","","Expe005_2b"
"ARS","","","","","","","","Expe005_2b"
"NQU","","","","","","","","Expe005_2b"
"MOQ","","","","","","","","Expe005_2b"
"JQT","","","","","","","","Expe005_2b"
"EHI","","","","","","","","Expe005_2b"
"AKW","","","","","","","","Expe005_2b"
"SVW","","","","","","","","Expe005_2b"
"FQR","","","","","","","","Expe005_2b"
"BWZ","","","","","","","","Expe005_2b"
"BRT","","","","","","","","Expe005_2b"
"KPS","","","","","","","","Expe005_2b"
"ETV","","","","","","","","Expe005_2b"
"CLW","","","","","","","","Expe005_2b"
"HKS","","","","","","","","Expe005_2b"
"ACM","","","","","","","","Expe005_2b"
"KLX","","","","","","","","Expe005_2b"
"DGW","","","","","","","","Expe005_2b"
"BJY","","","","","","","","Expe005_2b"
"GVY","","","","","","","","Expe005_2b"
"OSX","","","","","","","","Expe005_2b"
"FOS","","","","","","","","Expe005_2b"
"KPU","","","","","","","","Expe005_2b"
"EHO","","","","","","","","Expe005_2b"
"AHW","","","","","","","","Expe005_2b"
"DVY","","","","","","","","Expe005_2b"
"AMX","","","","","","","","Expe005_2b"
"PST","","","","","","","","Expe005_2b"
"IJN","","","","","","","","Expe005_2b"
"COU","","","","","","","","Expe005_2b"
"PSX","","","","","","","","Expe005_2b"
"LNO","","","","","","","","Expe005_2b"
"KSY","","","","","","","","Expe005_2b"
"GHK","","","","","","","","Expe005_2b"
"DGI","","","","","","","","Expe005_2b"
"ATV","","","","","","","","Expe005_2b"
"JNT","","","","","","","","Expe005_2b"
"BIM","","","","","","","","Expe005_2b"
"BDU","","","","","","","","Expe005_2b"
"FGX","","","","","","","","Expe005_2b"
"ACS","","","","","","","","Expe005_2b"
