,Sample,cell.counting.x106.,cell_counts,ThCD4p,TcCD8p,Th1IFNgp_in_CD4p,Th17IL17Ap_in_CD4p,Tc1IFNgp_in_CD8p,Treg_Foxp3_in_CD4p,Dividing_Ki67p_in_Foxp3p,RORgtp_in_Foxp3p,Th1Tbetp_in_CD4pFoxp3n,Dividing_Ki67p_in_Tbetp,Th17RORgp_in_CD4pFoxp3n,Dividing_Ki67p_in_RORgtp,EH_ID,Position,ThCD4p.cells,TcCD8p.cells,Th1IFNgp_in_CD4p.cells,Th17IL17Ap_in_CD4p.cells,Treg_Foxp3_in_CD4p.cells,Tc1IFNgp_in_CD8p.cells,RORgtp_in_Foxp3p.cells,Dividing_Ki67p_in_Foxp3p.cells,Dividing_Ki67p_in_RORgtp.cells,ThCD4p_Foxp3n,ThCD4p_Foxp3n.cells,Th1Tbetp_in_CD4pFoxp3n.cells,Th17RORgp_in_CD4pFoxp3n.cells,Dividing_Ki67p_in_Tbetp.cells
11,11: Anterior LN_77_046.fcs,2.4,2400000,69.09,13.48,1.22,0.27,13.46,3.4,11.19,7.68,1.54,13.86,0.8,34.59,LM0277,Anterior,1658160,323520,20229.552,4477.032,56377.44,43545.792,4329.787392,484.5032091648,1497.6734588928,95.11,1658156.6,25535.61164,13265.2528,3539.235773304
12,12: Anterior LN_78_050.fcs,1.7,1700000,39.79,29.95,6.79,0.2,22.77,10.01,10.48,4.37,6.9,64.36,0.64,40.17,LM0278,Anterior,676430,509150,45929.597,1352.86,67710.643,115933.455,2958.9550991,310.09849438568,1188.61226330847,83,676419.99,46672.97931,4329.087936,30038.729483916
13,13: Anterior LN_79_031.fcs,5,5000000,52.27,15.85,1.43,0.12,12.29,7.37,7.09,4.63,2.28,20.21,0.95,29.09,LM0279,Anterior,2613500,792500,37373.05,3136.2,192614.95,97398.25,8918.072185,632.2913179165,2594.2671986165,91.08,2613492.63,59587.631964,24828.179985,12042.6604199244
14,14: Anterior LN_80_037.fcs,1.3,1300000,46.8,16.34,6.7,0.77,25.08,6.2,15.93,15.36,5.83,57.12,1.22,40.43,LM0280,Anterior,608400,212420,40762.8,4684.68,37720.8,53274.936,5793.91488,922.970640384,2342.479785984,86.33,608393.8,35469.35854,7422.40436,20260.097598048
15,15: Anterior LN_82_042.fcs,8.5,8500000,51.05,19.4,4.06,0.48,21.27,5.92,14.95,8.92,4.06,54.22,0.75,35.37,LM0282,Anterior,4339250,1649000,176173.55,20828.4,256883.6,350742.3,22914.01712,3425.64555944,8104.687855344,89.54,4339244.08,176173.309648,32544.3306,95521.1684911456
16,16: Anterior LN_83_043.fcs,2.4,2400000,59.68,16.94,1.67,0.36,5.94,5.95,10.63,5.3,1.84,30.09,0.46,16.97,LM0283,Anterior,1432320,406560,23919.744,5156.352,85223.04,24149.664,4516.82112,480.138085056,766.504544064,92.02,1432314.05,26354.57852,6588.64463,7930.092676668
17,17: Anterior LN_84_032.fcs,2.6,2600000,50.27,26.11,1.16,0.28,12.72,6.74,8.6,4.96,1.41,23.03,0.48,21.27,LM0284,Anterior,1307020,678860,15161.432,3659.656,88093.148,86350.992,4369.4201408,375.7701321088,929.37566394816,91.82,1307013.26,18428.886966,6273.663648,4244.1726682698
18,18: Anterior LN_85_033.fcs,2.8,2800000,37.16,24.91,3.76,1.11,21.56,9.58,26.85,11.12,14.73,90.05,4.35,65.6,LM0285,Anterior,1040480,697480,39122.048,11549.328,99677.984,150376.688,11084.1918208,2976.1055038848,7271.2298344448,85.55,1040470.42,153261.292866,45260.46327,138011.794225833
19,19: Anterior LN_86_045.fcs,0.81,810000,54.68,11.8,2.56,0.54,24.28,6.03,11.33,4.65,2.14,23.74,1.09,31.11,LM0286,Anterior,442908,95580,11338.4448,2391.7032,26707.3524,23206.824,1241.8918866,140.70635075178,386.35256592126,90.87,442901.97,9478.102158,4827.631473,2250.1014523092
20,20: Anterior LN_87_034.fcs,1,1000000,58.89,15.36,4.19,0.27,23.75,5.76,8.08,6.1,3.15,36.84,0.68,17.56,LM0287,Anterior,588900,153600,24674.91,1590.03,33920.64,36480,2069.15904,167.188050432,363.344327424,89.78,588894.24,18550.16856,4004.480832,6833.882097504
21,21: Anterior LN_88_047.fcs,1.8,1800000,51.43,32.29,0.82,0.43,10.89,9.69,14.8,3.45,3.86,74.91,0.96,39.34,LM0288,Anterior,925740,581220,7591.068,3980.682,89704.206,63294.858,3094.795107,458.029675836,1217.4923950938,89.06,925730.31,35733.189966,8887.010976,26767.7326035306
22,22: Anterior LN_89_048.fcs,1,1000000,48.13,11.52,2,0.34,22.61,7.27,11.06,6.2,3.86,53.18,1.06,22.7,LM0289,Anterior,481300,115200,9626,1636.42,34990.51,26046.72,2169.41162,239.936925172,492.45643774,90.39,481292.73,18577.899378,5101.702938,9879.7268892204
23,23: Anterior LN_91_035.fcs,6.2,6200000,42.14,23.03,2.31,0.3,17.56,10.7,8.83,4.33,2.08,26.73,0.66,16.83,LM0291,Anterior,2612680,1427860,60352.908,7838.04,279556.76,250732.216,12104.807708,1068.8545206164,2037.2391372564,86.69,2612669.3,54343.52144,17243.61738,14526.023280912
24,24: Anterior LN_92_044.fcs,2.7,2700000,50.57,26.83,0.97,0.57,19.62,11.21,10.14,3.36,1.83,25,1.36,32.29,LM0292,Anterior,1365390,724410,13244.283,7782.723,153060.219,142129.242,5142.8233584,521.48228854176,1660.61766242736,87.25,1365378.79,24986.431857,18569.151544,6246.60796425
25,25: Anterior LN_93_051.fcs,2,2000000,57.89,18.33,1.09,0.17,6.2,5.47,10.54,7.07,1.48,11.56,0.76,39,LM0293,Anterior,1157800,366600,12620.02,1968.26,63331.66,22729.2,4477.548362,471.9335973548,1746.24386118,93.27,1157794.53,17135.359044,8799.238428,1980.8475054864
26,26: Anterior LN_94_038.fcs,3.4,3400000,65.84,13.12,1.24,0.46,11.23,4.33,9.92,8.61,2.11,13.33,1.23,18.23,LM0294,Anterior,2238560,446080,27758.144,10297.376,96929.648,50094.784,8345.6426928,827.88775512576,1521.41066289744,93.97,2238555.67,47233.524637,27534.234741,6296.2288341121
27,27: Posterior LN_60_001.fcs,8.8,8800000,42.07,19.5,1.21,0.33,9.98,9.02,6.94,2.99,2.15,28.64,0.98,61.74,LM0260,Posterior,3702160,1716000,44796.136,12217.128,333934.832,171256.8,9984.6514768,692.93481248992,6164.52382177632,89.44,3702150.98,79596.24607,36281.079604,22796.364874448
28,28: Posterior LN_62_002.fcs,2.8,2800000,58.47,11.86,1.18,0.34,10.43,3.82,34.86,8.04,5.06,52.25,1.15,31.7,LM0262,Posterior,1637160,332080,19318.488,5566.344,62539.512,34635.944,5028.1767648,1752.82242020928,1593.9320344416,94.66,1637156.18,82840.102708,18827.29607,43283.95366493
29,29: Posterior LN_63_003.fcs,3.7,3700000,29.24,37.37,2.09,0.66,18.09,8.39,34.95,9.02,5.48,67.53,2.27,35.18,LM0263,Posterior,1081880,1382690,22611.292,7140.408,90769.732,250128.621,8187.4298264,2861.5067243268,2880.33781292752,88.86,1081871.61,59286.564228,24558.485547,40036.2168231684
30,30: Posterior LN_65_004.fcs,5.1,5100000,53.14,17.45,1.63,0.61,20.74,8.28,13.65,4.53,2.52,39.48,0.68,21.64,LM0265,Posterior,2710140,889950,44175.282,16531.854,224399.592,184575.63,10165.3015176,1387.5636571524,2199.77124840864,89.48,2710131.72,68295.319344,18428.895696,26962.9920770112
31,31: Posterior LN_69_011.fcs,4.9,4900000,51.02,28.02,0.86,1.04,5.27,4.21,29.25,9.91,2.4,63.69,0.43,33.06,LM0269,Posterior,2499980,1372980,21499.828,25999.792,105249.158,72356.046,10430.1915578,3050.8310306565,3448.22132900868,93.89,2499975.79,59999.41896,10749.895897,38213.629935624
32,32: Posterior LN_70_005.fcs,7,7000000,56,7.27,1.66,0.53,16.36,3.71,22.21,12.01,3.41,38.66,0.86,22.16,LM0270,Posterior,3920000,508900,65072,20776,145432,83256.04,17466.3832,3879.28370872,3870.55051712,94.1,3919996.29,133671.873489,33711.968094,51677.5462908474
33,33: Posterior LN_72_015.fcs,1.3,1300000,55.73,14.84,2.65,0.65,17.11,4.09,25.55,7.75,3.81,51.34,0.76,31.78,LM0272,Posterior,724490,192920,19198.985,4709.185,29631.641,33008.612,2296.4521775,586.74353135125,729.8125020095,92.61,724485.91,27602.913171,5506.092916,14171.3356219914
34,34: Posterior LN_73_024.fcs,4.5,4500000,56.2,11.84,0.84,0.7,8.22,7.15,21.09,4.09,2.22,35.52,0.48,11.86,LM0273,Posterior,2529000,532800,21243.6,17703,180823.5,43796.16,7395.68115,1559.749154535,877.12778439,91.31,2528992.85,56143.64127,12139.16568,19942.221379104
35,35: Posterior LN_75_016.fcs,1.1,1100000,56.76,16.84,1.72,0.2,10.02,4.62,18.18,8.45,2.83,19.32,0.59,20.11,LM0275,Posterior,624360,185240,10738.992,1248.72,28845.432,18561.048,2437.439004,443.1264109272,490.1689837044,93.46,624355.38,17669.257254,3683.696742,3413.7005014728
36,36: Posterior LN_76_014.fcs,14,14000000,46.13,24.2,1.69,0.85,31.03,11.94,20.38,4.95,3.26,37.45,1.08,57.32,LM0276,Posterior,6458200,3388000,109143.58,54894.7,771109.08,1051296.4,38169.89946,7779.025509948,21878.986370472,85.52,6458188.06,210536.930756,69748.431048,78846.080568122
37,37: Posterior LN_77_021.fcs,2.8,2800000,50.34,10.24,3.09,1.61,17.87,4.78,18.78,4.62,3.43,25.85,0.67,24.09,LM0277,Posterior,1409520,286720,43554.168,22693.272,67375.056,51236.864,3112.7275872,584.57024087616,749.85607575648,90.52,1409515.22,48346.372046,9443.751974,12497.537173891
38,38: Posterior LN_78_025.fcs,2.5,2500000,54.71,21.06,0.41,0.51,0.45,4.31,17.2,6.83,2.19,22.67,0.57,6.34,LM0278,Posterior,1367750,526500,5607.775,6975.525,58950.025,2369.25,4026.2867075,692.52131369,255.2665772555,94.77,1367745.69,29953.630611,7796.150433,6790.4880595137
39,39: Posterior LN_79_006.fcs,4.4,4400000,54.16,26.02,0.53,0.42,4.35,4.46,14.17,2.64,1.17,26.29,0.39,19.23,LM0279,Posterior,2383040,1144880,12630.112,10008.768,106283.584,49802.28,2805.8866176,397.59413371392,539.57199656448,94.59,2383035.54,27881.515818,9293.838606,7330.0505085522
40,40: Posterior LN_80_012.fcs,4.3,4300000,51.48,22.09,1.93,2.93,11.49,13.08,49.93,12.21,7.18,71.89,1.29,66.28,LM0280,Posterior,2213640,949870,42723.252,64859.652,289544.112,109140.063,35353.3360752,17651.9207023474,23432.1911506426,82.06,2213626.92,158938.412856,28555.787268,114260.825002178
41,41: Posterior LN_82_017.fcs,4.8,4800000,62.61,17.2,0.86,0.36,10.32,2.29,21.6,13.6,2.57,44.53,1.07,21.05,LM0282,Posterior,3005280,825600,25845.408,10819.008,68820.912,85201.92,9359.644032,2021.683110912,1970.205068736,96.49,3005277.71,77235.637147,32156.471497,34393.0292215591
42,42: Posterior LN_83_018.fcs,2.6,2600000,48.06,8.85,1.95,0.99,16.54,4.79,23.42,4.67,2.52,26.81,0.47,30.73,LM0283,Posterior,1249560,230100,24366.42,12370.644,59853.924,38058.54,2795.1782508,654.63074633736,858.95827647084,92.27,1249555.21,31488.791292,5872.909487,8442.1449453852
43,43: Posterior LN_84_007.fcs,5.8,5800000,50.68,27.74,0.75,0.96,9.43,10.26,20.36,5.58,1.86,29.61,1.07,26.05,LM0284,Posterior,2939440,1608920,22045.8,28218.624,301586.544,151721.156,16828.5291552,3426.28853599872,4383.8318449296,88.03,2939429.74,54673.393164,31451.898218,16188.7917158604
44,44: Posterior LN_85_008.fcs,5.8,5800000,53.27,25.66,0.72,1.07,3.68,5.36,25.43,6.24,2.86,52.51,0.61,19.33,LM0285,Posterior,3089660,1488280,22245.552,33059.362,165605.776,54768.704,10333.8004224,2627.88544741632,1997.52362164992,92.85,3089654.64,88364.122704,18846.893304,46400.0008318704
45,45: Posterior LN_86_020.fcs,1.6,1600000,46.89,28.72,1.73,2.17,4.33,9.64,33.44,5.4,3.19,73.74,0.73,39.39,LM0286,Posterior,750240,459520,12979.152,16280.208,72323.136,19897.216,3905.449344,1305.9822606336,1538.3564966016,86.46,750230.36,23932.348484,5476.681628,17647.7137721016
46,46: Posterior LN_87_009.fcs,3.6,3600000,56.3,35.15,0.44,0.63,4.15,8.25,9.79,4.3,1.89,15.6,0.67,24,LM0287,Posterior,2026800,1265400,8917.92,12768.84,167211,52514.1,7190.073,703.9081467,1725.61752,90.68,2026791.75,38306.364075,13579.504725,5975.7927957
47,47: Posterior LN_88_022.fcs,1.2,1200000,49.96,34.84,1.02,0.83,7.85,8.7,23.7,5.62,4.38,67.68,1.24,50.27,LM0288,Posterior,599520,418080,6115.104,4976.016,52158.24,32819.28,2931.293088,694.716461856,1473.5610353376,89.45,599511.3,26258.59494,7433.94012,17771.817055392
48,48: Posterior LN_89_023.fcs,1.8,1800000,55.69,32.41,0.48,0.49,4.85,6.73,14.48,5.56,1.67,30.28,0.56,22.93,LM0289,Posterior,1002420,583380,4811.616,4911.858,67462.866,28293.93,3750.9353496,543.13543862208,860.08947566328,92.3,1002413.27,16740.301609,5613.514312,5068.9633272052
49,49: Posterior LN_91_010.fcs,0.5,500000,69.68,14.66,0.61,0.2,10.71,2.68,19.81,13.05,1.93,16.85,0.82,11.11,LM0291,Posterior,348400,73300,2125.24,696.8,9337.12,7850.43,1218.49416,241.383693096,135.374701176,96.51,348397.32,6724.068276,2856.858024,1133.005504506
50,50: Posterior LN_92_019.fcs,1.8,1800000,38.87,34.45,3.46,1.19,6.11,8.89,28.8,8.8,9,67.83,1.17,46.67,LM0292,Posterior,699660,620100,24208.236,8325.954,62199.774,37888.11,5473.580112,1576.391072256,2554.5198382704,86.46,699651.11,62968.5999,8185.917987,42711.60131217
51,51: Posterior LN_94_013.fcs,2.6,2600000,56.09,27,0.59,0.54,5.49,6.42,17.16,8.35,1.66,27.81,0.86,29.38,LM0294,Posterior,1458340,702000,8604.206,7875.036,93625.428,38539.8,7817.723238,1341.5213076408,2296.8470873244,92.45,1458333.58,24208.337428,12541.668788,6732.3386387268
52,1: Anterior LN_27_028.fcs,7.1,7100000,54.62,17.48,0.33,1.16,6.75,7.13,18.74,8.88,1.24,34.13,1.03,15.37,LM0227,Anterior,3878020,1241080,12797.466,44985.032,276502.826,83772.9,24553.4509488,4601.31670780512,3773.86541083056,91.38,3878012.87,48087.359588,39943.532561,16412.2158273844
53,2: Anterior LN_28_029.fcs,8,8000000,48.15,29.76,2.31,3.46,14.33,10.95,29.45,4.72,3.94,49.24,0.56,34.26,LM0228,Anterior,3852000,2380800,88981.2,133279.2,421794,341168.64,19908.6768,5863.1053176,6820.71267168,83.28,3851989.05,151768.36857,21571.13868,74730.744683868
54,3: Anterior LN_29_042.fcs,1,1000000,39.34,13.6,6.46,0.48,22.59,6.08,18.67,17.74,8.8,77.5,0.99,49.42,LM0229,Anterior,393400,136000,25413.64,1888.32,23918.72,30722.4,4243.180928,792.2018792576,2096.9800146176,86.98,393393.92,34618.66496,3894.599808,26829.465344
55,4: Anterior LN_31_030.fcs,5.6,5600000,44.17,14.29,13.04,0.49,32.81,5.87,24.76,16.09,13.4,78.77,0.99,44.82,LM0231,Anterior,2473520,800240,322547.008,12120.248,145195.624,262558.744,23361.9759016,5784.42523323616,10470.8375990971,80.6,2473514.13,331450.89342,24487.789887,261083.868746934
56,5: Anterior LN_32_043.fcs,8.6,8600000,64.75,4.07,3.39,0.56,43.82,5.18,13.66,13.39,2.86,14.44,2.38,33.77,LM0232,Anterior,5568500,350020,188772.15,31183.6,288448.3,153378.764,38623.22737,5275.932858742,13043.063882849,90.87,5568494.82,159258.951852,132530.176716,22996.9926474288
57,6: Anterior LN_33_044.fcs,21,21000000,39.31,26.9,10.63,0.89,41.05,6.89,27.64,17.77,10.5,80.86,2.03,77.88,LM0233,Anterior,8255100,5649000,877517.13,73470.39,568776.39,2318914.5,101071.564503,27936.1804286292,78714.5344349364,81.59,8255093.11,866784.77655,167578.390133,700882.17031833
58,7: Anterior LN_34_031.fcs,23,23000000,54.1,18.61,1.82,0.2,21.96,7.3,17.12,22.76,1.52,33.96,1.08,27.86,LM0234,Anterior,12443000,4280300,226462.6,24886,908339,939953.88,206737.9564,35393.53813568,57597.19465304,90.68,12442992.7,189133.48904,134384.32116,64229.732877984
59,8: Anterior LN_35_032.fcs,15.4,15400000,44.83,7.47,2.84,0.32,18.36,5.96,16.81,10.39,3.04,25.44,0.86,31.63,LM0235,Anterior,6903820,1150380,196068.488,22092.224,411467.672,211209.768,42751.4911208,7186.52565740648,13522.296641509,90.88,6903814.04,209875.946816,59372.800744,53392.4408699904
60,9: Anterior LN_36_033.fcs,20,20000000,47.38,8.73,9.5,0.41,42.16,5.47,27.86,17.89,6.67,77.2,1.25,62.3,LM0236,Anterior,9476000,1746000,900220,38851.6,518337.2,736113.6,92730.52508,25834.724287288,57771.11712484,84.62,9475994.53,632048.835151,118449.931625,487941.700736572
61,10: Anterior LN_38_034.fcs,7,7000000,45.64,15.28,9.29,0.22,30.23,5.25,21.39,9.94,10.5,54.72,0.96,48.16,LM0238,Anterior,3194800,1069600,296796.92,7028.56,167727,323340.08,16672.0638,3566.15444682,8029.26592608,85.24,3194794.75,335453.44875,30670.0296,183560.127156
62,11: Anterior LN_39_045.fcs,3.5,3500000,41.18,7.92,14.43,0.71,40.97,5.73,26.43,22.16,7.86,72.77,2.08,64.29,LM0239,Anterior,1441300,277200,207979.59,10233.23,82586.49,113568.84,18301.166184,4836.9982224312,11765.8197396936,79.13,1441294.27,113285.729622,29978.920816,82438.0254459294
63,12: Anterior LN_40_035.fcs,3,3000000,42.44,26.66,5.42,0.52,27.98,8.04,12.91,7.98,8.09,79.62,1.1,62.38,LM0240,Anterior,1273200,799800,69007.44,6620.64,102365.28,223784.04,8168.749344,1054.5855403104,5095.6658407872,86.02,1273191.96,103001.229564,14005.11156,82009.5789788568
64,13: Anterior LN_47_046.fcs,8.4,8400000,66.93,14.32,2.16,0.5,14.05,3.86,17.03,21.02,1.92,14.76,1.05,31.56,LM0247,Anterior,5622120,1202880,121437.792,28110.6,217013.832,169004.64,45616.3074864,7768.45716493392,14396.5066427078,93.48,5622116.14,107944.629888,59032.21947,15932.6273714688
65,14: Anterior LN_48_036.fcs,9.4,9400000,35.08,32.28,12.41,1.08,38.24,8.08,30.55,14.15,11.3,64.38,0.97,59.65,LM0248,Anterior,3297520,3034320,409222.232,35613.216,266439.616,1160323.968,37701.205664,11517.718330352,22488.769178576,78.43,3297511.92,372618.84696,31985.865624,239892.013672848
66,15: Anterior LN_49_037.fcs,9.4,9400000,54.23,20.31,2.47,0.21,14.69,6.42,8.61,13.4,2.73,18.17,0.94,28.54,LM0249,Anterior,5097620,1909140,125911.214,10705.002,327267.204,280452.666,43853.805336,3775.8126394296,12515.8760428944,90.9,5097613.58,139164.850734,47917.567652,25286.2533783678
67,16: Anterior LN_51_047.fcs,4.7,4700000,39.38,15.77,10.06,1.28,34.01,6.04,27.84,35.6,9.41,64.44,1.61,50.22,LM0251,Anterior,1850860,741190,186196.516,23691.008,111791.944,252078.719,39797.932064,11079.7442866176,19986.5214825408,82.62,1850853.96,174165.357636,29798.748756,112232.156460638
68,17: Anterior LN_54_048.fcs,2.4,2400000,43.63,19.07,4.65,0.98,26.18,7.01,18.6,17.71,5.62,55.05,1.19,35.18,LM0254,Anterior,1047120,457680,48691.08,10261.776,73403.112,119820.624,12999.6911352,2417.9425511472,4573.29134136336,87.36,1047112.99,58847.750038,12460.644581,32395.686395919
69,18: Anterior LN_55_038.fcs,5.6,5600000,63.37,17.22,1.95,0.4,17.71,5.35,14.79,14.02,1.91,29.06,0.61,25.34,LM0255,Anterior,3548720,964320,69200.04,14194.88,189856.52,170781.072,26617.884104,3936.7850589816,6744.9718319536,92.3,3548714.65,67780.449815,21647.159365,19696.998716239
70,19: Anterior LN_56_049.fcs,17,17000000,52.68,30.61,2.14,0.26,19.48,6.64,15.62,10.11,1.5,19.84,0.62,24.57,LM0256,Anterior,8955600,5203700,191649.84,23284.56,594651.84,1013680.76,60119.301024,9390.6348199488,14771.3122615968,90.96,8955593.36,134333.9004,55524.678832,26651.84583936
71,20: Anterior LN_57_039.fcs,3.2,3200000,35.15,23.44,2.72,1.04,32.66,8.17,21.37,6.82,8.35,91.51,3.75,69.96,LM0257,Anterior,1124800,750080,30594.56,11697.92,91896.16,244976.128,6267.318112,1339.3258805344,4384.6157511552,88.07,1124791.83,93920.117805,42179.693625,85946.2998033555
72,21: Anterior LN_58_040.fcs,5.1,5100000,54.47,11.02,2.6,0.42,20.84,4.19,14.68,13.61,1.53,20.86,1.06,30.67,LM0258,Anterior,2777970,562020,72227.22,11667.474,116396.943,117124.968,15841.6239423,2325.55039472964,4858.62606310341,92.79,2777965.81,42502.876893,29446.437586,8866.1001198798
73,22: Anterior LN_59_041.fcs,6.9,6900000,58.95,20.25,5.5,0.57,29.91,4.39,25.07,24.46,5.74,59.57,0.91,39.15,LM0259,Anterior,4067550,1397250,223715.25,23185.035,178565.445,417917.475,43677.107847,10949.8509372429,17099.5877221005,89.54,4067545.61,233477.118014,37014.665051,139082.31920094
74,23: Anterior LN_61_050.fcs,1.4,1400000,48.42,34.95,2.66,0.6,21.86,6.14,16.79,5.11,3.56,76.53,0.57,54.1,LM0261,Anterior,677880,489300,18031.608,4067.28,41621.832,106960.98,2126.8756152,357.10241579208,1150.6397078232,90.6,677873.86,24132.309416,3863.881002,18468.4563960648
75,24: Anterior LN_64_051.fcs,4.2,4200000,38.41,9.61,4.83,0.66,30.92,7.04,21.67,14.7,7.11,77.67,1.28,35.84,LM0264,Anterior,1613220,403620,77918.526,10647.252,113570.688,124799.304,16694.891136,3617.7829091712,5983.4489831424,87.47,1613212.96,114699.441456,20649.125888,89087.0561788752
76,25: Anterior LN_66_052.fcs,3.6,3600000,56.56,30.3,1.21,0.2,11.69,7.33,7.69,4.41,0.99,18.6,0.5,21.63,LM0266,Anterior,2036160,1090800,24637.536,4072.32,149250.528,127514.52,6581.9482848,506.15182310112,1423.67541400224,91.26,2036152.67,20157.911433,10180.76335,3749.371526538
77,26: Anterior LN_68_053.fcs,2.5,2500000,57.96,28.93,1.25,0.22,21.51,7.74,10.96,5.08,1.02,19.15,0.78,31.04,LM0268,Anterior,1449000,723250,18112.5,3187.8,112152.6,155571.075,5697.35208,624.429787968,1768.458085632,90.79,1448992.26,14779.721052,11302.139628,2830.316581458
78,27: Anterior LN_71_054.fcs,9.6,9600000,55.67,17.71,1.17,0.6,10.47,4.2,23.13,18.94,1.99,12.26,1.48,61.14,LM0271,Anterior,5344320,1700160,62528.544,32065.92,224461.44,178006.752,42512.996736,9833.2561450368,25992.4462043904,94.03,5344315.8,106351.88442,79095.87384,13038.741029892
79,36: Posterior LN_27_001.fcs,13.6,13600000,69.02,16.16,2.41,0.59,19.98,3.47,16.08,16.83,1.6,12.74,1.65,20.01,LM0227,Posterior,9386720,2197760,226219.952,55381.648,325719.184,439112.448,54818.5386672,8814.82101768576,10969.1895873067,93.53,9386716.53,150187.46448,154880.822745,19133.882974752
80,37: Posterior LN_28_002.fcs,10,10000000,43.65,22.21,1.51,0.37,6.69,7.91,9.51,17.1,1.41,33.65,1.24,64.73,LM0228,Posterior,4365000,2221000,65911.5,16150.5,345271.5,148584.9,59041.4265,5614.83966015,38217.51537345,90.21,4364992.09,61546.388469,54125.901916,20710.3597198185
