"","label","EH_ID","IFNy_CEWE","delta","CXCR3","IL.12","IRG6","Eim_MC","AVG","totalOocysts","dpi","weight","weight_dpi0","faeces_weight","wloss","batch","primary","challenge","infHistory","OPG","IFNy_FEC"
"46","P3aKXD","LM_0344",NA,NA,NA,NA,NA,NA,0,0,7,50.1,51.4,1.35,97.4708171206226,"a","UNI",NA,"UNI:E88",0,NA
"47","P3aLKM","LM_0341",NA,NA,NA,NA,NA,NA,42.75,855000,7,50.4,59.1,2.86,85.2791878172589,"a","E139",NA,"E139:E88",298951.048951049,6.93375628339634
"48","P3aMAO","LM_0340",NA,NA,NA,NA,NA,NA,47,940000,7,50.5,54.5,1.82,92.6605504587156,"a","E64",NA,"E64:UNI",516483.516483516,27.682622433774
"49","P3aMCE","LM_0347",NA,NA,NA,NA,NA,NA,3.5,70000,11,63.2,71.5,7.28,88.3916083916084,"a","E88",NA,"E88:E88",9615.38461538462,NA
"50","P3aMNQ","LM_0342",NA,NA,NA,NA,NA,NA,39.25,785000,5,53.1,57,3.7,93.1578947368421,"a","E139",NA,"E139:E64",212162.162162162,4.29589113725598
"51","P3aMVU","LM_0342",NA,NA,NA,NA,NA,NA,0.25,5000,4,55.6,57,2.5,97.5438596491228,"a","E139",NA,"E139:E64",2000,0
"52","P3aNLI","LM_0339",NA,NA,NA,NA,NA,NA,16.25,325000,5,44.2,49.6,1.74,89.1129032258064,"a","E64",NA,"E64:E64",186781.609195402,358.082663728646
"53","P3aNMF","LM_0345",NA,NA,NA,NA,NA,NA,0,0,5,57.3,60.7,4.04,94.3986820428336,"a","UNI",NA,"UNI:E64",0,0
"54","P3aNYG","LM_0341",NA,NA,NA,NA,NA,NA,27,540000,6,50.3,59.1,0.52,85.1099830795262,"a","E139",NA,"E139:E88",1038461.53846154,0
"55","P3aOML","LM_0341",NA,NA,NA,NA,NA,NA,0,0,3,54,59.1,0.85,91.3705583756345,"a","E139",NA,"E139:E88",0,0
"56","P3aOMQ","LM_0338",NA,NA,NA,NA,NA,NA,0,0,4,49.6,51.3,2.17,96.6861598440546,"a","E64",NA,"E64:E88",0,55.7513039998587
"57","P3aOOZ","LM_0347",NA,NA,NA,NA,NA,NA,13.5,270000,10,63.9,71.5,5.52,89.3706293706294,"a","E88",NA,"E88:E88",48913.0434782609,NA
"58","P3aOSC","LM_0347",NA,NA,NA,NA,NA,NA,68,1360000,9,65.2,71.5,4.15,91.1888111888112,"a","E88",NA,"E88:E88",327710.843373494,NA
"59","P3aPEE","LM_0345",NA,NA,NA,NA,NA,NA,0,0,8,57.6,60.7,2.72,94.8929159802306,"a","UNI",NA,"UNI:E64",0,NA
"60","P3aPFK","LM_0333",NA,NA,NA,NA,NA,NA,3.25,65000,9,45.8,52.7,0.85,86.9070208728653,"a","Eflab",NA,"Eflab:E64",76470.5882352941,NA
"61","P3aPLG","LM_0333",NA,NA,NA,NA,NA,NA,9.75,195000,7,51,52.7,3.46,96.7741935483871,"a","Eflab",NA,"Eflab:E64",56358.3815028902,0
"62","P3aQBP","LM_0339",NA,NA,NA,NA,NA,NA,0,0,4,47,49.6,3.03,94.758064516129,"a","E64",NA,"E64:E64",0,418.105036595285
"63","P3aQEC","LM_0337",NA,NA,NA,NA,NA,NA,1,20000,10,39.3,44.7,1.81,87.9194630872483,"a","E88",NA,"E88:UNI",11049.7237569061,NA
"64","P3aQEO","LM_0344",NA,NA,NA,NA,NA,NA,0,0,8,50,51.4,1.14,97.2762645914397,"a","UNI",NA,"UNI:E88",0,NA
"65","P3aREI","LM_0340",NA,NA,NA,NA,NA,NA,14.75,295000,6,49,54.5,1.14,89.908256880734,"a","E64",NA,"E64:UNI",258771.929824561,0
"66","P3aRJA","LM_0345",NA,NA,NA,NA,NA,NA,0,0,7,56.7,60.7,4.4,93.4102141680395,"a","UNI",NA,"UNI:E64",0,0
"67","P3aRRF","LM_0332",NA,NA,NA,NA,NA,NA,13.75,275000,8,53.8,61.2,0.76,87.9084967320261,"a","Eflab",NA,"Eflab:E88",361842.105263158,NA
"68","P3aSBV","LM_0346",NA,NA,NA,NA,NA,NA,0,0,9,52.5,53.9,3.81,97.4025974025974,"a","UNI",NA,"UNI:UNI",0,NA
"69","P3aSMX","LM_0336",NA,NA,NA,NA,NA,NA,1,20000,11,44.6,51.9,2.91,85.9344894026975,"a","E88",NA,"E88:E64",6872.85223367698,NA
"70","P3aSQC","LM_0339",NA,NA,NA,NA,NA,NA,95,1900000,6,44.2,49.6,1.17,89.1129032258064,"a","E64",NA,"E64:E64",1623931.62393162,321.44271867591
"71","P3aSRE","LM_0340",NA,NA,NA,NA,NA,NA,46.25,925000,5,48.8,54.5,1.45,89.5412844036697,"a","E64",NA,"E64:UNI",637931.034482759,80.4682673343534
"72","P3aSVD","LM_0336",NA,NA,NA,NA,NA,NA,2.75,55000,10,43.6,51.9,0.81,84.0077071290944,"a","E88",NA,"E88:E64",67901.2345679012,NA
"73","P3aSVZ","LM_0341",NA,NA,NA,NA,NA,NA,0,0,4,53.7,59.1,1.68,90.8629441624366,"a","E139",NA,"E139:E88",0,56.5514684871042
"74","P3aSWK","LM_0346",NA,NA,NA,NA,NA,NA,0,0,5,52.3,53.9,4.04,97.0315398886828,"a","UNI",NA,"UNI:UNI",0,0
"75","P3aTOW","LM_0344",NA,NA,NA,NA,NA,NA,0,0,6,50.2,51.4,1.4,97.6653696498055,"a","UNI",NA,"UNI:E88",0,0
"76","P3aTQH","LM_0332",NA,NA,NA,NA,NA,NA,0,0,7,57.4,61.2,1.46,93.7908496732026,"a","Eflab",NA,"Eflab:E88",0,NA
"77","P3aTQK","LM_0337",NA,NA,NA,NA,NA,NA,83.25,1665000,8,42.3,44.7,2.76,94.6308724832215,"a","E88",NA,"E88:UNI",603260.869565217,NA
"78","P3aTSI","LM_0335",NA,NA,NA,NA,NA,NA,22.5,450000,7,47,49.4,1.9,95.1417004048583,"a","E88",NA,"E88:UNI",236842.105263158,NA
"79","P3aTSY","LM_0343",NA,NA,NA,NA,NA,NA,64.75,1295000,6,51.6,59.8,0.86,86.2876254180602,"a","E139",NA,"E139:UNI",1505813.95348837,151.400530521322
"80","P3aTVC","LM_0340",NA,NA,NA,NA,NA,NA,0,0,4,50.2,54.5,2.56,92.1100917431193,"a","E64",NA,"E64:UNI",0,9.40265410976475
"81","P3aUAS","LM_0335",NA,NA,NA,NA,NA,NA,21.25,425000,8,45.1,49.4,2.37,91.2955465587045,"a","E88",NA,"E88:UNI",179324.894514768,NA
"82","P3aURW","LM_0334",NA,NA,NA,NA,NA,NA,6,120000,8,44.6,50.7,0.95,87.9684418145957,"a","Eflab",NA,"Eflab:UNI",126315.789473684,NA
"83","P3aUWS","LM_0338",NA,NA,NA,NA,NA,NA,0,0,3,50.4,51.3,2.4,98.2456140350877,"a","E64",NA,"E64:E88",0,30.5064882715071
"84","P3aUXG","LM_0336",NA,NA,NA,NA,NA,NA,34.25,685000,8,47.9,51.9,2.75,92.2928709055877,"a","E88",NA,"E88:E64",249090.909090909,NA
"85","P3aUZT","LM_0340",NA,NA,NA,NA,NA,NA,0.25,5000,3,52.7,54.5,1.16,96.697247706422,"a","E64",NA,"E64:UNI",4310.34482758621,0
"86","P3aVKX","LM_0337",NA,NA,NA,NA,NA,NA,40.75,815000,9,39.7,44.7,1.4,88.8143176733781,"a","E88",NA,"E88:UNI",582142.857142857,NA
"87","P3aWMM","LM_0343",NA,NA,NA,NA,NA,NA,20.5,410000,5,53.3,59.8,1.8,89.1304347826087,"a","E139",NA,"E139:UNI",227777.777777778,32.2562706625771
"88","P3aWSE","LM_0335",NA,NA,NA,NA,NA,NA,4,80000,10,42.5,49.4,1.54,86.0323886639676,"a","E88",NA,"E88:UNI",51948.0519480519,NA
"89","P3aWTG","LM_0336",NA,NA,NA,NA,NA,NA,39.5,790000,7,49.7,51.9,3.37,95.7610789980732,"a","E88",NA,"E88:E64",234421.364985163,NA
"90","P3aXYE","LM_0342",NA,NA,NA,NA,NA,NA,0,0,3,56.3,57,1.8,98.7719298245614,"a","E139",NA,"E139:E64",0,4.06682666577567
"91","P3aYJG","LM_0332",NA,NA,NA,NA,NA,NA,7.75,155000,9,49.9,61.2,0.64,81.5359477124183,"a","Eflab",NA,"Eflab:E88",242187.5,NA
"92","P3aYMT","LM_0347",NA,NA,NA,NA,NA,NA,45.5,910000,8,63.7,71.5,4.86,89.0909090909091,"a","E88",NA,"E88:E88",187242.798353909,NA
"93","P3aYNS","LM_0342",NA,NA,NA,NA,NA,NA,61.5,1230000,6,52.7,57,1.96,92.4561403508772,"a","E139",NA,"E139:E64",627551.020408163,25.4754716010109
"94","P3aYTP","LM_0335",NA,NA,NA,NA,NA,NA,3,60000,11,43.6,49.4,3.06,88.2591093117409,"a","E88",NA,"E88:UNI",19607.8431372549,NA
"95","P3aZQY","LM_0346",NA,NA,NA,NA,NA,NA,0,0,6,52.5,53.9,3.92,97.4025974025974,"a","UNI",NA,"UNI:UNI",0,247.11678102021
"96","P3aZTI","LM_0338",NA,NA,NA,NA,NA,NA,18,360000,6,45.3,51.3,0.7,88.3040935672515,"a","E64",NA,"E64:E88",514285.714285714,264.226489898267
"97","P3bAGV","LM_0336",NA,NA,NA,NA,NA,NA,21.75,435000,5,46,52.3,0.67,95.4110898661568,"b",NA,"E64","E88:E64",649253.731343284,NA
"98","P3bAHV","LM_0337",NA,NA,NA,NA,NA,NA,0,0,6,44.4,44.9,1.59,98.8864142538975,"b",NA,"UNI","E88:UNI",0,NA
"99","P3bBPM","LM_0342",NA,NA,NA,NA,NA,NA,0.75,15000,3,51.2,55.6,1.87,94.2446043165468,"b",NA,"E64","E139:E64",8021.39037433155,NA
"100","P3bBPO","LM_0341",NA,NA,NA,NA,NA,NA,53.5,1070000,7,54.5,58.1,1.98,93.8037865748709,"b",NA,"E88","E139:E88",540404.04040404,NA
"101","P3bBUX","LM_0339",NA,NA,NA,NA,NA,NA,24.75,495000,5,44.7,48.5,1.11,95.2577319587629,"b",NA,"E64","E64:E64",445945.945945946,NA
"102","P3bCRA","LM_0332",NA,NA,NA,NA,NA,NA,4.75,95000,7,49.8,51.3,2.9,97.0760233918129,"b",NA,"E88","Eflab:E88",32758.6206896552,NA
"103","P3bDGY","LM_0333",NA,NA,NA,NA,NA,NA,13.75,275000,5,47.4,50,1.69,97,"b",NA,"E64","Eflab:E64",162721.893491124,NA
"104","P3bEFI","LM_0346",NA,NA,NA,NA,NA,NA,1,20000,5,52.1,53.2,1.04,98.3082706766917,"b",NA,"UNI","UNI:UNI",19230.7692307692,NA
"105","P3bFPD","LM_0340",NA,NA,NA,NA,NA,NA,0.5,10000,7,50.9,53.6,1.67,94.9626865671642,"b",NA,"UNI","E64:UNI",5988.02395209581,NA
"106","P3bHYO","LM_0345",NA,NA,NA,NA,NA,NA,2.5,50000,4,56.7,59.2,2.13,97.8040540540541,"b",NA,"E64","UNI:E64",23474.1784037559,NA
"107","P3bINX","LM_0336",NA,NA,NA,NA,NA,NA,0,0,4,49.9,52.3,2.12,91.9694072657744,"b",NA,"E64","E88:E64",0,NA
"108","P3bIPY","LM_0336",NA,NA,NA,NA,NA,NA,0,0,3,48.1,52.3,1.81,95.9847036328872,"b",NA,"E64","E88:E64",0,NA
"109","P3bJAH","LM_0342",NA,NA,NA,NA,NA,NA,0.25,5000,4,52.2,55.6,2.74,92.0863309352518,"b",NA,"E64","E139:E64",1824.81751824818,NA
"110","P3bJVY","LM_0343",NA,NA,NA,NA,NA,NA,0,0,6,54.3,56.5,2.02,96.1061946902655,"b",NA,"UNI","E139:UNI",0,NA
"111","P3bLAV","LM_0343",NA,NA,NA,NA,NA,NA,0,0,7,54,56.5,2.25,95.5752212389381,"b",NA,"UNI","E139:UNI",0,NA
"112","P3bLBS","LM_0339",NA,NA,NA,NA,NA,NA,8.75,175000,6,44.1,48.5,0.88,90.9278350515464,"b",NA,"E64","E64:E64",198863.636363636,NA
"113","P3bLCA","LM_0340",NA,NA,NA,NA,NA,NA,0,0,6,51.2,53.6,1.72,95.5223880597015,"b",NA,"UNI","E64:UNI",0,NA
"114","P3bLFC","LM_0345",NA,NA,NA,NA,NA,NA,56.5,1130000,6,55.3,59.2,1,93.4121621621621,"b",NA,"E64","UNI:E64",1130000,NA
"115","P3bLOR","LM_0343",NA,NA,NA,NA,NA,NA,0,0,5,54.6,56.5,1.8,97.5221238938053,"b",NA,"UNI","E139:UNI",0,NA
"116","P3bLSG","LM_0347",NA,NA,NA,NA,NA,NA,0,0,7,63,69.1,2.57,91.1722141823444,"b",NA,"E88","E88:E88",0,NA
"117","P3bMUY","LM_0333",NA,NA,NA,NA,NA,NA,33.5,670000,6,46.3,50,0.97,92.6,"b",NA,"E64","Eflab:E64",690721.649484536,NA
"118","P3bNSX","LM_0337",NA,NA,NA,NA,NA,NA,0,0,5,44.2,44.9,1.58,96.6592427616927,"b",NA,"UNI","E88:UNI",0,NA
"119","P3bNYU","LM_0336",NA,NA,NA,NA,NA,NA,6.25,125000,6,44.4,52.3,0.78,84.8948374760994,"b",NA,"E64","E88:E64",160256.41025641,NA
"120","P3bOKR","LM_0345",NA,NA,NA,NA,NA,NA,45,9e+05,5,57.9,59.2,2.02,95.777027027027,"b",NA,"E64","UNI:E64",445544.554455446,NA
"121","P3bONI","LM_0335",NA,NA,NA,NA,NA,NA,0,0,7,46,47,2.44,97.8723404255319,"b",NA,"UNI","E88:UNI",0,NA
"122","P3bOYV","LM_0334",NA,NA,NA,NA,NA,NA,0,NA,7,46.2,47.3,1.59,97.6744186046512,"b",NA,"UNI","Eflab:UNI",NA,NA
"123","P3bPFK","LM_0333",NA,NA,NA,NA,NA,NA,0,0,4,48.5,50,1.84,98,"b",NA,"E64","Eflab:E64",0,NA
"124","P3bQAP","LM_0337",NA,NA,NA,NA,NA,NA,0.75,15000,7,43.9,44.9,1.49,97.7728285077951,"b",NA,"UNI","E88:UNI",10067.1140939597,NA
"125","P3bQIT","LM_0334",NA,NA,NA,NA,NA,NA,0,0,6,47,47.3,2.25,99.3657505285412,"b",NA,"UNI","Eflab:UNI",0,NA
"126","P3bQOV","LM_0340",NA,NA,NA,NA,NA,NA,0,0,5,52.3,53.6,1.37,98.5074626865672,"b",NA,"UNI","E64:UNI",0,NA
"127","P3bQTR","LM_0334",NA,NA,NA,NA,NA,NA,0.25,5000,5,46.9,47.3,1.6,98.3086680761099,"b",NA,"UNI","Eflab:UNI",3125,NA
"128","P3bRMA","LM_0335",NA,NA,NA,NA,NA,NA,0,0,6,46.3,47,1.51,98.5106382978723,"b",NA,"UNI","E88:UNI",0,NA
"129","P3bSNM","LM_0339",NA,NA,NA,NA,NA,NA,0,0,4,46.2,48.5,1.65,95.4639175257732,"b",NA,"E64","E64:E64",0,NA
"130","P3bTMN","LM_0333",NA,NA,NA,NA,NA,NA,0,0,3,49,50,3.18,97.8,"b",NA,"E64","Eflab:E64",0,NA
"131","P3bVEO","LM_0339",NA,NA,NA,NA,NA,NA,0,0,3,46.3,48.5,1.73,97.7319587628866,"b",NA,"E64","E64:E64",0,NA
"132","P3bVLZ","LM_0346",NA,NA,NA,NA,NA,NA,0,0,7,51.2,53.2,1.66,96.2406015037594,"b",NA,"UNI","UNI:UNI",0,NA
"133","P3bXMO","LM_0338",NA,NA,NA,NA,NA,NA,5.75,115000,7,49.5,50.2,1.48,98.605577689243,"b",NA,"E88","E64:E88",77702.7027027027,NA
"134","P3bXXV","LM_0345",NA,NA,NA,NA,NA,NA,0,0,3,57.9,59.2,3.55,95.4391891891892,"b",NA,"E64","UNI:E64",0,NA
"135","P3bXYA","LM_0346",NA,NA,NA,NA,NA,NA,0,0,6,51.2,53.2,1.08,96.2406015037594,"b",NA,"UNI","UNI:UNI",0,NA
"136","P3bYVL","LM_0342",NA,NA,NA,NA,NA,NA,9,180000,6,48.5,55.6,1.21,87.2302158273381,"b",NA,"E64","E139:E64",148760.330578512,NA
"137","P3bZBW","LM_0342",NA,NA,NA,NA,NA,NA,23.75,475000,5,50.1,55.6,1.9,93.8848920863309,"b",NA,"E64","E139:E64",250000,NA
"138","P3bZGF","LM_0335",NA,NA,NA,NA,NA,NA,0,0,5,46.4,47,1.49,98.5106382978723,"b",NA,"UNI","E88:UNI",0,NA
