"","Mouse_ID","Target","NE"
"91","LM_0279","IRG6",-12.0475
"92","LM_0284","IRG6",-2.3425
"93","LM_0228","IRG6",-4.3925
"94","LM_0229","IRG6",-3.1225
"95","LM_0235","IRG6",-3.0275
"96","LM_0238","IRG6",-4.3375
"97","LM_0249","IRG6",-4.1475
"98","LM_0251","IRG6",-4.365
"99","LM_0266","IRG6",0.862500000000001
"100","LM_0234","IRG6",-1.0425
"101","LM_0236","IRG6",-2.0425
"102","LM_0239","IRG6",-6.93916666666667
"103","LM_0243","IRG6",-2.105
"104","LM_0254","IRG6",NA
"105","LM_0231","IL.12",-6.8575
"106","LM_0263","IL.12",-6.165
"107","LM_0265","IL.12",-6.5675
"108","LM_0269","IL.12",-3.8175
"109","LM_0282","IL.12",-5.85
"110","LM_0285","IL.12",-5.26499999999999
"111","LM_0287","IL.12",NA
"112","LM_0293","IL.12",-8.98
"113","LM_0252","IL.12",-12.845
"114","LM_0261","IL.12",-9.9775
"115","LM_0264","IL.12",-4.9125
"116","LM_0271","IL.12",-8.22
"117","LM_0273","IL.12",-6.1625
"118","LM_0278","IL.12",-8.825
"119","LM_0288","IL.12",-8.07
"120","LM_0289","IL.12",-7.37
"121","LM_0259","IL.12",-5.27
"122","LM_0272","IL.12",-9.9
"123","LM_0275","IL.12",-5.23
"124","LM_0276","IL.12",-6.19
"125","LM_0277","IL.12",-6.145
"126","LM_0283","IL.12",-5.16249999999999
"127","LM_0286","IL.12",-4.235
"128","LM_0294","IL.12",-5.0975
"129","LM_0232","IL.12",-5.435
"130","LM_0247","IL.12",-6.0825
"131","LM_0255","IL.12",-6.495
"132","LM_0257","IL.12",-5.385
"133","LM_0260","IL.12",-6.305
"134","LM_0262","IL.12",-7.7025
"135","LM_0268","IL.12",-12.48
"136","LM_0280","IL.12",-5.19
"137","LM_0227","IL.12",-9.13
"138","LM_0233","IL.12",-6.1225
"139","LM_0240","IL.12",-5.66
"140","LM_0256","IL.12",-4.0625
"141","LM_0258","IL.12",-5.855
"142","LM_0270","IL.12",-8.01
"143","LM_0279","IL.12",-8.6525
"144","LM_0284","IL.12",-4.1425
"145","LM_0228","IL.12",-6.9325
"146","LM_0229","IL.12",-4.6475
"147","LM_0235","IL.12",-5.5975
"148","LM_0238","IL.12",-6.3925
"149","LM_0249","IL.12",-6.6525
"150","LM_0251","IL.12",-6.47
"151","LM_0266","IL.12",-4.0675
"152","LM_0234","IL.12",-4.8275
"153","LM_0236","IL.12",-5.0925
"154","LM_0239","IL.12",-5.6925
"155","LM_0243","IL.12",-5.835
"156","LM_0254","IL.12",NA
