"Well","Fluor","Target","Content","Sample","Cq.Mean","Set.Point"
"H05","SYBR","IFN-g","Cecum","LM0031",34.3844114139222,60
"H06","SYBR","STAT6","Cecum","LM0031",30.9844993141457,60
"H07","SYBR","TGF-b","Cecum","LM0031",28.4798269035993,60
"H08","SYBR","Ppia","Pos Ctrl","LM0031",21.6172579877394,60
"H09","SYBR","Ppib","Pos Ctrl","LM0031",21.9734268774246,60
"H10","SYBR","CDC42","Pos Ctrl","LM0031",26.3630641454233,60
"A01","SYBR","CXCL9","Cecum","LM0090",21.2766829797189,60
"A02","SYBR","IL-10","Cecum","LM0090",26.7645489375764,60
"A03","SYBR","IL-12","Cecum","LM0090",28.2120600780745,60
"A04","SYBR","IL-6","Cecum","LM0090",24.7819701361528,60
"A05","SYBR","IFN-g","Cecum","LM0090",21.2687760045541,60
"A06","SYBR","STAT6","Cecum","LM0090",24.6802392260797,60
"A07","SYBR","TGF-b","Cecum","LM0090",24.3823409390629,60
"A08","SYBR","Ppia","Pos Ctrl","LM0090",15.7414937415563,60
"A09","SYBR","Ppib","Pos Ctrl","LM0090",17.6613711415647,60
"A10","SYBR","CDC42","Pos Ctrl","LM0090",23.6288141055378,60
"B01","SYBR","CXCL9","Cecum","LM0090",22.53578537493,60
"B02","SYBR","IL-10","Cecum","LM0090",29.3399836085175,60
"B03","SYBR","IL-12","Cecum","LM0090",30.6441244099005,60
"B04","SYBR","IL-6","Cecum","LM0090",25.8815517875016,60
"B05","SYBR","IFN-g","Cecum","LM0090",21.7029957643474,60
"B06","SYBR","STAT6","Cecum","LM0090",24.7486517786666,60
"B07","SYBR","TGF-b","Cecum","LM0090",23.972685443029,60
"B08","SYBR","Ppia","Pos Ctrl","LM0090",15.0653497381478,60
"B09","SYBR","Ppib","Pos Ctrl","LM0090",17.2354917167554,60
"B10","SYBR","CDC42","Pos Ctrl","LM0090",24.2104096103977,60
"C01","SYBR","CXCL9","Cecum","LM0091",27.6208930725947,60
"C02","SYBR","IL-10","Cecum","LM0091",28.0732838267798,60
"C03","SYBR","IL-12","Cecum","LM0091",29.3122705188811,60
"C04","SYBR","IL-6","Cecum","LM0091",25.724198277128,60
"C05","SYBR","IFN-g","Cecum","LM0091",27.6149161472349,60
"C06","SYBR","STAT6","Cecum","LM0091",22.3981164107585,60
"C07","SYBR","TGF-b","Cecum","LM0091",22.9355527107274,60
"C08","SYBR","Ppia","Pos Ctrl","LM0091",14.387920326137,60
"C09","SYBR","Ppib","Pos Ctrl","LM0091",16.4271545990061,60
"C10","SYBR","CDC42","Pos Ctrl","LM0091",22.1963772744632,60
"D01","SYBR","CXCL9","Cecum","LM0091",27.8272771366725,60
"D02","SYBR","IL-10","Cecum","LM0091",28.47725559492,60
"D03","SYBR","IL-12","Cecum","LM0091",28.6572953218014,60
"D04","SYBR","IL-6","Cecum","LM0091",25.6696326385441,60
"D05","SYBR","IFN-g","Cecum","LM0091",27.2630472613543,60
"D06","SYBR","STAT6","Cecum","LM0091",22.668066730873,60
"D07","SYBR","TGF-b","Cecum","LM0091",23.0992551386935,60
"D08","SYBR","Ppia","Pos Ctrl","LM0091",14.2333635953393,60
"D09","SYBR","Ppib","Pos Ctrl","LM0091",16.9270595790768,60
"D10","SYBR","CDC42","Pos Ctrl","LM0091",22.1669662432685,60
"E01","SYBR","CXCL9","Cecum","LM0093",24.3967336528832,60
"E02","SYBR","IL-10","Cecum","LM0093",33.3453942610073,60
"E03","SYBR","IL-12","Cecum","LM0093",33.2471378243632,60
"E04","SYBR","IL-6","Cecum","LM0093",29.2310374532624,60
"E05","SYBR","IFN-g","Cecum","LM0093",27.5772884760601,60
"E06","SYBR","STAT6","Cecum","LM0093",28.0860896189059,60
"E07","SYBR","TGF-b","Cecum","LM0093",27.3660134946656,60
"E08","SYBR","Ppia","Pos Ctrl","LM0093",20.2756520711371,60
"E09","SYBR","Ppib","Pos Ctrl","LM0093",20.5421619271654,60
"E10","SYBR","CDC42","Pos Ctrl","LM0093",27.1716548797844,60
"F01","SYBR","CXCL9","Cecum","LM0093",24.0449144314971,60
"F02","SYBR","IL-10","Cecum","LM0093",31.9423403667218,60
"F03","SYBR","IL-12","Cecum","LM0093",30.9463298460754,60
"F04","SYBR","IL-6","Cecum","LM0093",28.1954234589409,60
"F05","SYBR","IFN-g","Cecum","LM0093",26.5436767626293,60
"F06","SYBR","STAT6","Cecum","LM0093",27.6991909108339,60
"F07","SYBR","TGF-b","Cecum","LM0093",27.4812646851863,60
"F08","SYBR","Ppia","Pos Ctrl","LM0093",20.6291243200689,60
"F09","SYBR","Ppib","Pos Ctrl","LM0093",20.9414245113047,60
"F10","SYBR","CDC42","Pos Ctrl","LM0093",27.3443076454481,60
"G01","SYBR","CXCL9","Cecum","LM0022",21.9602985636975,60
"G02","SYBR","IL-10","Cecum","LM0022",28.1368807626142,60
"G03","SYBR","IL-12","Cecum","LM0022",28.0531050509782,60
"G04","SYBR","IL-6","Cecum","LM0022",24.5482077724541,60
"G05","SYBR","IFN-g","Cecum","LM0022",23.0296815916278,60
"G06","SYBR","STAT6","Cecum","LM0022",24.0802718787768,60
"G07","SYBR","TGF-b","Cecum","LM0022",24.0762634684524,60
"G08","SYBR","Ppia","Pos Ctrl","LM0022",15.9846795502505,60
"G09","SYBR","Ppib","Pos Ctrl","LM0022",17.598879513662,60
"G10","SYBR","CDC42","Pos Ctrl","LM0022",24.1159753048555,60
"H01","SYBR","CXCL9","Cecum","LM0022",21.4588371807417,60
"H02","SYBR","IL-10","Cecum","LM0022",27.8964191958398,60
"H03","SYBR","IL-12","Cecum","LM0022",28.0216252646702,60
"H04","SYBR","IL-6","Cecum","LM0022",25.0579408338827,60
"H05","SYBR","IFN-g","Cecum","LM0022",23.3589351725156,60
"H06","SYBR","STAT6","Cecum","LM0022",24.5827438995252,60
"H07","SYBR","TGF-b","Cecum","LM0022",24.4343537740028,60
"H08","SYBR","Ppia","Pos Ctrl","LM0022",16.6091782482792,60
"H09","SYBR","Ppib","Pos Ctrl","LM0022",18.2911741165909,60
"H10","SYBR","CDC42","Pos Ctrl","LM0022",24.4944500216273,60
"A01","SYBR","CXCL9","Cecum","LM0085",30.5577788403442,60
"A02","SYBR","IL-10","Cecum","LM0085",33.2329417692178,60
"A03","SYBR","IL-12","Cecum","LM0085",24.3449067106839,60
"A04","SYBR","IL-6","Cecum","LM0085",24.6824079623081,60
"A05","SYBR","IFN-g","Cecum","LM0085",27.3014186354307,60
"A06","SYBR","STAT6","Cecum","LM0085",23.242818108748,60
"A07","SYBR","TGF-b","Cecum","LM0085",29.4053415923448,60
"A08","SYBR","Ppia","Pos Ctrl","LM0085",19.231926745766,60
"A09","SYBR","Ppib","Pos Ctrl","LM0085",20.6733168377331,60
"A10","SYBR","CDC42","Pos Ctrl","LM0085",24.1955447684202,60
"B01","SYBR","CXCL9","Cecum","LM0085",31.8881380711936,60
"B02","SYBR","IL-10","Cecum","LM0085",35.8309492723774,60
"B03","SYBR","IL-12","Cecum","LM0085",24.0055664991879,60
"B04","SYBR","IL-6","Cecum","LM0085",24.2684598978488,60
"B05","SYBR","IFN-g","Cecum","LM0085",25.6339196969373,60
"B06","SYBR","STAT6","Cecum","LM0085",22.5099699256005,60
"B07","SYBR","TGF-b","Cecum","LM0085",27.8750622093423,60
"B08","SYBR","Ppia","Pos Ctrl","LM0085",18.6791984598211,60
"B09","SYBR","Ppib","Pos Ctrl","LM0085",20.2416501632491,60
"B10","SYBR","CDC42","Pos Ctrl","LM0085",23.7277576074541,60
"B11","SYBR","Nothing","Neg Ctrl","LM0085",16.8608282610211,60
"C01","SYBR","CXCL9","Cecum","LM0086",30.5598486806503,60
"C02","SYBR","IL-10","Cecum","LM0086",32.323675596888,60
"C03","SYBR","IL-12","Cecum","LM0086",32.8185792936615,60
"C04","SYBR","IL-6","Cecum","LM0086",27.2858078197978,60
"C05","SYBR","IFN-g","Cecum","LM0086",31.2784982532331,60
"C06","SYBR","STAT6","Cecum","LM0086",26.0206112884764,60
"C07","SYBR","TGF-b","Cecum","LM0086",26.0717851248951,60
"C08","SYBR","Ppia","Pos Ctrl","LM0086",16.7387712648217,60
"C09","SYBR","Ppib","Pos Ctrl","LM0086",18.9537248648257,60
"C10","SYBR","CDC42","Pos Ctrl","LM0086",25.2601850534472,60
"D01","SYBR","CXCL9","Cecum","LM0086",32.044056984732,60
"D02","SYBR","IL-10","Cecum","LM0086",31.9270277940736,60
"D03","SYBR","IL-12","Cecum","LM0086",35.3188858239871,60
"D04","SYBR","IL-6","Cecum","LM0086",27.923559469094,60
"D05","SYBR","IFN-g","Cecum","LM0086",32.0801352197713,60
"D06","SYBR","STAT6","Cecum","LM0086",26.0166731238517,60
"D07","SYBR","TGF-b","Cecum","LM0086",25.7028867806503,60
"D08","SYBR","Ppia","Pos Ctrl","LM0086",16.13424785298,60
"D09","SYBR","Ppib","Pos Ctrl","LM0086",18.2930677042937,60
"D10","SYBR","CDC42","Pos Ctrl","LM0086",24.4188051030852,60
"E01","SYBR","CXCL9","Cecum","LM0088",34.0984386742583,60
"E02","SYBR","IL-10","Cecum","LM0088",34.8854756929506,60
"E03","SYBR","IL-12","Cecum","LM0088",35.2255769577378,60
"E04","SYBR","IL-6","Cecum","LM0088",29.5366118279463,60
"E05","SYBR","IFN-g","Cecum","LM0088",33.7014666051282,60
"E06","SYBR","STAT6","Cecum","LM0088",28.2999818151469,60
"E07","SYBR","TGF-b","Cecum","LM0088",31.1626661036522,60
"E08","SYBR","Ppia","Pos Ctrl","LM0088",23.1642042909034,60
"E09","SYBR","Ppib","Pos Ctrl","LM0088",25.7115921219767,60
"E10","SYBR","CDC42","Pos Ctrl","LM0088",27.0526643145873,60
"F01","SYBR","CXCL9","Cecum","LM0088",33.0954095307685,60
"F02","SYBR","IL-10","Cecum","LM0088",36.5420137556912,60
"F03","SYBR","IL-12","Cecum","LM0088",34.491702462638,60
"F04","SYBR","IL-6","Cecum","LM0088",29.4339163534679,60
"F05","SYBR","IFN-g","Cecum","LM0088",33.1166139182727,60
"F06","SYBR","STAT6","Cecum","LM0088",28.2720354247816,60
"F07","SYBR","TGF-b","Cecum","LM0088",31.3007178854176,60
"F08","SYBR","Ppia","Pos Ctrl","LM0088",23.1560757625472,60
"F09","SYBR","Ppib","Pos Ctrl","LM0088",25.9247749816129,60
"F10","SYBR","CDC42","Pos Ctrl","LM0088",26.8471742218067,60
"F11","SYBR","Nothing","Neg Ctrl","LM0088",37.6604004174248,60
"G01","SYBR","CXCL9","Cecum","LM0089",32.4176248361406,60
"G02","SYBR","IL-10","Cecum","LM0089",35.0292690499374,60
"G03","SYBR","IL-12","Cecum","LM0089",30.7390570448617,60
"G04","SYBR","IL-6","Cecum","LM0089",26.7960237315232,60
"G05","SYBR","IFN-g","Cecum","LM0089",29.4353734011512,60
"G06","SYBR","STAT6","Cecum","LM0089",23.6801909758394,60
"G07","SYBR","TGF-b","Cecum","LM0089",27.1513770952118,60
"G08","SYBR","Ppia","Pos Ctrl","LM0089",18.355430822553,60
"G09","SYBR","Ppib","Pos Ctrl","LM0089",20.0826841874461,60
"G10","SYBR","CDC42","Pos Ctrl","LM0089",24.3459134253271,60
"G11","SYBR","Nothing","Neg Ctrl","LM0089",33.1247782475117,60
"H01","SYBR","CXCL9","Cecum","LM0089",31.4179750945995,60
"H02","SYBR","IL-10","Cecum","LM0089",34.6689405670146,60
"H03","SYBR","IL-12","Cecum","LM0089",27.4968220880244,60
"H04","SYBR","IL-6","Cecum","LM0089",26.3558463443486,60
"H05","SYBR","IFN-g","Cecum","LM0089",29.3735907085505,60
"H06","SYBR","STAT6","Cecum","LM0089",24.7705046784757,60
"H07","SYBR","TGF-b","Cecum","LM0089",27.8814117619984,60
"H08","SYBR","Ppia","Pos Ctrl","LM0089",19.1544041244322,60
"H09","SYBR","Ppib","Pos Ctrl","LM0089",21.1381606204102,60
"H10","SYBR","CDC42","Pos Ctrl","LM0089",25.0700285029088,60
"H11","SYBR","Nothing","Neg Ctrl","LM0089",29.4163136827036,60
"A02","SYBR","IL-10","Cecum","LM0081",29.2806571454761,60
"A03","SYBR","IL-12","Cecum","LM0081",31.2462839456901,60
"A04","SYBR","IL-6","Cecum","LM0081",28.5621952767226,60
"A05","SYBR","IFN-g","Cecum","LM0081",28.7864692471551,60
"A06","SYBR","STAT6","Cecum","LM0081",24.3589797715219,60
"A07","SYBR","TGF-b","Cecum","LM0081",24.060292072447,60
"A08","SYBR","Ppia","Pos Ctrl","LM0081",15.4097387021162,60
"A09","SYBR","Ppib","Pos Ctrl","LM0081",17.6248952670071,60
"A10","SYBR","CDC42","Pos Ctrl","LM0081",26.2561810934771,60
"B01","SYBR","CXCL9","Cecum","LM0081",29.9255929365635,60
"B02","SYBR","IL-10","Cecum","LM0081",30.2181717205626,60
"B03","SYBR","IL-12","Cecum","LM0081",32.3586989029434,60
"B04","SYBR","IL-6","Cecum","LM0081",28.8327297668671,60
"B05","SYBR","IFN-g","Cecum","LM0081",29.6352430495314,60
"B06","SYBR","STAT6","Cecum","LM0081",24.3875798688599,60
"B07","SYBR","TGF-b","Cecum","LM0081",23.4980586303785,60
"B08","SYBR","Ppia","Pos Ctrl","LM0081",14.9173388618356,60
"B09","SYBR","Ppib","Pos Ctrl","LM0081",17.1094201182855,60
"B10","SYBR","CDC42","Pos Ctrl","LM0081",25.3903276245298,60
"C01","SYBR","CXCL9","Cecum","LM0082",27.8959258324987,60
"C02","SYBR","IL-10","Cecum","LM0082",35.9268422249141,60
"C03","SYBR","IL-12","Cecum","LM0082",35.7621581638328,60
"C04","SYBR","IL-6","Cecum","LM0082",30.7809414110008,60
"C05","SYBR","IFN-g","Cecum","LM0082",30.3988659190542,60
"C06","SYBR","STAT6","Cecum","LM0082",29.1422686361797,60
"C07","SYBR","TGF-b","Cecum","LM0082",29.8996551882743,60
"C08","SYBR","Ppia","Pos Ctrl","LM0082",20.0307582782122,60
"C09","SYBR","Ppib","Pos Ctrl","LM0082",20.5632468631318,60
"C10","SYBR","CDC42","Pos Ctrl","LM0082",26.9703027256104,60
"D01","SYBR","CXCL9","Cecum","LM0082",28.1036115910145,60
"D02","SYBR","IL-10","Cecum","LM0082",36.03130246355,60
"D03","SYBR","IL-12","Cecum","LM0082",34.5025379954217,60
"D04","SYBR","IL-6","Cecum","LM0082",32.6324518107125,60
"D05","SYBR","IFN-g","Cecum","LM0082",31.2332619177179,60
"D06","SYBR","STAT6","Cecum","LM0082",29.9204113275086,60
"D07","SYBR","TGF-b","Cecum","LM0082",30.445351435312,60
"D08","SYBR","Ppia","Pos Ctrl","LM0082",20.4690256067126,60
"D09","SYBR","Ppib","Pos Ctrl","LM0082",20.7339540424255,60
"D10","SYBR","CDC42","Pos Ctrl","LM0082",26.6640930916197,60
"E01","SYBR","CXCL9","Cecum","LM0083",31.2909649700277,60
"E03","SYBR","IL-12","Cecum","LM0083",34.9254874189213,60
"E04","SYBR","IL-6","Cecum","LM0083",31.4373860190682,60
"E05","SYBR","IFN-g","Cecum","LM0083",32.3016027462625,60
"E06","SYBR","STAT6","Cecum","LM0083",29.3853838234373,60
"E07","SYBR","TGF-b","Cecum","LM0083",35.3343614141346,60
"E08","SYBR","Ppia","Pos Ctrl","LM0083",24.781189556534,60
"E09","SYBR","Ppib","Pos Ctrl","LM0083",28.2337039769063,60
"E10","SYBR","CDC42","Pos Ctrl","LM0083",27.5928920491035,60
"F01","SYBR","CXCL9","Cecum","LM0083",31.5795900229398,60
"F03","SYBR","IL-12","Cecum","LM0083",37.6505409515568,60
"F04","SYBR","IL-6","Cecum","LM0083",33.9891674636336,60
"F05","SYBR","IFN-g","Cecum","LM0083",33.9779323150374,60
"F06","SYBR","STAT6","Cecum","LM0083",30.3645462532926,60
"F07","SYBR","TGF-b","Cecum","LM0083",32.3575705106044,60
"F08","SYBR","Ppia","Pos Ctrl","LM0083",24.6491165368869,60
"F09","SYBR","Ppib","Pos Ctrl","LM0083",27.6001856577786,60
"F10","SYBR","CDC42","Pos Ctrl","LM0083",27.6032159281941,60
"G01","SYBR","CXCL9","Cecum","LM0084",25.9992761210697,60
"G02","SYBR","IL-10","Cecum","LM0084",30.7988741001478,60
"G03","SYBR","IL-12","Cecum","LM0084",32.2065680375097,60
"G04","SYBR","IL-6","Cecum","LM0084",27.614279673594,60
"G05","SYBR","IFN-g","Cecum","LM0084",28.360498671832,60
"G06","SYBR","STAT6","Cecum","LM0084",23.3936597954637,60
"G07","SYBR","TGF-b","Cecum","LM0084",22.5654570851045,60
"G08","SYBR","Ppia","Pos Ctrl","LM0084",13.7588712388792,60
"G09","SYBR","Ppib","Pos Ctrl","LM0084",15.6427960585629,60
"G10","SYBR","CDC42","Pos Ctrl","LM0084",22.1260957138841,60
"H01","SYBR","CXCL9","Cecum","LM0084",26.9615375870014,60
"H02","SYBR","IL-10","Cecum","LM0084",32.3552739396883,60
"H03","SYBR","IL-12","Cecum","LM0084",33.1052421986319,60
"H04","SYBR","IL-6","Cecum","LM0084",26.9931278682806,60
"H05","SYBR","IFN-g","Cecum","LM0084",28.7007809578039,60
"H06","SYBR","STAT6","Cecum","LM0084",22.4202459030111,60
"H07","SYBR","TGF-b","Cecum","LM0084",23.1413064600225,60
"H08","SYBR","Ppia","Pos Ctrl","LM0084",14.5708250906211,60
