"","Mouse_ID","Target","RT.Ct",".drop","EXP"
"159","AA_0090","GAPDH",20.99,FALSE,"HZ16-17"
"160","AA_0106","GAPDH",20.155,FALSE,"HZ16-17"
"161","AA_0113","GAPDH",18.555,FALSE,"HZ16-17"
"162","AA_0121","GAPDH",18.57,FALSE,"HZ16-17"
"163","AA_0173","GAPDH",18.85,FALSE,"HZ16-17"
"164","AA_0176","GAPDH",19.715,FALSE,"HZ16-17"
"165","AA_0190","GAPDH",20.34,FALSE,"HZ16-17"
"166","AA_0209","GAPDH",18.57,FALSE,"HZ16-17"
"167","AA_0105","GAPDH",18.555,FALSE,"HZ16-17"
"168","AA_0112","GAPDH",14.845,FALSE,"HZ16-17"
"169","AA_0129","GAPDH",21.74,FALSE,"HZ16-17"
"170","AA_0165","GAPDH",17.495,FALSE,"HZ16-17"
"171","AA_0168","GAPDH",18.105,FALSE,"HZ16-17"
"172","AA_0175","GAPDH",18.7,FALSE,"HZ16-17"
"173","AA_0183","GAPDH",18.7,FALSE,"HZ16-17"
"174","AA_0393","GAPDH",16.46,FALSE,"HZ16-17"
