EH_ID,labels,Expe,Neubauer1,Neubauer2,Neubauer3,Neubauer4,oocyst_mean,dilution_ml,OPG,dpi,weight,weight_dpi0,weightloss,Wchange,fecweight,Eimeria,X,X.1,X.2,X.3,X.4,Locality,Genome,Strain,IDD,Dam,Gen,Sir,IDS,Sir.1,Gen.1,Born,Fpar,LS,MM,FF,ID,PIN,Sex,Gen.2,Wean,BW10,BW20,Clip,Departure,NOTE,Parent1,Parent2,HybridStatus,ageAtdpi0expe1a,Batch,InfectionStrain,Mouse_subspecies,Mouse_strain,infection_isolate,Eimeria_species,mean_Neubauer,OPGstatus
LM0189,IJW,Expe005_1a,0,0,0,0,NA,1,0,0,17.03,17.03,0,100,"1,71",E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F , F1 , 1F ,4.73,"8,44", P3 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,0,negative
LM0190,HOX,Expe005_1a,0,0,0,0,NA,1,0,0,15.55,15.55,0,100,0,E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F , F1 , 1F ,4.73,"8,44", P3 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,NA,na
LM0191,HJX,Expe005_1a,0,0,0,0,NA,1,0,0,21.97,21.97,0,100,0,E88,,,NA,NA,NA, STRA x BUSNA , dom x mus ,STRA_BUSNA, SY ,6346,55, BUSNA , SY ,6111,60,2018-03-07,2,5,2,3, EX ,658, M , F1 , 1M ,7.96,"10,43", P2 ,NA,NA, STRA , BUSNA ,hybrids,"17,7142857142857",1, E88 ,Hybrid,"Hybrid 
(STRA_BUSNA)",E88,E.falciformis,NA,na
LM0192,GUX,Expe005_1a,0,0,0,0,NA,1,0,0,21.06,21.06,0,100,"1,51",E88,,,NA,NA,NA, STRA x BUSNA , dom x mus ,STRA_BUSNA, SY ,6346,55, BUSNA , SY ,6111,60,2018-03-07,2,5,2,3, EX ,658, M , F1 , 1M ,7.96,"10,43", P2 ,NA,NA, STRA , BUSNA ,hybrids,"17,7142857142857",1, E88 ,Hybrid,"Hybrid 
(STRA_BUSNA)",E88,E.falciformis,0,negative
LM0193,GUW,Expe005_1a,0,0,0,0,NA,1,0,0,16.40,16.40,0,100,"1,07",E88,,,NA,NA,NA, STRA x BUSNA , dom x mus ,STRA_BUSNA, SY ,6346,55, BUSNA , SY ,6111,60,2018-03-07,2,5,2,3, EX ,658, M , F1 , 1M ,7.96,"10,43", P2 ,NA,NA, STRA , BUSNA ,hybrids,"17,7142857142857",1, E88 ,Hybrid,"Hybrid 
(STRA_BUSNA)",E88,E.falciformis,0,negative
LM0194,LNU,Expe005_1a,0,0,0,0,NA,1,0,0,20.37,20.37,0,100,0,E88,,,NA,NA,NA, STRA x BUSNA , dom x mus ,STRA_BUSNA, SY ,6346,55, BUSNA , SY ,6111,60,2018-03-07,2,5,2,3, EX ,658, M , F1 , 1M ,7.96,"10,43", P2 ,NA,NA, STRA , BUSNA ,hybrids,"17,7142857142857",1, E88 ,Hybrid,"Hybrid 
(STRA_BUSNA)",E88,E.falciformis,NA,na
LM0195,OPY,Expe005_1a,0,0,0,0,NA,1,0,0,16.88,16.88,0,100,"0,96",E88,,,NA,NA,NA, STRA x BUSNA , dom x mus ,STRA_BUSNA, SY ,6346,55, BUSNA , SY ,6111,60,2018-03-07,2,5,2,3, EX ,658, M , F1 , 1M ,7.96,"10,43", P2 ,NA,NA, STRA , BUSNA ,hybrids,"17,7142857142857",1, E88 ,Hybrid,"Hybrid 
(STRA_BUSNA)",E88,E.falciformis,0,negative
LM0196,CPW,Expe005_1a,0,0,0,0,NA,1,0,0,22.50,22.50,0,100,"1,08",E88,,,NA,NA,NA, STRA x BUSNA , dom x mus ,STRA_BUSNA, SY ,6346,55, BUSNA , SY ,6111,60,2018-03-07,2,5,2,3, EX ,658, M , F1 , 1M ,7.96,"10,43", P2 ,NA,NA, STRA , BUSNA ,hybrids,"17,7142857142857",1, E88 ,Hybrid,"Hybrid 
(STRA_BUSNA)",E88,E.falciformis,"13,75",positive
LM0197,LXZ,Expe005_1a,0,0,0,0,NA,1,0,0,21.35,21.35,0,100,"1,25",E88,,,NA,NA,NA, STRA x BUSNA , dom x mus ,STRA_BUSNA, SY ,6346,55, BUSNA , SY ,6111,60,2018-03-07,2,5,2,3, EX ,658, M , F1 , 1M ,7.96,"10,43", P2 ,NA,NA, STRA , BUSNA ,hybrids,"17,7142857142857",1, E88 ,Hybrid,"Hybrid 
(STRA_BUSNA)",E88,E.falciformis,"0,5",positive
LM0198,CNS,Expe005_1a,0,0,0,0,NA,1,0,0,17.65,17.65,0,100,"0,88",E88,,,NA,NA,NA, STRA x BUSNA , dom x mus ,STRA_BUSNA, SY ,6346,55, BUSNA , SY ,6111,60,2018-03-07,2,5,2,3, EX ,658, M , F1 , 1M ,7.96,"10,43", P2 ,NA,NA, STRA , BUSNA ,hybrids,"17,7142857142857",1, E88 ,Hybrid,"Hybrid 
(STRA_BUSNA)",E88,E.falciformis,0,negative
LM0199,BHN,Expe005_1a,0,0,0,0,NA,1,0,0,26.85,26.85,0,100,"0,75",E88,soft feces,,NA,NA,NA, STRA x BUSNA , dom x mus ,STRA_BUSNA, SY ,6346,55, BUSNA , SY ,6111,60,2018-03-07,2,5,2,3, EX ,658, M , F1 , 1M ,7.96,"10,43", P2 ,NA,NA, STRA , BUSNA ,hybrids,"17,7142857142857",1, E88 ,Hybrid,"Hybrid 
(STRA_BUSNA)",E88,E.falciformis,45,positive
LM0200,AFT,Expe005_1a,0,0,0,0,NA,1,0,0,22.32,22.32,0,100,"1,01",E88,,,NA,NA,NA, STRA x BUSNA , dom x mus ,STRA_BUSNA, SY ,6346,55, BUSNA , SY ,6111,60,2018-03-07,2,5,2,3, EX ,658, M , F1 , 1M ,7.96,"10,43", P2 ,NA,NA, STRA , BUSNA ,hybrids,"17,7142857142857",1, E88 ,Hybrid,"Hybrid 
(STRA_BUSNA)",E88,E.falciformis,0,negative
LM0201,BUX,Expe005_1a,0,0,0,0,NA,1,0,0,21.75,21.75,0,100,"0,65",E88,,,NA,NA,NA, STRA x BUSNA , dom x mus ,STRA_BUSNA, SY ,6346,55, BUSNA , SY ,6111,60,2018-03-07,2,5,2,3, EX ,658, M , F1 , 1M ,7.96,"10,43", P2 ,NA,NA, STRA , BUSNA ,hybrids,"17,7142857142857",1, E88 ,Hybrid,"Hybrid 
(STRA_BUSNA)",E88,E.falciformis,"23,75",positive
LM0202,GPW,Expe005_1a,0,0,0,0,NA,1,0,0,17.68,17.68,0,100,0,E88,,,NA,NA,NA, STRA x BUSNA , dom x mus ,STRA_BUSNA, SY ,6346,55, BUSNA , SY ,6111,60,2018-03-07,2,5,2,3, EX ,658, M , F1 , 1M ,7.96,"10,43", P2 ,NA,NA, STRA , BUSNA ,hybrids,"17,7142857142857",1, E88 ,Hybrid,"Hybrid 
(STRA_BUSNA)",E88,E.falciformis,NA,na
LM0203,CMO,Expe005_1a,0,0,0,0,NA,1,0,0,20.26,20.26,0,100,"0,09",E88,,,NA,NA,NA, Buskovice , mus ,BUSNA_BUSNA, SY ,8209,62, BUSNA , SY ,8208,62,2018-04-20,1,3,1,2, EX ,871, M ,63, 1M ,5.61,"10,03", L2 ,NA,NA, BUSNA , BUSNA ,parents,"11,4285714285714",1, E88 ,M.m.musculus P,"M.m.musculus P 
(BUSNA_BUSNA)",E88,E.falciformis,"21,5",positive
LM0204,CIO,Expe005_1b,0,0,0,0,NA,1,0,0,19.26,19.26,0,100,"0,93",E88,,,NA,NA,NA, Buskovice , mus ,BUSNA_BUSNA, SY ,8209,62, BUSNA , SY ,8208,62,2018-04-20,1,3,1,2, EX ,871, M ,63, 1M ,5.61,"10,03", L2 ,NA,NA, BUSNA , BUSNA ,parents,"11,4285714285714",1, E88 ,M.m.musculus P,"M.m.musculus P 
(BUSNA_BUSNA)",E88,E.falciformis,0,negative
LM0206,KOX,Expe005_1b,0,0,0,0,NA,1,0,0,16.97,16.97,0,100,0,E88,,,NA,NA,NA, Buskovice , mus ,BUSNA_BUSNA, SY ,8209,62, BUSNA , SY ,8208,62,2018-04-20,1,3,1,2, EX ,871, M ,63, 1M ,5.61,"10,03", L2 ,NA,NA, BUSNA , BUSNA ,parents,"11,4285714285714",1, E88 ,M.m.musculus P,"M.m.musculus P 
(BUSNA_BUSNA)",E88,E.falciformis,NA,na
LM0207,CPY,Expe005_1b,0,0,0,0,NA,1,0,0,17.27,17.27,0,100,"0,23",E88,,,NA,NA,NA, Buskovice , mus ,BUSNA_BUSNA, SY ,8209,62, BUSNA , SY ,8208,62,2018-04-20,1,3,1,2, EX ,871, M ,63, 1M ,5.61,"10,03", L2 ,NA,NA, BUSNA , BUSNA ,parents,"11,4285714285714",1, E88 ,M.m.musculus P,"M.m.musculus P 
(BUSNA_BUSNA)",E88,E.falciformis,26,positive
LM0208,GQU,Expe005_1b,0,0,0,0,NA,1,0,0,22.82,22.82,0,100,"0,21",E88,,,NA,NA,NA, Buskovice , mus ,BUSNA_BUSNA, SY ,8209,62, BUSNA , SY ,8208,62,2018-04-20,1,3,1,2, EX ,871, M ,63, 1M ,5.61,"10,03", L2 ,NA,NA, BUSNA , BUSNA ,parents,"11,4285714285714",1, E88 ,M.m.musculus P,"M.m.musculus P 
(BUSNA_BUSNA)",E88,E.falciformis,"1,25",positive
LM0209,HPQ,Expe005_1b,0,0,0,0,NA,1,0,0,22.09,22.09,0,100,"0,93",E88,,,NA,NA,NA, Buskovice , mus ,BUSNA_BUSNA, SY ,8209,62, BUSNA , SY ,8208,62,2018-04-20,1,3,1,2, EX ,871, M ,63, 1M ,5.61,"10,03", L2 ,NA,NA, BUSNA , BUSNA ,parents,"11,4285714285714",1, E88 ,M.m.musculus P,"M.m.musculus P 
(BUSNA_BUSNA)",E88,E.falciformis,"0,75",positive
LM0210,BOU,Expe005_1b,0,0,0,0,NA,1,0,0,15.65,15.65,0,100,"0,34",E88,,,NA,NA,NA, Buskovice , mus ,BUSNA_BUSNA, SY ,8209,62, BUSNA , SY ,8208,62,2018-04-20,1,3,1,2, EX ,871, M ,63, 1M ,5.61,"10,03", L2 ,NA,NA, BUSNA , BUSNA ,parents,"11,4285714285714",1, E88 ,M.m.musculus P,"M.m.musculus P 
(BUSNA_BUSNA)",E88,E.falciformis,"10,25",positive
LM0211,BKT,Expe005_1b,0,0,0,0,NA,1,0,0,17.42,17.42,0,100,"1,28",E88,,,NA,NA,NA, Buskovice , mus ,BUSNA_BUSNA, SY ,8209,62, BUSNA , SY ,8208,62,2018-04-20,1,3,1,2, EX ,871, M ,63, 1M ,5.61,"10,03", L2 ,NA,NA, BUSNA , BUSNA ,parents,"11,4285714285714",1, E88 ,M.m.musculus P,"M.m.musculus P 
(BUSNA_BUSNA)",E88,E.falciformis,0,negative
LM0212,HJQ,Expe005_1b,0,0,0,0,NA,1,0,0,21.58,21.58,0,100,"0,87",E88,,,NA,NA,NA, Buskovice , mus ,BUSNA_BUSNA, SY ,8209,62, BUSNA , SY ,8208,62,2018-04-20,1,3,1,2, EX ,871, M ,63, 1M ,5.61,"10,03", L2 ,NA,NA, BUSNA , BUSNA ,parents,"11,4285714285714",1, E88 ,M.m.musculus P,"M.m.musculus P 
(BUSNA_BUSNA)",E88,E.falciformis,0,negative
LM0213,FHV,Expe005_1b,0,0,0,0,NA,1,0,0,15.39,15.39,0,100,0,E88,,,NA,NA,NA, Buskovice , mus ,BUSNA_BUSNA, SY ,8209,62, BUSNA , SY ,8208,62,2018-04-20,1,3,1,2, EX ,871, M ,63, 1M ,5.61,"10,03", L2 ,NA,NA, BUSNA , BUSNA ,parents,"11,4285714285714",1, E88 ,M.m.musculus P,"M.m.musculus P 
(BUSNA_BUSNA)",E88,E.falciformis,NA,na
LM0214,DES,Expe005_1b,0,0,0,0,NA,1,0,0,27.43,27.43,0,100,0,E88,,,NA,NA,NA, Buskovice , mus ,BUSNA_BUSNA, SY ,8209,62, BUSNA , SY ,8208,62,2018-04-20,1,3,1,2, EX ,871, M ,63, 1M ,5.61,"10,03", L2 ,NA,NA, BUSNA , BUSNA ,parents,"11,4285714285714",1, E88 ,M.m.musculus P,"M.m.musculus P 
(BUSNA_BUSNA)",E88,E.falciformis,NA,na
LM0215,ELT,Expe005_1b,0,0,0,0,NA,1,0,0,23.90,23.90,0,100,"1,18",E88,,,NA,NA,NA, Buskovice , mus ,BUSNA_BUSNA, SY ,8209,62, BUSNA , SY ,8208,62,2018-04-20,1,3,1,2, EX ,871, M ,63, 1M ,5.61,"10,03", L2 ,NA,NA, BUSNA , BUSNA ,parents,"11,4285714285714",1, E88 ,M.m.musculus P,"M.m.musculus P 
(BUSNA_BUSNA)",E88,E.falciformis,0,negative
LM0216,NSU,Expe005_1b,0,0,0,0,NA,1,0,0,18.37,18.37,0,100,0,E88,,,NA,NA,NA, SCHUNT x PWD , dom x mus ,SCHUNT_PWD, SY ,6904,37, PWD , SY ,5342,42,2018-03-23,1,7,5,2, EX ,720, M , F1 , 1M ,5.75,"10,17", P2 ,NA,NA, SCHUNT , PWD ,hybrids,"15,4285714285714",1, E88 ,Hybrid,"Hybrid 
(SCHUNT_PWD)",E88,E.falciformis,NA,na
LM0217,FKY,Expe005_1b,0,0,0,0,NA,1,0,0,17.74,17.74,0,100,"1,09",E88,,,NA,NA,NA, SCHUNT x PWD , dom x mus ,SCHUNT_PWD, SY ,6904,37, PWD , SY ,5342,42,2018-03-23,1,7,5,2, EX ,720, M , F1 , 1M ,5.75,"10,17", P2 ,NA,NA, SCHUNT , PWD ,hybrids,"15,4285714285714",1, E88 ,Hybrid,"Hybrid 
(SCHUNT_PWD)",E88,E.falciformis,0,negative
LM0218,JLZ,Expe005_1b,0,0,0,0,NA,1,0,0,20.36,20.36,0,100,"2,51",E88,,,NA,NA,NA, SCHUNT x PWD , dom x mus ,SCHUNT_PWD, SY ,6904,37, PWD , SY ,5342,42,2018-03-23,1,7,5,2, EX ,720, M , F1 , 1M ,5.75,"10,17", P2 ,NA,NA, SCHUNT , PWD ,hybrids,"15,4285714285714",1, E88 ,Hybrid,"Hybrid 
(SCHUNT_PWD)",E88,E.falciformis,0,negative
LM0219,CHN,Expe005_1b,0,0,0,0,NA,1,0,0,19.00,19.00,0,100,"1,24",E88,,,NA,NA,NA, SCHUNT x PWD , dom x mus ,SCHUNT_PWD, SY ,6904,37, PWD , SY ,5342,42,2018-03-23,1,7,5,2, EX ,720, M , F1 , 1M ,5.75,"10,17", P2 ,NA,NA, SCHUNT , PWD ,hybrids,"15,4285714285714",1, E88 ,Hybrid,"Hybrid 
(SCHUNT_PWD)",E88,E.falciformis,"12,75",positive
LM0220,AGO,Expe005_1b,0,0,0,0,NA,1,0,0,19.72,19.72,0,100,"1,32",E88,,,NA,NA,NA, SCHUNT x PWD , dom x mus ,SCHUNT_PWD, SY ,6904,37, PWD , SY ,5342,42,2018-03-23,1,7,5,2, EX ,720, M , F1 , 1M ,5.75,"10,17", P2 ,NA,NA, SCHUNT , PWD ,hybrids,"15,4285714285714",1, E88 ,Hybrid,"Hybrid 
(SCHUNT_PWD)",E88,E.falciformis,"7,25",positive
LM0221,FQS,Expe005_1b,0,0,0,0,NA,1,0,0,19.73,19.73,0,100,"1,14",E88,,,NA,NA,NA, SCHUNT x PWD , dom x mus ,SCHUNT_PWD, SY ,6904,37, PWD , SY ,5342,42,2018-03-23,1,7,5,2, EX ,720, M , F1 , 1M ,5.75,"10,17", P2 ,NA,NA, SCHUNT , PWD ,hybrids,"15,4285714285714",1, E88 ,Hybrid,"Hybrid 
(SCHUNT_PWD)",E88,E.falciformis,0,negative
LM0222,CRW,Expe005_1b,0,0,0,0,NA,1,0,0,23.99,23.99,0,100,"1,61",E88,,,NA,NA,NA, SCHUNT x PWD , dom x mus ,SCHUNT_PWD, SY ,6904,37, PWD , SY ,5342,42,2018-03-23,1,7,5,2, EX ,720, M , F1 , 1M ,5.75,"10,17", P2 ,NA,NA, SCHUNT , PWD ,hybrids,"15,4285714285714",1, E88 ,Hybrid,"Hybrid 
(SCHUNT_PWD)",E88,E.falciformis,0,negative
LM0223,RXY,Expe005_1b,0,0,0,0,NA,1,0,0,20.73,20.73,0,100,"1,43",E88,,,NA,NA,NA, SCHUNT x PWD , dom x mus ,SCHUNT_PWD, SY ,6904,37, PWD , SY ,5342,42,2018-03-23,1,7,5,2, EX ,720, M , F1 , 1M ,5.75,"10,17", P2 ,NA,NA, SCHUNT , PWD ,hybrids,"15,4285714285714",1, E88 ,Hybrid,"Hybrid 
(SCHUNT_PWD)",E88,E.falciformis,"0,75",positive
LM0224,KVZ,Expe005_1b,0,0,0,0,NA,1,0,0,19.21,19.21,0,100,0,E88,,,NA,NA,NA, SCHUNT x PWD , dom x mus ,SCHUNT_PWD, SY ,6904,37, PWD , SY ,5342,42,2018-03-23,1,7,5,2, EX ,720, M , F1 , 1M ,5.75,"10,17", P2 ,NA,NA, SCHUNT , PWD ,hybrids,"15,4285714285714",1, E88 ,Hybrid,"Hybrid 
(SCHUNT_PWD)",E88,E.falciformis,NA,na
LM0225,FGT,Expe005_1b,0,0,0,0,NA,1,0,0,28.05,28.05,0,100,"1,52",E88,,,NA,NA,NA, SCHUNT x PWD , dom x mus ,SCHUNT_PWD, SY ,6904,37, PWD , SY ,5342,42,2018-03-23,1,7,5,2, EX ,720, M , F1 , 1M ,5.75,"10,17", P2 ,NA,NA, SCHUNT , PWD ,hybrids,"15,4285714285714",1, E88 ,Hybrid,"Hybrid 
(SCHUNT_PWD)",E88,E.falciformis,37,positive
LM0226,KNO,Expe005_1b,0,0,0,0,NA,1,0,0,15.16,15.16,0,100,"0,96",E88,,,NA,NA,NA, SCHUNT x PWD , dom x mus ,SCHUNT_PWD, SY ,6904,37, PWD , SY ,5342,42,2018-03-23,1,7,5,2, EX ,720, M , F1 , 1M ,5.75,"10,17", P2 ,NA,NA, SCHUNT , PWD ,hybrids,"15,4285714285714",1, E88 ,Hybrid,"Hybrid 
(SCHUNT_PWD)",E88,E.falciformis,0,negative
LM0227,FGW,Expe005_2a,18,18,20,18,NA,1,"110119,047619048",0,20.03,20.03,0,100,0,E88,,,NA,NA,NA, SCHUNT x PWD , dom x mus ,SCHUNT_PWD, SY ,6904,37, PWD , SY ,5342,42,2018-03-23,1,7,5,2, EX ,720, M , F1 , 1M ,5.75,"10,17", P2 ,NA,NA, SCHUNT , PWD ,hybrids,"15,4285714285714",1, E88 ,Hybrid,"Hybrid 
(SCHUNT_PWD)",E88,E.falciformis,NA,na
LM0228,FRW,Expe005_2a,0,3,4,8,NA,1,46875,0,18.56,18.56,0,100,"1,3",E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,728, F , F1 , 1F ,4.31,"7,59", L2 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,0,negative
LM0229,IJQ,Expe005_2a,0,0,0,0,NA,1,0,0,15.82,15.82,0,100,0,E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,728, F , F1 , 1F ,4.31,"7,59", L2 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,NA,na
LM0230,ERW,Expe005_2a,0,0,0,0,NA,1,0,0,15.87,15.87,0,100,"1,03",E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,728, F , F1 , 1F ,4.31,"7,59", L2 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,"21,75",positive
LM0231,AFW,Expe005_2a,0,0,0,0,NA,2,0,0,18.71,18.71,0,100,"0,12",E88,soft feces,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,728, F , F1 , 1F ,4.31,"7,59", L2 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,"28,5",positive
LM0232,BGK,Expe005_2a,0,0,0,0,NA,1,0,0,24.14,24.14,0,100,0,E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,728, F , F1 , 1F ,4.31,"7,59", L2 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,NA,na
LM0233,AJW,Expe005_2a,0,0,0,0,NA,1,0,0,24.55,24.55,0,100,"0,82",E88,,,NA,NA,NA, PWD x BUSNA , mus x mus ,PWD_BUSNA, SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,728, F , F1 , 1F ,4.31,"7,59", L2 ,NA,NA, PWD , BUSNA ,outbred,"15,4285714285714",1, E88 ,M.m.musculus F1,"M.m.musculus F1 
(PWD_BUSNA)",E88,E.falciformis,27,positive
